full_name,ranking,points,date
Novak Djokovic,1,11113,2021-09-06
Daniil Medvedev,2,9980,2021-09-06
Stefanos Tsitsipas,3,8350,2021-09-06
Alexander Zverev,4,8240,2021-09-06
Rafael Nadal,5,7815,2021-09-06
Dominic Thiem,6,6995,2021-09-06
Andrey Rublev,7,6400,2021-09-06
Matteo Berrettini,8,5533,2021-09-06
Roger Federer,9,4125,2021-09-06
Denis Shapovalov,10,3580,2021-09-06
Casper Ruud,11,3455,2021-09-06
Pablo Carreno Busta,12,3325,2021-09-06
Hubert Hurkacz,13,3128,2021-09-06
Diego Schwartzman,14,2980,2021-09-06
Felix Auger-Aliassime,15,2828,2021-09-06
Jannik Sinner,16,2750,2021-09-06
Alex de Minaur,17,2555,2021-09-06
Grigor Dimitrov,18,2511,2021-09-06
Cristian Garin,19,2510,2021-09-06
Gael Monfils,20,2503,2021-09-06
Roberto Bautista Agut,21,2405,2021-09-06
John Isner,22,2238,2021-09-06
Lorenzo Sonego,23,2227,2021-09-06
Reilly Opelka,24,2206,2021-09-06
Aslan Karatsev,25,2109,2021-09-06
Ugo Humbert,26,2090,2021-09-06
Daniel Evans,27,2074,2021-09-06
Karen Khachanov,28,2010,2021-09-06
Cameron Norrie,29,1975,2021-09-06
David Goffin,30,1933,2021-09-06
Fabio Fognini,31,1734,2021-09-06
Alejandro Davidovich Fokina,32,1723,2021-09-06
Stan Wawrinka,33,1715,2021-09-06
Milos Raonic,34,1694,2021-09-06
Borna Coric,35,1674,2021-09-06
Marin Cilic,36,1650,2021-09-06
Alexander Bublik,37,1633,2021-09-06
Filip Krajinovic,38,1589,2021-09-06
Nikoloz Basilashvili,39,1578,2021-09-06
Dusan Lajovic,40,1565,2021-09-06
Marton Fucsovics,41,1549,2021-09-06
Taylor Fritz,42,1540,2021-09-06
John Millman,43,1480,2021-09-06
Adrian Mannarino,44,1469,2021-09-06
Sebastian Korda,45,1459,2021-09-06
Lloyd Harris,46,1443,2021-09-06
Federico Delbonis,47,1407,2021-09-06
Albert Ramos-Vinolas,48,1400,2021-09-06
Benoit Paire,49,1384,2021-09-06
Frances Tiafoe,50,1312,2021-09-06
Laslo Djere,51,1307,2021-09-06
Jan-Lennard Struff,52,1275,2021-09-06
Ilya Ivashka,53,1250,2021-09-06
Tommy Paul,54,1243,2021-09-06
Carlos Alcaraz,55,1209,2021-09-06
Kei Nishikori,56,1208,2021-09-06
Dominik Koepfer,57,1175,2021-09-06
Vasek Pospisil,58,1125,2021-09-06
Jordan Thompson,59,1090,2021-09-06
Lorenzo Musetti,60,1081,2021-09-06
Mackenzie McDonald,61,1070,2021-09-06
Federico Coria,62,1054,2021-09-06
Miomir Kecmanovic,63,1050,2021-09-06
Marcos Giron,64,1037,2021-09-06
Jaume Munar,65,1022,2021-09-06
Emil Ruusuvuori,66,1018,2021-09-06
Aljaz Bedene,67,1012,2021-09-06
James Duckworth,68,1004,2021-09-06
Yoshihito Nishioka,69,1000,2021-09-06
Jeremy Chardy,70,994,2021-09-06
Gianluca Mager,71,990,2021-09-06
Mikael Ymer,72,981,2021-09-06
Alexei Popyrin,73,970,2021-09-06
Pablo Andujar,74,970,2021-09-06
Pedro Martinez,75,950,2021-09-06
Soonwoo Kwon,76,949,2021-09-06
Kevin Anderson,77,948,2021-09-06
Sam Querrey,78,943,2021-09-06
Richard Gasquet,79,918,2021-09-06
Facundo Bagnis,80,913,2021-09-06
