event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,settime_tot_winner,settime_tot_loser,player_id_winner,player_id_loser
2843,2023,Adelaide 1,250,2023-01-01T00:00:00,2023-01-08T00:00:00,Hard,32,642735,$,MS001,F,03:09:00,,F,3,D643,"6-7(8),7-6(7),6-4",N. Djokovic,S. Korda,,,SRB,USA,6-7(8),7-6(7),6-4,,,03:09:00,A,N. Djokovic,S. Korda,SRB,USA,,,313,/en/stats/leaderboard?page=serve,4,7,63,62,99,85,53,62,68,25,37,50,1,2,17,287,/en/stats/leaderboard?page=serve,4,15,59,76,129,78,59,76,51,27,53,71,5,7,17,79,78,99,33,43,129,53,121,228,67,86,129,21,21,99,47,107,228,8,10,7,3,03:09:00,03:09:00,D643,K0AH
2843,2023,Adelaide 1,250,2023-01-01T00:00:00,2023-01-08T00:00:00,Hard,32,642735,$,MS002,SF,01:30:00,,F,2,D643,"6-3,6-4",N. Djokovic,D. Medvedev,,,SRB,RUS,6-3,6-4,,,,01:30:00,A,N. Djokovic,D. Medvedev,SRB,RUS,,,302,/en/stats/leaderboard?page=serve,3,5,57,35,61,89,31,35,54,14,26,100,3,3,10,272,/en/stats/leaderboard?page=serve,2,5,65,31,48,74,23,31,53,9,17,33,1,3,9,74,45,61,33,16,48,56,61,109,67,32,48,26,16,61,44,48,109,,,,,01:30:00,01:30:00,D643,MM58
2843,2023,Adelaide 1,250,2023-01-01T00:00:00,2023-01-08T00:00:00,Hard,32,642735,$,MS003,SF,01:14:00,,F,2,K0AH,"7-6(7),1-0",S. Korda,Y. Nishioka,,,USA,JPN,7-6(7),1-0,,,,01:14:00,A,S. Korda,Y. Nishioka,USA,JPN,,,317,/en/stats/leaderboard?page=serve,0,9,58,23,40,91,21,23,59,10,17,0,0,0,6,275,/en/stats/leaderboard?page=serve,0,0,74,40,54,73,29,40,43,6,14,75,3,4,7,78,31,40,35,19,54,53,50,94,65,35,54,23,9,40,47,44,94,7,5,,,01:14:00,01:14:00,K0AH,N732
2843,2023,Adelaide 1,250,2023-01-01T00:00:00,2023-01-08T00:00:00,Hard,32,642735,$,MS004,QF,01:55:00,,F,2,D643,"6-3,6-4",N. Djokovic,D. Shapovalov,,,SRB,CAN,6-3,6-4,,,,01:55:00,A,N. Djokovic,D. Shapovalov,SRB,CAN,,,279,/en/stats/leaderboard?page=serve,3,4,57,40,70,78,31,40,53,16,30,75,3,4,10,225,/en/stats/leaderboard?page=serve,7,6,53,38,72,66,25,38,41,14,34,63,5,8,9,67,47,70,46,33,72,56,80,142,54,39,72,33,23,70,44,62,142,,,,,01:55:00,01:55:00,D643,SU55
2843,2023,Adelaide 1,250,2023-01-01T00:00:00,2023-01-08T00:00:00,Hard,32,642735,$,MS005,QF,01:18:00,,F,2,MM58,"6-3,6-3",D. Medvedev,K. Khachanov,,,RUS,RUS,6-3,6-3,,,,01:18:00,A,D. Medvedev,K. Khachanov,RUS,RUS,,,281,/en/stats/leaderboard?page=serve,5,6,65,33,51,88,29,33,39,7,18,67,2,3,9,217,/en/stats/leaderboard?page=serve,2,1,70,42,60,60,25,42,33,6,18,43,3,7,9,71,36,51,48,29,60,59,65,111,52,31,60,29,15,51,41,46,111,,,,,01:18:00,01:18:00,MM58,KE29
2843,2023,Adelaide 1,250,2023-01-01T00:00:00,2023-01-08T00:00:00,Hard,32,642735,$,MS006,QF,01:26:00,,F,2,K0AH,"7-5,6-1",S. Korda,J. Sinner,,,USA,ITA,7-5,6-1,,,,01:26:00,A,S. Korda,J. Sinner,USA,ITA,,,288,/en/stats/leaderboard?page=serve,1,5,58,30,52,83,25,30,55,12,22,75,3,4,9,219,/en/stats/leaderboard?page=serve,3,8,64,34,53,68,23,34,32,6,19,44,4,9,10,71,37,52,45,24,53,58,61,105,55,29,53,29,15,52,42,44,105,,,,,01:26:00,01:26:00,K0AH,S0AG
2843,2023,Adelaide 1,250,2023-01-01T00:00:00,2023-01-08T00:00:00,Hard,32,642735,$,MS007,QF,02:46:00,,F,3,N732,"7-6(7),6-7(8),6-2",Y. Nishioka,A. Popyrin,,,JPN,AUS,7-6(7),6-7(8),6-2,,,02:46:00,A,Y. Nishioka,A. Popyrin,JPN,AUS,,,296,/en/stats/leaderboard?page=serve,1,2,71,75,106,76,57,75,61,19,31,50,2,4,16,280,/en/stats/leaderboard?page=serve,4,27,66,68,103,82,56,68,34,12,35,60,6,10,16,72,76,106,34,35,103,53,111,209,66,68,103,28,30,106,47,98,209,7,4,8,10,02:46:00,02:46:00,N732,P09Z
2843,2023,Adelaide 1,250,2023-01-01T00:00:00,2023-01-08T00:00:00,Hard,32,642735,$,MS008,R16,01:56:00,,F,2,D643,"7-6(7),7-6(7)",N. Djokovic,Q. Halys,,,SRB,FRA,7-6(7),7-6(7),,,,01:56:00,A,N. Djokovic,Q. Halys,SRB,FRA,,,305,/en/stats/leaderboard?page=serve,4,10,66,50,76,88,44,50,54,14,26,0,0,1,12,287,/en/stats/leaderboard?page=serve,2,11,59,48,82,81,39,48,47,16,34,80,4,5,12,76,58,76,33,27,82,54,85,158,67,55,82,24,18,76,46,73,158,7,3,7,5,01:56:00,01:56:00,D643,HB64
2843,2023,Adelaide 1,250,2023-01-01T00:00:00,2023-01-08T00:00:00,Hard,32,642735,$,MS009,R16,01:22:00,,F,2,SU55,"6-4,6-3",D. Shapovalov,R. Safiullin,,,CAN,RUS,6-4,6-3,,,,01:22:00,A,D. Shapovalov,R. Safiullin,CAN,RUS,,,302,/en/stats/leaderboard?page=serve,2,7,57,25,44,84,21,25,68,13,19,0,0,1,9,232,/en/stats/leaderboard?page=serve,3,3,64,45,70,64,29,45,44,11,25,64,7,11,10,77,34,44,43,30,70,56,64,114,57,40,70,23,10,44,44,50,114,,,,,01:22:00,01:22:00,SU55,SX50
2843,2023,Adelaide 1,250,2023-01-01T00:00:00,2023-01-08T00:00:00,Hard,32,642735,$,MS010,R16,01:08:00,,F,2,MM58,"6-0,6-3",D. Medvedev,M. Kecmanovic,,,RUS,SRB,6-0,6-3,,,,01:08:00,A,D. Medvedev,M. Kecmanovic,RUS,SRB,,,309,/en/stats/leaderboard?page=serve,3,7,75,38,51,76,29,38,54,7,13,100,1,1,8,213,/en/stats/leaderboard?page=serve,0,0,74,31,42,42,13,31,55,6,11,43,3,7,7,71,36,51,55,23,42,63,59,93,45,19,42,29,15,51,37,34,93,,,,,01:08:00,01:08:00,MM58,KI95
