event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
310,1996,Porto,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Clay,32,400000,$,MS001,F,02:37:00,,F,3,M535,"6-7(5),6-4,6-3",F. Mantilla,H. Gumy,,,ESP,ARG,6-7(5),6-4,6-3,,,02:37:00,5,7,268,/en/stats/leaderboard?page=serve,False,6,60,59,98,66,39,59,56,22,39,57,4,7,15,222,/en/stats/leaderboard?page=serve,4,2,59,62,105,61,38,62,42,18,43,40,4,10,16,62,61,98,47,49,105,54,110,203,53,56,105,38,37,98,46,93,203,A,,,,,,,F. Mantilla,H. Gumy,M535,G247,ESP,ARG,,
310,1996,Porto,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Clay,32,400000,$,MS002,SF,01:08:00,,F,2,M535,"6-0,6-4",F. Mantilla,C. Moya,,,ESP,ESP,6-0,6-4,,,,01:08:00,,,271,/en/stats/leaderboard?page=serve,,3,60,30,50,83,25,30,40,8,20,75,3,4,8,181,/en/stats/leaderboard?page=serve,3,1,71,39,55,56,22,39,19,3,16,38,3,8,8,66,33,50,55,30,55,60,63,105,45,25,55,34,17,50,40,42,105,A,2,,,,,,F. Mantilla,C. Moya,M535,M605,ESP,ESP,,
310,1996,Porto,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Clay,32,400000,$,MS003,SF,01:56:00,,F,2,G247,"7-6(7),6-2",H. Gumy,C. Ruud,,,ARG,NOR,7-6(7),6-2,,,,01:56:00,7,5,270,/en/stats/leaderboard?page=serve,,3,48,36,75,69,25,36,62,24,39,83,5,6,10,254,/en/stats/leaderboard?page=serve,2,3,42,22,53,73,16,22,68,21,31,40,2,5,10,65,49,75,30,16,53,51,65,128,70,37,53,35,26,75,49,63,128,A,2,,,,,,H. Gumy,C. Ruud,G247,R219,ARG,NOR,,
310,1996,Porto,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Clay,32,400000,$,MS004,QF,00:54:00,,F,2,M605,"6-1,6-2",C. Moya,J. Van Herck,,,ESP,BEL,6-1,6-2,,,,00:54:00,,,296,/en/stats/leaderboard?page=serve,False,0,66,29,44,83,24,29,60,9,15,,0,,8,185,/en/stats/leaderboard?page=serve,5,1,52,22,42,55,12,22,40,8,20,0,0,4,7,75,33,44,52,22,42,64,55,86,48,20,42,25,11,44,36,31,86,A,,,,,,,C. Moya,J. Van Herck,M605,V167,ESP,BEL,,
310,1996,Porto,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Clay,32,400000,$,MS005,QF,01:40:00,,F,2,M535,"7-6(11),6-3",F. Mantilla,T. Carbonell,,,ESP,ESP,7-6(11),6-3,,,,01:40:00,11,9,262,/en/stats/leaderboard?page=serve,,2,53,36,68,69,25,36,59,19,32,33,1,3,10,220,/en/stats/leaderboard?page=serve,6,1,47,37,79,70,26,37,45,19,42,60,6,10,11,65,44,68,43,34,79,53,78,147,57,45,79,35,24,68,47,69,147,A,1,,,,,,F. Mantilla,T. Carbonell,M535,C216,ESP,ESP,,
310,1996,Porto,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Clay,32,400000,$,MS006,QF,01:27:00,,F,2,G247,"6-4,6-2",H. Gumy,S. Pescosolido,,,ARG,ITA,6-4,6-2,,,,01:27:00,,,251,/en/stats/leaderboard?page=serve,,4,50,27,54,78,21,27,48,13,27,71,5,7,9,189,/en/stats/leaderboard?page=serve,7,3,51,32,63,66,21,32,32,10,31,17,1,6,9,63,34,54,51,32,63,56,66,117,49,31,63,37,20,54,44,51,117,A,6,,,,,,H. Gumy,S. Pescosolido,G247,P235,ARG,ITA,,
310,1996,Porto,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Clay,32,400000,$,MS007,QF,02:00:00,,F,3,R219,"6-2,2-6,6-4",C. Ruud,R. Fromberg,,,NOR,AUS,6-2,2-6,6-4,,,02:00:00,,,260,/en/stats/leaderboard?page=serve,,1,60,45,75,67,30,45,57,17,30,25,1,4,13,241,/en/stats/leaderboard?page=serve,6,8,58,45,77,78,35,45,34,11,32,56,5,9,13,63,47,75,40,31,77,51,78,152,60,46,77,37,28,75,49,74,152,A,1,,,,,,C. Ruud,R. Fromberg,R219,F164,NOR,AUS,,
310,1996,Porto,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Clay,32,400000,$,MS008,R16,02:21:00,,F,3,M605,"6-1,3-6,7-5",C. Moya,B. Mota,,,ESP,POR,6-1,3-6,7-5,,,02:21:00,,,228,/en/stats/leaderboard?page=serve,,0,69,80,116,59,47,80,44,16,36,54,7,13,14,183,/en/stats/leaderboard?page=serve,3,3,44,46,105,50,23,46,47,28,59,56,10,18,14,54,63,116,51,54,105,53,117,221,49,51,105,46,53,116,47,104,221,A,1,,,,,,C. Moya,B. Mota,M605,M406,ESP,POR,,
310,1996,Porto,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Clay,32,400000,$,MS009,R16,01:20:00,,F,2,V167,"6-4,6-2",J. Van Herck,O. Camporese,,,BEL,ITA,6-4,6-2,,,,01:20:00,,,280,/en/stats/leaderboard?page=serve,,1,53,29,55,72,21,29,69,18,26,,0,,9,233,/en/stats/leaderboard?page=serve,5,9,56,35,62,74,26,35,33,9,27,67,6,9,9,71,39,55,44,27,62,56,66,117,56,35,62,29,16,55,44,51,117,A,3,,,,,,J. Van Herck,O. Camporese,V167,C009,BEL,ITA,,
310,1996,Porto,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Clay,32,400000,$,MS010,R16,01:24:00,,F,2,M535,"6-3,7-5",F. Mantilla,M. Tillstrom,,,ESP,SWE,6-3,7-5,,,,01:24:00,,,260,/en/stats/leaderboard?page=serve,,1,62,33,53,64,21,33,65,13,20,0,0,3,10,200,/en/stats/leaderboard?page=serve,3,1,56,40,72,38,15,40,63,20,32,60,9,15,11,64,34,53,51,37,72,57,71,125,49,35,72,36,19,53,43,54,125,A,2,,,,,,F. Mantilla,M. Tillstrom,M535,T166,ESP,SWE,,
