event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_id_winner,player_id_loser
316,2009,Bastad,250,2009-07-13T00:00:00,2009-07-19T00:00:00,Clay,28,398250,€,MS001,F,01:53:00,,F,2,SA49,"6-3,7-6(7)",R. Soderling,J. Monaco,,,SWE,ARG,6-3,7-6(7),,,,01:53:00,A,R. Soderling,J. Monaco,SWE,ARG,,,7,4,268,/en/stats/leaderboard?page=serve,5,6,64,62,97,76,47,62,37,13,35,83,5,6,11,267,/en/stats/leaderboard?page=serve,3,4,70,50,71,68,34,50,48,10,21,67,4,6,10,62,60,97,38,27,71,52,87,168,62,44,71,38,37,97,48,81,168,,,SA49,MA21
316,2009,Bastad,250,2009-07-13T00:00:00,2009-07-19T00:00:00,Clay,28,398250,€,MS002,SF,01:04:00,,F,2,MA21,"6-0,6-2",J. Monaco,T. Robredo,,,ARG,ESP,6-0,6-2,,,,01:04:00,A,J. Monaco,T. Robredo,ARG,ESP,,,,,279,/en/stats/leaderboard?page=serve,3,1,74,31,42,77,24,31,45,5,11,0,0,1,7,146,/en/stats/leaderboard?page=serve,2,1,59,30,51,50,15,30,24,5,21,45,5,11,7,69,29,42,61,31,51,65,60,93,39,20,51,31,13,42,35,33,93,,,MA21,R419
316,2009,Bastad,250,2009-07-13T00:00:00,2009-07-19T00:00:00,Clay,28,398250,€,MS003,SF,01:23:00,,F,2,SA49,"6-1,7-6(8)",R. Soderling,A. Vinciguerra,,,SWE,SWE,6-1,7-6(8),,,,01:23:00,A,R. Soderling,A. Vinciguerra,SWE,SWE,,,8,6,289,/en/stats/leaderboard?page=serve,1,7,57,36,63,92,33,36,44,12,27,50,1,2,10,240,/en/stats/leaderboard?page=serve,2,6,73,52,71,65,34,52,32,6,19,67,6,9,9,71,45,63,44,31,71,57,76,134,56,40,71,29,18,63,43,58,134,,,SA49,V250
316,2009,Bastad,250,2009-07-13T00:00:00,2009-07-19T00:00:00,Clay,28,398250,€,MS004,QF,00:56:00,,F,2,MA21,"6-1,3-1",J. Monaco,F. Verdasco,,,ARG,ESP,6-1,3-1,,,,00:56:00,A,J. Monaco,F. Verdasco,ARG,ESP,,,,,298,/en/stats/leaderboard?page=serve,2,4,60,18,30,78,14,18,58,7,12,0,0,0,5,185,/en/stats/leaderboard?page=serve,1,0,65,33,51,55,18,33,33,6,18,43,3,7,6,70,21,30,53,27,51,59,48,81,47,24,51,30,9,30,41,33,81,,,MA21,V306
316,2009,Bastad,250,2009-07-13T00:00:00,2009-07-19T00:00:00,Clay,28,398250,€,MS005,QF,01:18:00,,F,2,R419,"6-4,6-0",T. Robredo,T. Gabashvili,,,ESP,RUS,6-4,6-0,,,,01:18:00,A,T. Robredo,T. Gabashvili,ESP,RUS,,,,,298,/en/stats/leaderboard?page=serve,1,4,53,21,40,81,17,21,74,14,19,67,2,3,8,174,/en/stats/leaderboard?page=serve,4,1,65,39,60,56,22,39,19,4,21,58,7,12,8,78,31,40,57,34,60,65,65,100,43,26,60,23,9,40,35,35,100,,,R419,G681
316,2009,Bastad,250,2009-07-13T00:00:00,2009-07-19T00:00:00,Clay,28,398250,€,MS006,QF,01:45:00,,F,3,V250,"2-6,6-4,6-3",A. Vinciguerra,J. Melzer,,,SWE,AUT,2-6,6-4,6-3,,,01:45:00,A,A. Vinciguerra,J. Melzer,SWE,AUT,,,,,299,/en/stats/leaderboard?page=serve,1,5,70,46,66,76,35,46,65,13,20,71,5,7,13,270,/en/stats/leaderboard?page=serve,2,5,66,56,85,64,36,56,59,17,29,50,3,6,14,73,48,66,38,32,85,53,80,151,62,53,85,27,18,66,47,71,151,,,V250,M762
316,2009,Bastad,250,2009-07-13T00:00:00,2009-07-19T00:00:00,Clay,28,398250,€,MS007,QF,01:15:00,,F,2,SA49,"7-5,6-3",R. Soderling,N. Almagro,,,SWE,ESP,7-5,6-3,,,,01:15:00,A,R. Soderling,N. Almagro,SWE,ESP,,,,,293,/en/stats/leaderboard?page=serve,1,7,53,31,59,87,27,31,57,16,28,50,1,2,11,247,/en/stats/leaderboard?page=serve,3,7,71,41,58,61,25,41,41,7,17,25,1,4,10,73,43,59,45,26,58,59,69,117,55,32,58,27,16,59,41,48,117,,,SA49,A479
316,2009,Bastad,250,2009-07-13T00:00:00,2009-07-19T00:00:00,Clay,28,398250,€,MS008,R16,03:09:00,,F,3,V306,"6-7(1),6-2,7-5",F. Verdasco,D. Koellerer,,,ESP,AUT,6-7(1),6-2,7-5,,,03:09:00,A,F. Verdasco,D. Koellerer,ESP,AUT,,,,,262,/en/stats/leaderboard?page=serve,7,6,73,93,128,63,59,93,46,16,35,81,13,16,16,251,/en/stats/leaderboard?page=serve,2,0,78,83,107,55,46,83,58,14,24,50,6,12,16,59,75,128,44,47,107,52,122,235,56,60,107,41,53,128,48,113,235,1,7,V306,K551
316,2009,Bastad,250,2009-07-13T00:00:00,2009-07-19T00:00:00,Clay,28,398250,€,MS009,R16,01:29:00,,F,2,MA21,"6-0,7-6(7)",J. Monaco,V. Crivoi,,,ARG,ROU,6-0,7-6(7),,,,01:29:00,A,J. Monaco,V. Crivoi,ARG,ROU,,,7,1,311,/en/stats/leaderboard?page=serve,2,1,66,38,58,76,29,38,70,14,20,100,2,2,9,226,/en/stats/leaderboard?page=serve,4,6,56,45,80,71,32,45,31,11,35,79,11,14,9,74,43,58,46,37,80,58,80,138,54,43,80,26,15,58,42,58,138,,,MA21,C856
316,2009,Bastad,250,2009-07-13T00:00:00,2009-07-19T00:00:00,Clay,28,398250,€,MS010,R16,01:13:00,,F,2,R419,"6-2,6-3",T. Robredo,P. Luczak,,,ESP,AUS,6-2,6-3,,,,01:13:00,A,T. Robredo,P. Luczak,ESP,AUS,,,,,319,/en/stats/leaderboard?page=serve,1,10,57,28,49,96,27,28,57,12,21,100,3,3,9,218,/en/stats/leaderboard?page=serve,1,1,63,34,54,68,23,34,25,5,20,50,3,6,8,80,39,49,48,26,54,63,65,103,52,28,54,20,10,49,37,38,103,,,R419,L515
