event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS001,F,01:48:00,,F,3,F510,"6-3,3-6,6-1",F. Fognini,R. Gasquet,,,ITA,FRA,6-3,3-6,6-1,,,01:48:00,275,/en/stats/leaderboard?page=serve,4,5,72,60,83,65,39,60,61,14,23,63,5,8,13,236,/en/stats/leaderboard?page=serve,1,3,57,39,69,62,24,39,57,17,30,55,6,11,12,64,53,83,41,28,69,53,81,152,59,41,69,36,30,83,47,71,152,A,,,F. Fognini,R. Gasquet,F510,G628,ITA,FRA,,
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS002,SF,01:12:00,,F,2,G628,"6-2,6-3",R. Gasquet,H. Laaksonen,,,FRA,SUI,6-2,6-3,,,,01:12:00,273,/en/stats/leaderboard?page=serve,5,5,68,40,59,80,32,40,37,7,19,67,2,3,9,203,/en/stats/leaderboard?page=serve,4,3,65,35,54,57,20,35,32,6,19,56,5,9,8,66,39,59,52,28,54,59,67,113,48,26,54,34,20,59,41,46,113,A,,,R. Gasquet,H. Laaksonen,G628,L949,FRA,SUI,,
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS003,SF,02:17:00,,F,3,F510,"6-1,4-6,7-5",F. Fognini,F. Verdasco,,,ITA,ESP,6-1,4-6,7-5,,,02:17:00,229,/en/stats/leaderboard?page=serve,7,6,66,67,102,66,44,67,34,12,35,58,7,12,14,202,/en/stats/leaderboard?page=serve,5,5,75,77,102,57,44,77,24,6,25,50,8,16,15,55,56,102,51,52,102,53,108,204,49,50,102,45,46,102,47,96,204,A,,,F. Fognini,F. Verdasco,F510,V306,ITA,ESP,,
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS004,QF,01:54:00,,F,3,L949,"3-6,6-2,6-4",H. Laaksonen,S. Bolelli,,,SUI,ITA,3-6,6-2,6-4,,,01:54:00,276,/en/stats/leaderboard?page=serve,2,3,78,61,78,57,35,61,71,12,17,50,4,8,13,222,/en/stats/leaderboard?page=serve,3,0,71,59,83,59,35,59,38,9,24,40,4,10,14,60,47,78,47,39,83,53,86,161,53,44,83,40,31,78,47,75,161,A,,,H. Laaksonen,S. Bolelli,L949,BA98,SUI,ITA,,
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS005,QF,01:36:00,,F,2,G628,"7-6(7),6-2",R. Gasquet,C. Ruud,,,FRA,NOR,7-6(7),6-2,,,,01:36:00,291,/en/stats/leaderboard?page=serve,2,6,56,35,63,77,27,35,64,18,28,80,4,5,10,247,/en/stats/leaderboard?page=serve,2,4,58,38,66,71,27,38,46,13,28,57,4,7,10,71,45,63,39,26,66,55,71,129,61,40,66,29,18,63,45,58,129,A,7,4,R. Gasquet,C. Ruud,G628,RH16,FRA,NOR,,
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS006,QF,01:21:00,,F,2,F510,"6-4,6-3",F. Fognini,F. Delbonis,,,ITA,ARG,6-4,6-3,,,,01:21:00,252,/en/stats/leaderboard?page=serve,4,1,66,47,71,62,29,47,50,12,24,71,5,7,9,206,/en/stats/leaderboard?page=serve,3,0,56,35,63,60,21,35,43,12,28,29,2,7,10,58,41,71,48,30,63,53,71,134,52,33,63,42,30,71,47,63,134,A,,,F. Fognini,F. Delbonis,F510,D874,ITA,ARG,,
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS007,QF,01:25:00,,F,2,V306,"6-4,6-2",F. Verdasco,P. Carreno Busta,,,ESP,ESP,6-4,6-2,,,,01:25:00,294,/en/stats/leaderboard?page=serve,1,4,69,44,64,77,34,44,45,9,20,100,6,6,9,229,/en/stats/leaderboard?page=serve,1,0,50,28,56,68,19,28,46,13,28,25,1,4,9,67,43,64,43,24,56,56,67,120,57,32,56,33,21,64,44,53,120,A,,,F. Verdasco,P. Carreno Busta,V306,CD85,ESP,ESP,,
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS008,R16,01:55:00,,F,2,BA98,"7-6(10),6-3",S. Bolelli,D. Schwartzman,,,ITA,ARG,7-6(10),6-3,,,,01:55:00,262,/en/stats/leaderboard?page=serve,0,1,74,60,81,67,40,60,48,10,21,63,5,8,11,224,/en/stats/leaderboard?page=serve,1,1,56,44,78,52,23,44,56,19,34,43,3,7,10,62,50,81,46,36,78,54,86,159,54,42,78,38,31,81,46,73,159,A,10,8,S. Bolelli,D. Schwartzman,BA98,SM37,ITA,ARG,,
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS009,R16,00:59:00,,F,2,L949,"6-2,6-2",H. Laaksonen,M. Berrettini,,,SUI,ITA,6-2,6-2,,,,00:59:00,330,/en/stats/leaderboard?page=serve,0,3,77,37,48,68,25,37,82,9,11,100,6,6,8,210,/en/stats/leaderboard?page=serve,1,4,58,28,48,54,15,28,45,9,20,20,1,5,8,71,34,48,50,24,48,60,58,96,50,24,48,29,14,48,40,38,96,A,,,H. Laaksonen,M. Berrettini,L949,BK40,SUI,ITA,,
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS010,R16,01:53:00,,F,3,G628,"1-6,6-3,6-1",R. Gasquet,G. Melzer,,,FRA,AUT,1-6,6-3,6-1,,,01:53:00,239,/en/stats/leaderboard?page=serve,0,9,63,60,95,67,40,60,34,12,35,76,13,17,12,217,/en/stats/leaderboard?page=serve,3,1,51,32,63,56,18,32,58,18,31,50,5,10,11,55,52,95,43,27,63,50,79,158,57,36,63,45,43,95,50,79,158,A,,,R. Gasquet,G. Melzer,G628,MI43,FRA,AUT,,
