event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
317,1997,Amsterdam,GP,1997-07-28T00:00:00,1997-08-03T00:00:00,Clay,32,475000,$,MS001,F,03:23:00,,F,4,D198,"7-6(7),7-6(7),6-7(4),6-2",S. Dosedel,C. Moya,,,CZE,ESP,7-6(7),7-6(7),6-7(4),6-2,,03:23:00,7,4,7,5,4,7,264,/en/stats/leaderboard?page=serve,False,3,61,97,160,64,62,97,59,37,63,38,3,8,22,246,/en/stats/leaderboard?page=serve,1,0,72,123,170,60,74,123,47,22,47,61,11,18,22,62,99,160,44,74,170,52,173,330,56,96,170,38,61,160,48,157,330,A,,,S. Dosedel,C. Moya,D198,M605,CZE,ESP,,
317,1997,Amsterdam,GP,1997-07-28T00:00:00,1997-08-03T00:00:00,Clay,32,475000,$,MS002,SF,01:13:00,,F,2,M605,"6-4,6-3",C. Moya,M. Norman,,,ESP,SWE,6-4,6-3,,,,01:13:00,,,,,,,277,/en/stats/leaderboard?page=serve,False,2,60,39,65,69,27,39,58,15,26,89,8,9,9,224,/en/stats/leaderboard?page=serve,3,4,46,25,54,72,18,25,45,13,29,33,2,6,10,65,42,65,43,23,54,55,65,119,57,31,54,35,23,65,45,54,119,A,,,C. Moya,M. Norman,M605,N250,ESP,SWE,,
317,1997,Amsterdam,GP,1997-07-28T00:00:00,1997-08-03T00:00:00,Clay,32,475000,$,MS003,SF,01:31:00,,F,2,D198,"7-6(7),6-2",S. Dosedel,M. Filippini,,,CZE,URU,7-6(7),6-2,,,,01:31:00,7,5,,,,,254,/en/stats/leaderboard?page=serve,,2,57,39,68,72,28,39,45,13,29,50,2,4,10,229,/en/stats/leaderboard?page=serve,4,2,73,53,73,58,31,53,40,8,20,60,6,10,10,60,41,68,47,34,73,53,75,141,53,39,73,40,27,68,47,66,141,A,2,,S. Dosedel,M. Filippini,D198,F165,CZE,URU,,
317,1997,Amsterdam,GP,1997-07-28T00:00:00,1997-08-03T00:00:00,Clay,32,475000,$,MS005,QF,01:36:00,,F,2,N250,"6-3,7-6(8)",M. Norman,C. Ruud,,,SWE,NOR,6-3,7-6(8),,,,01:36:00,,,8,6,,,285,/en/stats/leaderboard?page=serve,,10,54,41,76,83,34,41,51,18,35,50,1,2,11,258,/en/stats/leaderboard?page=serve,4,3,48,28,58,68,19,28,63,19,30,50,2,4,10,68,52,76,34,20,58,54,72,134,66,38,58,32,24,76,46,62,134,A,3,,M. Norman,C. Ruud,N250,R219,SWE,NOR,,
317,1997,Amsterdam,GP,1997-07-28T00:00:00,1997-08-03T00:00:00,Clay,32,475000,$,MS006,QF,01:24:00,,F,2,F165,"7-5(7),6-1",M. Filippini,J. Sanchez,,,URU,ESP,7-5(7),6-1,,,,01:24:00,7,5,,,,,286,/en/stats/leaderboard?page=serve,,2,62,38,61,79,30,38,57,13,23,67,2,3,9,262,/en/stats/leaderboard?page=serve,,1,74,45,61,58,26,45,69,11,16,33,2,6,10,70,43,61,39,24,61,55,67,122,61,37,61,30,18,61,45,55,122,A,2,False,M. Filippini,J. Sanchez,F165,S015,URU,ESP,,
317,1997,Amsterdam,GP,1997-07-28T00:00:00,1997-08-03T00:00:00,Clay,32,475000,$,MS007,QF,02:09:00,,F,3,D198,"6-4,4-6,6-2",S. Dosedel,J. van Lottum,,,CZE,NED,6-4,4-6,6-2,,,02:09:00,,,,,,,260,/en/stats/leaderboard?page=serve,,4,52,55,105,62,34,55,60,30,50,75,6,8,14,235,/en/stats/leaderboard?page=serve,4,5,41,35,86,77,27,35,45,23,51,33,2,6,14,61,64,105,42,36,86,52,100,191,58,50,86,39,41,105,48,91,191,A,3,,S. Dosedel,J. van Lottum,D198,V201,CZE,NED,,
317,1997,Amsterdam,GP,1997-07-28T00:00:00,1997-08-03T00:00:00,Clay,32,475000,$,MS008,R16,01:18:00,,F,2,M605,"6-4,6-3",C. Moya,F. Vicente,,,ESP,ESP,6-4,6-3,,,,01:18:00,,,,,,,219,/en/stats/leaderboard?page=serve,,0,59,38,64,63,24,38,38,10,26,50,4,8,10,206,/en/stats/leaderboard?page=serve,,1,71,51,72,39,20,51,62,13,21,60,9,15,9,53,34,64,54,39,72,54,73,136,46,33,72,47,30,64,46,63,136,A,1,False,C. Moya,F. Vicente,M605,V195,ESP,ESP,,
317,1997,Amsterdam,GP,1997-07-28T00:00:00,1997-08-03T00:00:00,Clay,32,475000,$,MS009,R16,01:52:00,,F,3,C252,"6-1,2-6,6-4",F. Clavet,E. Benfele Alvarez,,,ESP,ESP,6-1,2-6,6-4,,,01:52:00,,,,,,,283,/en/stats/leaderboard?page=serve,False,0,70,47,67,70,33,47,60,12,20,67,4,6,12,242,/en/stats/leaderboard?page=serve,2,6,66,61,93,62,38,61,41,13,32,60,6,10,13,67,45,67,45,42,93,54,87,160,55,51,93,33,22,67,46,73,160,A,,,F. Clavet,E. Benfele Alvarez,C252,A190,ESP,ESP,,
317,1997,Amsterdam,GP,1997-07-28T00:00:00,1997-08-03T00:00:00,Clay,32,475000,$,MS010,R16,01:25:00,,F,2,N250,"6-4,6-4",M. Norman,M. Gustafsson,,,SWE,SWE,6-4,6-4,,,,01:25:00,,,,,,,257,/en/stats/leaderboard?page=serve,,4,48,31,64,81,25,31,45,15,33,71,5,7,10,221,/en/stats/leaderboard?page=serve,6,0,62,41,66,61,25,41,44,11,25,60,6,10,10,63,40,64,45,30,66,54,70,130,55,36,66,38,24,64,46,60,130,A,1,,M. Norman,M. Gustafsson,N250,G182,SWE,SWE,,
317,1997,Amsterdam,GP,1997-07-28T00:00:00,1997-08-03T00:00:00,Clay,32,475000,$,MS011,R16,01:42:00,,F,2,R219,"7-5,6-4",C. Ruud,H. Dreekmann,,,NOR,GER,7-5,6-4,,,,01:42:00,,,,,,,255,/en/stats/leaderboard?page=serve,,3,56,49,88,71,35,49,46,18,39,88,14,16,11,231,/en/stats/leaderboard?page=serve,3,6,48,29,61,79,23,29,38,12,32,50,4,8,11,60,53,88,43,26,61,53,79,149,57,35,61,40,35,88,47,70,149,A,2,,C. Ruud,H. Dreekmann,R219,D249,NOR,GER,,
