event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
352,1998,ATP Masters 1000 Paris,1000,1998-11-02T00:00:00,1998-11-08T00:00:00,Carpet,48,2300000,$,MS001,F,01:45:00,,F,3,R237,"6-4,7-6(7),6-3",G. Rusedski,P. Sampras,,,GBR,USA,6-4,7-6(7),6-3,,,01:45:00,7,4,318,/en/stats/leaderboard?page=serve,2,18,59,54,92,87,47,54,63,24,38,80,4,5,16,280,/en/stats/leaderboard?page=serve,6,16,61,53,87,79,42,53,50,17,34,40,2,5,15,77,71,92,32,28,87,55,99,179,68,59,87,23,21,92,45,80,179,A,,,,,,,G. Rusedski,P. Sampras,R237,S402,GBR,USA,,
352,1998,ATP Masters 1000 Paris,1000,1998-11-02T00:00:00,1998-11-08T00:00:00,Carpet,48,2300000,$,MS002,SF,01:31:00,,F,2,S402,"6-4,7-6(7)",P. Sampras,T. Martin,,,USA,USA,6-4,7-6(7),,,,01:31:00,7,5,306,/en/stats/leaderboard?page=serve,2,11,59,40,68,73,29,40,75,21,28,,0,,11,285,/en/stats/leaderboard?page=serve,2,13,66,55,83,75,41,55,43,12,28,86,6,7,11,74,50,68,36,30,83,53,80,151,64,53,83,26,18,68,47,71,151,A,,,,,,,P. Sampras,T. Martin,S402,M442,USA,USA,,
352,1998,ATP Masters 1000 Paris,1000,1998-11-02T00:00:00,1998-11-08T00:00:00,Carpet,48,2300000,$,MS003,SF,01:38:00,,F,3,R237,"6-3,4-6,6-4",G. Rusedski,Y. Kafelnikov,,,GBR,RUS,6-3,4-6,6-4,,,01:38:00,,,278,/en/stats/leaderboard?page=serve,9,11,56,48,86,81,39,48,53,20,38,33,1,3,15,268,/en/stats/leaderboard?page=serve,2,6,58,46,79,70,32,46,58,19,33,25,1,4,14,69,59,86,35,28,79,53,87,165,65,51,79,31,27,86,47,78,165,A,,,,,,,G. Rusedski,Y. Kafelnikov,R237,K267,GBR,RUS,,
352,1998,ATP Masters 1000 Paris,1000,1998-11-02T00:00:00,1998-11-08T00:00:00,Carpet,48,2300000,$,MS004,QF,01:02:00,,F,2,S402,"6-3,6-3",P. Sampras,M. Philippoussis,,,USA,AUS,6-3,6-3,,,,01:02:00,,,280,/en/stats/leaderboard?page=serve,4,8,57,31,54,90,28,31,52,12,23,,0,,9,235,/en/stats/leaderboard?page=serve,1,8,60,33,55,79,26,33,23,5,22,25,1,4,9,74,40,54,44,24,55,59,64,109,56,31,55,26,14,54,41,45,109,A,,,,,,,P. Sampras,M. Philippoussis,S402,P338,USA,AUS,,
352,1998,ATP Masters 1000 Paris,1000,1998-11-02T00:00:00,1998-11-08T00:00:00,Carpet,48,2300000,$,MS005,QF,02:04:00,,F,3,M442,"4-6,6-4,6-4",T. Martin,A. Agassi,,,USA,USA,4-6,6-4,6-4,,,02:04:00,,,267,/en/stats/leaderboard?page=serve,7,17,56,54,97,81,44,54,40,17,43,73,8,11,15,245,/en/stats/leaderboard?page=serve,6,5,57,61,107,70,43,61,46,21,46,69,9,13,15,63,61,97,40,43,107,51,104,204,60,64,107,37,36,97,49,100,204,A,,,,,,,T. Martin,A. Agassi,M442,A092,USA,USA,,
352,1998,ATP Masters 1000 Paris,1000,1998-11-02T00:00:00,1998-11-08T00:00:00,Carpet,48,2300000,$,MS006,QF,00:53:00,,F,2,R237,"6-3,6-2",G. Rusedski,M. Gustafsson,,,GBR,SWE,6-3,6-2,,,,00:53:00,,,292,/en/stats/leaderboard?page=serve,1,15,56,28,50,86,24,28,59,13,22,,0,,9,241,/en/stats/leaderboard?page=serve,4,1,70,32,46,69,22,32,43,6,14,25,1,4,8,74,37,50,39,18,46,57,55,96,61,28,46,26,13,50,43,41,96,A,,,,,,,G. Rusedski,M. Gustafsson,R237,G182,GBR,SWE,,
352,1998,ATP Masters 1000 Paris,1000,1998-11-02T00:00:00,1998-11-08T00:00:00,Carpet,48,2300000,$,MS007,QF,01:00:00,,F,2,K267,"6-3,6-2",Y. Kafelnikov,M. Rios,,,RUS,CHI,6-3,6-2,,,,01:00:00,,,277,/en/stats/leaderboard?page=serve,4,7,55,30,55,83,25,30,48,12,25,50,1,2,9,208,/en/stats/leaderboard?page=serve,2,7,66,40,61,63,25,40,24,5,21,50,4,8,8,67,37,55,51,31,61,59,68,116,49,30,61,33,18,55,41,48,116,A,,,,,,,Y. Kafelnikov,M. Rios,K267,R286,RUS,CHI,,
352,1998,ATP Masters 1000 Paris,1000,1998-11-02T00:00:00,1998-11-08T00:00:00,Carpet,48,2300000,$,MS008,R16,02:02:00,,F,3,S402,"6-7(4),6-4,6-4",P. Sampras,J. Golmard,,,USA,FRA,6-7(4),6-4,6-4,,,02:02:00,,,305,/en/stats/leaderboard?page=serve,3,17,56,53,94,79,42,53,63,26,41,83,5,6,16,270,/en/stats/leaderboard?page=serve,3,4,62,68,109,75,51,68,51,21,41,67,6,9,16,72,68,94,34,37,109,52,105,203,66,72,109,28,26,94,48,98,203,A,4,7,,,,,P. Sampras,J. Golmard,S402,G319,USA,FRA,,
352,1998,ATP Masters 1000 Paris,1000,1998-11-02T00:00:00,1998-11-08T00:00:00,Carpet,48,2300000,$,MS009,R16,02:00:00,,F,3,P338,"6-4,4-6,7-5",M. Philippoussis,K. Kucera,,,AUS,SVK,6-4,4-6,7-5,,,02:00:00,,,260,/en/stats/leaderboard?page=serve,3,10,53,48,90,75,36,48,50,21,42,33,2,6,16,236,/en/stats/leaderboard?page=serve,7,8,49,55,113,75,41,55,43,25,58,64,9,14,16,63,57,90,42,47,113,51,104,203,58,66,113,37,33,90,49,99,203,A,,,,,,,M. Philippoussis,K. Kucera,P338,K237,AUS,SVK,,
352,1998,ATP Masters 1000 Paris,1000,1998-11-02T00:00:00,1998-11-08T00:00:00,Carpet,48,2300000,$,MS010,R16,02:42:00,,F,3,M442,"5-7,7-6(7),7-6(8)",T. Martin,P. Rafter,,,USA,AUS,5-7,7-6(7),7-6(8),,,02:42:00,7,5,260,/en/stats/leaderboard?page=serve,8,14,59,68,116,78,53,68,40,19,48,56,5,9,18,266,/en/stats/leaderboard?page=serve,5,8,61,79,130,72,57,79,47,24,51,67,6,9,18,62,72,116,38,49,130,49,121,246,62,81,130,38,44,116,51,125,246,A,,,8,6,,,T. Martin,P. Rafter,M442,R255,USA,AUS,,
