event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
379,1998,Prague,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,340000,$,MS001,F,01:20:00,,F,2,M443,"6-1,6-4",F. Meligeni,S. Dosedel,,,BRA,CZE,6-1,6-4,,,,01:20:00,252,/en/stats/leaderboard?page=serve,2,0,64,37,58,70,26,37,43,9,21,75,6,8.0,9,182,/en/stats/leaderboard?page=serve,3,1,58,34,59,53,18,34,36,9,25,50,5,10,8,60,35,58,54,32,59,57,67,117,46,27,59,40,23,58,43,50,117,A,,,,,,,,,F. Meligeni,S. Dosedel,M443,D198,BRA,CZE,,
379,1998,Prague,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,340000,$,MS002,SF,02:02:00,,F,3,D198,"3-6,6-3,6-2",S. Dosedel,N. Lapentti,,,CZE,ECU,3-6,6-3,6-2,,,02:02:00,259,/en/stats/leaderboard?page=serve,1,2,61,59,97,58,34,59,63,24,38,70,7,10.0,13,224,/en/stats/leaderboard?page=serve,6,2,62,50,81,50,25,50,55,17,31,58,7,12,13,60,58,97,48,39,81,54,97,178,52,42,81,40,39,97,46,81,178,A,,,,,,,,,S. Dosedel,N. Lapentti,D198,L290,CZE,ECU,,
379,1998,Prague,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,340000,$,MS003,SF,01:47:00,,F,2,M443,"7-6(7),7-6(7)",F. Meligeni,D. Pescariu,,,BRA,ROU,7-6(7),7-6(7),,,,01:47:00,244,/en/stats/leaderboard?page=serve,2,2,49,40,82,68,27,40,52,22,42,25,1,4.0,12,266,/en/stats/leaderboard?page=serve,2,0,77,60,78,60,36,60,56,10,18,50,3,6,12,60,49,82,41,32,78,51,81,160,59,46,78,40,33,82,49,79,160,A,7,5,7,2,,,,,F. Meligeni,D. Pescariu,M443,P254,BRA,ROU,,
379,1998,Prague,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,340000,$,MS004,QF,01:18:00,,F,2,D198,"6-1,6-4",S. Dosedel,J. Diaz,,,CZE,ESP,6-1,6-4,,,,01:18:00,256,/en/stats/leaderboard?page=serve,1,0,60,32,53,72,23,32,48,10,21,60,3,5.0,9,199,/en/stats/leaderboard?page=serve,,0,66,35,53,46,16,35,50,9,18,29,2,7,8,62,33,53,53,28,53,58,61,106,47,25,53,38,20,53,42,45,106,A,,,,,False,,,,S. Dosedel,J. Diaz,D198,D291,CZE,ESP,,
379,1998,Prague,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,340000,$,MS005,QF,01:31:00,,F,2,L290,"6-0,7-5",N. Lapentti,F. Vicente,,,ECU,ESP,6-0,7-5,,,,01:31:00,239,/en/stats/leaderboard?page=serve,7,0,62,43,69,65,28,43,42,11,26,50,2,4.0,9,177,/en/stats/leaderboard?page=serve,2,0,61,34,56,44,15,34,41,9,22,33,3,9,9,57,39,69,57,32,56,57,71,125,43,24,56,43,30,69,43,54,125,A,,,,,,,,,N. Lapentti,F. Vicente,L290,V195,ECU,ESP,,
379,1998,Prague,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,340000,$,MS006,QF,01:53:00,,F,3,P254,"6-7(4),6-3,6-3",D. Pescariu,J. Sanchez,,,ROU,ESP,6-7(4),6-3,6-3,,,01:53:00,257,/en/stats/leaderboard?page=serve,1,0,77,75,98,69,52,75,39,9,23,43,3,7.0,15,229,/en/stats/leaderboard?page=serve,6,6,67,56,84,66,37,56,43,12,28,30,3,10,15,62,61,98,42,35,84,53,96,182,58,49,84,38,37,98,47,86,182,A,4,7,,,,,,,D. Pescariu,J. Sanchez,P254,S015,ROU,ESP,,
379,1998,Prague,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,340000,$,MS007,QF,01:05:00,,F,2,M443,"6-3,6-1",F. Meligeni,A. Chesnokov,,,BRA,RUS,6-3,6-1,,,,01:05:00,267,/en/stats/leaderboard?page=serve,4,3,49,26,53,73,19,26,59,16,27,75,3,4.0,8,164,/en/stats/leaderboard?page=serve,6,1,58,28,48,54,15,28,20,4,20,38,3,8,8,66,35,53,60,29,48,63,64,101,40,19,48,34,18,53,37,37,101,A,,,,,,,,,F. Meligeni,A. Chesnokov,M443,C031,BRA,RUS,,
379,1998,Prague,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,340000,$,MS008,R16,01:05:00,,F,2,D198,"6-3,6-2",S. Dosedel,P. Korda,,,CZE,CZE,6-3,6-2,,,,01:05:00,296,/en/stats/leaderboard?page=serve,,1,75,30,40,83,25,30,50,5,10,67,2,3.0,8,183,/en/stats/leaderboard?page=serve,11,3,48,32,67,56,18,32,43,15,35,55,6,11,9,75,30,40,51,34,67,60,64,107,49,33,67,25,10,40,40,43,107,A,,,,,,False,,,S. Dosedel,P. Korda,D198,K148,CZE,CZE,,
379,1998,Prague,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,340000,$,MS009,R16,02:33:00,,F,3,D291,"4-6,6-1,6-4",J. Diaz,G. Schaller,,,ESP,AUT,4-6,6-1,6-4,,,02:33:00,237,/en/stats/leaderboard?page=serve,1,0,67,66,99,47,31,66,67,22,33,50,6,12.0,14,212,/en/stats/leaderboard?page=serve,,0,88,94,107,48,45,94,38,5,13,58,11,19,13,54,53,99,53,57,107,53,110,206,47,50,107,46,46,99,47,96,206,A,,,,,False,,,,J. Diaz,G. Schaller,D291,S315,ESP,AUT,,
379,1998,Prague,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,340000,$,MS010,R16,02:02:00,,F,3,V195,"3-6,6-1,6-4",F. Vicente,R. Furlan,,,ESP,ITA,3-6,6-1,6-4,,,02:02:00,266,/en/stats/leaderboard?page=serve,2,1,54,43,80,67,29,43,62,23,37,75,6,8.0,13,234,/en/stats/leaderboard?page=serve,6,2,59,51,87,63,32,51,47,17,36,56,5,9,13,65,52,80,44,38,87,54,90,167,56,49,87,35,28,80,46,77,167,A,,,,,,,,,F. Vicente,R. Furlan,V195,F192,ESP,ITA,,
