event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
404,1998,ATP Masters 1000 Indian Wells,1000,1998-03-09T00:00:00,1998-03-15T00:00:00,Hard,56,2200000,$,MS001,F,02:46:00,,F,4,R286,"6-3,6-7(15),7-6(7),6-4",M. Rios,G. Rusedski,,,CHI,GBR,6-3,6-7(15),7-6(7),6-4,,02:46:00,15,17,7,4,331,/en/stats/leaderboard?page=serve,False,7,76,103,136,83,85,103,79,26,33,0,22,284,/en/stats/leaderboard?page=serve,12,21,49,75,154,88,66,75,48,38,79,60,3,5,21,82,111,136,32,50,154,56,161,290,68,104,154,18,25,136,44,129,290,A,,,,,,,M. Rios,G. Rusedski,R286,R237,CHI,GBR,,
404,1998,ATP Masters 1000 Indian Wells,1000,1998-03-09T00:00:00,1998-03-15T00:00:00,Hard,56,2200000,$,MS002,SF,00:59:00,,F,2,R237,"7-6(7),6-1",G. Rusedski,T. Muster,,,GBR,AUT,7-6(7),6-1,,,,00:59:00,,,,,332,/en/stats/leaderboard?page=serve,,12,73,36,49,92,33,36,69,9,13,0,9,250,/en/stats/leaderboard?page=serve,1,1,54,32,59,56,18,32,70,19,27,50,3,6,10,86,42,49,37,22,59,59,64,108,63,37,59,14,7,49,41,44,108,A,7,5,2,,,,G. Rusedski,T. Muster,R237,M099,GBR,AUT,,
404,1998,ATP Masters 1000 Indian Wells,1000,1998-03-09T00:00:00,1998-03-15T00:00:00,Hard,56,2200000,$,MS003,SF,01:23:00,,F,2,R286,"7-6(7),6-3",M. Rios,J. Gambill,,,CHI,USA,7-6(7),6-3,,,,01:23:00,,,,,288,/en/stats/leaderboard?page=serve,False,6,55,38,69,79,30,38,58,18,31,2,11,259,/en/stats/leaderboard?page=serve,1,5,53,33,62,67,22,33,55,16,29,33,1,3,10,70,48,69,39,24,62,55,72,131,61,38,62,30,21,69,45,59,131,A,7,3,,67,3,,M. Rios,J. Gambill,R286,G352,CHI,USA,,
404,1998,ATP Masters 1000 Indian Wells,1000,1998-03-09T00:00:00,1998-03-15T00:00:00,Hard,56,2200000,$,MS004,QF,01:53:00,,F,3,M099,"5-7,6-3,6-4",T. Muster,A. Medvedev,,,AUT,UKR,5-7,6-3,6-4,,,01:53:00,,,,,270,/en/stats/leaderboard?page=serve,,2,63,65,104,75,49,65,46,18,39,5,16,275,/en/stats/leaderboard?page=serve,6,17,57,51,89,82,42,51,45,17,38,63,5,8,15,64,67,104,34,30,89,50,97,193,66,59,89,36,37,104,50,96,193,A,,,3,71,7,,T. Muster,A. Medvedev,M099,M475,AUT,UKR,,
404,1998,ATP Masters 1000 Indian Wells,1000,1998-03-09T00:00:00,1998-03-15T00:00:00,Hard,56,2200000,$,MS005,QF,01:45:00,,F,3,R237,"2-6,7-6(7),6-4",G. Rusedski,T. Enqvist,,,GBR,SWE,2-6,7-6(7),6-4,,,01:45:00,7,1,,,294,/en/stats/leaderboard?page=serve,,21,46,36,79,94,34,36,56,24,43,2,15,269,/en/stats/leaderboard?page=serve,2,10,54,52,97,77,40,52,44,20,45,0,0,2,15,73,58,79,38,37,97,54,95,176,62,60,97,27,21,79,46,81,176,A,,,3,40,5,,G. Rusedski,T. Enqvist,R237,E113,GBR,SWE,,
404,1998,ATP Masters 1000 Indian Wells,1000,1998-03-09T00:00:00,1998-03-15T00:00:00,Hard,56,2200000,$,MS006,QF,01:58:00,,F,3,G352,"7-6(8),3-6,6-3",J. Gambill,A. Agassi,,,USA,USA,7-6(8),3-6,6-3,,,01:58:00,,,,,277,/en/stats/leaderboard?page=serve,,18,56,65,116,65,42,65,61,31,51,10,15,271,/en/stats/leaderboard?page=serve,4,7,59,52,88,79,41,52,50,18,36,0,0,3,15,63,73,116,33,29,88,50,102,204,67,59,88,37,43,116,50,102,204,A,8,6,3,77,13,,J. Gambill,A. Agassi,G352,A092,USA,USA,,
404,1998,ATP Masters 1000 Indian Wells,1000,1998-03-09T00:00:00,1998-03-15T00:00:00,Hard,56,2200000,$,MS007,QF,01:07:00,,F,2,R286,"6-4,6-2",M. Rios,P. Korda,,,CHI,CZE,6-4,6-2,,,,01:07:00,,,,,301,/en/stats/leaderboard?page=serve,False,2,70,37,53,78,29,37,63,10,16,4,9,212,/en/stats/leaderboard?page=serve,3,4,48,29,60,69,20,29,39,12,31,43,3,7,9,74,39,53,47,28,60,59,67,113,53,32,60,26,14,53,41,46,113,A,,,,80,5,,M. Rios,P. Korda,R286,K148,CHI,CZE,,
404,1998,ATP Masters 1000 Indian Wells,1000,1998-03-09T00:00:00,1998-03-15T00:00:00,Hard,56,2200000,$,MS008,R16,01:11:00,,F,2,M099,"7-5,6-3",T. Muster,P. Sampras,,,AUT,USA,7-5,6-3,,,,01:11:00,,,,,282,/en/stats/leaderboard?page=serve,False,8,63,40,63,78,31,40,43,10,23,4,10,241,/en/stats/leaderboard?page=serve,5,11,58,36,62,83,30,36,31,8,26,56,5,9,11,65,41,63,39,24,62,52,65,125,61,38,62,35,22,63,48,60,125,A,,,,80,5,,T. Muster,P. Sampras,M099,S402,AUT,USA,,
404,1998,ATP Masters 1000 Indian Wells,1000,1998-03-09T00:00:00,1998-03-15T00:00:00,Hard,56,2200000,$,MS009,R16,00:55:00,,F,2,M475,"6-1,6-4",A. Medvedev,N. Lapentti,,,UKR,ECU,6-1,6-4,,,,00:55:00,,,,,279,/en/stats/leaderboard?page=serve,,1,40,19,47,84,16,19,68,19,28,1,9,200,/en/stats/leaderboard?page=serve,3,2,64,32,50,59,19,32,28,5,18,0,0,4,8,74,35,47,52,26,50,63,61,97,48,24,50,26,12,47,37,36,97,A,,,2,50,2,,A. Medvedev,N. Lapentti,M475,L290,UKR,ECU,,
404,1998,ATP Masters 1000 Indian Wells,1000,1998-03-09T00:00:00,1998-03-15T00:00:00,Hard,56,2200000,$,MS010,R16,01:07:00,,F,2,E113,"6-2,7-6(7)",T. Enqvist,B. Ulihrach,,,SWE,CZE,6-2,7-6(7),,,,01:07:00,7,2,,,320,/en/stats/leaderboard?page=serve,False,13,57,33,58,88,29,33,72,18,25,0,10,268,/en/stats/leaderboard?page=serve,4,3,62,40,65,63,25,40,64,16,25,50,2,4,10,81,47,58,37,24,65,58,71,123,63,41,65,19,11,58,42,52,123,A,,,,,,,T. Enqvist,B. Ulihrach,E113,U032,SWE,CZE,,
