event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
407,1998,Rotterdam,WS,1998-03-02T00:00:00,1998-03-08T00:00:00,Carpet,32,725000,$,MS001,F,01:27:00,,F,2,S381,"7-6(7),6-2",J. Siemerink,T. Johansson,,,NED,SWE,7-6(7),6-2,,,,01:27:00,7,2,304,/en/stats/leaderboard?page=serve,1,12,61,43,70,72,31,43,70,19,27,89,8,9,10,249,/en/stats/leaderboard?page=serve,False,8,53,32,60,72,23,32,46,13,28,50,3,6,10,71,50,70,40,24,60,57,74,130,60,36,60,29,20,70,43,56,130,A,,,,,,,J. Siemerink,T. Johansson,S381,J129,NED,SWE,,
407,1998,Rotterdam,WS,1998-03-02T00:00:00,1998-03-08T00:00:00,Carpet,32,725000,$,MS002,SF,01:43:00,,F,3,S381,"6-4,4-6,6-4",J. Siemerink,R. Krajicek,,,NED,NED,6-4,4-6,6-4,,,01:43:00,,,313,/en/stats/leaderboard?page=serve,2,14,64,49,76,88,43,49,56,15,27,75,3,4,15,275,/en/stats/leaderboard?page=serve,,9,50,42,84,88,37,42,48,20,42,33,1,3,15,76,58,76,32,27,84,53,85,160,68,57,84,24,18,76,47,75,160,A,6,,,,,,J. Siemerink,R. Krajicek,S381,K214,NED,NED,,
407,1998,Rotterdam,WS,1998-03-02T00:00:00,1998-03-08T00:00:00,Carpet,32,725000,$,MS003,SF,01:30:00,,F,2,J129,"6-3,7-5",T. Johansson,B. Steven,,,SWE,NZL,6-3,7-5,,,,01:30:00,,,256,/en/stats/leaderboard?page=serve,4,7,45,25,55,88,22,25,40,12,30,33,1,3,10,217,/en/stats/leaderboard?page=serve,,3,67,52,78,54,28,52,42,11,26,44,4,9,11,62,34,55,50,39,78,55,73,133,50,39,78,38,21,55,45,60,133,A,3,,,,,,T. Johansson,B. Steven,J129,S321,SWE,NZL,,
407,1998,Rotterdam,WS,1998-03-02T00:00:00,1998-03-08T00:00:00,Carpet,32,725000,$,MS004,QF,01:23:00,,F,2,S381,"6-4,6-4",J. Siemerink,P. Rafter,,,NED,AUS,6-4,6-4,,,,01:23:00,,,291,/en/stats/leaderboard?page=serve,1,2,61,38,62,76,29,38,63,15,24,,0,,10,267,/en/stats/leaderboard?page=serve,,9,64,46,72,72,33,46,46,12,26,78,7,9,10,71,44,62,38,27,72,53,71,134,63,45,72,29,18,62,47,63,134,A,4,,,,,,J. Siemerink,P. Rafter,S381,R255,NED,AUS,,
407,1998,Rotterdam,WS,1998-03-02T00:00:00,1998-03-08T00:00:00,Carpet,32,725000,$,MS005,QF,01:47:00,,F,3,K214,"3-6,7-6(7),7-6(7)",R. Krajicek,G. Rusedski,,,NED,GBR,3-6,7-6(7),7-6(7),,,01:47:00,,,317,/en/stats/leaderboard?page=serve,7,24,64,61,95,87,53,61,56,19,34,67,2,3,16,212,/en/stats/leaderboard?page=serve,,6,68,70,103,77,54,70,64,21,33,0,0,,17,76,72,95,27,28,103,51,100,198,73,75,103,24,23,95,49,98,198,A,3,7,2,7,3,,R. Krajicek,G. Rusedski,K214,R237,NED,GBR,,
407,1998,Rotterdam,WS,1998-03-02T00:00:00,1998-03-08T00:00:00,Carpet,32,725000,$,MS006,QF,01:10:00,,F,2,J129,"7-6(10),6-2",T. Johansson,J. Van Herck,,,SWE,BEL,7-6(10),6-2,,,,01:10:00,10,8,282,/en/stats/leaderboard?page=serve,1,11,45,29,65,79,23,29,58,21,36,50,1,2,10,234,/en/stats/leaderboard?page=serve,,7,43,30,69,83,25,30,36,14,39,67,6,9,10,68,44,65,43,30,69,55,74,134,57,39,69,32,21,65,45,60,134,A,5,,,,,,T. Johansson,J. Van Herck,J129,V167,SWE,BEL,,
407,1998,Rotterdam,WS,1998-03-02T00:00:00,1998-03-08T00:00:00,Carpet,32,725000,$,MS007,QF,02:35:00,,F,3,S321,"4-6,7-6(7),7-5",B. Steven,T. Carbonell,,,NZL,ESP,4-6,7-6(7),7-5,,,02:35:00,,,255,/en/stats/leaderboard?page=serve,3,6,61,67,109,64,43,67,57,24,42,55,6,11,17,246,/en/stats/leaderboard?page=serve,,10,62,86,139,62,53,86,49,26,53,69,11,16,17,61,67,109,43,60,139,51,127,248,57,79,139,39,42,109,49,121,248,A,7,7,5,,,,B. Steven,T. Carbonell,S321,C216,NZL,ESP,,
407,1998,Rotterdam,WS,1998-03-02T00:00:00,1998-03-08T00:00:00,Carpet,32,725000,$,MS008,R16,01:09:00,,F,2,R255,"6-3,6-4",P. Rafter,D. Scala,,,AUS,ITA,6-3,6-4,,,,01:09:00,,,218,/en/stats/leaderboard?page=serve,3,13,57,31,54,94,29,31,57,13,23,0,0,,10,243,/en/stats/leaderboard?page=serve,,2,47,27,57,70,19,27,50,15,30,60,3,5,9,78,42,54,40,23,57,59,65,111,60,34,57,22,12,54,41,46,111,A,3,,,,,,P. Rafter,D. Scala,R255,S465,AUS,ITA,,
407,1998,Rotterdam,WS,1998-03-02T00:00:00,1998-03-08T00:00:00,Carpet,32,725000,$,MS009,R16,01:52:00,,F,3,S381,"6-7(5),6-2,6-2",J. Siemerink,G. Raoux,,,NED,FRA,6-7(5),6-2,6-2,,,01:52:00,5,7,296,/en/stats/leaderboard?page=serve,3,10,64,56,88,86,48,56,47,15,32,0,0,1,14,235,/en/stats/leaderboard?page=serve,,1,52,46,89,67,31,46,56,24,43,44,4,9,14,72,63,88,38,34,89,55,97,177,62,55,89,28,25,88,45,80,177,A,5,,,,,,J. Siemerink,G. Raoux,S381,R186,NED,FRA,,
407,1998,Rotterdam,WS,1998-03-02T00:00:00,1998-03-08T00:00:00,Carpet,32,725000,$,MS010,R16,00:45:00,,F,2,R237,"6-3,6-2",G. Rusedski,R. Reneberg,,,GBR,USA,6-3,6-2,,,,00:45:00,,,314,/en/stats/leaderboard?page=serve,2,19,68,34,50,91,31,34,50,8,16,,0,,9,238,/en/stats/leaderboard?page=serve,,2,65,28,43,57,16,28,53,8,15,40,2,5,8,78,39,50,44,19,43,62,58,93,56,24,43,22,11,50,38,35,93,A,1,,,,,,G. Rusedski,R. Reneberg,R237,R016,GBR,USA,,
