event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,settime_tot_winner,settime_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_id_winner,player_id_loser
407,2015,Rotterdam,500,2015-02-09T00:00:00,2015-02-15T00:00:00,Hard,32,1478850,€,MS001,F,01:58:00,,F,3,W367,"4-6,6-3,6-4",S. Wawrinka,T. Berdych,,,SUI,CZE,4-6,6-3,6-4,,,01:58:00,A,S. Wawrinka,T. Berdych,SUI,CZE,,,279,/en/stats/leaderboard?page=serve,1,3,64,53,83,77,41,53,50,15,30,50,2,4,15,259,/en/stats/leaderboard?page=serve,1,9,51,46,90,70,32,46,52,23,44,50,3,6,14,67,56,83,39,35,90,53,91,173,61,55,90,33,27,83,47,82,173,01:58:00,01:58:00,,,,,W367,BA47
407,2015,Rotterdam,500,2015-02-09T00:00:00,2015-02-15T00:00:00,Hard,32,1478850,€,MS002,SF,00:58:00,,F,2,BA47,"6-2,6-1",T. Berdych,G. Simon,,,CZE,FRA,6-2,6-1,,,,00:58:00,A,T. Berdych,G. Simon,CZE,FRA,,,340,/en/stats/leaderboard?page=serve,0,3,64,23,36,96,22,23,77,10,13,0,0,0,8,180,/en/stats/leaderboard?page=serve,0,1,49,21,43,52,11,21,36,8,22,20,1,5,7,89,32,36,56,24,43,71,56,79,44,19,43,11,4,36,29,23,79,00:58:00,00:58:00,,,,,BA47,SD32
407,2015,Rotterdam,500,2015-02-09T00:00:00,2015-02-15T00:00:00,Hard,32,1478850,€,MS003,SF,01:38:00,,F,2,W367,"7-6(7),7-6(9)",S. Wawrinka,M. Raonic,,,SUI,CAN,7-6(7),7-6(9),,,,01:38:00,A,S. Wawrinka,M. Raonic,SUI,CAN,,,314,/en/stats/leaderboard?page=serve,3,10,66,57,86,82,47,57,59,17,29,100,6,6,12,330,/en/stats/leaderboard?page=serve,0,15,70,51,73,86,44,51,59,13,22,100,1,1,12,74,64,86,22,16,73,50,80,159,78,57,73,26,22,86,50,79,159,01:38:00,01:38:00,7,3,9,7,W367,R975
407,2015,Rotterdam,500,2015-02-09T00:00:00,2015-02-15T00:00:00,Hard,32,1478850,€,MS004,QF,01:26:00,,F,2,SD32,"6-4,6-2",G. Simon,A. Murray,,,FRA,GBR,6-4,6-2,,,,01:26:00,A,G. Simon,A. Murray,FRA,GBR,,,257,/en/stats/leaderboard?page=serve,1,3,57,33,58,61,20,33,60,15,25,67,4,6,9,184,/en/stats/leaderboard?page=serve,0,1,50,26,52,62,16,26,27,7,26,17,1,6,9,60,35,58,56,29,52,58,64,110,44,23,52,40,23,58,42,46,110,01:26:00,01:26:00,,,,,SD32,MC10
407,2015,Rotterdam,500,2015-02-09T00:00:00,2015-02-15T00:00:00,Hard,32,1478850,€,MS005,QF,01:12:00,,F,2,BA47,"6-1,6-4",T. Berdych,G. Monfils,,,CZE,FRA,6-1,6-4,,,,01:12:00,A,T. Berdych,G. Monfils,CZE,FRA,,,305,/en/stats/leaderboard?page=serve,0,7,62,34,55,88,30,34,48,10,21,0,0,0,9,233,/en/stats/leaderboard?page=serve,2,7,64,36,56,67,24,36,35,7,20,67,6,9,8,73,40,55,45,25,56,59,65,111,55,31,56,27,15,55,41,46,111,01:12:00,01:12:00,,,,,BA47,MC65
407,2015,Rotterdam,500,2015-02-09T00:00:00,2015-02-15T00:00:00,Hard,32,1478850,€,MS006,QF,01:17:00,,F,2,W367,"7-6(7),6-3",S. Wawrinka,G. Muller,,,SUI,LUX,7-6(7),6-3,,,,01:17:00,A,S. Wawrinka,G. Muller,SUI,LUX,,,321,/en/stats/leaderboard?page=serve,1,9,62,37,60,78,29,37,83,19,23,67,2,3,11,271,/en/stats/leaderboard?page=serve,2,9,68,43,63,81,35,43,35,7,20,60,3,5,10,80,48,60,33,21,63,56,69,123,67,42,63,20,12,60,44,54,123,01:17:00,01:17:00,7,3,,,W367,MA30
407,2015,Rotterdam,500,2015-02-09T00:00:00,2015-02-15T00:00:00,Hard,32,1478850,€,MS007,QF,01:33:00,,F,3,R975,"2-6,6-3,6-4",M. Raonic,S. Stakhovsky,,,CAN,UKR,2-6,6-3,6-4,,,01:33:00,A,M. Raonic,S. Stakhovsky,CAN,UKR,,,297,/en/stats/leaderboard?page=serve,1,6,69,51,74,73,37,51,65,15,23,60,3,5,14,276,/en/stats/leaderboard?page=serve,1,2,64,53,83,77,41,53,50,15,30,60,3,5,13,70,52,74,33,27,83,50,79,157,67,56,83,30,22,74,50,78,157,01:33:00,01:33:00,,,,,R975,SC77
407,2015,Rotterdam,500,2015-02-09T00:00:00,2015-02-15T00:00:00,Hard,32,1478850,€,MS008,R16,01:44:00,,F,2,MC10,"6-3,7-5",A. Murray,V. Pospisil,,,GBR,CAN,6-3,7-5,,,,01:44:00,A,A. Murray,V. Pospisil,GBR,CAN,,,265,/en/stats/leaderboard?page=serve,4,2,64,42,66,64,27,42,58,14,24,71,5,7,11,231,/en/stats/leaderboard?page=serve,0,6,64,44,69,73,32,44,28,7,25,43,3,7,10,62,41,66,43,30,69,53,71,135,57,39,69,38,25,66,47,64,135,01:44:00,01:44:00,,,,,MC10,PD07
407,2015,Rotterdam,500,2015-02-09T00:00:00,2015-02-15T00:00:00,Hard,32,1478850,€,MS009,R16,01:08:00,,F,2,SD32,"6-4,6-3",G. Simon,J. Chardy,,,FRA,FRA,6-4,6-3,,,,01:08:00,A,G. Simon,J. Chardy,FRA,FRA,,,311,/en/stats/leaderboard?page=serve,2,1,62,29,47,83,24,29,67,12,18,0,0,0,9,240,/en/stats/leaderboard?page=serve,6,3,59,34,58,76,26,34,38,9,24,57,4,7,10,77,36,47,40,23,58,56,59,105,60,35,58,23,11,47,44,46,105,01:08:00,01:08:00,,,,,SD32,CA12
407,2015,Rotterdam,500,2015-02-09T00:00:00,2015-02-15T00:00:00,Hard,32,1478850,€,MS010,R16,01:28:00,,F,3,BA47,"6-0,3-6,6-3",T. Berdych,A. Seppi,,,CZE,ITA,6-0,3-6,6-3,,,01:28:00,A,T. Berdych,A. Seppi,CZE,ITA,,,306,/en/stats/leaderboard?page=serve,2,10,67,41,61,85,35,41,55,11,20,0,0,1,12,237,/en/stats/leaderboard?page=serve,1,4,57,43,76,72,31,43,39,13,33,43,3,7,12,75,46,61,42,32,76,57,78,137,58,44,76,25,15,61,43,59,137,01:28:00,01:28:00,,,,,BA47,SA93
