event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS001,F,01:20:00,,F,2,R214,"6-4,6-4",M. Rosset,Y. Kafelnikov,,,SUI,RUS,6-4,6-4,,,,01:20:00,285,/en/stats/leaderboard?page=serve,4,9,58,38,66,82,31,38,50,14,28,80,4,5,10,236,/en/stats/leaderboard?page=serve,6,6,53,36,68,72,26,36,41,13,32,63,5,8,10,68,45,66,43,29,68,55,74,134,57,39,68,32,21,66,45,60,134,A,,,,,,,M. Rosset,Y. Kafelnikov,R214,K267,SUI,RUS,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS002,SF,01:14:00,,F,2,K267,"6-3,7-6(7)",Y. Kafelnikov,G. Rusedski,,,RUS,GBR,6-3,7-6(7),,,,01:14:00,309,/en/stats/leaderboard?page=serve,4,4,52,32,61,88,28,32,69,20,29,0,0,0,11,280,/en/stats/leaderboard?page=serve,3,9,56,38,68,71,27,38,57,17,30,80,4,5,10,79,48,61,35,24,68,56,72,129,65,44,68,21,13,61,44,57,129,A,7,4,,,,,Y. Kafelnikov,G. Rusedski,K267,R237,RUS,GBR,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS003,SF,01:42:00,,F,3,R214,"7-5,1-6,6-3",M. Rosset,T. Enqvist,,,SUI,SWE,7-5,1-6,6-3,,,01:42:00,279,/en/stats/leaderboard?page=serve,6,14,61,51,84,86,44,51,39,13,33,82,9,11,14,265,/en/stats/leaderboard?page=serve,8,7,48,41,85,78,32,41,55,24,44,75,6,8,14,68,57,84,34,29,85,51,86,169,66,56,85,32,27,84,49,83,169,A,,,,,,,M. Rosset,T. Enqvist,R214,E113,SUI,SWE,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS004,QF,01:01:00,,F,2,K267,"6-3,6-2",Y. Kafelnikov,F. Santoro,,,RUS,FRA,6-3,6-2,,,,01:01:00,301,/en/stats/leaderboard?page=serve,0,2,57,31,54,90,28,31,52,12,23,100,3,3,9,223,/en/stats/leaderboard?page=serve,2,5,43,19,44,63,12,19,52,13,25,0,0,3,8,74,40,54,43,19,44,60,59,98,57,25,44,26,14,54,40,39,98,A,,,,,,,Y. Kafelnikov,F. Santoro,K267,S424,RUS,FRA,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS005,QF,01:30:00,,F,2,R237,"6-4,7-5",G. Rusedski,M. Zabaleta,,,GBR,ARG,6-4,7-5,,,,01:30:00,274,/en/stats/leaderboard?page=serve,8,4,50,34,68,82,28,34,56,19,34,80,4,5,11,248,/en/stats/leaderboard?page=serve,3,7,51,36,71,81,29,36,40,14,35,50,3,6,11,69,47,68,39,28,71,54,75,139,61,43,71,31,21,68,46,64,139,A,,,,,,,G. Rusedski,M. Zabaleta,R237,Z073,GBR,ARG,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS006,QF,02:37:00,,F,3,E113,"7-6(7),4-6,7-6(8)",T. Enqvist,C. Pioline,,,SWE,FRA,7-6(7),4-6,7-6(8),,,02:37:00,289,/en/stats/leaderboard?page=serve,7,20,48,50,104,90,45,50,56,30,54,57,4,7,17,267,/en/stats/leaderboard?page=serve,15,21,48,75,155,85,64,75,40,32,80,88,15,17,17,72,75,104,38,59,155,52,134,259,62,96,155,28,29,104,48,125,259,A,,,7,3,8,6,T. Enqvist,C. Pioline,E113,P226,SWE,FRA,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS007,QF,01:52:00,,F,3,R214,"3-6,6-4,6-4",M. Rosset,R. Federer,,,SUI,SUI,3-6,6-4,6-4,,,01:52:00,283,/en/stats/leaderboard?page=serve,7,6,55,43,78,88,38,43,49,17,35,75,3,4,14,265,/en/stats/leaderboard?page=serve,3,4,56,63,113,76,48,63,46,23,50,82,9,11,15,71,55,78,37,42,113,51,97,191,63,71,113,29,23,78,49,94,191,A,,,,,,,M. Rosset,R. Federer,R214,F324,SUI,SUI,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS008,R16,01:22:00,,F,2,K267,"6-2,7-5",Y. Kafelnikov,D. Vacek,,,RUS,CZE,6-2,7-5,,,,01:22:00,273,/en/stats/leaderboard?page=serve,4,7,61,48,79,71,34,48,48,15,31,86,6,7,10,214,/en/stats/leaderboard?page=serve,3,5,36,21,58,67,14,21,49,18,37,20,1,5,10,62,49,79,45,26,58,55,75,137,55,32,58,38,30,79,45,62,137,A,,,,,,,Y. Kafelnikov,D. Vacek,K267,V141,RUS,CZE,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS009,R16,01:06:00,,F,2,S424,"6-4,6-2",F. Santoro,H. Arazi,,,FRA,MAR,6-4,6-2,,,,01:06:00,263,/en/stats/leaderboard?page=serve,3,3,39,22,57,82,18,22,54,19,35,80,4,5,9,203,/en/stats/leaderboard?page=serve,4,5,49,25,51,56,14,25,42,11,26,20,1,5,9,65,37,57,51,26,51,58,63,108,49,25,51,35,20,57,42,45,108,A,,,,,,,F. Santoro,H. Arazi,S424,A226,FRA,MAR,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS010,R16,01:25:00,,F,2,Z073,"6-4,6-1",M. Zabaleta,C. Saulnier,,,ARG,FRA,6-4,6-1,,,,01:25:00,289,/en/stats/leaderboard?page=serve,2,7,48,31,64,81,25,31,55,18,33,100,5,5,8,201,/en/stats/leaderboard?page=serve,5,3,45,31,69,61,19,31,42,16,38,71,10,14,9,67,43,64,49,34,69,58,77,133,51,35,69,33,21,64,42,56,133,A,,,,,,,M. Zabaleta,C. Saulnier,Z073,S681,ARG,FRA,,
