event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_id_winner,player_id_loser
419,2009,Indianapolis,250,2009-07-19T00:00:00,2009-07-26T00:00:00,Hard,32,450000,$,MS001,F,01:03:00,,F,2,G569,"6-2,6-4",R. Ginepri,S. Querrey,,,USA,USA,6-2,6-4,,,,01:03:00,A,R. Ginepri,S. Querrey,USA,USA,,,310,/en/stats/leaderboard?page=serve,2,4,65,33,51,82,27,33,61,11,18,100,1,1,9,227,/en/stats/leaderboard?page=serve,9,2,38,20,53,85,17,20,45,15,33,25,1,4,9,75,38,51,40,21,53,57,59,104,60,32,53,25,13,51,43,45,104,,,,,G569,Q927
419,2009,Indianapolis,250,2009-07-19T00:00:00,2009-07-26T00:00:00,Hard,32,450000,$,MS003,SF,01:26:00,,F,2,G569,"6-4,6-3",R. Ginepri,J. Isner,,,USA,USA,6-4,6-3,,,,01:26:00,A,R. Ginepri,J. Isner,USA,USA,,,299,/en/stats/leaderboard?page=serve,2,2,61,42,69,71,30,42,67,18,27,100,5,5,10,264,/en/stats/leaderboard?page=serve,3,11,68,46,68,70,32,46,41,9,22,78,7,9,9,70,48,69,40,27,68,55,75,137,60,41,68,30,21,69,45,62,137,,,,,G569,I186
419,2009,Indianapolis,250,2009-07-19T00:00:00,2009-07-26T00:00:00,Hard,32,450000,$,MS004,QF,02:03:00,,F,3,D499,"3-6,7-6(7),6-2",F. Dancevic,D. Tursunov,,,CAN,RUS,3-6,7-6(7),6-2,,,02:03:00,A,F. Dancevic,D. Tursunov,CAN,RUS,,,292,/en/stats/leaderboard?page=serve,4,18,56,49,88,78,38,49,59,23,39,0,0,2,14,266,/en/stats/leaderboard?page=serve,2,6,44,41,93,80,33,41,58,30,52,63,5,8,15,69,61,88,32,30,93,50,91,181,68,63,93,31,27,88,50,90,181,7.0,5.0,,,D499,T315
419,2009,Indianapolis,250,2009-07-19T00:00:00,2009-07-26T00:00:00,Hard,32,450000,$,MS005,QF,01:32:00,,F,2,Q927,"6-4,7-5",S. Querrey,M. Gicquel,,,USA,FRA,6-4,7-5,,,,01:32:00,A,S. Querrey,M. Gicquel,USA,FRA,,,305,/en/stats/leaderboard?page=serve,4,19,57,43,76,88,38,43,45,15,33,100,2,2,11,254,/en/stats/leaderboard?page=serve,4,6,49,38,77,76,29,38,46,18,39,75,6,8,11,70,53,76,39,30,77,54,83,153,61,47,77,30,23,76,46,70,153,,,,,Q927,G436
419,2009,Indianapolis,250,2009-07-19T00:00:00,2009-07-26T00:00:00,Hard,32,450000,$,MS006,QF,02:38:00,,F,3,I186,"7-5,6-7(2),7-5",J. Isner,W. Odesnik,,,USA,USA,7-5,6-7(2),7-5,,,02:38:00,A,J. Isner,W. Odesnik,USA,USA,,,322,/en/stats/leaderboard?page=serve,7,27,62,63,102,86,54,63,54,21,39,100,5,5,18,289,/en/stats/leaderboard?page=serve,6,9,59,63,106,81,51,63,58,25,43,60,3,5,18,74,75,102,28,30,106,50,105,208,72,76,106,26,27,102,50,103,208,2.0,7.0,,,I186,O234
419,2009,Indianapolis,250,2009-07-19T00:00:00,2009-07-26T00:00:00,Hard,32,450000,$,MS007,QF,01:16:00,,F,2,G569,"7-5,6-1",R. Ginepri,A. Bogomolov Jr.,,,USA,RUS,7-5,6-1,,,,01:16:00,A,R. Ginepri,A. Bogomolov Jr.,USA,RUS,,,289,/en/stats/leaderboard?page=serve,1,5,64,38,59,74,28,38,57,12,21,50,1,2,10,217,/en/stats/leaderboard?page=serve,2,1,61,35,57,57,20,35,45,10,22,20,1,5,9,68,40,59,47,27,57,58,67,116,53,30,57,32,19,59,42,49,116,,,,,G569,B842
419,2009,Indianapolis,250,2009-07-19T00:00:00,2009-07-26T00:00:00,Hard,32,450000,$,MS008,R16,01:09:00,,F,2,T315,"6-3,6-3",D. Tursunov,M. Daniel,,,RUS,BRA,6-3,6-3,,,,01:09:00,A,D. Tursunov,M. Daniel,RUS,BRA,,,297,/en/stats/leaderboard?page=serve,1,9,63,30,48,77,23,30,61,11,18,50,1,2,9,216,/en/stats/leaderboard?page=serve,4,7,52,33,64,58,19,33,48,15,31,33,2,6,9,71,34,48,47,30,64,57,64,112,53,34,64,29,14,48,43,48,112,,,,,T315,D339
419,2009,Indianapolis,250,2009-07-19T00:00:00,2009-07-26T00:00:00,Hard,32,450000,$,MS009,R16,00:58:00,,F,2,D499,"6-2,7-5",F. Dancevic,B. Becker,,,CAN,GER,6-2,7-5,,,,00:58:00,A,F. Dancevic,B. Becker,CAN,GER,,,327,/en/stats/leaderboard?page=serve,0,9,56,28,50,89,25,28,73,16,22,0,0,0,10,262,/en/stats/leaderboard?page=serve,1,7,50,25,50,72,18,25,64,16,25,0,0,3,10,82,41,50,32,16,50,57,57,100,68,34,50,18,9,50,43,43,100,,,,,D499,B896
419,2009,Indianapolis,250,2009-07-19T00:00:00,2009-07-26T00:00:00,Hard,32,450000,$,MS010,R16,01:09:00,,F,2,Q927,"7-5,6-3",S. Querrey,R. Ram,,,USA,USA,7-5,6-3,,,,01:09:00,A,S. Querrey,R. Ram,USA,USA,,,313,/en/stats/leaderboard?page=serve,4,13,61,36,59,86,31,36,57,13,23,0,0,0,11,257,/en/stats/leaderboard?page=serve,5,7,50,36,72,75,27,36,50,18,36,75,6,8,10,75,44,59,38,27,72,54,71,131,63,45,72,25,15,59,46,60,131,,,,,Q927,R548
419,2009,Indianapolis,250,2009-07-19T00:00:00,2009-07-26T00:00:00,Hard,32,450000,$,MS011,R16,01:05:00,,F,2,G436,"6-2,6-2",M. Gicquel,J. Levine,,,FRA,CAN,6-2,6-2,,,,01:05:00,A,M. Gicquel,J. Levine,FRA,CAN,,,266,/en/stats/leaderboard?page=serve,3,8,56,34,61,74,25,34,44,12,27,80,4,5,8,172,/en/stats/leaderboard?page=serve,8,2,56,27,48,56,15,27,29,6,21,29,2,7,8,61,37,61,56,27,48,59,64,109,44,21,48,39,24,61,41,45,109,,,,,G436,L799
