event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,settime_tot_winner,settime_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_id_winner,player_id_loser
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS001,F,02:47:00,,F,3,S0S1,"6-7(5),6-4,7-6(7)",B. Shelton,K. Khachanov,,,USA,RUS,6-7(5),6-4,7-6(7),,,02:47:00,A,B. Shelton,K. Khachanov,USA,RUS,,,307,/en/stats/leaderboard?page=serve,6,16,64,69,108,80,55,69,59,23,39,83,5,6,17,294,/en/stats/leaderboard?page=serve,2,3,63,64,101,72,46,64,70,26,37,67,4,6,17,72,78,108,29,29,101,51,107,209,71,72,101,28,30,108,49,102,209,5,7,7,3,02:47:00,02:47:00,,,S0S1,KE29
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS002,SF,02:53:00,,F,3,KE29,"6-3,4-6,7-6(7)",K. Khachanov,A. Zverev,,,RUS,GER,6-3,4-6,7-6(7),,,02:53:00,A,K. Khachanov,A. Zverev,RUS,GER,,,280,/en/stats/leaderboard?page=serve,3,5,60,63,105,73,46,63,52,22,42,50,1,2,16,285,/en/stats/leaderboard?page=serve,7,13,71,72,102,72,52,72,43,13,30,67,2,3,15,65,68,105,36,37,102,51,105,207,64,65,102,35,37,105,49,102,207,,,7,4,02:53:00,02:53:00,,,KE29,Z355
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS003,SF,01:19:00,,F,2,S0S1,"6-4,6-3",B. Shelton,T. Fritz,,,USA,USA,6-4,6-3,,,,01:19:00,A,B. Shelton,T. Fritz,USA,USA,,,309,/en/stats/leaderboard?page=serve,0,7,57,29,51,86,25,29,59,13,22,100,2,2,9,240,/en/stats/leaderboard?page=serve,3,4,62,38,61,68,26,38,39,9,23,70,7,10,10,75,38,51,43,26,61,57,64,112,57,35,61,25,13,51,43,48,112,,,,,01:19:00,01:19:00,,,S0S1,FB98
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS004,QF,02:43:00,,F,3,Z355,"6-7(8),6-4,6-3",A. Zverev,A. Popyrin,,,GER,AUS,6-7(8),6-4,6-3,,,02:43:00,A,A. Zverev,A. Popyrin,GER,AUS,,,298,/en/stats/leaderboard?page=serve,7,12,68,68,100,82,56,68,50,16,32,67,2,3,16,267,/en/stats/leaderboard?page=serve,5,11,61,63,103,75,47,63,45,18,40,50,3,6,15,72,72,100,37,38,103,54,110,203,63,65,103,28,28,100,46,93,203,8,10,,,02:43:00,02:43:00,,,Z355,P09Z
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS005,QF,01:44:00,,F,2,KE29,"6-4,7-6(7)",K. Khachanov,A. Michelsen,,,RUS,USA,6-4,7-6(7),,,,01:44:00,A,K. Khachanov,A. Michelsen,RUS,USA,,,290,/en/stats/leaderboard?page=serve,5,6,64,47,73,85,40,47,50,13,26,86,6,7,11,265,/en/stats/leaderboard?page=serve,3,5,63,55,88,67,37,55,52,17,33,82,9,11,11,73,53,73,39,34,88,54,87,161,61,54,88,27,20,73,46,74,161,,,,,01:44:00,01:44:00,7,3,KE29,M0QI
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS006,QF,01:32:00,,F,2,S0S1,"6-3,6-4",B. Shelton,A. de Minaur,,,USA,AUS,6-3,6-4,,,,01:32:00,A,B. Shelton,A. de Minaur,USA,AUS,,,292,/en/stats/leaderboard?page=serve,1,11,62,37,60,78,29,37,52,12,23,50,1,2,10,232,/en/stats/leaderboard?page=serve,2,1,53,35,66,66,23,35,48,15,31,40,2,5,9,68,41,60,42,28,66,55,69,126,58,38,66,32,19,60,45,57,126,,,,,01:32:00,01:32:00,,,S0S1,DH58
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS007,QF,01:21:00,,F,2,FB98,"6-3,7-6(7)",T. Fritz,A. Rublev,,,USA,RUS,6-3,7-6(7),,,,01:21:00,A,T. Fritz,A. Rublev,USA,RUS,,,316,/en/stats/leaderboard?page=serve,3,20,66,48,73,79,38,48,64,16,25,75,3,4,11,274,/en/stats/leaderboard?page=serve,1,6,54,31,57,77,24,31,58,15,26,0,0,2,10,74,54,73,32,18,57,55,72,130,68,39,57,26,19,73,45,58,130,,,,,01:21:00,01:21:00,7,4,FB98,RE44
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS008,R16,00:51:00,,F,2,Z355,"6-4,1-0",A. Zverev,F. Cerundolo,,,GER,ARG,6-4,1-0,,,,00:51:00,A,A. Zverev,F. Cerundolo,GER,ARG,,,268,/en/stats/leaderboard?page=serve,1,3,72,21,29,76,16,21,38,3,8,50,1,2,5,216,/en/stats/leaderboard?page=serve,3,1,83,29,35,52,15,29,33,2,6,25,1,4,6,66,19,29,51,18,35,58,37,64,49,17,35,34,10,29,42,27,64,,,,,00:51:00,00:51:00,,,Z355,C0AU
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS009,R16,02:04:00,,F,3,P09Z,"4-6,6-2,6-3",A. Popyrin,H. Rune,,,AUS,DEN,4-6,6-2,6-3,,,02:04:00,A,A. Popyrin,H. Rune,AUS,DEN,,,303,/en/stats/leaderboard?page=serve,4,14,58,45,77,87,39,45,56,18,32,75,3,4,14,258,/en/stats/leaderboard?page=serve,5,7,65,63,97,65,41,63,50,17,34,79,11,14,13,74,57,77,40,39,97,55,96,174,60,58,97,26,20,77,45,78,174,,,,,02:04:00,02:04:00,,,P09Z,R0DG
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS010,R16,01:20:00,,F,2,M0QI,"6-3,6-3",A. Michelsen,L. Tien,,,USA,USA,6-3,6-3,,,,01:20:00,A,A. Michelsen,L. Tien,USA,USA,,,271,/en/stats/leaderboard?page=serve,2,3,55,36,65,72,26,36,55,16,29,75,3,4,9,207,/en/stats/leaderboard?page=serve,8,2,53,35,66,60,21,35,45,14,31,60,6,10,9,65,42,65,47,31,66,56,73,131,53,35,66,35,23,65,44,58,131,,,,,01:20:00,01:20:00,,,M0QI,T0HA
