event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS001,F,02:22:00,,F,3,R255,"1-6,7-6(7),6-4",P. Rafter,P. Sampras,,,AUS,USA,1-6,7-6(7),6-4,,,02:22:00,7,2,287,/en/stats/leaderboard?page=serve,4,9,69,69,100,67,46,69,61,19,31,67,4,6,14,293,/en/stats/leaderboard?page=serve,4,20,55,59,107,75,44,59,54,26,48,86,6,7,15,65,65,100,35,37,107,49,102,207,65,70,107,35,35,100,51,105,207,A,,,,,,,P. Rafter,P. Sampras,R255,S402,AUS,USA,,
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS002,SF,01:38:00,,F,3,S402,"7-5,2-6,6-1",P. Sampras,M. Larsson,,,USA,SWE,7-5,2-6,6-1,,,01:38:00,,,282,/en/stats/leaderboard?page=serve,7,19,63,55,88,80,44,55,42,14,33,60,3,5,14,266,/en/stats/leaderboard?page=serve,5,15,52,40,77,90,36,40,38,14,37,67,6,9,13,66,58,88,35,27,77,52,85,165,65,50,77,34,30,88,48,80,165,A,,,,,,,P. Sampras,M. Larsson,S402,L206,USA,SWE,,
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS003,SF,01:04:00,,F,2,R255,"7-5,6-0",P. Rafter,Y. Kafelnikov,,,AUS,RUS,7-5,6-0,,,,01:04:00,,,228,/en/stats/leaderboard?page=serve,,5,70,33,47,82,27,33,71,10,14,0,0,,9,204,/en/stats/leaderboard?page=serve,2,1,47,25,53,60,15,25,43,12,28,50,4,8,9,79,37,47,49,26,53,63,63,100,51,27,53,21,10,47,37,37,100,A,False,,,,,,P. Rafter,Y. Kafelnikov,R255,K267,AUS,RUS,,
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS004,QF,00:49:00,,F,2,S402,"6-3,6-2",P. Sampras,V. Spadea,,,USA,USA,6-3,6-2,,,,00:49:00,,,226,/en/stats/leaderboard?page=serve,3,12,67,30,45,90,27,30,60,9,15,0,0,,9,229,/en/stats/leaderboard?page=serve,1,1,64,27,42,63,17,27,40,6,15,25,1,4,8,80,36,45,45,19,42,63,55,87,55,23,42,20,9,45,37,32,87,A,,,,,,,P. Sampras,V. Spadea,S402,S544,USA,USA,,
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS005,QF,01:22:00,,F,2,L206,"6-4,7-6(7)",M. Larsson,T. Johansson,,,SWE,SWE,6-4,7-6(7),,,,01:22:00,7,2,295,/en/stats/leaderboard?page=serve,4,8,58,35,60,83,29,35,60,15,25,0,0,1,11,261,/en/stats/leaderboard?page=serve,1,13,45,30,67,80,24,30,43,16,37,33,1,3,11,73,44,60,40,27,67,56,71,127,60,40,67,27,16,60,44,56,127,A,,,,,,,M. Larsson,T. Johansson,L206,J129,SWE,SWE,,
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS006,QF,01:48:00,,F,2,R255,"6-4,7-6(10)",P. Rafter,P. Korda,,,AUS,CZE,6-4,7-6(10),,,,01:48:00,10,8,290,/en/stats/leaderboard?page=serve,5,4,68,49,72,76,37,49,57,13,23,67,2,3,11,251,/en/stats/leaderboard?page=serve,4,3,55,51,93,73,37,51,43,18,42,75,6,8,11,69,50,72,41,38,93,53,88,165,59,55,93,31,22,72,47,77,165,A,,,,,,,P. Rafter,P. Korda,R255,K148,AUS,CZE,,
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS007,QF,01:14:00,,F,2,K267,"6-4,6-4",Y. Kafelnikov,D. Vacek,,,RUS,CZE,6-4,6-4,,,,01:14:00,,,284,/en/stats/leaderboard?page=serve,2,10,46,27,59,81,22,27,59,19,32,67,2,3,10,249,/en/stats/leaderboard?page=serve,,9,54,30,56,70,21,30,46,12,26,25,1,4,10,69,41,59,41,23,56,56,64,115,59,33,56,31,18,59,44,51,115,A,,False,,,,,Y. Kafelnikov,D. Vacek,K267,V141,RUS,CZE,,
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS008,R16,01:13:00,,F,2,S402,"7-6(7),6-3",P. Sampras,J. Gambill,,,USA,USA,7-6(7),6-3,,,,01:13:00,,,230,/en/stats/leaderboard?page=serve,3,13,67,40,60,93,37,40,60,12,20,0,0,,11,287,/en/stats/leaderboard?page=serve,4,15,55,36,65,72,26,36,59,17,29,67,2,3,10,82,49,60,34,22,65,57,71,125,66,43,65,18,11,60,43,54,125,A,,,7,3,,,P. Sampras,J. Gambill,S402,G352,USA,USA,,
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS009,R16,00:55:00,,F,2,S544,"6-2,6-3",V. Spadea,R. Krajicek,,,USA,NED,6-2,6-3,,,,00:55:00,,,291,/en/stats/leaderboard?page=serve,,2,65,30,46,83,25,30,75,12,16,,0,,9,239,/en/stats/leaderboard?page=serve,1,9,59,32,54,69,22,32,41,9,22,40,2,5,8,80,37,46,43,23,54,60,60,100,57,31,54,20,9,46,40,40,100,A,False,,,,,,V. Spadea,R. Krajicek,S544,K214,USA,NED,,
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS010,R16,01:57:00,,F,2,J129,"7-6(7),7-6(7)",T. Johansson,J. Golmard,,,SWE,FRA,7-6(7),7-6(7),,,,01:57:00,7,2,291,/en/stats/leaderboard?page=serve,4,14,46,39,85,85,33,39,59,27,46,80,4,5,12,280,/en/stats/leaderboard?page=serve,4,13,60,56,94,70,39,56,50,19,38,88,7,8,12,71,60,85,38,36,94,54,96,179,62,58,94,29,25,85,46,83,179,A,,,7,5,,,T. Johansson,J. Golmard,J129,G319,SWE,FRA,,
