event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
424,1998,San Jose,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,315000,$,MS001,F,01:09:00,,F,2,A092,"6-2,6-4",A. Agassi,P. Sampras,,,USA,USA,6-2,6-4,,,,01:09:00,283,/en/stats/leaderboard?page=serve,1,2,60,32,53,78,25,32,67,14,21,0,9,249,/en/stats/leaderboard?page=serve,6,17,61,40,66,73,29,40,38,10,26,63,5,8,9,74,39,53,41,27,66,55,66,119,59,39,66,26,14,53,45,53,119,A,,,,,,,,,,,A. Agassi,P. Sampras,A092,S402,USA,USA,,
424,1998,San Jose,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,315000,$,MS002,SF,01:16:00,,F,3,S402,"6-3,2-6,6-2",P. Sampras,J. van Lottum,,,USA,NED,6-3,2-6,6-2,,,01:16:00,292,/en/stats/leaderboard?page=serve,1,7,60,38,63,82,31,38,60,15,25,0,13,267,/en/stats/leaderboard?page=serve,1,5,62,39,63,72,28,39,54,13,24,0,0,3,12,73,46,63,35,22,63,54,68,126,65,41,63,27,17,63,46,58,126,A,0,2,,,,,,,,,P. Sampras,J. van Lottum,S402,V201,USA,NED,,
424,1998,San Jose,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,315000,$,MS003,SF,01:37:00,,F,2,A092,"6-4,7-6(7)",A. Agassi,M. Chang,,,USA,USA,6-4,7-6(7),,,,01:37:00,275,/en/stats/leaderboard?page=serve,3,8,57,52,92,73,38,52,50,20,40,6,11,258,/en/stats/leaderboard?page=serve,2,5,58,40,69,78,31,40,38,11,29,50,2,4,11,63,58,92,39,27,69,53,85,161,61,42,69,37,34,92,47,76,161,A,86,7,7,4,,,,,,,A. Agassi,M. Chang,A092,C274,USA,USA,,
424,1998,San Jose,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,315000,$,MS004,QF,00:45:00,,F,2,S402,"6-0,6-2",P. Sampras,M. Woodforde,,,USA,AUS,6-0,6-2,,,,00:45:00,217,/en/stats/leaderboard?page=serve,1,12,61,22,36,95,21,22,50,7,14,0,7,159,/en/stats/leaderboard?page=serve,5,3,51,21,41,62,13,21,20,4,20,38,3,8,7,78,28,36,59,24,41,68,52,77,41,17,41,22,8,36,32,25,77,A,0,,,,,,,,,,P. Sampras,M. Woodforde,S402,W035,USA,AUS,,
424,1998,San Jose,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,315000,$,MS005,QF,02:19:00,,F,3,V201,"2-6,6-4,7-6(10)",J. van Lottum,T. Martin,,,NED,USA,2-6,6-4,7-6(10),,,02:19:00,260,/en/stats/leaderboard?page=serve,2,3,59,66,112,74,49,66,46,21,46,7,15,291,/en/stats/leaderboard?page=serve,5,17,55,57,103,79,45,57,59,27,46,71,5,7,15,63,70,112,30,31,103,47,101,215,70,72,103,38,42,112,53,114,215,A,70,10,,,10,8,,,,,J. van Lottum,T. Martin,V201,M442,NED,USA,,
424,1998,San Jose,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,315000,$,MS006,QF,01:38:00,,F,2,A092,"7-5,7-6(9)",A. Agassi,J. Gambill,,,USA,USA,7-5,7-6(9),,,,01:38:00,285,/en/stats/leaderboard?page=serve,5,11,64,51,80,73,37,51,59,17,29,2,12,253,/en/stats/leaderboard?page=serve,5,12,52,52,100,75,39,52,44,21,48,70,7,10,12,68,54,80,40,40,100,52,94,180,60,60,100,33,26,80,48,86,180,A,50,4,9,7,,,,,,,A. Agassi,J. Gambill,A092,G352,USA,USA,,
424,1998,San Jose,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,315000,$,MS007,QF,02:15:00,,F,3,C274,"6-3,6-7(3),6-4",M. Chang,T. Haas,,,USA,GER,6-3,6-7(3),6-4,,,02:15:00,280,/en/stats/leaderboard?page=serve,2,7,67,62,93,63,39,62,65,20,31,3,15,224,/en/stats/leaderboard?page=serve,6,4,56,66,117,61,40,66,47,24,51,63,10,16,16,63,59,93,45,53,117,53,112,210,55,64,117,37,34,93,47,98,210,A,50,6,3,7,,,,,,,M. Chang,T. Haas,C274,H355,USA,GER,,
424,1998,San Jose,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,315000,$,MS008,R16,01:08:00,,F,2,S402,"6-3,7-6(7)",P. Sampras,J. Burillo,,,USA,ESP,6-3,7-6(7),,,,01:08:00,293,/en/stats/leaderboard?page=serve,1,6,71,46,65,80,37,46,47,9,19,0,11,263,/en/stats/leaderboard?page=serve,3,7,64,39,61,79,31,39,36,8,22,60,3,5,10,71,46,65,36,22,61,54,68,126,64,39,61,29,19,65,46,58,126,A,0,1,7,2,,,,,,,P. Sampras,J. Burillo,S402,B429,USA,ESP,,
424,1998,San Jose,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,315000,$,MS009,R16,01:37:00,,F,2,W035,"7-5,7-5",M. Woodforde,M. Washington,,,AUS,USA,7-5,7-5,,,,01:37:00,263,/en/stats/leaderboard?page=serve,7,6,58,45,77,76,34,45,47,15,32,4,12,229,/en/stats/leaderboard?page=serve,2,4,47,37,79,62,23,37,52,22,42,43,3,7,12,64,49,77,43,34,79,53,83,156,57,45,79,36,28,77,47,73,156,A,67,6,,,,,,,,,M. Woodforde,M. Washington,W035,W124,AUS,USA,,
424,1998,San Jose,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,315000,$,MS010,R16,02:07:00,,F,3,V201,"7-5,6-7(2),6-2",J. van Lottum,V. Spadea,,,NED,USA,7-5,6-7(2),6-2,,,02:07:00,269,/en/stats/leaderboard?page=serve,6,13,56,68,121,72,49,68,47,25,53,11,16,254,/en/stats/leaderboard?page=serve,,4,64,63,99,65,41,63,53,19,36,55,6,11,16,61,74,121,39,39,99,51,113,220,61,60,99,39,47,121,49,107,220,A,85,13,2,7,,,False,,,,J. van Lottum,V. Spadea,V201,S544,NED,USA,,
