event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS001,F,02:26:00,,F,4,R237,"7-6(7),3-6,6-1,6-4",G. Rusedski,M. Rosset,,,GBR,SUI,7-6(7),3-6,6-1,6-4,,02:26:00,7,3,317,/en/stats/leaderboard?page=serve,2,23,52,58,111,88,51,58,62,33,53,88,7,8,19,259,/en/stats/leaderboard?page=serve,12,8,52,70,134,80,56,70,47,30,64,81,13,16,19,76,84,111,36,48,134,54,132,245,64,86,134,24,27,111,46,113,245,A,,,,,,,G. Rusedski,M. Rosset,R237,R214,GBR,SUI,,
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS002,SF,01:11:00,,F,2,R237,"6-4,6-3",G. Rusedski,K. Kucera,,,GBR,SVK,6-4,6-3,,,,01:11:00,,,246,/en/stats/leaderboard?page=serve,9,5,51,35,68,80,28,35,39,13,33,78,7,9,10,211,/en/stats/leaderboard?page=serve,2,0,52,30,58,60,18,30,46,13,28,43,3,7,9,60,41,68,47,27,58,54,68,126,53,31,58,40,27,68,46,58,126,A,,,,,,,G. Rusedski,K. Kucera,R237,K237,GBR,SVK,,
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS003,SF,02:04:00,,F,2,R214,"7-6(7),7-6(7)",M. Rosset,P. Rafter,,,SUI,AUS,7-6(7),7-6(7),,,,02:04:00,7,4,225,/en/stats/leaderboard?page=serve,10,13,52,54,104,81,44,54,56,28,50,,0,,12,205,/en/stats/leaderboard?page=serve,2,5,63,60,95,68,41,60,63,22,35,,0,,12,69,72,104,34,32,95,52,104,199,66,63,95,31,32,104,48,95,199,A,7,2,,,,,M. Rosset,P. Rafter,R214,R255,SUI,AUS,,
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS004,QF,01:36:00,,F,3,K237,"3-6,6-4,6-2",K. Kucera,P. Korda,,,SVK,CZE,3-6,6-4,6-2,,,01:36:00,,,245,/en/stats/leaderboard?page=serve,4,4,57,42,74,69,29,42,50,16,32,50,4,8,13,223,/en/stats/leaderboard?page=serve,4,1,59,48,82,60,29,48,50,17,34,33,3,9,14,61,45,74,44,36,82,52,81,156,56,46,82,39,29,74,48,75,156,A,,,,,,,K. Kucera,P. Korda,K237,K148,SVK,CZE,,
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS005,QF,01:44:00,,F,3,R237,"6-3,4-6,6-4",G. Rusedski,T. Johansson,,,GBR,SWE,6-3,4-6,6-4,,,01:44:00,,,292,/en/stats/leaderboard?page=serve,7,16,58,53,91,85,45,53,47,18,38,80,4,5,15,262,/en/stats/leaderboard?page=serve,7,5,44,39,89,85,33,39,50,25,50,60,3,5,14,69,63,91,35,31,89,52,94,180,65,58,89,31,28,91,48,86,180,A,,,,,,,G. Rusedski,T. Johansson,R237,J129,GBR,SWE,,
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS007,QF,01:55:00,,F,3,R255,"6-7(1),6-2,6-1",P. Rafter,J. Tarango,,,AUS,USA,6-7(1),6-2,6-1,,,01:55:00,1,7,300,/en/stats/leaderboard?page=serve,2,13,66,53,80,75,40,53,56,15,27,83,5,6,13,229,/en/stats/leaderboard?page=serve,3,4,58,63,108,57,36,63,56,25,45,63,10,16,14,69,55,80,44,47,108,54,102,188,56,61,108,31,25,80,46,86,188,A,,,,,,,P. Rafter,J. Tarango,R255,T136,AUS,USA,,
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS008,R16,01:11:00,,F,2,K148,"7-5,6-2",P. Korda,A. Portas,,,CZE,ESP,7-5,6-2,,,,01:11:00,,,263,/en/stats/leaderboard?page=serve,5,3,45,25,56,92,23,25,48,15,31,33,1,3,10,209,/en/stats/leaderboard?page=serve,3,2,54,34,63,65,22,34,41,12,29,50,5,10,10,68,38,56,46,29,63,56,67,119,54,34,63,32,18,56,44,52,119,A,,,,,,,P. Korda,A. Portas,K148,P305,CZE,ESP,,
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS009,R16,00:44:00,,F,2,K237,"6-1,6-1",K. Kucera,B. Ulihrach,,,SVK,CZE,6-1,6-1,,,,00:44:00,,,224,/en/stats/leaderboard?page=serve,,1,72,26,36,81,21,26,70,7,10,0,0,,7,157,/en/stats/leaderboard?page=serve,5,1,52,23,44,57,13,23,24,5,21,17,1,6,7,78,28,36,59,26,44,68,54,80,41,18,44,22,8,36,33,26,80,A,,,False,,,,K. Kucera,B. Ulihrach,K237,U032,SVK,CZE,,
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS010,R16,01:15:00,,F,2,J129,"6-2,6-4",T. Johansson,M. Damm,,,SWE,CZE,6-2,6-4,,,,01:15:00,,,277,/en/stats/leaderboard?page=serve,1,10,52,31,60,84,26,31,55,16,29,,0,,9,230,/en/stats/leaderboard?page=serve,3,5,31,18,58,83,15,18,48,19,40,57,4,7,9,70,42,60,41,24,58,56,66,118,59,34,58,30,18,60,44,52,118,A,,,,,,,T. Johansson,M. Damm,J129,D214,SWE,CZE,,
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS011,R16,02:14:00,,F,3,R237,"7-6(8),3-6,7-6(15)",G. Rusedski,G. Raoux,,,GBR,FRA,7-6(8),3-6,7-6(15),,,02:14:00,8,6,303,/en/stats/leaderboard?page=serve,6,17,53,58,110,84,49,58,62,32,52,50,1,2,16,285,/en/stats/leaderboard?page=serve,3,3,46,51,111,78,40,51,73,44,60,,0,,17,74,81,110,24,27,111,49,108,221,76,84,111,26,29,110,51,113,221,A,,,,15,13,,G. Rusedski,G. Raoux,R237,R186,GBR,FRA,,
