event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
438,1996,Moscow,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Carpet,32,1125000,$,MS001,F,01:14:00,,F,3,I034,"3-6,6-1,6-3",G. Ivanisevic,Y. Kafelnikov,,,CRO,RUS,3-6,6-1,6-3,,,01:14:00,298,/en/stats/leaderboard?page=serve,8,22,52,34,66,91,31,34,50,16,32,75,3,4,12,243,/en/stats/leaderboard?page=serve,8,7,61,43,70,81,35,43,33,9,27,20,1,5,13,71,47,66,37,26,70,54,73,136,63,44,70,29,19,66,46,63,136,A,,,,,,,,,G. Ivanisevic,Y. Kafelnikov,I034,K267,CRO,RUS,,
438,1996,Moscow,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Carpet,32,1125000,$,MS002,SF,01:25:00,,F,2,K267,"7-6(9),6-4",Y. Kafelnikov,D. Prinosil,,,RUS,GER,7-6(9),6-4,,,,01:25:00,283,/en/stats/leaderboard?page=serve,4,7,55,41,75,85,35,41,59,20,34,,0,,11,281,/en/stats/leaderboard?page=serve,4,15,49,40,82,83,33,40,48,20,42,83,5,6,11,73,55,75,35,29,82,54,84,157,65,53,82,27,20,75,46,73,157,A,9,7,,,,,,,Y. Kafelnikov,D. Prinosil,K267,P273,RUS,GER,,
438,1996,Moscow,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Carpet,32,1125000,$,MS003,SF,01:12:00,,F,2,I034,"6-4,7-6(7)",G. Ivanisevic,A. O'Brien,,,CRO,USA,6-4,7-6(7),,,,01:12:00,305,/en/stats/leaderboard?page=serve,7,21,52,33,64,88,29,33,61,19,31,80,4,5,11,280,/en/stats/leaderboard?page=serve,2,4,64,39,61,74,29,39,59,13,22,0,0,2,11,75,48,64,31,19,61,54,67,125,69,42,61,25,16,64,46,58,125,A,,,7,1,,,,,G. Ivanisevic,A. O'Brien,I034,O099,CRO,USA,,
438,1996,Moscow,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Carpet,32,1125000,$,MS004,QF,01:19:00,,F,2,K267,"7-6(7),6-2",Y. Kafelnikov,B. Black,,,RUS,ZIM,7-6(7),6-2,,,,01:19:00,291,/en/stats/leaderboard?page=serve,4,18,60,47,78,79,37,47,48,15,31,90,9,10,10,225,/en/stats/leaderboard?page=serve,3,0,49,34,70,56,19,34,53,19,36,63,5,8,10,67,52,78,46,32,70,57,84,148,54,38,70,33,26,78,43,64,148,A,7,2,,,,,,,Y. Kafelnikov,B. Black,K267,B397,RUS,ZIM,,
438,1996,Moscow,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Carpet,32,1125000,$,MS005,QF,01:04:00,,F,2,P273,"7-5,6-2",D. Prinosil,A. Olhovskiy,,,GER,RUS,7-5,6-2,,,,01:04:00,287,/en/stats/leaderboard?page=serve,4,10,55,31,56,90,28,31,56,14,25,,0,,10,239,/en/stats/leaderboard?page=serve,5,4,54,33,61,73,24,33,43,12,28,63,5,8,10,75,42,56,41,25,61,57,67,117,59,36,61,25,14,56,43,50,117,A,,,,,,,,,D. Prinosil,A. Olhovskiy,P273,O009,GER,RUS,,
438,1996,Moscow,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Carpet,32,1125000,$,MS006,QF,01:24:00,,F,2,O099,"6-3,7-6(7)",A. O'Brien,S. Schalken,,,USA,NED,6-3,7-6(7),,,,01:24:00,274,/en/stats/leaderboard?page=serve,2,6,63,45,71,82,37,45,62,16,26,,0,,11,289,/en/stats/leaderboard?page=serve,1,3,71,48,68,71,34,48,55,11,20,50,1,2,10,75,53,71,34,23,68,55,76,139,66,45,68,25,18,71,45,63,139,A,,,7,4,,,,,A. O'Brien,S. Schalken,O099,S572,USA,NED,,
438,1996,Moscow,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Carpet,32,1125000,$,MS007,QF,00:56:00,,F,2,I034,"7-5,6-0",G. Ivanisevic,P. Korda,,,CRO,CZE,7-5,6-0,,,,00:56:00,208,/en/stats/leaderboard?page=serve,5,10,55,26,47,96,25,26,52,11,21,0,0,,9,210,/en/stats/leaderboard?page=serve,5,0,47,28,59,71,20,28,42,13,31,60,6,10,9,77,36,47,44,26,59,58,62,106,56,33,59,23,11,47,42,44,106,A,,,,,,,,,G. Ivanisevic,P. Korda,I034,K148,CRO,CZE,,
438,1996,Moscow,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Carpet,32,1125000,$,MS008,R16,01:39:00,,F,3,K267,"3-6,6-4,6-2",Y. Kafelnikov,F. Clavet,,,RUS,ESP,3-6,6-4,6-2,,,01:39:00,272,/en/stats/leaderboard?page=serve,3,6,49,37,76,81,30,37,54,21,39,0,0,2,14,245,/en/stats/leaderboard?page=serve,2,2,52,52,100,63,33,52,54,26,48,75,9,12,13,67,51,76,41,41,100,52,92,176,59,59,100,33,25,76,48,84,176,A,,,,,,,,,Y. Kafelnikov,F. Clavet,K267,C252,RUS,ESP,,
438,1996,Moscow,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Carpet,32,1125000,$,MS009,R16,01:59:00,,F,3,B397,"7-6(7),5-7,6-2",B. Black,M. Rosset,,,ZIM,SUI,7-6(7),5-7,6-2,,,01:59:00,299,/en/stats/leaderboard?page=serve,2,4,59,55,93,84,46,55,61,23,38,75,3,4,16,287,/en/stats/leaderboard?page=serve,5,19,58,57,98,84,48,57,44,18,41,60,3,5,16,74,69,93,33,32,98,53,101,191,67,66,98,26,24,93,47,90,191,A,7,3,,,,,,,B. Black,M. Rosset,B397,R214,ZIM,SUI,,
438,1996,Moscow,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Carpet,32,1125000,$,MS010,R16,02:00:00,,F,3,P273,"6-4,6-7(5),6-4",D. Prinosil,M. Damm,,,GER,CZE,6-4,6-7(5),6-4,,,02:00:00,257,/en/stats/leaderboard?page=serve,6,7,39,38,98,76,29,38,60,36,60,50,3,6,16,255,/en/stats/leaderboard?page=serve,6,19,52,51,99,78,40,51,44,21,48,44,4,9,16,66,65,98,38,38,99,52,103,197,62,61,99,34,33,98,48,94,197,A,,,5,7,,,,,D. Prinosil,M. Damm,P273,D214,GER,CZE,,
