event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS001,F,01:34:00,,F,2,C378,"7-6(9),6-3",A. Costa,F. Mantilla,,,ESP,ESP,7-6(9),6-3,,,,01:34:00,9,7,277,/en/stats/leaderboard?page=serve,1,3,78,49,63,80,39,49,36,5,14,60,3,5,11,244,/en/stats/leaderboard?page=serve,1,2,54,39,72,67,26,39,52,17,33,75,9,12,10,70,44,63,40,29,72,54,73,135,60,43,72,30,19,63,46,62,135,A,,,,,A. Costa,F. Mantilla,C378,M535,ESP,ESP,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS002,SF,01:46:00,,F,2,C378,"6-4,7-6(7)",A. Costa,M. Charpentier,,,ESP,ARG,6-4,7-6(7),,,,01:46:00,,,266,/en/stats/leaderboard?page=serve,3,1,54,39,72,72,28,39,61,20,33,67,4,6,11,253,/en/stats/leaderboard?page=serve,5,2,76,72,95,56,40,72,52,12,23,80,12,15,11,67,48,72,45,43,95,54,91,167,55,52,95,33,24,72,46,76,167,A,7,0,,,A. Costa,M. Charpentier,C378,C375,ESP,ARG,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS003,SF,01:36:00,,F,2,M535,"6-4,7-5",F. Mantilla,J. Sanchez,,,ESP,ESP,6-4,7-5,,,,01:36:00,,,279,/en/stats/leaderboard?page=serve,,0,79,59,75,59,35,59,69,11,16,57,4,7,11,217,/en/stats/leaderboard?page=serve,2,1,59,47,80,53,25,47,52,17,33,50,5,10,11,61,46,75,48,38,80,54,84,155,53,42,80,39,29,75,46,71,155,A,,,False,,F. Mantilla,J. Sanchez,M535,S015,ESP,ESP,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS004,QF,01:48:00,,F,3,C378,"3-6,6-2,6-3",A. Costa,A. Voinea,,,ESP,ROU,3-6,6-2,6-3,,,01:48:00,,,273,/en/stats/leaderboard?page=serve,2,2,81,61,75,66,40,61,50,7,14,57,4,7,13,225,/en/stats/leaderboard?page=serve,4,2,61,68,111,54,37,68,51,22,43,64,9,14,13,63,47,75,47,52,111,53,99,186,53,59,111,37,28,75,47,87,186,A,,,,,A. Costa,A. Voinea,C378,V166,ESP,ROU,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS005,QF,01:40:00,,F,2,C375,"6-4,6-4",M. Charpentier,G. Schaller,,,ARG,AUT,6-4,6-4,,,,01:40:00,,,238,/en/stats/leaderboard?page=serve,2,2,63,48,76,69,33,48,36,10,28,40,2,5,10,217,/en/stats/leaderboard?page=serve,2,1,88,53,60,51,27,53,29,2,7,38,3,8,10,57,43,76,52,31,60,54,74,136,48,29,60,43,33,76,46,62,136,A,,,,,M. Charpentier,G. Schaller,C375,S315,ARG,AUT,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS006,QF,02:21:00,,F,3,S015,"6-1,5-7,6-4",J. Sanchez,C. Ruud,,,ESP,NOR,6-1,5-7,6-4,,,02:21:00,,,264,/en/stats/leaderboard?page=serve,,2,68,65,95,58,38,65,63,19,30,50,4,8,15,222,/en/stats/leaderboard?page=serve,2,0,58,56,97,55,31,56,54,22,41,50,6,12,14,60,57,95,45,44,97,53,101,192,55,53,97,40,38,95,47,91,192,A,,,False,,J. Sanchez,C. Ruud,S015,R219,ESP,NOR,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS007,QF,02:11:00,,F,3,M535,"6-3,5-7,6-4",F. Mantilla,S. Dosedel,,,ESP,CZE,6-3,5-7,6-4,,,02:11:00,,,224,/en/stats/leaderboard?page=serve,1,4,69,76,110,55,42,76,47,16,34,47,7,15,16,210,/en/stats/leaderboard?page=serve,1,0,77,71,92,42,30,71,52,11,21,40,6,15,15,53,58,110,55,51,92,54,109,202,45,41,92,47,52,110,46,93,202,A,,,,,F. Mantilla,S. Dosedel,M535,D198,ESP,CZE,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS008,R16,01:06:00,,F,2,C378,"6-3,6-3",A. Costa,G. Kuerten,,,ESP,BRA,6-3,6-3,,,,01:06:00,,,281,/en/stats/leaderboard?page=serve,2,3,63,38,60,61,23,38,68,15,22,83,5,6,9,214,/en/stats/leaderboard?page=serve,2,1,67,43,64,60,26,43,33,7,21,60,6,10,9,63,38,60,48,31,64,56,69,124,52,33,64,37,22,60,44,55,124,A,,,,,A. Costa,G. Kuerten,C378,K293,ESP,BRA,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS009,R16,00:55:00,,F,2,V166,"6-1,6-1",A. Voinea,F. Santoro,,,ROU,FRA,6-1,6-1,,,,00:55:00,,,198,/en/stats/leaderboard?page=serve,2,1,53,20,38,90,18,20,56,10,18,0,0,,7,182,/en/stats/leaderboard?page=serve,1,0,77,40,52,45,18,40,33,4,12,50,5,10,7,74,28,38,58,30,52,64,58,90,42,22,52,26,10,38,36,32,90,A,,,,,A. Voinea,F. Santoro,V166,S424,ROU,FRA,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS010,R16,01:38:00,,F,2,C375,"6-3,6-3",M. Charpentier,H. Gumy,,,ARG,ARG,6-3,6-3,,,,01:38:00,,,242,/en/stats/leaderboard?page=serve,,2,79,56,71,68,38,56,60,9,15,,0,,9,232,/en/stats/leaderboard?page=serve,3,5,64,49,76,67,33,49,33,9,27,25,1,4,9,66,47,71,45,34,76,55,81,147,55,42,76,34,24,71,45,66,147,A,,,False,,M. Charpentier,H. Gumy,C375,G247,ARG,ARG,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS011,R16,02:59:00,,F,3,S315,"6-7(7),7-6(7),7-5",G. Schaller,L. Morejon,,,AUT,ECU,6-7(7),7-6(7),7-5,,,02:59:00,7,9,293,/en/stats/leaderboard?page=serve,,1,80,102,128,62,63,102,73,19,26,60,6,10,18,240,/en/stats/leaderboard?page=serve,2,2,52,73,141,63,46,73,53,36,68,58,7,12,18,64,82,128,42,59,141,52,141,269,58,82,141,36,46,128,48,128,269,A,7,1,False,,G. Schaller,L. Morejon,S315,M506,AUT,ECU,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS012,R16,01:08:00,,F,2,R219,"6-2,6-2",C. Ruud,D. Rikl,,,NOR,CZE,6-2,6-2,,,,01:08:00,,,280,/en/stats/leaderboard?page=serve,1,3,45,21,47,81,17,21,65,17,26,,0,,8,206,/en/stats/leaderboard?page=serve,1,1,52,29,56,52,15,29,52,14,27,43,3,7,8,72,34,47,48,27,56,59,61,103,52,29,56,28,13,47,41,42,103,A,,,,,C. Ruud,D. Rikl,R219,R203,NOR,CZE,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS013,R16,02:22:00,,F,3,S015,"4-6,7-6(7),6-4",J. Sanchez,A. Gaudenzi,,,ESP,ITA,4-6,7-6(7),6-4,,,02:22:00,,,253,/en/stats/leaderboard?page=serve,7,9,57,55,96,78,43,55,41,17,41,43,3,7,16,250,/en/stats/leaderboard?page=serve,5,2,69,77,111,65,50,77,44,15,34,60,6,10,16,63,60,96,41,46,111,51,106,207,59,65,111,38,36,96,49,101,207,A,7,4,,,J. Sanchez,A. Gaudenzi,S015,G254,ESP,ITA,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS014,R16,01:14:00,,F,2,D198,"7-6(7),2-0",S. Dosedel,T. Guardiola,,,CZE,FRA,7-6(7),2-0,,,,01:14:00,7,1,234,/en/stats/leaderboard?page=serve,2,0,78,40,51,65,26,40,36,4,11,57,4,7,7,190,/en/stats/leaderboard?page=serve,3,2,47,27,57,67,18,27,27,8,30,60,6,10,8,59,30,51,54,31,57,56,61,108,46,26,57,41,21,51,44,47,108,A,,,,,S. Dosedel,T. Guardiola,D198,G231,CZE,FRA,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS015,R16,01:03:00,,F,2,M535,"6-2,6-1",F. Mantilla,J. Cunha-Silva,,,ESP,POR,6-2,6-1,,,,01:03:00,,,310,/en/stats/leaderboard?page=serve,,1,91,40,44,68,27,40,75,3,4,0,0,2,8,133,/en/stats/leaderboard?page=serve,1,3,53,23,43,39,9,23,25,5,20,25,2,8,7,68,30,44,67,29,43,68,59,87,33,14,43,32,14,44,32,28,87,A,,,False,,F. Mantilla,J. Cunha-Silva,M535,C113,ESP,POR,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS016,R32,01:19:00,,F,2,C378,"6-4,6-2",A. Costa,D. Nargiso,,,ESP,ITA,6-4,6-2,,,,01:19:00,,,254,/en/stats/leaderboard?page=serve,3,2,62,38,61,68,26,38,48,11,23,82,9,11,9,185,/en/stats/leaderboard?page=serve,7,2,53,34,64,50,17,34,43,13,30,50,5,10,9,61,37,61,53,34,64,57,71,125,47,30,64,39,24,61,43,54,125,A,,,,,A. Costa,D. Nargiso,C378,N109,ESP,ITA,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS017,R32,01:36:00,,F,3,K293,"1-6,6-1,6-4",G. Kuerten,M. Gorriz,,,BRA,ESP,1-6,6-1,6-4,,,01:36:00,,,251,/en/stats/leaderboard?page=serve,3,3,54,40,74,60,24,40,62,21,34,50,3,6,12,260,/en/stats/leaderboard?page=serve,,2,70,49,70,65,32,49,57,12,21,60,6,10,12,61,45,74,37,26,70,49,71,144,63,44,70,39,29,74,51,73,144,A,,,,False,G. Kuerten,M. Gorriz,K293,G028,BRA,ESP,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS018,R32,01:56:00,,F,3,V166,"4-6,6-3,6-4",A. Voinea,J. Diaz,,,ROU,ESP,4-6,6-3,6-4,,,01:56:00,,,239,/en/stats/leaderboard?page=serve,3,2,55,45,82,73,33,45,46,17,37,17,1,6,15,230,/en/stats/leaderboard?page=serve,1,1,91,74,81,53,39,74,29,2,7,14,1,7,14,61,50,82,49,40,81,55,90,163,51,41,81,39,32,82,45,73,163,A,,,,,A. Voinea,J. Diaz,V166,D291,ROU,ESP,,
