event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
475,1997,San Marino,GP,1997-08-04T00:00:00,1997-08-10T00:00:00,Clay,32,275000,$,MS001,F,01:10:00,,F,2,M535,"6-4,6-1",F. Mantilla,M. Gustafsson,,,ESP,SWE,6-4,6-1,,,,01:10:00,282,/en/stats/leaderboard?page=serve,2,7,73,52,71,63,33,52,53,10,19,86,6,7,9,199,/en/stats/leaderboard?page=serve,3,0,56,27,48,48,13,27,48,10,21,43,3,7,8,61,43,71,52,25,48,57,68,119,48,23,48,39,28,71,43,51,119,A,,,,,,,,,F. Mantilla,M. Gustafsson,M535,G182,ESP,SWE,,
475,1997,San Marino,GP,1997-08-04T00:00:00,1997-08-10T00:00:00,Clay,32,275000,$,MS002,SF,01:09:00,,F,2,M535,"6-4,6-4",F. Mantilla,D. Hrbaty,,,ESP,SVK,6-4,6-4,,,,01:09:00,277,/en/stats/leaderboard?page=serve,1,2,51,30,59,80,24,30,55,16,29,75,3,4,10,246,/en/stats/leaderboard?page=serve,5,3,60,32,53,75,24,32,43,9,21,40,2,5,10,68,40,59,38,20,53,54,60,112,62,33,53,32,19,59,46,52,112,A,,,,,,,,,F. Mantilla,D. Hrbaty,M535,H377,ESP,SVK,,
475,1997,San Marino,GP,1997-08-04T00:00:00,1997-08-10T00:00:00,Clay,32,275000,$,MS003,SF,01:41:00,,F,3,G182,"1-6,6-1,6-3",M. Gustafsson,C. Costa,,,SWE,ESP,1-6,6-1,6-3,,,01:41:00,269,/en/stats/leaderboard?page=serve,3,2,61,40,66,70,28,40,58,15,26,50,2,4,11,238,/en/stats/leaderboard?page=serve,2,0,56,42,75,57,24,42,61,20,33,50,4,8,12,65,43,66,41,31,75,52,74,141,59,44,75,35,23,66,48,67,141,A,,,,,,,,,M. Gustafsson,C. Costa,G182,C179,SWE,ESP,,
475,1997,San Marino,GP,1997-08-04T00:00:00,1997-08-10T00:00:00,Clay,32,275000,$,MS004,QF,01:02:00,,F,2,M535,"6-3,6-1",F. Mantilla,C. Ruud,,,ESP,NOR,6-3,6-1,,,,01:02:00,208,/en/stats/leaderboard?page=serve,2,2,48,19,40,89,17,19,71,15,21,0,0,,8,204,/en/stats/leaderboard?page=serve,2,1,62,32,52,53,17,32,40,8,20,50,4,8,8,80,32,40,52,27,52,64,59,92,48,25,52,20,8,40,36,33,92,A,,,,,,,,,F. Mantilla,C. Ruud,M535,R219,ESP,NOR,,
475,1997,San Marino,GP,1997-08-04T00:00:00,1997-08-10T00:00:00,Clay,32,275000,$,MS005,QF,02:41:00,,F,3,H377,"7-6(7),4-6,7-5",D. Hrbaty,A. Voinea,,,SVK,ROU,7-6(7),4-6,7-5,,,02:41:00,227,/en/stats/leaderboard?page=serve,5,4,49,59,120,63,37,59,52,32,61,45,5,11,17,239,/en/stats/leaderboard?page=serve,3,11,56,69,123,59,41,69,52,28,54,65,11,17,17,58,69,120,44,54,123,51,123,243,56,69,123,43,51,120,49,120,243,A,7,5,,,,,,,D. Hrbaty,A. Voinea,H377,V166,SVK,ROU,,
475,1997,San Marino,GP,1997-08-04T00:00:00,1997-08-10T00:00:00,Clay,32,275000,$,MS006,QF,01:11:00,,F,2,C179,"6-3,6-3",C. Costa,J. Sanchez,,,ESP,ESP,6-3,6-3,,,,01:11:00,199,/en/stats/leaderboard?page=serve,,1,58,29,50,83,24,29,57,12,21,0,0,,9,228,/en/stats/leaderboard?page=serve,5,2,67,42,63,74,31,42,24,5,21,63,5,8,9,72,36,50,43,27,63,56,63,113,57,36,63,28,14,50,44,50,113,A,,,False,,,,,,C. Costa,J. Sanchez,C179,S015,ESP,ESP,,
475,1997,San Marino,GP,1997-08-04T00:00:00,1997-08-10T00:00:00,Clay,32,275000,$,MS007,QF,01:36:00,,F,3,G182,"6-4,4-6,6-1",M. Gustafsson,A. Pavel,,,SWE,ROU,6-4,4-6,6-1,,,01:36:00,258,/en/stats/leaderboard?page=serve,3,1,57,39,69,77,30,39,50,15,30,63,5,8,13,228,/en/stats/leaderboard?page=serve,3,3,66,55,83,55,30,55,50,14,28,25,2,8,14,65,45,69,47,39,83,55,84,152,53,44,83,35,24,69,45,68,152,A,,,,,,,,,M. Gustafsson,A. Pavel,G182,P280,SWE,ROU,,
475,1997,San Marino,GP,1997-08-04T00:00:00,1997-08-10T00:00:00,Clay,32,275000,$,MS008,R16,01:53:00,,F,3,M535,"6-4,4-6,6-3",F. Mantilla,D. Sanguinetti,,,ESP,ITA,6-4,4-6,6-3,,,01:53:00,280,/en/stats/leaderboard?page=serve,1,4,75,71,95,68,48,71,54,13,24,70,7,10,15,264,/en/stats/leaderboard?page=serve,,9,66,61,93,62,38,61,56,18,32,67,8,12,14,64,61,95,40,37,93,52,98,188,60,56,93,36,34,95,48,90,188,A,,,,False,,,,,F. Mantilla,D. Sanguinetti,M535,S480,ESP,ITA,,
475,1997,San Marino,GP,1997-08-04T00:00:00,1997-08-10T00:00:00,Clay,32,275000,$,MS009,R16,02:15:00,,F,3,R219,"6-3,3-6,6-2",C. Ruud,J. Marin,,,NOR,CRC,6-3,3-6,6-2,,,02:15:00,249,/en/stats/leaderboard?page=serve,3,1,48,42,87,67,28,42,60,27,45,75,9,12,13,212,/en/stats/leaderboard?page=serve,2,2,43,41,96,61,25,41,47,26,55,58,7,12,13,63,55,87,47,45,96,55,100,183,53,51,96,37,32,87,45,83,183,A,,,,,,,,,C. Ruud,J. Marin,R219,M578,NOR,CRC,,
475,1997,San Marino,GP,1997-08-04T00:00:00,1997-08-10T00:00:00,Clay,32,275000,$,MS010,R16,01:11:00,,F,2,V166,"6-0,6-3",A. Voinea,A. Gaudenzi,,,ROU,ITA,6-0,6-3,,,,01:11:00,269,/en/stats/leaderboard?page=serve,1,3,50,27,54,67,18,27,63,17,27,75,3,4,8,169,/en/stats/leaderboard?page=serve,6,1,62,31,50,52,16,31,32,6,19,38,3,8,7,65,35,54,56,28,50,61,63,104,44,22,50,35,19,54,39,41,104,A,,,,,,,,,A. Voinea,A. Gaudenzi,V166,G254,ROU,ITA,,
