event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS001,F,01:42:00,,F,2,C344,"7-6(7),6-1",A. Corretja,F. Mantilla,,,ESP,ESP,7-6(7),6-1,,,,01:42:00,7,0,276,/en/stats/leaderboard?page=serve,3,5,67,48,72,79,38,48,38,9,24,80,4,5,10,232,/en/stats/leaderboard?page=serve,1,1,59,35,59,69,24,35,38,9,24,63,5,8,9,65,47,72,44,26,59,56,73,131,56,33,59,35,25,72,44,58,131,A,,,,,A. Corretja,F. Mantilla,C344,M535,ESP,ESP,,
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS002,SF,01:26:00,,F,2,C344,"6-3,6-3",A. Corretja,J. Bjorkman,,,ESP,SWE,6-3,6-3,,,,01:26:00,,,284,/en/stats/leaderboard?page=serve,1,1,69,37,54,62,23,37,65,11,17,50,1,2,9,215,/en/stats/leaderboard?page=serve,3,2,53,36,68,64,23,36,44,14,32,64,7,11,9,63,34,54,46,31,68,53,65,122,54,37,68,37,20,54,47,57,122,A,,,,,A. Corretja,J. Bjorkman,C344,B446,ESP,SWE,,
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS003,SF,02:20:00,,F,3,M535,"7-6(12),4-6,6-4",F. Mantilla,W. Ferreira,,,ESP,RSA,7-6(12),4-6,6-4,,,02:20:00,12,10,237,/en/stats/leaderboard?page=serve,4,1,74,88,119,66,58,88,32,10,31,62,8,13,16,242,/en/stats/leaderboard?page=serve,4,8,55,57,104,70,40,57,45,21,47,38,3,8,16,57,68,119,41,43,104,50,111,223,59,61,104,43,51,119,50,112,223,A,,,,,F. Mantilla,W. Ferreira,M535,F196,ESP,RSA,,
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS004,QF,01:29:00,,F,2,B446,"7-6(7),6-1",J. Bjorkman,C. Moya,,,SWE,ESP,7-6(7),6-1,,,,01:29:00,7,3,254,/en/stats/leaderboard?page=serve,4,0,66,45,68,67,30,45,48,11,23,71,5,7,9,195,/en/stats/leaderboard?page=serve,3,3,44,37,85,57,21,37,44,21,48,58,7,12,10,60,41,68,51,43,85,55,84,153,49,42,85,40,27,68,45,69,153,A,,,,,J. Bjorkman,C. Moya,B446,M605,SWE,ESP,,
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS005,QF,02:41:00,,F,3,C344,"7-6(7),5-7,6-4",A. Corretja,C. Costa,,,ESP,ESP,7-6(7),5-7,6-4,,,02:41:00,7,1,275,/en/stats/leaderboard?page=serve,2,4,67,76,114,71,54,76,53,20,38,50,3,6,17,252,/en/stats/leaderboard?page=serve,5,4,53,72,135,72,52,72,46,29,63,82,14,17,17,65,74,114,40,54,135,51,128,249,60,81,135,35,40,114,49,121,249,A,,,,,A. Corretja,C. Costa,C344,C179,ESP,ESP,,
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS006,QF,01:15:00,,F,2,M535,"6-4,6-4",F. Mantilla,A. Berasategui,,,ESP,ESP,6-4,6-4,,,,01:15:00,,,257,/en/stats/leaderboard?page=serve,3,1,81,48,59,63,30,48,45,5,11,0,0,3,10,227,/en/stats/leaderboard?page=serve,1,0,75,52,69,50,26,52,53,9,17,38,3,8,10,59,35,59,49,34,69,54,69,128,51,35,69,41,24,59,46,59,128,A,,,,,F. Mantilla,A. Berasategui,M535,B428,ESP,ESP,,
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS007,QF,00:54:00,,F,2,F196,"6-3,6-2",W. Ferreira,N. Kiefer,,,RSA,GER,6-3,6-2,,,,00:54:00,,,213,/en/stats/leaderboard?page=serve,2,7,52,22,42,91,20,22,65,13,20,0,0,,8,217,/en/stats/leaderboard?page=serve,2,3,44,24,55,75,18,24,42,13,31,33,2,6,9,79,33,42,44,24,55,59,57,97,56,31,55,21,9,42,41,40,97,A,,,,,W. Ferreira,N. Kiefer,F196,K316,RSA,GER,,
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS008,R16,01:37:00,,F,2,B446,"7-6(10),6-2",J. Bjorkman,M. Norman,,,SWE,SWE,7-6(10),6-2,,,,01:37:00,10,8,257,/en/stats/leaderboard?page=serve,3,5,55,40,73,78,31,40,42,14,33,67,4,6,10,215,/en/stats/leaderboard?page=serve,3,5,44,32,72,69,22,32,40,16,40,50,4,8,10,62,45,73,47,34,72,54,79,145,53,38,72,38,28,73,46,66,145,A,,,,,J. Bjorkman,M. Norman,B446,N250,SWE,SWE,,
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS009,R16,01:18:00,,F,2,M605,"7-6(7),6-2",C. Moya,A. Costa,,,ESP,ESP,7-6(7),6-2,,,,01:18:00,7,3,271,/en/stats/leaderboard?page=serve,2,4,49,34,70,79,27,34,61,22,36,,0,,10,265,/en/stats/leaderboard?page=serve,2,3,69,46,67,63,29,46,52,11,21,50,2,4,10,70,49,70,40,27,67,55,76,137,60,40,67,30,21,70,45,61,137,A,,,,,C. Moya,A. Costa,M605,C378,ESP,ESP,,
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS010,R16,01:14:00,,F,2,C344,"6-4,6-3",A. Corretja,M. Sinner,,,ESP,GER,6-4,6-3,,,,01:14:00,,,306,/en/stats/leaderboard?page=serve,,2,68,38,56,79,30,38,67,12,18,,0,,10,260,/en/stats/leaderboard?page=serve,2,1,53,25,47,76,19,25,55,12,22,0,0,2,9,75,42,56,34,16,47,56,58,103,66,31,47,25,14,56,44,45,103,A,False,,,,A. Corretja,M. Sinner,C344,S367,ESP,GER,,
