event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,settime_tot_winner,settime_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_id_winner,player_id_loser
495,2020,Dubai,500,2020-02-24T00:00:00,2020-02-29T00:00:00,Hard,32,2794840,$,MS001,F,01:18:00,,F,2,D643,"6-3,6-4",N. Djokovic,S. Tsitsipas,,,SRB,GRE,6-3,6-4,,,,01:18:00,A,N. Djokovic,S. Tsitsipas,SRB,GRE,,,290,/en/stats/leaderboard?page=serve,0,2,63,36,57,78,28,36,57,12,21,50,1,2,10,237,/en/stats/leaderboard?page=serve,3,8,65,31,48,77,24,31,24,4,17,0,0,3,9,70,40,57,42,20,48,57,60,105,58,28,48,30,17,57,43,45,105,01:18:00,01:18:00,,,,,,,D643,TE51
495,2020,Dubai,500,2020-02-24T00:00:00,2020-02-29T00:00:00,Hard,32,2794840,$,MS002,SF,02:35:00,,F,3,D643,"2-6,7-6(10),6-1",N. Djokovic,G. Monfils,,,SRB,FRA,2-6,7-6(10),6-1,,,02:35:00,A,N. Djokovic,G. Monfils,SRB,FRA,,,267,/en/stats/leaderboard?page=serve,1,5,74,71,96,61,43,71,52,13,25,57,4,7,13,237,/en/stats/leaderboard?page=serve,6,8,61,62,102,65,40,62,38,15,40,64,7,11,14,58,56,96,46,47,102,52,103,198,54,55,102,42,40,96,48,95,198,02:35:00,02:35:00,10,8,,,,,D643,MC65
495,2020,Dubai,500,2020-02-24T00:00:00,2020-02-29T00:00:00,Hard,32,2794840,$,MS003,SF,01:21:00,,F,2,TE51,"6-2,6-3",S. Tsitsipas,D. Evans,,,GRE,GBR,6-2,6-3,,,,01:21:00,A,S. Tsitsipas,D. Evans,GRE,GBR,,,306,/en/stats/leaderboard?page=serve,2,3,69,29,42,90,26,29,46,6,13,0,0,0,8,223,/en/stats/leaderboard?page=serve,1,1,61,43,70,63,27,43,44,12,27,60,6,10,9,76,32,42,44,31,70,56,63,112,56,39,70,24,10,42,44,49,112,01:21:00,01:21:00,,,,,,,TE51,E687
495,2020,Dubai,500,2020-02-24T00:00:00,2020-02-29T00:00:00,Hard,32,2794840,$,MS004,QF,01:07:00,,F,2,D643,"6-2,6-2",N. Djokovic,K. Khachanov,,,SRB,RUS,6-2,6-2,,,,01:07:00,A,N. Djokovic,K. Khachanov,SRB,RUS,,,280,/en/stats/leaderboard?page=serve,2,2,60,27,45,89,24,27,44,8,18,50,1,2,8,178,/en/stats/leaderboard?page=serve,4,3,59,29,49,48,14,29,35,7,20,44,4,9,8,71,32,45,57,28,49,64,60,94,43,21,49,29,13,45,36,34,94,01:07:00,01:07:00,,,,,,,D643,KE29
495,2020,Dubai,500,2020-02-24T00:00:00,2020-02-29T00:00:00,Hard,32,2794840,$,MS005,QF,01:13:00,,F,2,MC65,"6-3,6-3",G. Monfils,R. Gasquet,,,FRA,FRA,6-3,6-3,,,,01:13:00,A,G. Monfils,R. Gasquet,FRA,FRA,,,299,/en/stats/leaderboard?page=serve,2,8,65,30,46,77,23,30,63,10,16,0,0,1,9,213,/en/stats/leaderboard?page=serve,1,0,66,52,79,63,33,52,30,8,27,79,15,19,9,72,33,46,48,38,79,57,71,125,52,41,79,28,13,46,43,54,125,01:13:00,01:13:00,,,,,,,MC65,G628
495,2020,Dubai,500,2020-02-24T00:00:00,2020-02-29T00:00:00,Hard,32,2794840,$,MS006,QF,02:11:00,,F,2,E687,"6-2,7-6(11)",D. Evans,A. Rublev,,,GBR,RUS,6-2,7-6(11),,,,02:11:00,A,D. Evans,A. Rublev,GBR,RUS,,,255,/en/stats/leaderboard?page=serve,6,3,66,65,99,65,42,65,47,16,34,80,8,10,10,231,/en/stats/leaderboard?page=serve,0,5,53,39,74,62,24,39,51,18,35,64,7,11,10,59,58,99,43,32,74,52,90,173,57,42,74,41,41,99,48,83,173,02:11:00,02:11:00,11,9,,,,,E687,RE44
495,2020,Dubai,500,2020-02-24T00:00:00,2020-02-29T00:00:00,Hard,32,2794840,$,MS007,QF,02:23:00,,F,3,TE51,"4-6,6-4,6-4",S. Tsitsipas,J. Struff,,,GRE,GER,4-6,6-4,6-4,,,02:23:00,A,S. Tsitsipas,J. Struff,GRE,GER,,,296,/en/stats/leaderboard?page=serve,2,6,64,61,96,72,44,61,63,22,35,86,6,7,15,267,/en/stats/leaderboard?page=serve,4,9,50,55,110,73,40,55,53,29,55,75,6,8,15,69,66,96,37,41,110,52,107,206,63,69,110,31,30,96,48,99,206,02:23:00,02:23:00,,,,,,,TE51,SL28
495,2020,Dubai,500,2020-02-24T00:00:00,2020-02-29T00:00:00,Hard,32,2794840,$,MS008,R16,00:59:00,,F,2,D643,"6-3,6-1",N. Djokovic,P. Kohlschreiber,,,SRB,GER,6-3,6-1,,,,00:59:00,A,N. Djokovic,P. Kohlschreiber,SRB,GER,,,304,/en/stats/leaderboard?page=serve,2,2,55,24,44,79,19,24,70,14,20,0,0,0,8,202,/en/stats/leaderboard?page=serve,1,2,64,28,44,68,19,28,19,3,16,43,3,7,8,75,33,44,50,22,44,63,55,88,50,22,44,25,11,44,38,33,88,00:59:00,00:59:00,,,,,,,D643,K435
495,2020,Dubai,500,2020-02-24T00:00:00,2020-02-29T00:00:00,Hard,32,2794840,$,MS009,R16,01:14:00,,F,2,KE29,"6-3,6-4",K. Khachanov,D. Novak,,,RUS,AUT,6-3,6-4,,,,01:14:00,A,K. Khachanov,D. Novak,RUS,AUT,,,310,/en/stats/leaderboard?page=serve,0,5,73,40,55,75,30,40,67,10,15,0,0,1,10,246,/en/stats/leaderboard?page=serve,1,5,69,41,59,63,26,41,44,8,18,50,3,6,9,73,40,55,42,25,59,57,65,114,58,34,59,27,15,55,43,49,114,01:14:00,01:14:00,,,,,,,KE29,DB59
495,2020,Dubai,500,2020-02-24T00:00:00,2020-02-29T00:00:00,Hard,32,2794840,$,MS010,R16,01:06:00,,F,2,MC65,"6-1,6-2",G. Monfils,Y. Uchiyama,,,FRA,JPN,6-1,6-2,,,,01:06:00,A,G. Monfils,Y. Uchiyama,FRA,JPN,,,291,/en/stats/leaderboard?page=serve,1,4,72,36,50,72,26,36,57,8,14,83,5,6,8,158,/en/stats/leaderboard?page=serve,1,0,40,19,48,53,10,19,38,11,29,29,2,7,7,68,34,50,56,27,48,62,61,98,44,21,48,32,16,50,38,37,98,01:06:00,01:06:00,,,,,,,MC65,U134
