event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_id_winner,player_id_loser
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS001,F,01:46:00,,F,2,MC10,"7-5,6-4",A. Murray,D. Ferrer,,,GBR,ESP,7-5,6-4,,,,01:46:00,A,A. Murray,D. Ferrer,GBR,ESP,,,274,/en/stats/leaderboard?page=serve,4,7,63,37,59,86,32,37,41,9,22,50,2,4,11,217,/en/stats/leaderboard?page=serve,4,1,44,35,80,69,24,35,44,20,45,56,5,9,11,69,41,59,45,36,80,55,77,139,55,44,80,31,18,59,45,62,139,,,,,,,MC10,F401
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS002,SF,02:11:00,,F,3,F401,"6-7(5),6-3,6-3",D. Ferrer,F. Lopez,,,ESP,ESP,6-7(5),6-3,6-3,,,02:11:00,A,D. Ferrer,F. Lopez,ESP,ESP,,,316,/en/stats/leaderboard?page=serve,6,11,61,54,89,81,44,54,69,24,35,100,2,2,15,268,/en/stats/leaderboard?page=serve,5,12,56,57,101,70,40,57,55,24,44,40,2,5,15,76,68,89,37,37,101,55,105,190,63,64,101,24,21,89,45,85,190,5.0,7.0,,,,,F401,L397
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS003,SF,00:57:00,,F,2,MC10,"6-3,6-0",A. Murray,K. Nishikori,,,GBR,JPN,6-3,6-0,,,,00:57:00,A,A. Murray,K. Nishikori,GBR,JPN,,,326,/en/stats/leaderboard?page=serve,1,7,66,23,35,96,22,23,58,7,12,0,0,0,7,177,/en/stats/leaderboard?page=serve,3,0,62,29,47,59,17,29,22,4,18,44,4,9,8,83,29,35,55,26,47,67,55,82,45,21,47,17,6,35,33,27,82,,,,,,,MC10,N552
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS004,QF,01:09:00,,F,2,L397,"6-2,6-4",F. Lopez,F. Mayer,,,ESP,GER,6-2,6-4,,,,01:09:00,A,F. Lopez,F. Mayer,ESP,GER,,,312,/en/stats/leaderboard?page=serve,2,10,49,24,49,79,19,24,76,19,25,100,1,1,9,236,/en/stats/leaderboard?page=serve,3,2,61,36,59,58,21,36,52,12,23,50,3,6,9,78,38,49,44,26,59,59,64,108,56,33,59,22,11,49,41,44,108,,,,,,,L397,MB02
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS005,QF,02:34:00,,F,3,F401,"6-7(5),6-2,7-6(7)",D. Ferrer,A. Roddick,,,ESP,USA,6-7(5),6-2,7-6(7),,,02:34:00,A,D. Ferrer,A. Roddick,ESP,USA,,,306,/en/stats/leaderboard?page=serve,5,11,61,69,114,81,56,69,58,26,45,100,5,5,16,284,/en/stats/leaderboard?page=serve,2,11,60,63,105,78,49,63,50,21,42,50,2,4,16,72,82,114,33,35,105,53,117,219,67,70,105,28,32,114,47,102,219,5.0,7.0,7.0,2.0,,,F401,R485
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS006,QF,01:27:00,,F,2,N552,"6-4,6-3",K. Nishikori,A. Dolgopolov,,,JPN,UKR,6-4,6-3,,,,01:27:00,A,K. Nishikori,A. Dolgopolov,JPN,UKR,,,278,/en/stats/leaderboard?page=serve,0,1,56,29,52,76,22,29,57,13,23,86,6,7,9,217,/en/stats/leaderboard?page=serve,3,9,47,36,77,67,24,36,37,15,41,56,5,9,10,67,35,52,49,38,77,57,73,129,51,39,77,33,17,52,43,56,129,,,,,,,N552,D801
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS007,QF,01:25:00,,F,2,MC10,"6-3,6-2",A. Murray,M. Ebden,,,GBR,AUS,6-3,6-2,,,,01:25:00,A,A. Murray,M. Ebden,GBR,AUS,,,319,/en/stats/leaderboard?page=serve,2,7,59,26,44,77,20,26,78,14,18,100,1,1,8,201,/en/stats/leaderboard?page=serve,5,0,52,37,71,70,26,37,29,10,34,64,7,11,9,77,34,44,49,35,71,60,69,115,51,36,71,23,10,44,40,46,115,,,,,,,MC10,E690
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS008,R16,01:48:00,,F,2,MB02,"7-6(7),6-3",F. Mayer,R. Nadal,,,GER,ESP,7-6(7),6-3,,,,01:48:00,A,F. Mayer,R. Nadal,GER,ESP,,,307,/en/stats/leaderboard?page=serve,1,5,58,37,64,89,33,37,56,15,27,0,0,0,10,285,/en/stats/leaderboard?page=serve,0,2,74,53,72,70,37,53,58,11,19,50,2,4,11,75,48,64,33,24,72,53,72,136,67,48,72,25,16,64,47,64,136,7.0,5.0,,,,,MB02,N409
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS009,R16,01:21:00,,F,2,L397,"6-4,6-4",F. Lopez,T. Berdych,,,ESP,CZE,6-4,6-4,,,,01:21:00,A,F. Lopez,T. Berdych,ESP,CZE,,,325,/en/stats/leaderboard?page=serve,0,7,62,32,52,81,26,32,75,15,20,0,0,0,10,276,/en/stats/leaderboard?page=serve,1,7,66,39,59,74,29,39,50,10,20,33,1,3,10,79,41,52,34,20,59,55,61,111,66,39,59,21,11,52,45,50,111,,,,,,,L397,BA47
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS010,R16,02:00:00,,F,3,F401,"1-6,7-5,6-2",D. Ferrer,J. Ferrero,,,ESP,ESP,1-6,7-5,6-2,,,02:00:00,A,D. Ferrer,J. Ferrero,ESP,ESP,,,262,/en/stats/leaderboard?page=serve,5,11,48,40,84,73,29,40,57,25,44,67,6,9,14,260,/en/stats/leaderboard?page=serve,0,2,58,43,74,63,27,43,61,19,31,57,4,7,13,64,54,84,38,28,74,52,82,158,62,46,74,36,30,84,48,76,158,,,,,,,F401,F316
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS011,R16,01:12:00,,F,2,R485,"6-3,6-4",A. Roddick,N. Almagro,,,USA,ESP,6-3,6-4,,,,01:12:00,A,A. Roddick,N. Almagro,USA,ESP,,,337,/en/stats/leaderboard?page=serve,0,11,73,35,48,91,32,35,62,8,13,0,0,0,10,265,/en/stats/leaderboard?page=serve,2,4,64,32,50,72,23,32,50,9,18,0,0,2,9,83,40,48,36,18,50,59,58,98,64,32,50,17,8,48,41,40,98,,,,,,,R485,A479
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS012,R16,01:19:00,,F,3,D801,"5-7,6-1,6-0",A. Dolgopolov,B. Tomic,,,UKR,AUS,5-7,6-1,6-0,,,01:19:00,A,A. Dolgopolov,B. Tomic,UKR,AUS,,,260,/en/stats/leaderboard?page=serve,2,11,46,32,69,81,26,32,49,18,37,63,5,8,12,182,/en/stats/leaderboard?page=serve,6,3,61,46,76,59,27,46,27,8,30,33,4,12,13,64,44,69,54,41,76,59,85,145,46,35,76,36,25,69,41,60,145,,,,,,,D801,TA46
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS013,R16,02:38:00,,F,3,N552,"7-6(8),4-6,6-3",K. Nishikori,S. Giraldo,,,JPN,COL,7-6(8),4-6,6-3,,,02:38:00,A,K. Nishikori,S. Giraldo,JPN,COL,,,258,/en/stats/leaderboard?page=serve,4,4,54,60,111,72,43,60,51,26,51,75,9,12,16,256,/en/stats/leaderboard?page=serve,5,3,52,55,106,75,41,55,51,26,51,75,9,12,15,62,69,111,37,39,106,50,108,217,63,67,106,38,42,111,50,109,217,8.0,6.0,,,,,N552,G725
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS014,R16,02:08:00,,F,3,E690,"6-2,2-6,7-6(10)",M. Ebden,G. Simon,,,AUS,FRA,6-2,2-6,7-6(10),,,02:08:00,A,M. Ebden,G. Simon,AUS,FRA,,,264,/en/stats/leaderboard?page=serve,3,7,59,58,99,72,42,58,51,21,41,67,6,9,14,266,/en/stats/leaderboard?page=serve,4,14,54,52,97,71,37,52,53,24,45,67,6,9,14,64,63,99,37,36,97,51,99,196,63,61,97,36,36,99,49,97,196,,,10.0,8.0,,,E690,SD32
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS015,R16,02:12:00,,F,3,MC10,"6-4,3-6,6-3",A. Murray,S. Wawrinka,,,GBR,SUI,6-4,3-6,6-3,,,02:12:00,A,A. Murray,S. Wawrinka,GBR,SUI,,,258,/en/stats/leaderboard?page=serve,3,4,64,55,86,73,40,55,42,13,31,57,4,7,14,248,/en/stats/leaderboard?page=serve,2,5,56,44,78,68,30,44,50,17,34,20,1,5,14,62,53,86,40,31,78,51,84,164,60,47,78,38,33,86,49,80,164,,,,,,,MC10,W367
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS016,R32,01:45:00,,F,2,N409,"6-3,6-2",R. Nadal,G. Garcia-Lopez,,,ESP,ESP,6-3,6-2,,,,01:45:00,A,R. Nadal,G. Garcia-Lopez,ESP,ESP,,,300,/en/stats/leaderboard?page=serve,1,1,66,29,44,79,23,29,67,10,15,0,0,1,9,197,/en/stats/leaderboard?page=serve,8,3,57,44,77,59,26,44,36,12,33,73,11,15,8,75,33,44,51,39,77,60,72,121,49,38,77,25,11,44,40,49,121,,,,,,,N409,G476
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS017,R32,01:14:00,,F,2,MB02,"6-3,6-4",F. Mayer,D. Nalbandian,,,GER,ARG,6-3,6-4,,,,01:14:00,A,F. Mayer,D. Nalbandian,GER,ARG,,,280,/en/stats/leaderboard?page=serve,2,5,58,29,50,83,24,29,48,10,21,50,1,2,9,217,/en/stats/leaderboard?page=serve,5,4,55,34,62,74,25,34,29,8,28,43,3,7,10,68,34,50,47,29,62,56,63,112,53,33,62,32,16,50,44,49,112,,,,,,,MB02,N301
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS018,R32,02:32:00,,F,3,L397,"7-6(7),3-6,6-3",F. Lopez,A. Bogomolov Jr.,,,ESP,RUS,7-6(7),3-6,6-3,,,02:32:00,A,F. Lopez,A. Bogomolov Jr.,ESP,RUS,,,254,/en/stats/leaderboard?page=serve,14,8,54,65,120,75,49,65,45,25,55,88,14,16,15,280,/en/stats/leaderboard?page=serve,0,4,72,78,108,71,55,78,47,14,30,75,6,8,15,62,74,120,36,39,108,50,113,228,64,69,108,38,46,120,50,115,228,7.0,4.0,,,,,L397,B842
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS019,R32,01:18:00,,F,2,BA47,"6-4,6-3",T. Berdych,R. Stepanek,,,CZE,CZE,6-4,6-3,,,,01:18:00,A,T. Berdych,R. Stepanek,CZE,CZE,,,309,/en/stats/leaderboard?page=serve,1,6,63,30,48,90,27,30,61,11,18,67,2,3,10,238,/en/stats/leaderboard?page=serve,2,2,59,34,58,71,24,34,42,10,24,50,3,6,9,79,38,48,41,24,58,58,62,106,59,34,58,21,10,48,42,44,106,,,,,,,BA47,S694
