event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,settime_tot_winner,settime_tot_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set5_winner,tiebreak_set5_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_id_winner,player_id_loser
520,2022,Roland Garros,GS,2022-05-22T00:00:00,2022-06-05T00:00:00,Clay,128,21256800,€,MS001,F,02:18:00,,F,3,N409,"6-3,6-3,6-0",R. Nadal,C. Ruud,,,ESP,NOR,6-3,6-3,6-0,,,02:18:00,A,R. Nadal,C. Ruud,ESP,NOR,,,272,/en/stats/leaderboard?page=serve,3,1,64,39,61,82,32,39,45,10,22,33,1,3,12,180,/en/stats/leaderboard?page=serve,1,0,64,51,80,53,27,51,31,9,29,50,8,16,12,69,42,61,55,44,80,61,86,141,45,36,80,31,19,61,39,55,141,02:18:00,02:18:00,,,,,,,,,,,N409,RH16
520,2022,Roland Garros,GS,2022-05-22T00:00:00,2022-06-05T00:00:00,Clay,128,21256800,€,MS003,SF,02:55:00,,F,4,RH16,"3-6,6-4,6-2,6-2",C. Ruud,M. Cilic,,,NOR,CRO,3-6,6-4,6-2,6-2,,02:55:00,A,C. Ruud,M. Cilic,NOR,CRO,,,303,/en/stats/leaderboard?page=serve,0,16,64,70,109,71,50,70,64,25,39,78,7,9,18,256,/en/stats/leaderboard?page=serve,2,10,66,76,115,68,52,76,44,17,39,67,10,15,17,69,75,109,40,46,115,54,121,224,60,69,115,31,34,109,46,103,224,02:55:00,02:55:00,,,,,,,,,,,RH16,C977
520,2022,Roland Garros,GS,2022-05-22T00:00:00,2022-06-05T00:00:00,Clay,128,21256800,€,MS004,QF,04:12:00,,F,4,N409,"6-2,4-6,6-2,7-6(7)",R. Nadal,N. Djokovic,,,ESP,SRB,6-2,4-6,6-2,7-6(7),,04:12:00,A,R. Nadal,N. Djokovic,ESP,SRB,,,273,/en/stats/leaderboard?page=serve,4,3,71,98,138,65,64,98,60,24,40,67,8,12,19,238,/en/stats/leaderboard?page=serve,4,5,68,95,140,64,61,95,42,19,45,59,10,17,19,64,88,138,43,60,140,53,148,278,57,80,140,36,50,138,47,130,278,04:12:00,04:12:00,7,4,,,,,,,,,N409,D643
520,2022,Roland Garros,GS,2022-05-22T00:00:00,2022-06-05T00:00:00,Clay,128,21256800,€,MS005,QF,03:18:00,,F,4,Z355,"6-4,6-4,4-6,7-6(9)",A. Zverev,C. Alcaraz,,,GER,ESP,6-4,6-4,4-6,7-6(9),,03:18:00,A,A. Zverev,C. Alcaraz,GER,ESP,,,293,/en/stats/leaderboard?page=serve,6,7,71,93,131,73,68,93,58,22,38,67,4,6,21,266,/en/stats/leaderboard?page=serve,3,2,60,79,132,73,58,79,49,26,53,63,5,8,21,69,90,131,36,48,132,52,138,263,64,84,132,31,41,131,48,125,263,03:18:00,03:18:00,9,7,,,,,,,,,Z355,A0E2
520,2022,Roland Garros,GS,2022-05-22T00:00:00,2022-06-05T00:00:00,Clay,128,21256800,€,MS006,QF,03:15:00,,F,4,RH16,"6-1,4-6,7-6(7),6-3",C. Ruud,H. Rune,,,NOR,DEN,6-1,4-6,7-6(7),6-3,,03:15:00,A,C. Ruud,H. Rune,NOR,DEN,,,291,/en/stats/leaderboard?page=serve,4,13,68,80,118,79,63,80,50,19,38,50,3,6,20,235,/en/stats/leaderboard?page=serve,4,1,55,79,143,67,53,79,44,28,64,71,12,17,18,69,82,118,43,62,143,55,144,261,57,81,143,31,36,118,45,117,261,03:15:00,03:15:00,,,7,2,,,,,,,RH16,R0DG
520,2022,Roland Garros,GS,2022-05-22T00:00:00,2022-06-05T00:00:00,Clay,128,21256800,€,MS007,QF,04:10:00,,F,5,C977,"5-7,6-3,6-4,3-6,7-6(10)",M. Cilic,A. Rublev,,,CRO,RUS,5-7,6-3,6-4,3-6,7-6(10),04:10:00,A,M. Cilic,A. Rublev,CRO,RUS,,,311,/en/stats/leaderboard?page=serve,2,33,58,107,186,74,79,107,56,44,79,75,6,8,26,292,/en/stats/leaderboard?page=serve,2,15,55,87,159,78,68,87,54,39,72,71,5,7,26,66,123,186,33,52,159,51,175,345,67,107,159,34,63,186,49,170,345,04:10:00,04:10:00,,,,,10,2,,,,,C977,RE44
520,2022,Roland Garros,GS,2022-05-22T00:00:00,2022-06-05T00:00:00,Clay,128,21256800,€,MS008,R16,02:15:00,,F,3,D643,"6-1,6-3,6-3",N. Djokovic,D. Schwartzman,,,SRB,ARG,6-1,6-3,6-3,,,02:15:00,A,N. Djokovic,D. Schwartzman,SRB,ARG,,,291,/en/stats/leaderboard?page=serve,1,3,69,57,83,74,42,57,54,14,26,88,7,8,13,204,/en/stats/leaderboard?page=serve,5,1,70,57,82,56,32,57,32,8,25,45,5,11,12,67,56,83,51,42,82,59,98,165,49,40,82,33,27,83,41,67,165,02:15:00,02:15:00,,,,,,,,,,,D643,SM37
520,2022,Roland Garros,GS,2022-05-22T00:00:00,2022-06-05T00:00:00,Clay,128,21256800,€,MS009,R16,04:21:00,,F,5,N409,"3-6,6-3,6-2,3-6,6-3",R. Nadal,F. Auger-Aliassime,,,ESP,CAN,3-6,6-3,6-2,3-6,6-3,04:21:00,A,R. Nadal,F. Auger-Aliassime,ESP,CAN,,,280,/en/stats/leaderboard?page=serve,4,3,67,90,134,67,60,90,66,29,44,56,5,9,22,255,/en/stats/leaderboard?page=serve,4,7,69,106,153,64,68,106,47,22,47,73,16,22,22,66,89,134,41,63,153,53,152,287,59,90,153,34,45,134,47,135,287,04:21:00,04:21:00,,,,,,,,,,,N409,AG37
520,2022,Roland Garros,GS,2022-05-22T00:00:00,2022-06-05T00:00:00,Clay,128,21256800,€,MS010,R16,02:45:00,,F,3,Z355,"7-6(13),7-5,6-3",A. Zverev,B. Zapata Miralles,,,GER,ESP,7-6(13),7-5,6-3,,,02:45:00,A,A. Zverev,B. Zapata Miralles,GER,ESP,,,237,/en/stats/leaderboard?page=serve,8,6,68,87,128,66,57,87,41,17,41,54,7,13,17,220,/en/stats/leaderboard?page=serve,3,1,69,72,104,53,38,72,50,16,32,11,1,9,16,58,74,128,48,50,104,53,124,232,52,54,104,42,54,128,47,108,232,02:45:00,02:45:00,,,,,,,13,11,,,Z355,Z419
520,2022,Roland Garros,GS,2022-05-22T00:00:00,2022-06-05T00:00:00,Clay,128,21256800,€,MS011,R16,02:14:00,,F,3,A0E2,"6-1,6-4,6-4",C. Alcaraz,K. Khachanov,,,ESP,RUS,6-1,6-4,6-4,,,02:14:00,A,C. Alcaraz,K. Khachanov,ESP,RUS,,,285,/en/stats/leaderboard?page=serve,1,3,53,46,86,78,36,46,60,24,40,75,3,4,14,230,/en/stats/leaderboard?page=serve,3,3,61,60,98,58,35,60,50,19,38,58,7,12,13,70,60,86,45,44,98,57,104,184,55,54,98,30,26,86,43,80,184,02:14:00,02:14:00,,,,,,,,,,,A0E2,KE29
