event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set4_winner,tiebreak_set4_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS001,F,02:31:00,,F,4,F324,"4-6,7-5,7-6(7),6-4",R. Federer,A. Roddick,,,SUI,USA,4-6,7-5,7-6(7),6-4,,02:31:00,7.0,3.0,277,/en/stats/leaderboard?page=serve,3,12,62,95,154,67,64,95,58,34,59,71,10,14,22,258,/en/stats/leaderboard?page=serve,5,11,61,81,133,74,60,81,40,21,52,50,5,10,22,64,98,154,39,52,133,52,150,287,61,81,133,36,56,154,48,137,287,A,,,,,,,R. Federer,A. Roddick,F324,R485,SUI,USA,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS002,SF,02:00:00,,F,3,F324,"6-2,6-3,7-6(8)",R. Federer,S. Grosjean,,,SUI,FRA,6-2,6-3,7-6(8),,,02:00:00,8.0,6.0,284,/en/stats/leaderboard?page=serve,3,6,59,54,91,76,41,54,54,20,37,50,1,2,14,226,/en/stats/leaderboard?page=serve,2,2,58,62,106,63,39,62,39,17,44,55,6,11,15,67,61,91,47,50,106,56,111,197,53,56,106,33,30,91,44,86,197,A,,,,,,,R. Federer,S. Grosjean,F324,G379,SUI,FRA,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS003,SF,02:51:00,,F,4,R485,"6-4,4-6,7-5,7-5",A. Roddick,M. Ancic,,,USA,CRO,6-4,4-6,7-5,7-5,,02:51:00,,,277,/en/stats/leaderboard?page=serve,8,11,54,79,145,80,63,79,50,33,66,82,9,11,22,272,/en/stats/leaderboard?page=serve,6,12,61,85,140,73,62,85,51,28,55,67,8,12,22,66,96,145,36,50,140,51,146,285,64,90,140,34,49,145,49,139,285,A,,,,,,,A. Roddick,M. Ancic,R485,A385,USA,CRO,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS004,QF,02:20:00,,F,4,F324,"6-1,6-7(1),6-0,6-4",R. Federer,L. Hewitt,,,SUI,AUS,6-1,6-7(1),6-0,6-4,,02:20:00,,,299,/en/stats/leaderboard?page=serve,0,19,58,72,125,71,51,72,57,30,53,91,10,11,18,224,/en/stats/leaderboard?page=serve,7,4,52,53,102,58,31,53,59,29,49,50,7,14,17,65,81,125,41,42,102,54,123,227,59,60,102,35,44,125,46,104,227,A,1.0,7.0,,,,,R. Federer,L. Hewitt,F324,H432,SUI,AUS,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS005,QF,01:50:00,,F,3,G379,"7-5,6-4,6-2",S. Grosjean,F. Mayer,,,FRA,GER,7-5,6-4,6-2,,,01:50:00,,,268,/en/stats/leaderboard?page=serve,3,6,51,53,103,74,39,53,54,27,50,80,8,10,15,231,/en/stats/leaderboard?page=serve,1,1,65,58,89,64,37,58,42,13,31,54,7,13,15,64,66,103,44,39,89,55,105,192,56,50,89,36,37,103,45,87,192,A,,,,,,,S. Grosjean,F. Mayer,G379,MB02,FRA,GER,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS006,QF,02:13:00,,F,3,A385,"7-6(7),6-4,6-2",M. Ancic,T. Henman,,,CRO,GBR,7-6(7),6-4,6-2,,,02:13:00,,,297,/en/stats/leaderboard?page=serve,5,12,61,60,98,73,44,60,63,24,38,50,1,2,15,257,/en/stats/leaderboard?page=serve,6,5,69,63,91,70,44,63,46,13,28,50,4,8,15,69,68,98,37,34,91,54,102,189,63,57,91,31,30,98,46,87,189,A,,,7.0,5.0,,,M. Ancic,T. Henman,A385,H336,CRO,GBR,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS007,QF,02:09:00,,F,3,R485,"7-6(7),7-6(11),6-3",A. Roddick,S. Schalken,,,USA,NED,7-6(7),7-6(11),6-3,,,02:09:00,,,327,/en/stats/leaderboard?page=serve,6,20,62,69,111,87,60,69,64,27,42,100,4,4,17,313,/en/stats/leaderboard?page=serve,0,5,75,86,114,69,59,86,71,20,28,67,2,3,16,78,87,111,31,35,114,54,122,225,69,79,114,22,24,111,46,103,225,A,11.0,9.0,7.0,4.0,,,A. Roddick,S. Schalken,R485,S572,USA,NED,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS008,R16,01:50:00,,F,3,F324,"6-3,7-6(7),7-6(7)",R. Federer,I. Karlovic,,,SUI,CRO,6-3,7-6(7),7-6(7),,,01:50:00,7.0,5.0,345,/en/stats/leaderboard?page=serve,1,6,75,72,96,82,59,72,83,20,24,100,2,2,17,314,/en/stats/leaderboard?page=serve,2,14,69,69,100,72,50,69,68,21,31,75,3,4,16,82,79,96,29,29,100,55,108,196,71,71,100,18,17,96,45,88,196,A,7.0,3.0,,,,,R. Federer,I. Karlovic,F324,K336,SUI,CRO,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS009,R16,02:45:00,,F,4,H432,"6-4,6-2,4-6,7-6(7)",L. Hewitt,C. Moya,,,AUS,ESP,6-4,6-2,4-6,7-6(7),,02:45:00,,,267,/en/stats/leaderboard?page=serve,7,4,54,72,133,82,59,72,49,30,61,73,8,11,20,266,/en/stats/leaderboard?page=serve,5,14,61,82,135,63,52,82,58,31,53,58,7,12,20,67,89,133,39,52,135,53,141,268,61,83,135,33,44,133,47,127,268,A,,,,,7.0,3.0,L. Hewitt,C. Moya,H432,M605,AUS,ESP,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS010,R16,02:18:00,,F,4,MB02,"6-3,6-7(5),7-6(7),6-4",F. Mayer,J. Johansson,,,GER,SWE,6-3,6-7(5),7-6(7),6-4,,02:18:00,7.0,5.0,338,/en/stats/leaderboard?page=serve,2,24,70,86,123,87,75,86,59,22,37,0,0,0,22,305,/en/stats/leaderboard?page=serve,10,23,68,89,130,83,74,89,51,21,41,71,5,7,21,79,97,123,27,35,130,52,132,253,73,95,130,21,26,123,48,121,253,A,5.0,7.0,,,,,F. Mayer,J. Johansson,MB02,J194,GER,SWE,,
