event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set4_winner,tiebreak_set4_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS001,F,02:58:00,,F,4,F324,"6-0,7-6(7),6-7(2),6-3",R. Federer,R. Nadal,,,SUI,ESP,6-0,7-6(7),6-7(2),6-3,,02:58:00,7.0,5.0,2.0,7.0,305,/en/stats/leaderboard?page=serve,1,13,70,83,119,77,64,83,56,20,36,33,1,3,20,258,/en/stats/leaderboard?page=serve,3,9,74,94,127,68,64,94,42,14,33,40,4,10,19,71,84,119,39,49,127,54,133,246,61,78,127,29,35,119,46,113,246,A,,,,,R. Federer,R. Nadal,F324,N409,SUI,ESP,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS002,SF,01:17:00,,F,3,F324,"6-2,6-0,6-2",R. Federer,J. Bjorkman,,,SUI,SWE,6-2,6-0,6-2,,,01:17:00,,,,,329,/en/stats/leaderboard?page=serve,0,9,73,43,59,84,36,43,63,10,16,0,0,0,11,189,/en/stats/leaderboard?page=serve,2,3,61,39,64,51,20,39,40,10,25,22,2,9,11,78,46,59,53,34,64,65,80,123,47,30,64,22,13,59,35,43,123,A,,,,,R. Federer,J. Bjorkman,F324,B446,SUI,SWE,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS003,SF,02:27:00,,F,3,N409,"6-1,7-5,6-3",R. Nadal,M. Baghdatis,,,ESP,CYP,6-1,7-5,6-3,,,02:27:00,,,,,303,/en/stats/leaderboard?page=serve,0,4,73,75,103,69,52,75,57,16,28,100,9,9,14,233,/en/stats/leaderboard?page=serve,2,3,55,49,89,65,32,49,48,19,40,55,6,11,14,66,68,103,43,38,89,55,106,192,57,51,89,34,35,103,45,86,192,A,,,,,R. Nadal,M. Baghdatis,N409,B837,ESP,CYP,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS004,QF,01:47:00,,F,3,F324,"6-4,6-4,6-4",R. Federer,M. Ancic,,,SUI,CRO,6-4,6-4,6-4,,,01:47:00,,,,,299,/en/stats/leaderboard?page=serve,1,7,57,50,87,78,39,50,65,24,37,67,2,3,15,262,/en/stats/leaderboard?page=serve,1,7,58,46,80,72,33,46,53,18,34,43,3,7,15,72,63,87,36,29,80,55,92,167,64,51,80,28,24,87,45,75,167,A,,,,,R. Federer,M. Ancic,F324,A385,SUI,CRO,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS005,QF,04:03:00,,F,5,B446,"7-6(7),4-6,6-7(5),7-6(9),6-4",J. Bjorkman,R. Stepanek,,,SWE,CZE,7-6(7),4-6,6-7(5),7-6(9),6-4,04:03:00,,,5.0,7.0,270,/en/stats/leaderboard?page=serve,6,9,59,103,176,75,77,103,55,40,73,60,9,15,28,271,/en/stats/leaderboard?page=serve,12,20,63,112,179,77,86,112,45,30,67,40,4,10,28,66,117,176,35,63,179,51,180,355,65,116,179,34,59,176,49,175,355,A,7.0,3.0,9.0,7.0,J. Bjorkman,R. Stepanek,B446,S694,SWE,CZE,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS006,QF,02:32:00,,F,4,B837,"6-1,5-7,7-6(7),6-2",M. Baghdatis,L. Hewitt,,,CYP,AUS,6-1,5-7,7-6(7),6-2,,02:32:00,,,7.0,5.0,276,/en/stats/leaderboard?page=serve,1,20,58,75,129,73,55,75,46,25,54,60,6,10,20,242,/en/stats/leaderboard?page=serve,2,6,60,63,105,70,44,63,45,19,42,0,0,7,19,62,80,129,40,42,105,52,122,234,60,63,105,38,49,129,48,112,234,A,,,,,M. Baghdatis,L. Hewitt,B837,H432,CYP,AUS,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS007,QF,02:15:00,,F,3,N409,"6-3,6-4,6-4",R. Nadal,J. Nieminen,,,ESP,FIN,6-3,6-4,6-4,,,02:15:00,,,,,304,/en/stats/leaderboard?page=serve,2,6,72,74,103,76,56,74,52,15,29,100,2,2,15,256,/en/stats/leaderboard?page=serve,2,5,51,43,85,79,34,43,45,19,42,67,6,9,14,69,71,103,38,32,85,55,103,188,62,53,85,31,32,103,45,85,188,A,,,,,R. Nadal,J. Nieminen,N409,N289,ESP,FIN,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS008,R16,01:23:00,,F,3,F324,"6-3,6-3,6-4",R. Federer,T. Berdych,,,SUI,CZE,6-3,6-3,6-4,,,01:23:00,,,,,346,/en/stats/leaderboard?page=serve,1,21,68,49,72,84,41,49,74,17,23,100,1,1,14,248,/en/stats/leaderboard?page=serve,3,1,68,57,84,63,36,57,48,13,27,43,3,7,14,81,58,72,42,35,84,60,93,156,58,49,84,19,14,72,40,63,156,A,,,,,R. Federer,T. Berdych,F324,BA47,SUI,CZE,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS009,R16,03:24:00,,F,5,A385,"6-4,4-6,4-6,7-5,6-3",M. Ancic,N. Djokovic,,,CRO,SRB,6-4,4-6,4-6,7-5,6-3,03:24:00,,,,,317,/en/stats/leaderboard?page=serve,6,31,59,81,138,85,69,81,56,32,57,33,1,3,26,294,/en/stats/leaderboard?page=serve,5,11,65,86,132,81,70,86,54,25,46,63,5,8,25,73,101,138,28,37,132,51,138,270,72,95,132,27,37,138,49,132,270,A,,,,,M. Ancic,N. Djokovic,A385,D643,CRO,SRB,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS010,R16,03:35:00,,F,5,S694,"6-7(4),6-3,4-6,6-4,6-2",R. Stepanek,F. Verdasco,,,CZE,ESP,6-7(4),6-3,4-6,6-4,6-2,03:35:00,,,,,297,/en/stats/leaderboard?page=serve,9,21,62,93,150,75,70,93,60,34,57,77,10,13,25,260,/en/stats/leaderboard?page=serve,8,7,77,126,164,67,85,126,42,16,38,60,9,15,24,69,104,150,38,63,164,53,167,314,62,101,164,31,46,150,47,147,314,A,4.0,7.0,,,R. Stepanek,F. Verdasco,S694,V306,CZE,ESP,,
