event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,settime_tot_winner,settime_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_id_winner,player_id_loser
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS001,F,03:24:00,,F,4,F324,"4-6,7-5,6-3,6-4",R. Federer,A. Murray,,,SUI,GBR,4-6,7-5,6-3,6-4,,03:24:00,A,R. Federer,A. Murray,SUI,GBR,,,293,/en/stats/leaderboard?page=serve,3,12,69,90,131,76,68,90,49,20,41,71,5,7,21,268,/en/stats/leaderboard?page=serve,1,16,56,88,157,69,61,88,48,33,69,67,8,12,20,67,88,131,40,63,157,52,151,288,60,94,157,33,43,131,48,137,288,03:24:00,03:24:00,,,,,,,,,F324,MC10
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS002,SF,02:19:00,,F,4,F324,"6-3,3-6,6-4,6-3",R. Federer,N. Djokovic,,,SUI,SRB,6-3,3-6,6-4,6-3,,02:19:00,A,R. Federer,N. Djokovic,SUI,SRB,,,317,/en/stats/leaderboard?page=serve,0,12,64,65,101,75,49,65,72,26,36,67,2,3,19,281,/en/stats/leaderboard?page=serve,2,9,63,73,115,71,52,73,57,24,42,73,8,11,18,74,75,101,34,39,115,53,114,216,66,76,115,26,26,101,47,102,216,02:19:00,02:19:00,,,,,,,,,F324,D643
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS003,SF,02:47:00,,F,4,MC10,"6-3,6-4,3-6,7-5",A. Murray,J. Tsonga,,,GBR,FRA,6-3,6-4,3-6,7-5,,02:47:00,A,A. Murray,J. Tsonga,GBR,FRA,,,296,/en/stats/leaderboard?page=serve,2,9,60,67,111,75,50,67,64,28,44,75,6,8,20,259,/en/stats/leaderboard?page=serve,2,11,63,85,135,75,64,85,32,16,50,67,8,12,20,70,78,111,41,55,135,54,133,246,59,80,135,30,33,111,46,113,246,02:47:00,02:47:00,,,,,,,,,MC10,T786
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS004,QF,01:45:00,,F,3,D643,"6-4,6-1,6-4",N. Djokovic,F. Mayer,,,SRB,GER,6-4,6-1,6-4,,,01:45:00,A,N. Djokovic,F. Mayer,SRB,GER,,,296,/en/stats/leaderboard?page=serve,3,7,65,55,84,76,42,55,59,17,29,88,7,8,14,225,/en/stats/leaderboard?page=serve,1,2,57,44,77,61,27,44,45,15,33,44,4,9,13,70,59,84,45,35,77,58,94,161,55,42,77,30,25,84,42,67,161,01:45:00,01:45:00,,,,,,,,,D643,MB02
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS005,QF,01:32:00,,F,3,F324,"6-1,6-2,6-2",R. Federer,M. Youzhny,,,SUI,RUS,6-1,6-2,6-2,,,01:32:00,A,R. Federer,M. Youzhny,SUI,RUS,,,304,/en/stats/leaderboard?page=serve,0,2,62,41,66,88,36,41,52,13,25,100,2,2,12,214,/en/stats/leaderboard?page=serve,2,3,65,53,82,51,27,53,52,15,29,70,14,20,11,74,49,66,49,40,82,60,89,148,51,42,82,26,17,66,40,59,148,01:32:00,01:32:00,,,,,,,,,F324,Y061
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS006,QF,03:52:00,,F,4,MC10,"6-7(5),7-6(8),6-4,7-6(7)",A. Murray,D. Ferrer,,,GBR,ESP,6-7(5),7-6(8),6-4,7-6(7),,03:52:00,A,A. Murray,D. Ferrer,GBR,ESP,,,306,/en/stats/leaderboard?page=serve,3,18,61,92,150,80,74,92,59,34,58,83,10,12,23,284,/en/stats/leaderboard?page=serve,0,6,68,112,165,71,79,112,53,28,53,67,6,9,23,72,108,150,35,58,165,53,166,315,65,107,165,28,42,150,47,149,315,03:52:00,03:52:00,5,7,8,6,7,4,,,MC10,F401
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS007,QF,02:48:00,,F,4,T786,"7-6(7),4-6,7-6(7),6-2",J. Tsonga,P. Kohlschreiber,,,FRA,GER,7-6(7),4-6,7-6(7),6-2,,02:48:00,A,J. Tsonga,P. Kohlschreiber,FRA,GER,,,309,/en/stats/leaderboard?page=serve,0,17,63,80,126,80,64,80,59,27,46,60,3,5,21,282,/en/stats/leaderboard?page=serve,4,10,63,85,136,71,60,85,57,29,51,70,7,10,21,72,91,126,35,47,136,53,138,262,65,89,136,28,35,126,47,124,262,02:48:00,02:48:00,7,5,,,,,7,3,T786,K435
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS008,R16,01:30:00,,F,3,D643,"6-3,6-1,6-3",N. Djokovic,V. Troicki,,,SRB,SRB,6-3,6-1,6-3,,,01:30:00,A,N. Djokovic,V. Troicki,SRB,SRB,,,304,/en/stats/leaderboard?page=serve,2,4,76,53,70,81,43,53,53,9,17,75,3,4,13,206,/en/stats/leaderboard?page=serve,2,3,58,42,73,55,23,42,42,13,31,25,2,8,12,74,52,70,51,37,73,62,89,143,49,36,73,26,18,70,38,54,143,01:30:00,01:30:00,,,,,,,,,D643,T840
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS009,R16,01:52:00,,F,4,MB02,"6-3,6-1,3-6,6-2",F. Mayer,R. Gasquet,,,GER,FRA,6-3,6-1,3-6,6-2,,01:52:00,A,F. Mayer,R. Gasquet,GER,FRA,,,318,/en/stats/leaderboard?page=serve,0,14,60,49,81,82,40,49,69,22,32,0,0,1,16,247,/en/stats/leaderboard?page=serve,2,7,76,82,108,67,55,82,35,9,26,50,6,12,17,77,62,81,41,44,108,56,106,189,59,64,108,23,19,81,44,83,189,01:52:00,01:52:00,,,,,,,,,MB02,G628
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS010,R16,02:11:00,,F,4,F324,"7-6(7),6-1,4-6,6-3",R. Federer,X. Malisse,,,SUI,BEL,7-6(7),6-1,4-6,6-3,,02:11:00,A,R. Federer,X. Malisse,SUI,BEL,,,292,/en/stats/leaderboard?page=serve,1,9,70,82,117,73,60,82,57,20,35,73,8,11,19,241,/en/stats/leaderboard?page=serve,2,9,71,79,111,67,53,79,28,9,32,14,1,7,19,68,80,117,44,49,111,57,129,228,56,62,111,32,37,117,43,99,228,02:11:00,02:11:00,7,1,,,,,,,F324,M680
