event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,player_a,player_b,player_a_id,player_b_id,country_a,country_b,seed_a,seed_b,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_a,serveratinglink_tot_a,doublefaults_tot_a,aces_tot_a,firstserve_percent_tot_a,firstserve_dividend_tot_a,firstserve_divisor_tot_a,firstservepointswon_percent_tot_a,firstservepointswon_dividend_tot_a,firstservepointswon_divisor_tot_a,secondservepointswon_percent_tot_a,secondservepointswon_dividend_tot_a,secondservepointswon_divisor_tot_a,breakpointssaved_percent_tot_a,breakpointssaved_dividend_tot_a,breakpointssaved_divisor_tot_a,servicegamesplayed_tot_a,serverating_tot_b,serveratinglink_tot_b,doublefaults_tot_b,aces_tot_b,firstserve_percent_tot_b,firstserve_dividend_tot_b,firstserve_divisor_tot_b,firstservepointswon_percent_tot_b,firstservepointswon_dividend_tot_b,firstservepointswon_divisor_tot_b,secondservepointswon_percent_tot_b,secondservepointswon_dividend_tot_b,secondservepointswon_divisor_tot_b,breakpointssaved_percent_tot_b,breakpointssaved_dividend_tot_b,breakpointssaved_divisor_tot_b,servicegamesplayed_tot_b,totalservicepointswon_percent_tot_a,totalservicepointswon_dividend_tot_a,totalservicepointswon_divisor_tot_a,totalreturnpointswon_percent_tot_a,totalreturnpointswon_dividend_tot_a,totalreturnpointswon_divisor_tot_a,totalpointswon_percent_tot_a,totalpointswon_dividend_tot_a,totalpointswon_divisor_tot_a,totalservicepointswon_percent_tot_b,totalservicepointswon_dividend_tot_b,totalservicepointswon_divisor_tot_b,totalreturnpointswon_percent_tot_b,totalreturnpointswon_dividend_tot_b,totalreturnpointswon_divisor_tot_b,totalpointswon_percent_tot_b,totalpointswon_dividend_tot_b,totalpointswon_divisor_tot_b,winner_flag,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser
540,2026,Wimbledon,GS,2026-06-29T00:00:00,2026-07-12T00:00:00,Grass,128,30060000,£,MS001,Final,,,F,5,,J. Sinner,A. Zverev,S0AG,Z355,ITA,GER,1,2,,,,,,,,,,,,,2026-06-29T00:00:00,222.0,/en/stats/leaderboard?page=serve,2.0,15.0,66.0,90.0,136.0,80.0,72.0,90.0,63.0,29.0,46.0,100.0,1.0,1.0,0.0,227.0,/en/stats/leaderboard?page=serve,2.0,17.0,80.0,111.0,139.0,71.0,79.0,111.0,61.0,17.0,28.0,60.0,3.0,5.0,0.0,74.0,101.0,136.0,31.0,43.0,139.0,52.0,144.0,275.0,69.0,96.0,139.0,26.0,35.0,136.0,48.0,131.0,275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,2026,Wimbledon,GS,2026-06-29T00:00:00,2026-07-12T00:00:00,Grass,128,30060000,£,MS002,Semifinals,,,F,5,,J. Sinner,N. Djokovic,S0AG,D643,ITA,SRB,1,7,,,,,,,,,,,,,2026-06-29T00:00:00,229.0,/en/stats/leaderboard?page=serve,0.0,16.0,63.0,50.0,79.0,88.0,44.0,50.0,62.0,18.0,29.0,100.0,1.0,1.0,0.0,180.0,/en/stats/leaderboard?page=serve,3.0,8.0,62.0,65.0,105.0,75.0,49.0,65.0,38.0,15.0,40.0,77.0,10.0,13.0,0.0,78.0,62.0,79.0,39.0,41.0,105.0,56.0,103.0,184.0,61.0,64.0,105.0,22.0,17.0,79.0,44.0,81.0,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,2026,Wimbledon,GS,2026-06-29T00:00:00,2026-07-12T00:00:00,Grass,128,30060000,£,MS003,Semifinals,,,F,5,,A. Fery,A. Zverev,F0DM,Z355,GBR,GER,,2,,,,,,,,,,,,,2026-06-29T00:00:00,109.0,/en/stats/leaderboard?page=serve,4.0,5.0,70.0,69.0,98.0,59.0,41.0,69.0,-21.0,-6.0,29.0,50.0,4.0,8.0,0.0,140.0,/en/stats/leaderboard?page=serve,2.0,9.0,75.0,59.0,79.0,78.0,46.0,59.0,-20.0,-4.0,20.0,0.0,0.0,1.0,0.0,36.0,35.0,98.0,47.0,37.0,79.0,41.0,72.0,177.0,53.0,42.0,79.0,64.0,63.0,98.0,59.0,105.0,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,2026,Wimbledon,GS,2026-06-29T00:00:00,2026-07-12T00:00:00,Grass,128,30060000,£,MS004,Quarterfinals,,,F,5,,J. Sinner,J. Struff,S0AG,SL28,ITA,GER,1,,,,,,,,,,,,,,2026-06-29T00:00:00,210.0,/en/stats/leaderboard?page=serve,2.0,16.0,65.0,70.0,108.0,84.0,59.0,70.0,47.0,18.0,38.0,50.0,1.0,2.0,0.0,188.0,/en/stats/leaderboard?page=serve,3.0,12.0,50.0,50.0,101.0,80.0,40.0,50.0,49.0,25.0,51.0,67.0,6.0,9.0,0.0,71.0,77.0,108.0,36.0,36.0,101.0,54.0,113.0,209.0,64.0,65.0,101.0,29.0,31.0,108.0,46.0,96.0,209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,2026,Wimbledon,GS,2026-06-29T00:00:00,2026-07-12T00:00:00,Grass,128,30060000,£,MS005,Quarterfinals,,,F,5,,F. Auger-Aliassime,N. Djokovic,AG37,D643,CAN,SRB,3,7,,,,,,,,,,,,,2026-06-29T00:00:00,213.0,/en/stats/leaderboard?page=serve,5.0,29.0,66.0,132.0,199.0,80.0,105.0,132.0,43.0,29.0,67.0,85.0,11.0,13.0,0.0,218.0,/en/stats/leaderboard?page=serve,6.0,14.0,73.0,128.0,175.0,73.0,94.0,128.0,64.0,30.0,47.0,50.0,2.0,4.0,0.0,67.0,134.0,199.0,29.0,51.0,175.0,49.0,185.0,374.0,71.0,124.0,175.0,33.0,65.0,199.0,51.0,189.0,374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,2026,Wimbledon,GS,2026-06-29T00:00:00,2026-07-12T00:00:00,Grass,128,30060000,£,MS006,Quarterfinals,,,F,5,,F. Cobolli,A. Fery,C0E9,F0DM,ITA,GBR,9,,,,,,,,,,,,,,2026-06-29T00:00:00,172.0,/en/stats/leaderboard?page=serve,2.0,6.0,74.0,71.0,96.0,66.0,47.0,71.0,28.0,7.0,25.0,44.0,4.0,9.0,0.0,214.0,/en/stats/leaderboard?page=serve,1.0,8.0,70.0,57.0,82.0,77.0,44.0,57.0,60.0,15.0,25.0,75.0,3.0,4.0,0.0,56.0,54.0,96.0,28.0,23.0,82.0,43.0,77.0,178.0,72.0,59.0,82.0,44.0,42.0,96.0,57.0,101.0,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,2026,Wimbledon,GS,2026-06-29T00:00:00,2026-07-12T00:00:00,Grass,128,30060000,£,MS007,Quarterfinals,,,F,5,,T. Fritz,A. Zverev,FB98,Z355,USA,GER,6,2,,,,,,,,,,,,,2026-06-29T00:00:00,196.0,/en/stats/leaderboard?page=serve,2.0,17.0,68.0,60.0,88.0,70.0,42.0,60.0,43.0,12.0,28.0,33.0,2.0,6.0,0.0,232.0,/en/stats/leaderboard?page=serve,2.0,14.0,76.0,59.0,78.0,76.0,45.0,59.0,68.0,13.0,19.0,100.0,4.0,4.0,0.0,61.0,54.0,88.0,26.0,20.0,78.0,45.0,74.0,166.0,74.0,58.0,78.0,39.0,34.0,88.0,55.0,92.0,166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,2026,Wimbledon,GS,2026-06-29T00:00:00,2026-07-12T00:00:00,Grass,128,30060000,£,MS008,Round of 16,,,F,5,,J. Sinner,S. Mochizuki,S0AG,M0HU,ITA,JPN,1,,,,,,,,,,,,,,2026-06-29T00:00:00,224.0,/en/stats/leaderboard?page=serve,3.0,15.0,74.0,63.0,85.0,83.0,52.0,63.0,55.0,12.0,22.0,100.0,5.0,5.0,0.0,176.0,/en/stats/leaderboard?page=serve,3.0,4.0,60.0,70.0,116.0,67.0,47.0,70.0,48.0,22.0,46.0,67.0,8.0,12.0,0.0,75.0,64.0,85.0,41.0,47.0,116.0,55.0,111.0,201.0,59.0,69.0,116.0,25.0,21.0,85.0,45.0,90.0,201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,2026,Wimbledon,GS,2026-06-29T00:00:00,2026-07-12T00:00:00,Grass,128,30060000,£,MS009,Round of 16,,,F,5,,H. Hurkacz,J. Struff,HB71,SL28,POL,GER,,,,,,,,,,,,,,,2026-06-29T00:00:00,203.0,/en/stats/leaderboard?page=serve,7.0,34.0,73.0,137.0,187.0,73.0,100.0,137.0,30.0,15.0,50.0,64.0,7.0,11.0,0.0,217.0,/en/stats/leaderboard?page=serve,2.0,24.0,65.0,98.0,151.0,79.0,77.0,98.0,51.0,27.0,53.0,25.0,1.0,4.0,0.0,61.0,115.0,187.0,31.0,47.0,151.0,48.0,162.0,338.0,69.0,104.0,151.0,39.0,72.0,187.0,52.0,176.0,338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,2026,Wimbledon,GS,2026-06-29T00:00:00,2026-07-12T00:00:00,Grass,128,30060000,£,MS010,Round of 16,,,F,5,,F. Auger-Aliassime,A. Davidovich Fokina,AG37,DH50,CAN,ESP,3,22,,,,,,,,,,,,,2026-06-29T00:00:00,218.0,/en/stats/leaderboard?page=serve,4.0,27.0,65.0,115.0,176.0,78.0,90.0,115.0,52.0,32.0,61.0,86.0,6.0,7.0,0.0,200.0,/en/stats/leaderboard?page=serve,7.0,10.0,72.0,124.0,172.0,73.0,90.0,124.0,52.0,25.0,48.0,75.0,12.0,16.0,0.0,69.0,122.0,176.0,33.0,57.0,172.0,51.0,179.0,348.0,67.0,115.0,172.0,31.0,54.0,176.0,49.0,169.0,348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,2026,Wimbledon,GS,2026-06-29T00:00:00,2026-07-12T00:00:00,Grass,128,30060000,£,MS011,Round of 16,,,F,5,,R. Safiullin,N. Djokovic,SX50,D643,RUS,SRB,,7,,,,,,,,,,,,,2026-06-29T00:00:00,194.0,/en/stats/leaderboard?page=serve,3.0,8.0,82.0,92.0,112.0,67.0,62.0,92.0,40.0,8.0,20.0,44.0,4.0,9.0,0.0,197.0,/en/stats/leaderboard?page=serve,3.0,10.0,80.0,101.0,126.0,70.0,71.0,101.0,40.0,10.0,25.0,71.0,10.0,14.0,0.0,63.0,70.0,112.0,36.0,45.0,126.0,48.0,115.0,238.0,64.0,81.0,126.0,38.0,42.0,112.0,52.0,123.0,238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
