event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set5_winner,tiebreak_set5_loser,tiebreak_set4_winner,tiebreak_set4_loser,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,servicegamesplayed_isstatbetter_tot_winner,servicegamesplayed_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
560,1997,US Open,GS,1997-08-25T00:00:00,1997-09-07T00:00:00,Hard,128,5152000,$,MS001,F,02:25:00,,F,4,R255,"6-3,6-2,4-6,7-5",P. Rafter,G. Rusedski,,,AUS,GBR,6-3,6-2,4-6,7-5,,02:25:00,272,/en/stats/leaderboard?page=serve,6,7,62,76.0,123,84,64.0,76.0,40,19.0,47.0,67,6,9,20,249,/en/stats/leaderboard?page=serve,4,9,63,85.0,136,68,58.0,85.0,45,23.0,51.0,65,11,17.0,19,67,83,123,40,55,136,53,138,259,60,81,136,33,40,123,47,121,259,A,,,,,,,,,,,,,,,P. Rafter,G. Rusedski,R255,R237,AUS,GBR,,
560,1997,US Open,GS,1997-08-25T00:00:00,1997-09-07T00:00:00,Hard,128,5152000,$,MS002,SF,02:30:00,,F,5,R237,"6-1,3-6,3-6,6-3,7-5",G. Rusedski,J. Bjorkman,,,GBR,SWE,6-1,3-6,3-6,6-3,7-5,02:30:00,298,/en/stats/leaderboard?page=serve,2,15,64,94.0,146,77,72.0,94.0,58,30.0,52.0,70,7,10,23,277,/en/stats/leaderboard?page=serve,1,5,63,86.0,137,71,61.0,86.0,61,31.0,51.0,58,7,12.0,23,70,102,146,33,45,137,52,147,283,67,92,137,30,44,146,48,136,283,A,,,,,,,,,,,,,,,G. Rusedski,J. Bjorkman,R237,B446,GBR,SWE,,
560,1997,US Open,GS,1997-08-25T00:00:00,1997-09-07T00:00:00,Hard,128,5152000,$,MS003,SF,02:02:00,,F,3,R255,"6-3,6-3,6-4",P. Rafter,M. Chang,,,AUS,USA,6-3,6-3,6-4,,,02:02:00,243,/en/stats/leaderboard?page=serve,4,9,65,66.0,101,85,56.0,66.0,46,16.0,35.0,,0,,14,250,/en/stats/leaderboard?page=serve,2,2,64,58.0,91,67,39.0,58.0,48,16.0,33.0,56,5,9.0,14,71,72,101,40,36,91,56,108,192,60,55,91,29,29,101,44,84,192,A,,,,,,,,,,,,,,,P. Rafter,M. Chang,R255,C274,AUS,USA,,
560,1997,US Open,GS,1997-08-25T00:00:00,1997-09-07T00:00:00,Hard,128,5152000,$,MS004,QF,01:32:00,,F,3,B446,"7-6(7),6-2,1-0",J. Bjorkman,P. Korda,,,SWE,CZE,7-6(7),6-2,1-0,,,01:32:00,231,/en/stats/leaderboard?page=serve,4,1,73,65.0,89,65,42.0,65.0,33,8.0,24.0,50,4,8,11,203,/en/stats/leaderboard?page=serve,5,5,63,55.0,87,51,28.0,55.0,44,14.0,32.0,54,7,13.0,11,56,50,89,52,45,87,54,95,176,48,42,87,44,39,89,46,81,176,A,7,3,,,,,,,,,,,,,J. Bjorkman,P. Korda,B446,K148,SWE,CZE,,
560,1997,US Open,GS,1997-08-25T00:00:00,1997-09-07T00:00:00,Hard,128,5152000,$,MS005,QF,01:56:00,,F,3,R237,"7-5,7-6(7),7-6(8)",G. Rusedski,R. Krajicek,,,GBR,NED,7-5,7-6(7),7-6(8),,,01:56:00,281,/en/stats/leaderboard?page=serve,6,2,60,77.0,129,79,61.0,77.0,52,27.0,52.0,80,4,5,18,285,/en/stats/leaderboard?page=serve,6,10,63,78.0,124,78,61.0,78.0,52,24.0,46.0,50,2,4.0,18,68,88,129,31,39,124,50,127,253,69,85,124,32,41,129,50,126,253,A,,,7,5,8,6,,,,,,,,,G. Rusedski,R. Krajicek,R237,K214,GBR,NED,,
560,1997,US Open,GS,1997-08-25T00:00:00,1997-09-07T00:00:00,Hard,128,5152000,$,MS006,QF,01:48:00,,F,3,R255,"7-6(7),6-4,6-2",P. Rafter,M. Larsson,,,AUS,SWE,7-6(7),6-4,6-2,,,01:48:00,262,/en/stats/leaderboard?page=serve,7,4,60,63.0,105,79,50.0,63.0,40,17.0,42.0,33,1,3,15,245,/en/stats/leaderboard?page=serve,3,9,65,66.0,102,77,51.0,66.0,31,11.0,36.0,38,3,8.0,15,64,67,105,39,40,102,52,107,207,61,62,102,36,38,105,48,100,207,A,7,4,,,,,,,,,,,,,P. Rafter,M. Larsson,R255,L206,AUS,SWE,,
560,1997,US Open,GS,1997-08-25T00:00:00,1997-09-07T00:00:00,Hard,128,5152000,$,MS007,QF,02:57:00,,F,5,C274,"7-5,6-2,4-6,4-6,6-3",M. Chang,M. Rios,,,USA,CHI,7-5,6-2,4-6,4-6,6-3,02:57:00,273,/en/stats/leaderboard?page=serve,1,8,53,79.0,148,78,62.0,79.0,55,38.0,69.0,50,5,10,25,251,/en/stats/leaderboard?page=serve,3,5,62,90.0,145,68,61.0,90.0,49,27.0,55.0,36,4,11.0,24,68,100,148,39,57,145,54,157,293,61,88,145,32,48,148,46,136,293,A,,,,,,,,,,,,,,,M. Chang,M. Rios,C274,R286,USA,CHI,,
560,1997,US Open,GS,1997-08-25T00:00:00,1997-09-07T00:00:00,Hard,128,5152000,$,MS008,R16,03:34:00,,F,5,K148,"6-7(4),7-5,7-6(7),3-6,7-6(7)",P. Korda,P. Sampras,,,CZE,USA,6-7(4),7-5,7-6(7),3-6,7-6(7),03:34:00,296,/en/stats/leaderboard?page=serve,6,15,67,127.0,190,80,102.0,127.0,54,34.0,63.0,50,4,8,29,295,/en/stats/leaderboard?page=serve,5,24,61,134.0,219,79,106.0,134.0,47,40.0,85.0,75,9,12.0,28,72,136,190,33,73,219,51,209,409,67,146,219,28,54,190,49,200,409,A,4,7,,,7,2,7,3,,,,,,,P. Korda,P. Sampras,K148,S402,CZE,USA,,
560,1997,US Open,GS,1997-08-25T00:00:00,1997-09-07T00:00:00,Hard,128,5152000,$,MS009,R16,02:23:00,,F,4,B446,"6-3,6-3,1-6,7-6(8)",J. Bjorkman,S. Draper,,,SWE,AUS,6-3,6-3,1-6,7-6(8),,02:23:00,260,/en/stats/leaderboard?page=serve,3,4,56,71.0,126,75,53.0,71.0,51,28.0,55.0,67,8,12,18,262,/en/stats/leaderboard?page=serve,2,9,60,75.0,124,79,59.0,75.0,43,21.0,49.0,58,7,12.0,19,64,81,126,35,44,124,50,125,250,65,80,124,36,45,126,50,125,250,A,,,,,,,,,8,6,,,,,J. Bjorkman,S. Draper,B446,D270,SWE,AUS,,
560,1997,US Open,GS,1997-08-25T00:00:00,1997-09-07T00:00:00,Hard,128,5152000,$,MS010,R16,01:39:00,,F,3,R237,"7-6(7),6-2,6-2",G. Rusedski,D. Vacek,,,GBR,CZE,7-6(7),6-2,6-2,,,01:39:00,224,/en/stats/leaderboard?page=serve,3,17,62,63.0,102,89,56.0,63.0,59,23.0,39.0,0,0,,14,240,/en/stats/leaderboard?page=serve,4,6,57,56.0,99,77,43.0,56.0,33,14.0,43.0,56,5,9.0,14,77,79,102,42,42,99,60,121,201,58,57,99,23,23,102,40,80,201,A,7,2,,,,,,,,,,,,,G. Rusedski,D. Vacek,R237,V141,GBR,CZE,,
