event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set5_winner,tiebreak_set5_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
560,1998,US Open,GS,1998-08-31T00:00:00,1998-09-13T00:00:00,Hard,128,6032000,$,MS001,F,00:03:00,,F,4,R255,"6-3,3-6,6-2,6-0",P. Rafter,M. Philippoussis,,,AUS,AUS,6-3,3-6,6-2,6-0,,00:03:00,311,/en/stats/leaderboard?page=serve,1,7,72,68,94,82,56,68,58,15,26,67,2,3,16,205,/en/stats/leaderboard?page=serve,13,5,52,70,135,64,45,70,35,23,65,70,14,20,16,76,71,94,50,67,135,60,138,229,50,68,135,24,23,94,40,91,229,A,,,,,,,,,,,,,P. Rafter,M. Philippoussis,R255,P338,AUS,AUS,,
560,1998,US Open,GS,1998-08-31T00:00:00,1998-09-13T00:00:00,Hard,128,6032000,$,MS002,SF,00:08:00,,F,5,R255,"6-7(8),6-4,2-6,6-4,6-3",P. Rafter,P. Sampras,,,AUS,USA,6-7(8),6-4,2-6,6-4,6-3,00:08:00,301,/en/stats/leaderboard?page=serve,5,12,62,93,149,78,73,93,63,35,56,33,1,3,24,256,/en/stats/leaderboard?page=serve,16,16,49,92,188,78,72,92,45,43,96,33,2,6,25,72,108,149,39,73,188,54,181,337,61,115,188,28,41,149,46,156,337,A,8,10,,,,,,,,,,,P. Rafter,P. Sampras,R255,S402,AUS,USA,,
560,1998,US Open,GS,1998-08-31T00:00:00,1998-09-13T00:00:00,Hard,128,6032000,$,MS003,SF,00:03:00,,F,4,P338,"6-1,6-4,5-7,6-4",M. Philippoussis,C. Moya,,,AUS,ESP,6-1,6-4,5-7,6-4,,00:03:00,298,/en/stats/leaderboard?page=serve,11,21,66,94,143,88,83,94,39,19,49,67,2,3,20,259,/en/stats/leaderboard?page=serve,4,6,57,71,124,79,56,71,43,23,53,71,10,14,19,71,102,143,36,45,124,55,147,267,64,79,124,29,41,143,45,120,267,A,,,,,,,,,,,,,M. Philippoussis,C. Moya,P338,M605,AUS,ESP,,
560,1998,US Open,GS,1998-08-31T00:00:00,1998-09-13T00:00:00,Hard,128,6032000,$,MS004,QF,00:04:00,,F,3,S402,"6-3,7-5,6-4",P. Sampras,K. Kucera,,,USA,SVK,6-3,7-5,6-4,,,00:04:00,301,/en/stats/leaderboard?page=serve,2,13,62,65,105,83,54,65,58,23,40,60,3,5,16,233,/en/stats/leaderboard?page=serve,3,4,69,74,108,68,50,74,29,10,34,64,9,14,15,73,77,105,44,48,108,59,125,213,56,60,108,27,28,105,41,88,213,A,,,,,,,,,,,,,P. Sampras,K. Kucera,S402,K237,USA,SVK,,
560,1998,US Open,GS,1998-08-31T00:00:00,1998-09-13T00:00:00,Hard,128,6032000,$,MS005,QF,00:05:00,,F,3,R255,"6-2,6-3,7-5",P. Rafter,J. Bjorkman,,,AUS,SWE,6-2,6-3,7-5,,,00:05:00,306,/en/stats/leaderboard?page=serve,,5,76,74,98,74,55,74,58,14,24,67,2,3,15,250,/en/stats/leaderboard?page=serve,1,1,76,71,94,58,41,71,52,12,23,50,5,10,14,70,69,98,44,41,94,57,110,192,56,53,94,30,29,98,43,82,192,A,,,False,,,,,,,,,,P. Rafter,J. Bjorkman,R255,B446,AUS,SWE,,
560,1998,US Open,GS,1998-08-31T00:00:00,1998-09-13T00:00:00,Hard,128,6032000,$,MS006,QF,00:06:00,,F,5,P338,"4-6,6-3,6-7(3),6-3,7-6(12)",M. Philippoussis,T. Johansson,,,AUS,SWE,4-6,6-3,6-7(3),6-3,7-6(12),00:06:00,299,/en/stats/leaderboard?page=serve,7,29,65,136,209,85,116,136,42,31,73,69,9,13,27,261,/en/stats/leaderboard?page=serve,15,21,54,119,219,83,99,119,38,38,100,76,16,21,25,70,147,209,37,82,219,54,229,428,63,137,219,30,62,209,46,199,428,A,,,,3,7,12,10,,,,,,M. Philippoussis,T. Johansson,P338,J129,AUS,SWE,,
560,1998,US Open,GS,1998-08-31T00:00:00,1998-09-13T00:00:00,Hard,128,6032000,$,MS007,QF,00:03:00,,F,3,M605,"6-4,6-3,6-3",C. Moya,M. Larsson,,,ESP,SWE,6-4,6-3,6-3,,,00:03:00,284,/en/stats/leaderboard?page=serve,3,1,46,38,82,82,31,38,66,29,44,,0,,14,257,/en/stats/leaderboard?page=serve,3,8,68,69,102,71,49,69,42,14,33,56,5,9,14,73,60,82,38,39,102,54,99,184,62,63,102,27,22,82,46,85,184,A,,,,,,,,,,,,,C. Moya,M. Larsson,M605,L206,ESP,SWE,,
560,1998,US Open,GS,1998-08-31T00:00:00,1998-09-13T00:00:00,Hard,128,6032000,$,MS008,R16,00:03:00,,F,3,S402,"6-4,6-3,6-2",P. Sampras,M. Safin,,,USA,RUS,6-4,6-3,6-2,,,00:03:00,297,/en/stats/leaderboard?page=serve,7,18,65,69,106,90,62,69,46,17,37,,0,,14,259,/en/stats/leaderboard?page=serve,3,10,61,48,79,83,40,48,39,12,31,50,4,8,13,75,79,106,34,27,79,57,106,185,66,52,79,25,27,106,43,79,185,A,,,,,,,,,,,,,P. Sampras,M. Safin,S402,S741,USA,RUS,,
560,1998,US Open,GS,1998-08-31T00:00:00,1998-09-13T00:00:00,Hard,128,6032000,$,MS009,R16,00:11:00,,F,5,K237,"6-3,6-3,6-7(5),1-6,6-3",K. Kucera,A. Agassi,,,SVK,USA,6-3,6-3,6-7(5),1-6,6-3,00:11:00,265,/en/stats/leaderboard?page=serve,8,18,58,109,187,77,84,109,42,33,78,71,12,17,23,245,/en/stats/leaderboard?page=serve,6,7,62,117,189,64,75,117,49,35,72,67,14,21,23,63,117,187,42,79,189,52,196,376,58,110,189,37,70,187,48,180,376,A,,,,5,7,,,,,,,,K. Kucera,A. Agassi,K237,A092,SVK,USA,,
560,1998,US Open,GS,1998-08-31T00:00:00,1998-09-13T00:00:00,Hard,128,6032000,$,MS010,R16,00:08:00,,F,4,R255,"6-3,6-4,4-6,6-1",P. Rafter,G. Ivanisevic,,,AUS,CRO,6-3,6-4,4-6,6-1,,00:08:00,309,/en/stats/leaderboard?page=serve,2,11,76,87,114,86,75,87,44,12,27,75,3,4,18,260,/en/stats/leaderboard?page=serve,1,9,45,48,107,79,38,48,56,33,59,38,3,8,18,76,87,114,34,36,107,56,123,221,66,71,107,24,27,114,44,98,221,A,,,,,,,,,,,,,P. Rafter,G. Ivanisevic,R255,I034,AUS,CRO,,
