event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_id_winner,player_id_loser
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS001,F,04:19:00,,F,5,N409,"7-5,3-6,7-6(7),3-6,6-2",R. Nadal,R. Federer,,,ESP,SUI,7-5,3-6,7-6(7),3-6,6-2,04:19:00,A,R. Nadal,R. Federer,ESP,SUI,,,7.0,3.0,253,/en/stats/leaderboard?page=serve,4,4,64,112,175,66,74,112,48,30,63,68,13,19,24,249,/en/stats/leaderboard?page=serve,6,11,52,89,172,73,65,89,46,38,83,56,9,16,26,59,104,175,40,69,172,50,173,347,60,103,172,41,71,175,50,174,347,,,,,,,N409,F324
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS002,SF,05:10:00,,F,5,N409,"6-7(4),6-4,7-6(7),6-7(1),6-4",R. Nadal,F. Verdasco,,,ESP,ESP,6-7(4),6-4,7-6(7),6-7(1),6-4,05:10:00,A,R. Nadal,F. Verdasco,ESP,ESP,,,7.0,2.0,309,/en/stats/leaderboard?page=serve,3,12,74,128,173,72,92,128,62,28,45,50,2,4,28,297,/en/stats/leaderboard?page=serve,4,21,70,148,212,70,104,148,55,35,64,80,16,20,28,69,120,173,34,73,212,50,193,385,66,139,212,31,53,173,50,192,385,4.0,7.0,1.0,7.0,,,N409,V306
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS003,SF,02:05:00,,F,3,F324,"6-2,7-5,7-5",R. Federer,A. Roddick,,,SUI,USA,6-2,7-5,7-5,,,02:05:00,A,R. Federer,A. Roddick,SUI,USA,,,,,323,/en/stats/leaderboard?page=serve,0,16,66,63,96,83,52,63,58,19,33,100,3,3,16,268,/en/stats/leaderboard?page=serve,2,8,65,61,94,70,43,61,52,17,33,69,9,13,16,74,71,96,36,34,94,55,105,190,64,60,94,26,25,96,45,85,190,,,,,,,F324,R485
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS004,QF,02:26:00,,F,3,N409,"6-2,7-5,7-5",R. Nadal,G. Simon,,,ESP,FRA,6-2,7-5,7-5,,,02:26:00,A,R. Nadal,G. Simon,ESP,FRA,,,,,282,/en/stats/leaderboard?page=serve,2,5,67,63,94,73,46,63,58,18,31,57,4,7,16,220,/en/stats/leaderboard?page=serve,4,4,55,52,94,71,37,52,38,16,42,42,5,12,16,68,64,94,44,41,94,56,105,188,56,53,94,32,30,94,44,83,188,,,,,,,N409,SD32
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS005,QF,02:44:00,,F,4,V306,"7-6(7),3-6,6-3,6-2",F. Verdasco,J. Tsonga,,,ESP,FRA,7-6(7),3-6,6-3,6-2,,02:44:00,A,F. Verdasco,J. Tsonga,ESP,FRA,,,,,299,/en/stats/leaderboard?page=serve,3,7,77,103,133,69,71,103,60,18,30,85,11,13,19,270,/en/stats/leaderboard?page=serve,3,9,65,71,110,72,51,71,49,19,39,0,0,4,19,67,89,133,36,40,110,53,129,243,64,70,110,33,44,133,47,114,243,7.0,2.0,,,,,V306,T786
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS006,QF,02:30:00,,F,4,R485,"6-7(3),6-4,6-2,2-1",A. Roddick,N. Djokovic,,,USA,SRB,6-7(3),6-4,6-2,2-1,,02:30:00,A,A. Roddick,N. Djokovic,USA,SRB,,,,,306,/en/stats/leaderboard?page=serve,5,16,71,62,87,87,54,62,44,11,25,0,0,1,16,247,/en/stats/leaderboard?page=serve,5,8,63,72,115,64,46,72,47,20,43,58,7,12,17,75,65,87,43,49,115,56,114,202,57,66,115,25,22,87,44,88,202,3.0,7.0,,,,,R485,D643
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS007,QF,01:20:00,,F,3,F324,"6-3,6-0,6-0",R. Federer,J. del Potro,,,SUI,ARG,6-3,6-0,6-0,,,01:20:00,A,R. Federer,J. del Potro,SUI,ARG,,,,,343,/en/stats/leaderboard?page=serve,0,12,70,37,53,86,32,37,75,12,16,0,0,0,11,171,/en/stats/leaderboard?page=serve,2,5,59,39,66,46,18,39,33,9,27,36,4,11,10,83,44,53,59,39,66,70,83,119,41,27,66,17,9,53,30,36,119,,,,,,,F324,D683
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS008,R16,01:53:00,,F,3,N409,"6-3,6-2,6-4",R. Nadal,F. Gonzalez,,,ESP,CHI,6-3,6-2,6-4,,,01:53:00,A,R. Nadal,F. Gonzalez,ESP,CHI,,,,,297,/en/stats/leaderboard?page=serve,0,4,67,49,73,78,38,49,63,15,24,71,5,7,14,221,/en/stats/leaderboard?page=serve,2,6,69,61,89,59,36,61,36,10,28,54,7,13,13,73,53,73,48,43,89,59,96,162,52,46,89,27,20,73,41,66,162,,,,,,,N409,G415
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS009,R16,01:59:00,,F,3,SD32,"6-4,2-6,6-1",G. Simon,G. Monfils,,,FRA,FRA,6-4,2-6,6-1,,,01:59:00,A,G. Simon,G. Monfils,FRA,FRA,,,,,239,/en/stats/leaderboard?page=serve,4,3,64,49,77,71,35,49,36,10,28,56,5,9,13,213,/en/stats/leaderboard?page=serve,3,1,56,50,89,60,30,50,41,16,39,50,5,10,12,58,45,77,48,43,89,53,88,166,52,46,89,42,32,77,47,78,166,,,,,,,SD32,MC65
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS010,R16,03:09:00,,F,5,V306,"2-6,6-1,1-6,6-3,6-4",F. Verdasco,A. Murray,,,ESP,GBR,2-6,6-1,1-6,6-3,6-4,03:09:00,A,F. Verdasco,A. Murray,ESP,GBR,,,,,257,/en/stats/leaderboard?page=serve,6,10,74,100,135,69,69,100,34,12,35,62,8,13,21,259,/en/stats/leaderboard?page=serve,3,7,61,85,140,64,54,85,55,30,55,71,12,17,20,60,81,135,40,56,140,50,137,275,60,84,140,40,54,135,50,138,275,,,,,,,V306,MC10
