event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,settime_tot_winner,settime_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set4_winner,tiebreak_set4_loser,player_id_winner,player_id_loser
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS001,F,02:53:00,,F,3,D643,"6-1,7-5,7-6(7)",N. Djokovic,A. Murray,,,SRB,GBR,6-1,7-5,7-6(7),,,02:53:00,A,N. Djokovic,A. Murray,SRB,GBR,,,284,/en/stats/leaderboard?page=serve,3,7,66,73,111,74,54,73,53,20,38,67,4,6,16,240,/en/stats/leaderboard?page=serve,5,12,64,71,111,68,48,71,35,14,40,58,7,12,15,67,74,111,44,49,111,55,123,222,56,62,111,33,37,111,45,99,222,7,3,02:53:00,02:53:00,,,,,,,D643,MC10
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS002,SF,02:19:00,,F,4,D643,"6-1,6-2,3-6,6-3",N. Djokovic,R. Federer,,,SRB,SUI,6-1,6-2,3-6,6-3,,02:19:00,A,N. Djokovic,R. Federer,SRB,SUI,,,313,/en/stats/leaderboard?page=serve,1,10,67,65,97,77,50,65,66,21,32,75,3,4,17,239,/en/stats/leaderboard?page=serve,1,5,57,57,100,61,35,57,49,21,43,44,4,9,16,73,71,97,44,44,100,58,115,197,56,56,100,27,26,97,42,82,197,,,02:19:00,02:19:00,,,,,,,D643,F324
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS003,SF,04:03:00,,F,5,MC10,"4-6,7-5,6-7(4),6-4,6-2",A. Murray,M. Raonic,,,GBR,CAN,4-6,7-5,6-7(4),6-4,6-2,04:03:00,A,A. Murray,M. Raonic,GBR,CAN,,,319,/en/stats/leaderboard?page=serve,2,11,68,100,146,79,79,100,67,31,46,83,5,6,26,287,/en/stats/leaderboard?page=serve,8,23,67,115,172,77,88,115,44,25,57,75,12,16,26,75,110,146,34,59,172,53,169,318,66,113,172,25,36,146,47,149,318,4,7,04:03:00,04:03:00,,,,,,,MC10,R975
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS004,QF,02:07:00,,F,3,D643,"6-3,6-2,6-4",N. Djokovic,K. Nishikori,,,SRB,JPN,6-3,6-2,6-4,,,02:07:00,A,N. Djokovic,K. Nishikori,SRB,JPN,,,277,/en/stats/leaderboard?page=serve,2,6,57,51,89,65,33,51,66,25,38,75,6,8,14,215,/en/stats/leaderboard?page=serve,4,9,58,49,84,59,29,49,40,14,35,45,5,11,13,65,58,89,49,41,84,57,99,173,51,43,84,35,31,89,43,74,173,,,02:07:00,02:07:00,,,,,,,D643,N552
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS005,QF,02:16:00,,F,3,F324,"7-6(7),6-2,6-4",R. Federer,T. Berdych,,,SUI,CZE,7-6(7),6-2,6-4,,,02:16:00,A,R. Federer,T. Berdych,SUI,CZE,,,294,/en/stats/leaderboard?page=serve,2,10,69,60,87,83,50,60,48,13,27,67,4,6,15,239,/en/stats/leaderboard?page=serve,5,9,53,59,111,68,40,59,48,25,52,50,5,10,15,72,63,87,41,46,111,55,109,198,59,65,111,28,24,87,45,89,198,,,02:16:00,02:16:00,7,4,,,,,F324,BA47
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS006,QF,02:17:00,,F,4,R975,"6-3,3-6,6-3,6-4",M. Raonic,G. Monfils,,,CAN,FRA,6-3,3-6,6-3,6-4,,02:17:00,A,M. Raonic,G. Monfils,CAN,FRA,,,308,/en/stats/leaderboard?page=serve,4,11,61,62,101,84,52,62,62,24,39,50,1,2,19,281,/en/stats/leaderboard?page=serve,6,14,63,67,107,79,53,67,48,19,40,63,5,8,18,75,76,101,33,35,107,53,111,208,67,72,107,25,25,101,47,97,208,,,02:17:00,02:17:00,,,,,,,R975,MC65
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS007,QF,03:20:00,,F,4,MC10,"6-3,6-7(5),6-2,6-3",A. Murray,D. Ferrer,,,GBR,ESP,6-3,6-7(5),6-2,6-3,,03:20:00,A,A. Murray,D. Ferrer,GBR,ESP,,,279,/en/stats/leaderboard?page=serve,8,12,61,83,135,76,63,83,48,25,52,78,7,9,20,241,/en/stats/leaderboard?page=serve,2,0,65,77,119,62,48,77,50,21,42,54,7,13,18,65,88,135,42,50,119,54,138,254,58,69,119,35,47,135,46,116,254,,,03:20:00,03:20:00,,,5,7,,,MC10,F401
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS008,R16,04:32:00,,F,5,D643,"6-3,6-7(1),6-4,4-6,6-3",N. Djokovic,G. Simon,,,SRB,FRA,6-3,6-7(1),6-4,4-6,6-3,04:32:00,A,N. Djokovic,G. Simon,SRB,FRA,,,280,/en/stats/leaderboard?page=serve,1,9,63,111,177,70,78,111,55,36,66,78,14,18,26,244,/en/stats/leaderboard?page=serve,4,2,66,126,192,69,87,126,36,24,66,77,20,26,24,64,114,177,42,81,192,53,195,369,58,111,192,36,63,177,47,174,369,,,04:32:00,04:32:00,,,1,7,,,D643,SD32
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS009,R16,02:02:00,,F,3,N552,"6-4,6-2,6-4",K. Nishikori,J. Tsonga,,,JPN,FRA,6-4,6-2,6-4,,,02:02:00,A,K. Nishikori,J. Tsonga,JPN,FRA,,,289,/en/stats/leaderboard?page=serve,3,3,59,49,83,73,36,49,65,22,34,50,1,2,14,239,/en/stats/leaderboard?page=serve,8,13,60,54,90,63,34,54,47,17,36,58,7,12,14,70,58,83,43,39,90,56,97,173,57,51,90,30,25,83,44,76,173,,,02:02:00,02:02:00,,,,,,,N552,T786
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS010,R16,01:29:00,,F,3,F324,"6-2,6-1,6-4",R. Federer,D. Goffin,,,SUI,BEL,6-2,6-1,6-4,,,01:29:00,A,R. Federer,D. Goffin,SUI,BEL,,,311,/en/stats/leaderboard?page=serve,1,7,63,42,67,86,36,42,64,16,25,0,0,1,13,213,/en/stats/leaderboard?page=serve,2,5,66,55,83,65,36,55,29,8,28,54,7,13,12,78,52,67,47,39,83,61,91,150,53,44,83,22,15,67,39,59,150,,,01:29:00,01:29:00,,,,,,,F324,GB88
