event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,settime_tot_winner,settime_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set5_winner,tiebreak_set5_loser,player_id_winner,player_id_loser
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS001,F,05:24:00,,F,5,N409,"2-6,6-7(5),6-4,6-4,7-5",R. Nadal,D. Medvedev,,,ESP,RUS,2-6,6-7(5),6-4,6-4,7-5,05:24:00,A,R. Nadal,D. Medvedev,ESP,RUS,,,250,/en/stats/leaderboard?page=serve,5,3,62,117,189,67,78,117,47,34,72,73,16,22,26,272,/en/stats/leaderboard?page=serve,5,23,69,126,182,71,89,126,41,23,56,68,15,22,26,59,112,189,38,70,182,49,182,371,62,112,182,41,77,189,51,189,371,5,7,05:24:00,05:24:00,,,,,,,,,N409,MM58
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS002,SF,02:55:00,,F,4,N409,"6-3,6-2,3-6,6-3",R. Nadal,M. Berrettini,,,ESP,ITA,6-3,6-2,3-6,6-3,,02:55:00,A,R. Nadal,M. Berrettini,ESP,ITA,,,302,/en/stats/leaderboard?page=serve,2,5,69,70,102,73,51,70,63,20,32,50,1,2,18,273,/en/stats/leaderboard?page=serve,2,14,67,68,102,74,50,68,44,15,34,50,4,8,17,70,71,102,36,37,102,53,108,204,64,65,102,30,31,102,47,96,204,,,02:55:00,02:55:00,,,,,,,,,N409,BK40
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS003,SF,02:30:00,,F,4,MM58,"7-6(7),4-6,6-4,6-1",D. Medvedev,S. Tsitsipas,,,RUS,GRE,7-6(7),4-6,6-4,6-1,,02:30:00,A,D. Medvedev,S. Tsitsipas,RUS,GRE,,,328,/en/stats/leaderboard?page=serve,4,13,71,71,100,86,61,71,72,21,29,50,2,4,20,280,/en/stats/leaderboard?page=serve,1,5,69,83,120,67,56,83,62,23,37,67,8,12,19,82,82,100,34,41,120,56,123,220,66,79,120,18,18,100,44,97,220,,,02:30:00,02:30:00,7,5,,,,,,,MM58,TE51
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS004,QF,03:49:00,,F,5,BK40,"6-4,6-4,3-6,3-6,6-2",M. Berrettini,G. Monfils,,,ITA,FRA,6-4,6-4,3-6,3-6,6-2,03:49:00,A,M. Berrettini,G. Monfils,ITA,FRA,,,282,/en/stats/leaderboard?page=serve,2,12,61,103,170,74,76,103,51,34,67,79,11,14,23,275,/en/stats/leaderboard?page=serve,7,15,56,76,136,76,58,76,53,32,60,64,7,11,23,65,110,170,34,46,136,51,156,306,66,90,136,35,60,170,49,150,306,,,03:49:00,03:49:00,,,,,,,,,BK40,MC65
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS005,QF,04:08:00,,F,5,N409,"6-3,6-4,4-6,3-6,6-3",R. Nadal,D. Shapovalov,,,ESP,CAN,6-3,6-4,4-6,3-6,6-3,04:08:00,A,R. Nadal,D. Shapovalov,ESP,CAN,,,282,/en/stats/leaderboard?page=serve,11,9,68,100,146,79,79,100,46,21,46,75,6,8,24,286,/en/stats/leaderboard?page=serve,5,20,58,80,137,73,58,80,54,31,57,57,4,7,23,68,100,146,35,48,137,52,148,283,65,89,137,32,46,146,48,135,283,,,04:08:00,04:08:00,,,,,,,,,N409,SU55
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS006,QF,02:06:00,,F,3,TE51,"6-3,6-4,6-2",S. Tsitsipas,J. Sinner,,,GRE,ITA,6-3,6-4,6-2,,,02:06:00,A,S. Tsitsipas,J. Sinner,GRE,ITA,,,309,/en/stats/leaderboard?page=serve,2,4,68,53,78,79,42,53,60,15,25,0,0,0,14,261,/en/stats/leaderboard?page=serve,1,4,64,42,66,71,30,42,54,13,24,0,0,4,13,73,57,78,35,23,66,56,80,144,65,43,66,27,21,78,44,64,144,,,02:06:00,02:06:00,,,,,,,,,TE51,S0AG
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS007,QF,04:42:00,,F,5,MM58,"6-7(4),3-6,7-6(7),7-5,6-4",D. Medvedev,F. Auger-Aliassime,,,RUS,CAN,6-7(4),3-6,7-6(7),7-5,6-4,04:42:00,A,D. Medvedev,F. Auger-Aliassime,RUS,CAN,,,288,/en/stats/leaderboard?page=serve,9,15,64,126,196,75,94,126,51,36,70,82,9,11,27,298,/en/stats/leaderboard?page=serve,4,18,69,116,168,78,91,116,48,25,52,40,2,5,28,66,130,196,31,52,168,50,182,364,69,116,168,34,66,196,50,182,364,,,04:42:00,04:42:00,4,7,7,2,,,,,MM58,AG37
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS008,R16,02:34:00,,F,3,MC65,"7-5,7-6(7),6-3",G. Monfils,M. Kecmanovic,,,FRA,SRB,7-5,7-6(7),6-3,,,02:34:00,A,G. Monfils,M. Kecmanovic,FRA,SRB,,,297,/en/stats/leaderboard?page=serve,4,17,59,59,100,81,48,59,51,21,41,83,5,6,16,249,/en/stats/leaderboard?page=serve,4,4,57,73,129,66,48,73,50,28,56,64,7,11,17,69,69,100,41,53,129,53,122,229,59,76,129,31,31,100,47,107,229,7,4,02:34:00,02:34:00,,,,,,,,,MC65,KI95
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS009,R16,02:22:00,,F,3,BK40,"7-5,7-6(7),6-4",M. Berrettini,P. Carreno Busta,,,ITA,ESP,7-5,7-6(7),6-4,,,02:22:00,A,M. Berrettini,P. Carreno Busta,ITA,ESP,,,348,/en/stats/leaderboard?page=serve,1,28,77,71,92,87,62,71,57,12,21,100,1,1,17,278,/en/stats/leaderboard?page=serve,2,2,70,81,115,70,57,81,50,17,34,71,5,7,17,80,74,92,36,41,115,56,115,207,64,74,115,20,18,92,44,92,207,7,4,02:22:00,02:22:00,,,,,,,,,BK40,CD85
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS010,R16,02:21:00,,F,3,SU55,"6-3,7-6(7),6-3",D. Shapovalov,A. Zverev,,,CAN,GER,6-3,7-6(7),6-3,,,02:21:00,A,D. Shapovalov,A. Zverev,CAN,GER,,,265,/en/stats/leaderboard?page=serve,11,3,63,65,104,77,50,65,46,18,39,60,3,5,16,240,/en/stats/leaderboard?page=serve,8,3,76,67,88,69,46,67,29,6,21,33,2,6,14,65,68,104,41,36,88,54,104,192,59,52,88,35,36,104,46,88,192,7,5,02:21:00,02:21:00,,,,,,,,,SU55,Z355
