event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,settime_tot_winner,settime_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_id_winner,player_id_loser
6967,2014,Shenzhen,250,2014-09-22T00:00:00,2014-09-28T00:00:00,Hard,28,590230,$,MS001,F,02:30:00,,F,3,MC10,"5-7,7-6(11),6-1",A. Murray,T. Robredo,,,GBR,ESP,5-7,7-6(11),6-1,,,02:30:00,A,A. Murray,T. Robredo,GBR,ESP,,,270,/en/stats/leaderboard?page=serve,5,10,59,55,93,73,40,55,53,20,38,57,4,7,15,234,/en/stats/leaderboard?page=serve,7,4,60,64,106,69,44,64,40,17,42,38,3,8,16,65,60,93,42,45,106,53,105,199,58,61,106,35,33,93,47,94,199,11,9,02:30:00,02:30:00,,,MC10,R419
6967,2014,Shenzhen,250,2014-09-22T00:00:00,2014-09-28T00:00:00,Hard,28,590230,$,MS002,SF,01:10:00,,F,2,R419,"6-1,6-4",T. Robredo,S. Giraldo,,,ESP,COL,6-1,6-4,,,,01:10:00,A,T. Robredo,S. Giraldo,ESP,COL,,,284,/en/stats/leaderboard?page=serve,3,10,58,33,57,85,28,33,46,11,24,75,3,4,9,213,/en/stats/leaderboard?page=serve,2,2,69,37,54,59,22,37,35,6,17,43,3,7,8,68,39,57,48,26,54,59,65,111,52,28,54,32,18,57,41,46,111,,,01:10:00,01:10:00,,,R419,G725
6967,2014,Shenzhen,250,2014-09-22T00:00:00,2014-09-28T00:00:00,Hard,28,590230,$,MS003,SF,01:42:00,,F,3,MC10,"2-6,6-3,6-0",A. Murray,J. Monaco,,,GBR,ARG,2-6,6-3,6-0,,,01:42:00,A,A. Murray,J. Monaco,GBR,ARG,,,242,/en/stats/leaderboard?page=serve,2,10,58,42,73,62,26,42,48,15,31,50,4,8,12,209,/en/stats/leaderboard?page=serve,3,4,70,50,71,50,25,50,43,9,21,33,3,9,11,56,41,73,52,37,71,54,78,144,48,34,71,44,32,73,46,66,144,,,01:42:00,01:42:00,,,MC10,MA21
6967,2014,Shenzhen,250,2014-09-22T00:00:00,2014-09-28T00:00:00,Hard,28,590230,$,MS004,QF,01:31:00,,F,2,G725,"7-6(8),6-3",S. Giraldo,V. Troicki,,,COL,SRB,7-6(8),6-3,,,,01:31:00,A,S. Giraldo,V. Troicki,COL,SRB,,,271,/en/stats/leaderboard?page=serve,2,1,64,52,81,73,38,52,45,13,29,75,3,4,11,274,/en/stats/leaderboard?page=serve,2,9,57,34,60,76,26,34,54,14,26,0,0,2,10,63,51,81,33,20,60,50,71,141,67,40,60,37,30,81,50,70,141,,,01:31:00,01:31:00,8,6,G725,T840
6967,2014,Shenzhen,250,2014-09-22T00:00:00,2014-09-28T00:00:00,Hard,28,590230,$,MS005,QF,02:36:00,,F,3,R419,"6-4,6-7(5),6-3",T. Robredo,A. Seppi,,,ESP,ITA,6-4,6-7(5),6-3,,,02:36:00,A,T. Robredo,A. Seppi,ESP,ITA,,,312,/en/stats/leaderboard?page=serve,3,19,56,58,104,83,48,58,57,26,46,100,1,1,16,282,/en/stats/leaderboard?page=serve,4,11,58,59,102,78,46,59,53,23,43,67,4,6,15,71,74,104,32,33,102,52,107,206,68,69,102,29,30,104,48,99,206,5,7,02:36:00,02:36:00,,,R419,SA93
6967,2014,Shenzhen,250,2014-09-22T00:00:00,2014-09-28T00:00:00,Hard,28,590230,$,MS006,QF,01:43:00,,F,2,MA21,"7-6(9),6-4",J. Monaco,R. Gasquet,,,ARG,FRA,7-6(9),6-4,,,,01:43:00,A,J. Monaco,R. Gasquet,ARG,FRA,,,255,/en/stats/leaderboard?page=serve,2,4,66,51,77,65,33,51,50,13,26,25,1,4,11,230,/en/stats/leaderboard?page=serve,2,5,58,41,71,63,26,41,43,13,30,50,4,8,11,60,46,77,45,32,71,53,78,148,55,39,71,40,31,77,47,70,148,,,01:43:00,01:43:00,9,7,MA21,G628
6967,2014,Shenzhen,250,2014-09-22T00:00:00,2014-09-28T00:00:00,Hard,28,590230,$,MS007,QF,01:20:00,,F,2,MC10,"6-3,7-5",A. Murray,L. Lacko,,,GBR,SVK,6-3,7-5,,,,01:20:00,A,A. Murray,L. Lacko,GBR,SVK,,,310,/en/stats/leaderboard?page=serve,2,9,57,38,67,84,32,38,62,18,29,100,4,4,11,260,/en/stats/leaderboard?page=serve,1,3,61,34,56,76,26,34,41,9,22,50,2,4,10,75,50,67,38,21,56,58,71,123,63,35,56,25,17,67,42,52,123,,,01:20:00,01:20:00,,,MC10,L797
6967,2014,Shenzhen,250,2014-09-22T00:00:00,2014-09-28T00:00:00,Hard,28,590230,$,MS008,R16,01:06:00,,F,2,T840,"6-3,6-4",V. Troicki,D. Ferrer,,,SRB,ESP,6-3,6-4,,,,01:06:00,A,V. Troicki,D. Ferrer,SRB,ESP,,,312,/en/stats/leaderboard?page=serve,2,13,56,33,59,91,30,33,54,14,26,100,2,2,10,260,/en/stats/leaderboard?page=serve,2,0,63,32,51,69,22,32,53,10,19,60,3,5,9,75,44,59,37,19,51,57,63,110,63,32,51,25,15,59,43,47,110,,,01:06:00,01:06:00,,,T840,F401
6967,2014,Shenzhen,250,2014-09-22T00:00:00,2014-09-28T00:00:00,Hard,28,590230,$,MS009,R16,01:22:00,,F,2,G725,"6-4,6-3",S. Giraldo,T. Kokkinakis,,,COL,AUS,6-4,6-3,,,,01:22:00,A,S. Giraldo,T. Kokkinakis,COL,AUS,,,318,/en/stats/leaderboard?page=serve,0,4,69,33,48,85,28,33,60,9,15,0,0,0,9,243,/en/stats/leaderboard?page=serve,3,11,54,37,68,76,28,37,35,11,31,40,2,5,10,77,37,48,43,29,68,57,66,116,57,39,68,23,11,48,43,50,116,,,01:22:00,01:22:00,,,G725,KD46
6967,2014,Shenzhen,250,2014-09-22T00:00:00,2014-09-28T00:00:00,Hard,28,590230,$,MS010,R16,01:37:00,,F,3,R419,"1-6,7-5,6-3",T. Robredo,S. Groth,,,ESP,AUS,1-6,7-5,6-3,,,01:37:00,A,T. Robredo,S. Groth,ESP,AUS,,,279,/en/stats/leaderboard?page=serve,2,3,58,45,78,71,32,45,64,21,33,50,2,4,14,284,/en/stats/leaderboard?page=serve,4,11,68,55,81,82,45,55,42,11,26,80,8,10,14,68,53,78,31,25,81,49,78,159,69,56,81,32,25,78,51,81,159,,,01:37:00,01:37:00,,,R419,G940
