event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
717,1996,Pinehurst,GP,1996-05-06T00:00:00,1996-05-12T00:00:00,Clay,32,264250,$,MS001,F,01:33:00,,F,2,M443,"6-4,6-2",F. Meligeni,M. Wilander,,,BRA,SWE,6-4,6-2,,,,01:33:00,268,/en/stats/leaderboard?page=serve,3,2,46,28,61,71,20,28,64,21,33,80,4,5,9,213,/en/stats/leaderboard?page=serve,6,1,55,34,62,62,21,34,46,13,28,64,7,11,9,67,41,61,45,28,62,56,69,123,55,34,62,33,20,61,44,54,123,A,,,,,,,,,F. Meligeni,M. Wilander,M443,W023,BRA,SWE,,
717,1996,Pinehurst,GP,1996-05-06T00:00:00,1996-05-12T00:00:00,Clay,32,264250,$,MS002,SF,01:17:00,,F,2,W023,"6-3,6-3",M. Wilander,J. Frana,,,SWE,ARG,6-3,6-3,,,,01:17:00,279,/en/stats/leaderboard?page=serve,1,1,69,41,59,78,32,41,44,8,18,86,6,7,9,212,/en/stats/leaderboard?page=serve,2,1,57,35,61,66,23,35,35,9,26,43,3,7,9,68,40,59,48,29,61,58,69,120,52,32,61,32,19,59,43,51,120,A,,,,,,,,,M. Wilander,J. Frana,W023,F041,SWE,ARG,,
717,1996,Pinehurst,GP,1996-05-06T00:00:00,1996-05-12T00:00:00,Clay,32,264250,$,MS003,SF,01:29:00,,F,3,M443,"2-6,6-0,6-4",F. Meligeni,J. Stoltenberg,,,BRA,AUS,2-6,6-0,6-4,,,01:29:00,264,/en/stats/leaderboard?page=serve,3,2,56,37,66,65,24,37,69,20,29,63,5,8,12,214,/en/stats/leaderboard?page=serve,3,2,36,25,69,80,20,25,41,18,44,17,1,6,12,67,44,66,45,31,69,56,75,135,55,38,69,33,22,66,44,60,135,A,,,,,,,,,F. Meligeni,J. Stoltenberg,M443,S331,BRA,AUS,,
717,1996,Pinehurst,GP,1996-05-06T00:00:00,1996-05-12T00:00:00,Clay,32,264250,$,MS004,QF,02:05:00,,F,3,W023,"1-6,6-3,6-2",M. Wilander,V. Spadea,,,SWE,USA,1-6,6-3,6-2,,,02:05:00,239,/en/stats/leaderboard?page=serve,2,3,60,45,75,62,28,45,50,15,30,50,4,8,12,221,/en/stats/leaderboard?page=serve,3,3,56,57,102,60,34,57,47,21,45,62,8,13,12,57,43,75,46,47,102,51,90,177,54,55,102,43,32,75,49,87,177,A,,,,,,,,,M. Wilander,V. Spadea,W023,S544,SWE,USA,,
717,1996,Pinehurst,GP,1996-05-06T00:00:00,1996-05-12T00:00:00,Clay,32,264250,$,MS005,QF,02:14:00,,F,3,F041,"6-4,3-6,7-6(7)",J. Frana,J. Bjorkman,,,ARG,SWE,6-4,3-6,7-6(7),,,02:14:00,251,/en/stats/leaderboard?page=serve,,11,67,74,111,73,54,74,32,12,37,58,7,12,16,230,/en/stats/leaderboard?page=serve,6,2,53,59,112,63,37,59,45,24,53,67,8,12,15,59,66,111,46,51,112,52,117,223,54,61,112,41,45,111,48,106,223,A,7,4,False,,,,,,J. Frana,J. Bjorkman,F041,B446,ARG,SWE,,
717,1996,Pinehurst,GP,1996-05-06T00:00:00,1996-05-12T00:00:00,Clay,32,264250,$,MS006,QF,01:22:00,,F,2,S331,"6-4,7-5",J. Stoltenberg,R. Reneberg,,,AUS,USA,6-4,7-5,,,,01:22:00,267,/en/stats/leaderboard?page=serve,6,11,48,30,62,83,25,30,50,16,32,50,2,4,11,228,/en/stats/leaderboard?page=serve,3,1,54,38,70,66,25,38,47,15,32,56,5,9,11,66,41,62,43,30,70,54,71,132,57,40,70,34,21,62,46,61,132,A,,,,,,,,,J. Stoltenberg,R. Reneberg,S331,R016,AUS,USA,,
717,1996,Pinehurst,GP,1996-05-06T00:00:00,1996-05-12T00:00:00,Clay,32,264250,$,MS007,QF,02:19:00,,F,3,M443,"3-6,7-6(9),6-3",F. Meligeni,P. Rafter,,,BRA,AUS,3-6,7-6(9),6-3,,,02:19:00,248,/en/stats/leaderboard?page=serve,4,0,54,49,90,59,29,49,61,25,41,50,3,6,14,245,/en/stats/leaderboard?page=serve,8,9,63,69,110,74,51,69,32,13,41,43,3,7,16,60,54,90,42,46,110,50,100,200,58,64,110,40,36,90,50,100,200,A,,,,9,7,,,,F. Meligeni,P. Rafter,M443,R255,BRA,AUS,,
717,1996,Pinehurst,GP,1996-05-06T00:00:00,1996-05-12T00:00:00,Clay,32,264250,$,MS008,R16,01:39:00,,F,2,S544,"7-6(7),6-3",V. Spadea,R. Fromberg,,,USA,AUS,7-6(7),6-3,,,,01:39:00,236,/en/stats/leaderboard?page=serve,1,2,46,31,68,81,25,31,68,25,37,,0,,10,268,/en/stats/leaderboard?page=serve,,11,60,45,75,76,34,45,40,12,30,80,8,10,11,74,50,68,39,29,75,55,79,143,61,46,75,26,18,68,45,64,143,A,,,,,,7,1,False,V. Spadea,R. Fromberg,S544,F164,USA,AUS,,
717,1996,Pinehurst,GP,1996-05-06T00:00:00,1996-05-12T00:00:00,Clay,32,264250,$,MS009,R16,01:05:00,,F,2,W023,"6-1,6-2",M. Wilander,G. Raoux,,,SWE,FRA,6-1,6-2,,,,01:05:00,202,/en/stats/leaderboard?page=serve,1,5,57,26,46,81,21,26,60,12,20,0,0,,8,170,/en/stats/leaderboard?page=serve,,0,36,16,44,38,6,16,54,15,28,56,5,9,7,72,33,46,52,23,44,62,56,90,48,21,44,28,13,46,38,34,90,A,,,,,,,,False,M. Wilander,G. Raoux,W023,R186,SWE,FRA,,
717,1996,Pinehurst,GP,1996-05-06T00:00:00,1996-05-12T00:00:00,Clay,32,264250,$,MS010,R16,02:25:00,,F,3,B446,"7-6(9),1-6,7-5",J. Bjorkman,M. Gustafsson,,,SWE,SWE,7-6(9),1-6,7-5,,,02:25:00,249,/en/stats/leaderboard?page=serve,5,7,56,61,108,67,41,61,51,24,47,60,6,10,15,263,/en/stats/leaderboard?page=serve,2,3,62,66,106,74,49,66,45,18,40,67,6,9,16,60,65,108,37,39,106,49,104,214,63,67,106,40,43,108,51,110,214,A,,,,,,9,7,,J. Bjorkman,M. Gustafsson,B446,G182,SWE,SWE,,
