event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
7301,1996,Zagreb,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,375000,$,MS001,F,01:52:00,,F,3,I034,"3-6,6-3,6-2",G. Ivanisevic,C. Pioline,,,CRO,FRA,3-6,6-3,6-2,,,01:52:00,317,/en/stats/leaderboard?page=serve,6,23,57,39,68,92,36,39,59,17,29,80,4,5,13,247,/en/stats/leaderboard?page=serve,4,6,53,58,110,72,42,58,44,23,52,83,15,18,13,78,53,68,41,45,110,55,98,178,59,65,110,22,15,68,45,80,178,A,,,,,,,,,G. Ivanisevic,C. Pioline,I034,P226,CRO,FRA,,
7301,1996,Zagreb,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,375000,$,MS002,SF,01:57:00,,F,3,I034,"7-6(7),4-6,6-4",G. Ivanisevic,G. Forget,,,CRO,FRA,7-6(7),4-6,6-4,,,01:57:00,294,/en/stats/leaderboard?page=serve,7,25,55,61,111,84,51,61,50,25,50,67,4,6,16,296,/en/stats/leaderboard?page=serve,1,12,55,48,88,85,41,48,58,23,40,0,0,2,16,68,76,111,27,24,88,50,100,199,73,64,88,32,35,111,50,99,199,A,7,4,,,,,,,G. Ivanisevic,G. Forget,I034,F035,CRO,FRA,,
7301,1996,Zagreb,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,375000,$,MS003,SF,01:30:00,,F,2,P226,"6-4,7-6(8)",C. Pioline,M. Goellner,,,FRA,GER,6-4,7-6(8),,,,01:30:00,312,/en/stats/leaderboard?page=serve,2,12,63,42,67,81,34,42,68,17,25,67,2,3,11,261,/en/stats/leaderboard?page=serve,5,10,48,38,79,76,29,38,51,21,41,82,9,11,11,76,51,67,37,29,79,55,80,146,63,50,79,24,16,67,45,66,146,A,,,8,6,,,,,C. Pioline,M. Goellner,P226,G252,FRA,GER,,
7301,1996,Zagreb,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,375000,$,MS004,QF,01:49:00,,F,3,I034,"3-6,6-4,7-6(7)",G. Ivanisevic,A. Voinea,,,CRO,ROU,3-6,6-4,7-6(7),,,01:49:00,298,/en/stats/leaderboard?page=serve,3,18,64,49,76,92,45,49,41,11,27,0,0,2,15,281,/en/stats/leaderboard?page=serve,4,6,61,63,104,63,40,63,68,28,41,67,4,6,16,74,56,76,35,36,104,51,92,180,65,68,104,26,20,76,49,88,180,A,,,,,7,4,,,G. Ivanisevic,A. Voinea,I034,V166,CRO,ROU,,
7301,1996,Zagreb,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,375000,$,MS005,QF,01:14:00,,F,2,F035,"6-3,6-4",G. Forget,C. Steeb,,,FRA,GER,6-3,6-4,,,,01:14:00,291,/en/stats/leaderboard?page=serve,2,11,60,36,60,86,31,36,46,11,24,50,1,2,10,244,/en/stats/leaderboard?page=serve,,4,63,38,60,66,25,38,45,10,22,57,4,7,9,70,42,60,42,25,60,56,67,120,58,35,60,30,18,60,44,53,120,A,,,,,,,False,,G. Forget,C. Steeb,F035,S080,FRA,GER,,
7301,1996,Zagreb,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,375000,$,MS006,QF,01:50:00,,F,3,P226,"6-4,3-6,7-5",C. Pioline,F. Dewulf,,,FRA,BEL,6-4,3-6,7-5,,,01:50:00,265,/en/stats/leaderboard?page=serve,1,7,70,37,53,84,31,37,25,4,16,33,1,3,10,287,/en/stats/leaderboard?page=serve,,6,54,27,50,78,21,27,61,14,23,75,3,4,9,66,35,53,30,15,50,49,50,103,70,35,50,34,18,53,51,53,103,A,,,,,,,False,,C. Pioline,F. Dewulf,P226,D228,FRA,BEL,,
7301,1996,Zagreb,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,375000,$,MS007,QF,01:03:00,,F,2,G252,"6-4,6-2",M. Goellner,G. Raoux,,,GER,FRA,6-4,6-2,,,,01:03:00,281,/en/stats/leaderboard?page=serve,4,14,47,26,55,85,22,26,62,18,29,,0,,9,234,/en/stats/leaderboard?page=serve,2,3,47,27,57,67,18,27,53,16,30,25,1,4,9,73,40,55,40,23,57,56,63,112,60,34,57,27,15,55,44,49,112,A,,,,,,,,,M. Goellner,G. Raoux,G252,R186,GER,FRA,,
7301,1996,Zagreb,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,375000,$,MS008,R16,01:00:00,,F,2,I034,"6-4,6-4",G. Ivanisevic,M. Sinner,,,CRO,GER,6-4,6-4,,,,01:00:00,244,/en/stats/leaderboard?page=serve,1,14,67,31,46,97,30,31,67,10,15,0,0,,10,258,/en/stats/leaderboard?page=serve,4,3,56,35,63,77,27,35,46,13,28,33,1,3,10,87,40,46,37,23,63,58,63,109,63,40,63,13,6,46,42,46,109,A,,,,,,,,,G. Ivanisevic,M. Sinner,I034,S367,CRO,GER,,
7301,1996,Zagreb,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,375000,$,MS009,R16,01:44:00,,F,2,V166,"6-3,7-6(10)",A. Voinea,S. Hirszon,,,ROU,CRO,6-3,7-6(10),,,,01:44:00,286,/en/stats/leaderboard?page=serve,2,8,61,54,89,80,43,54,49,17,35,80,4,5,11,258,/en/stats/leaderboard?page=serve,2,4,60,51,85,63,32,51,53,18,34,67,4,6,10,67,60,89,41,35,85,55,95,174,59,50,85,33,29,89,45,79,174,A,,,10,8,,,,,A. Voinea,S. Hirszon,V166,H274,ROU,CRO,,
7301,1996,Zagreb,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,375000,$,MS010,R16,01:13:00,,F,2,F035,"7-5,6-4",G. Forget,T. Kempers,,,FRA,NED,7-5,6-4,,,,01:13:00,224,/en/stats/leaderboard?page=serve,,5,55,29,53,93,27,29,71,17,24,0,0,,11,265,/en/stats/leaderboard?page=serve,6,7,61,38,62,89,34,38,33,8,24,50,2,4,11,83,44,53,32,20,62,56,64,115,68,42,62,17,9,53,44,51,115,A,,,,,,,,False,G. Forget,T. Kempers,F035,K193,FRA,NED,,
7301,1996,Zagreb,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,375000,$,MS011,R16,02:16:00,,F,3,S080,"2-6,6-4,7-6(9)",C. Steeb,M. Damm,,,GER,CZE,2-6,6-4,7-6(9),,,02:16:00,236,/en/stats/leaderboard?page=serve,1,1,59,32,54,75,24,32,36,8,22,40,2,5,9,260,/en/stats/leaderboard?page=serve,,5,63,36,57,72,26,36,43,9,21,78,7,9,9,59,32,54,39,22,57,49,54,111,61,35,57,41,22,54,51,57,111,A,,,,,9,7,False,,C. Steeb,M. Damm,S080,D214,GER,CZE,,
7301,1996,Zagreb,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,375000,$,MS012,R16,01:11:00,,F,2,P226,"6-3,6-3",C. Pioline,J. Van Herck,,,FRA,BEL,6-3,6-3,,,,01:11:00,284,/en/stats/leaderboard?page=serve,,7,64,30,47,87,26,30,71,12,17,,0,,9,232,/en/stats/leaderboard?page=serve,1,4,49,31,63,61,19,31,53,17,32,50,3,6,9,81,38,47,43,27,63,59,65,110,57,36,63,19,9,47,41,45,110,A,,,,,,,,False,C. Pioline,J. Van Herck,P226,V167,FRA,BEL,,
7301,1996,Zagreb,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,375000,$,MS013,R16,01:04:00,,F,2,D228,"6-3,6-3",F. Dewulf,A. Gaudenzi,,,BEL,ITA,6-3,6-3,,,,01:04:00,212,/en/stats/leaderboard?page=serve,3,9,47,24,51,92,22,24,67,18,27,0,0,,9,230,/en/stats/leaderboard?page=serve,6,3,67,42,63,62,26,42,38,8,21,63,5,8,9,78,40,51,46,29,63,61,69,114,54,34,63,22,11,51,39,45,114,A,,,,,,,,,F. Dewulf,A. Gaudenzi,D228,G254,BEL,ITA,,
7301,1996,Zagreb,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,375000,$,MS014,R16,01:12:00,,F,2,G252,"7-6(7),6-4",M. Goellner,J. Sanchez,,,GER,ESP,7-6(7),6-4,,,,01:12:00,296,/en/stats/leaderboard?page=serve,3,18,47,32,68,84,27,32,69,25,36,,0,,11,309,/en/stats/leaderboard?page=serve,2,7,62,38,61,82,31,38,70,16,23,80,4,5,11,76,52,68,23,14,61,51,66,129,77,47,61,24,16,68,49,63,129,A,7,5,,,,,,,M. Goellner,J. Sanchez,G252,S015,GER,ESP,,
7301,1996,Zagreb,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,375000,$,MS015,R16,01:27:00,,F,3,R186,"4-6,6-2,6-1",G. Raoux,T. Carbonell,,,FRA,ESP,4-6,6-2,6-1,,,01:27:00,271,/en/stats/leaderboard?page=serve,5,14,53,46,86,72,33,46,53,21,40,71,5,7,13,248,/en/stats/leaderboard?page=serve,1,7,67,45,67,62,28,45,55,12,22,38,3,8,12,63,54,86,40,27,67,53,81,153,60,40,67,37,32,86,47,72,153,A,,,,,,,,,G. Raoux,T. Carbonell,R186,C216,FRA,ESP,,
7301,1996,Zagreb,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,375000,$,MS016,R32,01:24:00,,F,2,I034,"6-4,7-6(7)",G. Ivanisevic,C. Ruud,,,CRO,NOR,6-4,7-6(7),,,,01:24:00,238,/en/stats/leaderboard?page=serve,4,17,61,35,57,100,35,35,64,14,22,0,0,,11,274,/en/stats/leaderboard?page=serve,1,5,60,53,88,77,41,53,43,15,35,92,11,12,11,86,49,57,36,32,88,56,81,145,64,56,88,,0,,,0,,A,,,7,3,,,,,G. Ivanisevic,C. Ruud,I034,R219,CRO,NOR,,
7301,1996,Zagreb,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,375000,$,MS017,R32,01:46:00,,F,3,S367,"6-1,3-6,6-3",M. Sinner,A. Jarryd,,,GER,SWE,6-1,3-6,6-3,,,01:46:00,241,/en/stats/leaderboard?page=serve,8,3,55,47,85,70,33,47,45,17,38,75,9,12,13,217,/en/stats/leaderboard?page=serve,5,5,46,40,87,73,29,40,40,19,47,58,7,12,12,59,50,85,45,39,87,52,89,172,55,48,87,41,35,85,48,83,172,A,,,,,,,,,M. Sinner,A. Jarryd,S367,J006,GER,SWE,,
7301,1996,Zagreb,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,375000,$,MS018,R32,01:44:00,,F,3,H274,"6-4,3-6,6-3",S. Hirszon,K. Alami,,,CRO,MAR,6-4,3-6,6-3,,,01:44:00,291,/en/stats/leaderboard?page=serve,2,7,59,48,82,73,35,48,62,21,34,0,0,1,14,277,/en/stats/leaderboard?page=serve,2,10,59,55,94,76,42,55,49,19,39,60,3,5,14,68,56,82,35,33,94,51,89,176,65,61,94,32,26,82,49,87,176,A,,,,,,,,,S. Hirszon,K. Alami,H274,A203,CRO,MAR,,
7301,1996,Zagreb,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,375000,$,MS019,R32,01:30:00,,F,2,V166,"7-6(7),7-5",A. Voinea,A. Musil,,,ROU,CZE,7-6(7),7-5,,,,01:30:00,298,/en/stats/leaderboard?page=serve,4,11,70,57,82,86,49,57,52,13,25,,0,,12,297,/en/stats/leaderboard?page=serve,1,3,52,35,67,83,29,35,69,22,32,0,0,1,12,76,62,82,24,16,67,52,78,149,76,51,67,24,20,82,48,71,149,A,7,5,,,,,,,A. Voinea,A. Musil,V166,M584,ROU,CZE,,
7301,1996,Zagreb,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,375000,$,MS020,R32,01:10:00,,F,2,F035,"6-2,7-6(7)",G. Forget,D. Prinosil,,,FRA,GER,6-2,7-6(7),,,,01:10:00,229,/en/stats/leaderboard?page=serve,,12,54,30,56,90,27,30,73,19,26,0,0,,10,269,/en/stats/leaderboard?page=serve,3,7,52,34,65,65,22,34,68,21,31,75,6,8,10,82,46,56,34,22,65,56,68,121,66,43,65,18,10,56,44,53,121,A,,,7,4,,,,False,G. Forget,D. Prinosil,F035,P273,FRA,GER,,
7301,1996,Zagreb,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,375000,$,MS021,R32,01:07:00,,F,2,K193,"7-6(7),6-2",T. Kempers,S. Noszaly,,,NED,HUN,7-6(7),6-2,,,,01:07:00,223,/en/stats/leaderboard?page=serve,,7,64,34,53,94,32,34,58,11,19,0,0,,10,265,/en/stats/leaderboard?page=serve,3,5,70,42,60,69,29,42,44,8,18,60,3,5,10,81,43,53,38,23,60,58,66,113,62,37,60,19,10,53,42,47,113,A,7,2,,,,,,False,T. Kempers,S. Noszaly,K193,N112,NED,HUN,,
7301,1996,Zagreb,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,375000,$,MS022,R32,01:48:00,,F,3,D214,"2-6,7-5,6-3",M. Damm,F. Fetterlein,,,CZE,DEN,2-6,7-5,6-3,,,01:48:00,269,/en/stats/leaderboard?page=serve,1,8,52,40,77,68,27,40,62,23,37,25,1,4,15,256,/en/stats/leaderboard?page=serve,7,9,57,52,91,75,39,52,44,17,39,77,10,13,14,65,50,77,38,35,91,51,85,168,62,56,91,35,27,77,49,83,168,A,,,,,,,,,M. Damm,F. Fetterlein,D214,F206,CZE,DEN,,
7301,1996,Zagreb,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,375000,$,MS023,R32,01:13:00,,F,2,S080,"6-2,6-3",C. Steeb,B. Karbacher,,,GER,GER,6-2,6-3,,,,01:13:00,269,/en/stats/leaderboard?page=serve,1,2,63,37,59,73,27,37,45,10,22,80,4,5,8,197,/en/stats/leaderboard?page=serve,2,5,55,34,62,56,19,34,39,11,28,38,3,8,9,63,37,59,52,32,62,57,69,121,48,30,62,37,22,59,43,52,121,A,,,,,,,,,C. Steeb,B. Karbacher,S080,K190,GER,GER,,
