event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
7309,1996,Lyon,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,725000,$,MS001,F,01:20:00,,F,2,K267,"7-5,6-3",Y. Kafelnikov,A. Boetsch,,,RUS,FRA,7-5,6-3,,,,01:20:00,286,/en/stats/leaderboard?page=serve,1,6,57,39,69,74,29,39,60,18,30,75,3,4,11,244,/en/stats/leaderboard?page=serve,2,3,57,35,61,74,26,35,42,11,26,25,1,4,10,68,47,69,39,24,61,55,71,130,61,37,61,32,22,69,45,59,130,A,,,,,,,,,Y. Kafelnikov,A. Boetsch,K267,B053,RUS,FRA,,
7309,1996,Lyon,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,725000,$,MS002,SF,01:51:00,,F,3,B053,"4-6,6-4,6-0",A. Boetsch,T. Enqvist,,,FRA,SWE,4-6,6-4,6-0,,,01:51:00,293,/en/stats/leaderboard?page=serve,2,5,55,42,76,81,34,42,62,21,34,80,4,5,13,237,/en/stats/leaderboard?page=serve,2,4,52,46,89,65,30,46,49,21,43,60,6,10,13,72,55,76,43,38,89,56,93,165,57,51,89,28,21,76,44,72,165,A,,,,,,,,,A. Boetsch,T. Enqvist,B053,E113,FRA,SWE,,
7309,1996,Lyon,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,725000,$,MS003,SF,00:58:00,,F,2,K267,"6-1,6-3",Y. Kafelnikov,T. Henman,,,RUS,GBR,6-1,6-3,,,,00:58:00,206,/en/stats/leaderboard?page=serve,,2,70,32,46,84,27,32,50,7,14,0,0,,8,201,/en/stats/leaderboard?page=serve,2,5,46,26,57,50,13,26,52,16,31,43,3,7,8,74,34,46,49,28,57,60,62,103,51,29,57,26,12,46,40,41,103,A,False,,,,,,,,Y. Kafelnikov,T. Henman,K267,H336,RUS,GBR,,
7309,1996,Lyon,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,725000,$,MS004,QF,01:05:00,,F,2,B053,"6-3,6-1",A. Boetsch,L. Roux,,,FRA,FRA,6-3,6-1,,,,01:05:00,295,/en/stats/leaderboard?page=serve,1,2,64,27,42,70,19,27,73,11,15,50,1,2,8,184,/en/stats/leaderboard?page=serve,,0,62,31,50,48,15,31,37,7,19,44,4,9,8,71,30,42,56,28,50,63,58,92,44,22,50,29,12,42,37,34,92,A,,False,,,,,,,A. Boetsch,L. Roux,B053,R280,FRA,FRA,,
7309,1996,Lyon,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,725000,$,MS005,QF,01:55:00,,F,3,E113,"6-3,2-6,7-5",T. Enqvist,M. Rios,,,SWE,CHI,6-3,2-6,7-5,,,01:55:00,261,/en/stats/leaderboard?page=serve,4,8,53,52,99,73,38,52,51,24,47,57,4,7,15,247,/en/stats/leaderboard?page=serve,5,5,51,47,93,70,33,47,48,22,46,40,2,5,14,63,62,99,41,38,93,52,100,192,59,55,93,37,37,99,48,92,192,A,,,,,,,,,T. Enqvist,M. Rios,E113,R286,SWE,CHI,,
7309,1996,Lyon,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,725000,$,MS006,QF,01:30:00,,F,2,H336,"7-6(8),6-2",T. Henman,K. Kucera,,,GBR,SVK,7-6(8),6-2,,,,01:30:00,278,/en/stats/leaderboard?page=serve,2,5,64,44,69,73,32,44,48,12,25,67,2,3,10,237,/en/stats/leaderboard?page=serve,4,3,61,46,76,70,32,46,37,11,30,73,8,11,10,64,44,69,43,33,76,53,77,145,57,43,76,36,25,69,47,68,145,A,,,8,6,,,,,T. Henman,K. Kucera,H336,K237,GBR,SVK,,
7309,1996,Lyon,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,725000,$,MS007,QF,01:56:00,,F,3,K267,"5-7,7-5,6-3",Y. Kafelnikov,M. Gustafsson,,,RUS,SWE,5-7,7-5,6-3,,,01:56:00,264,/en/stats/leaderboard?page=serve,1,7,59,57,96,72,41,57,51,20,39,33,2,6,17,253,/en/stats/leaderboard?page=serve,4,7,70,74,106,62,46,74,50,16,32,44,4,9,16,64,61,96,42,44,106,52,105,202,58,62,106,36,35,96,48,97,202,A,,,,,,,,,Y. Kafelnikov,M. Gustafsson,K267,G182,RUS,SWE,,
7309,1996,Lyon,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,725000,$,MS008,R16,02:45:00,,F,3,R280,"3-6,7-6(7),7-5",L. Roux,C. Woodruff,,,FRA,USA,3-6,7-6(7),7-5,,,02:45:00,282,/en/stats/leaderboard?page=serve,1,15,65,89,136,73,65,89,43,20,47,89,17,19,16,287,/en/stats/leaderboard?page=serve,7,11,60,64,107,77,49,64,58,25,43,75,6,8,17,63,85,136,31,33,107,49,118,243,69,74,107,38,51,136,51,125,243,A,,,,,7,5,,,L. Roux,C. Woodruff,R280,W212,FRA,USA,,
7309,1996,Lyon,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,725000,$,MS009,R16,01:57:00,,F,2,B053,"6-7(5),5-4",A. Boetsch,A. Chesnokov,,,FRA,RUS,6-7(5),5-4,,,,01:57:00,238,/en/stats/leaderboard?page=serve,3,5,48,35,73,71,25,35,45,17,38,67,6,9,11,220,/en/stats/leaderboard?page=serve,,4,39,32,82,66,21,32,48,24,50,50,4,8,11,58,42,73,45,37,82,51,79,155,55,45,82,42,31,73,49,76,155,A,,False,5,7,,,,,A. Boetsch,A. Chesnokov,B053,C031,FRA,RUS,,
7309,1996,Lyon,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,725000,$,MS010,R16,00:52:00,,F,2,R286,"6-3,6-1",M. Rios,M. Tillstrom,,,CHI,SWE,6-3,6-1,,,,00:52:00,296,/en/stats/leaderboard?page=serve,,3,58,23,40,83,19,23,65,11,17,0,0,1,8,181,/en/stats/leaderboard?page=serve,5,0,58,32,55,56,18,32,35,8,23,38,3,8,8,75,30,40,53,29,55,62,59,95,47,26,55,25,10,40,38,36,95,A,False,,,,,,,,M. Rios,M. Tillstrom,R286,T166,CHI,SWE,,
