event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
7309,1997,Lyon,GP,1997-10-13T00:00:00,1997-10-19T00:00:00,Carpet,32,725000,$,MS001,F,01:21:00,,F,2,S424,"6-4,6-4",F. Santoro,T. Haas,,,FRA,GER,6-4,6-4,,,,01:21:00,266,/en/stats/leaderboard?page=serve,2,4,46,26,56,81,21,26,57,17,30,0,0,2,10,225,/en/stats/leaderboard?page=serve,3,3,61,44,72,68,30,44,36,10,28,67,8,12,10,68,38,56,44,32,72,55,70,128,56,40,72,32,18,56,45,58,128,A,,,,,,,,,F. Santoro,T. Haas,S424,H355,FRA,GER,,
7309,1997,Lyon,GP,1997-10-13T00:00:00,1997-10-19T00:00:00,Carpet,32,725000,$,MS002,SF,00:58:00,,F,2,S424,"6-4,6-2",F. Santoro,M. Philippoussis,,,FRA,AUS,6-4,6-2,,,,00:58:00,304,/en/stats/leaderboard?page=serve,,5,65,31,48,81,25,31,76,13,17,,0,,9,239,/en/stats/leaderboard?page=serve,5,4,72,39,54,62,24,39,40,6,15,57,4,7,9,79,38,48,44,24,54,61,62,102,56,30,54,21,10,48,39,40,102,A,False,,,,,,,,F. Santoro,M. Philippoussis,S424,P338,FRA,AUS,,
7309,1997,Lyon,GP,1997-10-13T00:00:00,1997-10-19T00:00:00,Carpet,32,725000,$,MS003,SF,01:55:00,,F,3,H355,"4-6,6-4,6-3",T. Haas,Y. Kafelnikov,,,GER,RUS,4-6,6-4,6-3,,,01:55:00,263,/en/stats/leaderboard?page=serve,6,8,65,73,113,68,50,73,48,19,40,81,13,16,15,254,/en/stats/leaderboard?page=serve,5,6,58,42,72,74,31,42,50,15,30,33,2,6,14,61,69,113,36,26,72,51,95,185,64,46,72,39,44,113,49,90,185,A,,,,,,,,,T. Haas,Y. Kafelnikov,H355,K267,GER,RUS,,
7309,1997,Lyon,GP,1997-10-13T00:00:00,1997-10-19T00:00:00,Carpet,32,725000,$,MS004,QF,01:58:00,,F,3,P338,"6-3,3-6,7-6(7)",M. Philippoussis,C. Pioline,,,AUS,FRA,6-3,3-6,7-6(7),,,01:58:00,301,/en/stats/leaderboard?page=serve,6,16,66,60,91,87,52,60,45,14,31,75,3,4,15,297,/en/stats/leaderboard?page=serve,1,7,55,50,91,80,40,50,63,26,41,80,4,5,15,73,66,91,27,25,91,50,91,182,73,66,91,27,25,91,50,91,182,A,,7,4,,,,,,M. Philippoussis,C. Pioline,P338,P226,AUS,FRA,,
7309,1997,Lyon,GP,1997-10-13T00:00:00,1997-10-19T00:00:00,Carpet,32,725000,$,MS005,QF,01:06:00,,F,2,S424,"6-1,6-1",F. Santoro,F. Mantilla,,,FRA,ESP,6-1,6-1,,,,01:06:00,259,/en/stats/leaderboard?page=serve,,3,50,26,52,81,21,26,54,14,26,,0,,7,152,/en/stats/leaderboard?page=serve,1,1,44,19,43,42,8,19,38,9,24,55,6,11,7,67,35,52,60,26,43,64,61,95,40,17,43,33,17,52,36,34,95,A,False,,,,,,,,F. Santoro,F. Mantilla,S424,M535,FRA,ESP,,
7309,1997,Lyon,GP,1997-10-13T00:00:00,1997-10-19T00:00:00,Carpet,32,725000,$,MS006,QF,01:04:00,,F,2,H355,"6-3,6-3",T. Haas,T. Enqvist,,,GER,SWE,6-3,6-3,,,,01:04:00,247,/en/stats/leaderboard?page=serve,2,4,47,26,55,73,19,26,48,14,29,33,1,3,9,191,/en/stats/leaderboard?page=serve,3,4,45,23,51,65,15,23,36,10,28,50,5,10,9,60,33,55,51,26,51,56,59,106,49,25,51,40,22,55,44,47,106,A,,,,,,,,,T. Haas,T. Enqvist,H355,E113,GER,SWE,,
7309,1997,Lyon,GP,1997-10-13T00:00:00,1997-10-19T00:00:00,Carpet,32,725000,$,MS007,QF,01:14:00,,F,2,K267,"6-4,7-5",Y. Kafelnikov,M. Goellner,,,RUS,GER,6-4,7-5,,,,01:14:00,273,/en/stats/leaderboard?page=serve,7,10,54,37,69,76,28,37,50,16,32,88,7,8,11,261,/en/stats/leaderboard?page=serve,1,17,45,31,69,81,25,31,47,18,38,40,2,5,11,64,44,69,38,26,69,51,70,138,62,43,69,36,25,69,49,68,138,A,,,,,,,,,Y. Kafelnikov,M. Goellner,K267,G252,RUS,GER,,
7309,1997,Lyon,GP,1997-10-13T00:00:00,1997-10-19T00:00:00,Carpet,32,725000,$,MS008,R16,01:10:00,,F,2,P226,"6-2,6-2",C. Pioline,A. Clement,,,FRA,FRA,6-2,6-2,,,,01:10:00,248,/en/stats/leaderboard?page=serve,4,2,37,17,46,82,14,17,69,20,29,,0,,8,206,/en/stats/leaderboard?page=serve,,5,44,22,50,64,14,22,43,12,28,33,2,6,8,74,34,46,48,24,50,60,58,96,52,26,50,26,12,46,40,38,96,A,,,,False,,,,,C. Pioline,A. Clement,P226,C487,FRA,FRA,,
7309,1997,Lyon,GP,1997-10-13T00:00:00,1997-10-19T00:00:00,Carpet,32,725000,$,MS009,R16,01:54:00,,F,3,P338,"4-6,7-6(8),6-4",M. Philippoussis,R. Reneberg,,,AUS,USA,4-6,7-6(8),6-4,,,01:54:00,294,/en/stats/leaderboard?page=serve,5,19,67,71,106,77,55,71,49,17,35,82,9,11,16,285,/en/stats/leaderboard?page=serve,4,5,53,48,90,75,36,48,69,29,42,33,1,3,16,68,72,106,28,25,90,49,97,196,72,65,90,32,34,106,51,99,196,A,,,,,8,6,,,M. Philippoussis,R. Reneberg,P338,R016,AUS,USA,,
7309,1997,Lyon,GP,1997-10-13T00:00:00,1997-10-19T00:00:00,Carpet,32,725000,$,MS010,R16,01:16:00,,F,2,M535,"7-5,6-1",F. Mantilla,L. Roux,,,ESP,FRA,7-5,6-1,,,,01:16:00,284,/en/stats/leaderboard?page=serve,1,4,59,37,63,78,29,37,54,14,26,67,2,3,10,203,/en/stats/leaderboard?page=serve,5,3,47,25,53,64,16,25,39,11,28,43,3,7,9,68,43,63,49,26,53,59,69,116,51,27,53,32,20,63,41,47,116,A,,,,,,,,,F. Mantilla,L. Roux,M535,R280,ESP,FRA,,
7309,1997,Lyon,GP,1997-10-13T00:00:00,1997-10-19T00:00:00,Carpet,32,725000,$,MS011,R16,02:17:00,,F,3,S424,"2-6,7-6(8),7-6(7)",F. Santoro,R. Krajicek,,,FRA,NED,2-6,7-6(8),7-6(7),,,02:17:00,284,/en/stats/leaderboard?page=serve,3,6,56,55,98,85,47,55,53,23,43,67,4,6,16,283,/en/stats/leaderboard?page=serve,6,13,56,64,115,78,50,64,49,25,51,,0,,16,71,70,98,35,40,115,52,110,213,65,75,115,29,28,98,48,103,213,A,,7,4,,8,6,,,F. Santoro,R. Krajicek,S424,K214,FRA,NED,,
7309,1997,Lyon,GP,1997-10-13T00:00:00,1997-10-19T00:00:00,Carpet,32,725000,$,MS012,R16,01:21:00,,F,2,E113,"7-5,6-3",T. Enqvist,T. Martin,,,SWE,USA,7-5,6-3,,,,01:21:00,269,/en/stats/leaderboard?page=serve,5,7,55,35,64,83,29,35,48,14,29,33,1,3,11,223,/en/stats/leaderboard?page=serve,7,8,60,46,77,70,32,46,32,10,31,71,10,14,10,67,43,64,45,35,77,55,78,141,55,42,77,33,21,64,45,63,141,A,,,,,,,,,T. Enqvist,T. Martin,E113,M442,SWE,USA,,
7309,1997,Lyon,GP,1997-10-13T00:00:00,1997-10-19T00:00:00,Carpet,32,725000,$,MS013,R16,00:57:00,,F,2,H355,"6-2,6-3",T. Haas,J. Alonso,,,GER,ESP,6-2,6-3,,,,00:57:00,177,/en/stats/leaderboard?page=serve,6,5,53,36,68,78,28,36,47,15,32,,0,,9,226,/en/stats/leaderboard?page=serve,5,4,46,19,41,74,14,19,45,10,22,25,1,4,8,63,43,68,41,17,41,55,60,109,59,24,41,37,25,68,45,49,109,A,,,,,,,,,T. Haas,J. Alonso,H355,A272,GER,ESP,,
