event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
7309,1998,Lyon,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,725000,$,MS001,F,02:11:00,,F,3,C344,"2-6,7-6(8),6-1",A. Corretja,T. Haas,,,ESP,GER,2-6,7-6(8),6-1,,,02:11:00,8,6,269,/en/stats/leaderboard?page=serve,2,10,67,64,95,66,42,64,52,16,31,75,9,12,13,251,/en/stats/leaderboard?page=serve,7,9,55,49,89,73,36,49,50,20,40,69,9,13,14,61,58,95,37,33,89,49,91,184,63,56,89,39,37,95,51,93,184,A,,,,,,,A. Corretja,T. Haas,C344,H355,ESP,GER,,
7309,1998,Lyon,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,725000,$,MS002,SF,00:32:00,,F,2,H355,"6-2,1-0",T. Haas,M. Rios,,,GER,CHI,6-2,1-0,,,,00:32:00,,,242,/en/stats/leaderboard?page=serve,,2,62,21,34,76,16,21,62,8,13,,0,,5,208,/en/stats/leaderboard?page=serve,4,1,43,10,23,70,7,10,38,5,13,60,3,5,5,71,24,34,48,11,23,61,35,57,52,12,23,29,10,34,39,22,57,A,False,,,,,,T. Haas,M. Rios,H355,R286,GER,CHI,,
7309,1998,Lyon,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,725000,$,MS003,SF,01:08:00,,F,2,C344,"6-3,6-2",A. Corretja,W. Ferreira,,,ESP,RSA,6-3,6-2,,,,01:08:00,,,281,/en/stats/leaderboard?page=serve,1,5,62,32,52,88,28,32,50,10,20,,0,,9,221,/en/stats/leaderboard?page=serve,3,4,49,28,57,68,19,28,41,12,29,57,4,7,8,73,38,52,46,26,57,59,64,109,54,31,57,27,14,52,41,45,109,A,,,,,,,A. Corretja,W. Ferreira,C344,F196,ESP,RSA,,
7309,1998,Lyon,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,725000,$,MS005,QF,01:01:00,,F,2,R286,"6-4,6-0",M. Rios,A. Di Pasquale,,,CHI,FRA,6-4,6-0,,,,01:01:00,,,276,/en/stats/leaderboard?page=serve,2,6,45,22,49,73,16,22,67,18,27,75,3,4,8,166,/en/stats/leaderboard?page=serve,1,1,43,20,46,55,11,20,31,8,26,17,1,6,8,69,34,49,59,27,46,64,61,95,41,19,46,31,15,49,36,34,95,A,,,,,,,M. Rios,A. Di Pasquale,R286,D357,CHI,FRA,,
7309,1998,Lyon,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,725000,$,MS006,QF,01:57:00,,F,2,C344,"7-6(7),7-5",A. Corretja,O. Delaitre,,,ESP,FRA,7-6(7),7-5,,,,01:57:00,,,284,/en/stats/leaderboard?page=serve,2,7,53,42,79,76,32,42,59,22,37,83,5,6,12,247,/en/stats/leaderboard?page=serve,1,2,47,46,97,65,30,46,51,26,51,85,11,13,12,68,54,79,42,41,97,54,95,176,58,56,97,32,25,79,46,81,176,A,,7,2,,,,A. Corretja,O. Delaitre,C344,D015,ESP,FRA,,
7309,1998,Lyon,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,725000,$,MS007,QF,01:11:00,,F,2,F196,"6-4,6-1",W. Ferreira,P. Rafter,,,RSA,AUS,6-4,6-1,,,,01:11:00,,,177,/en/stats/leaderboard?page=serve,3,2,47,28,59,79,22,28,52,16,31,0,0,,8,213,/en/stats/leaderboard?page=serve,2,2,52,26,50,77,20,26,29,7,24,33,2,6,9,64,38,59,46,23,50,56,61,109,54,27,50,36,21,59,44,48,109,A,,,,,,,W. Ferreira,P. Rafter,F196,R255,RSA,AUS,,
7309,1998,Lyon,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,725000,$,MS008,R16,01:12:00,,F,2,S402,"6-2,6-4",P. Sampras,T. Woodbridge,,,USA,AUS,6-2,6-4,,,,01:12:00,,,295,/en/stats/leaderboard?page=serve,1,10,54,28,52,86,24,28,58,14,24,,0,,9,239,/en/stats/leaderboard?page=serve,2,6,56,30,54,67,20,30,46,11,24,50,3,6,9,73,38,52,43,23,54,58,61,106,57,31,54,27,14,52,42,45,106,A,,,,,,,P. Sampras,T. Woodbridge,S402,W136,USA,AUS,,
7309,1998,Lyon,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,725000,$,MS009,R16,01:52:00,,F,3,H355,"2-6,6-3,7-5",T. Haas,F. Santoro,,,GER,FRA,2-6,6-3,7-5,,,01:52:00,,,275,/en/stats/leaderboard?page=serve,4,10,55,52,94,83,43,52,45,19,42,71,5,7,15,277,/en/stats/leaderboard?page=serve,,7,49,39,80,77,30,39,59,24,41,67,4,6,14,66,62,94,33,26,80,51,88,174,68,54,80,34,32,94,49,86,174,A,,,,False,,,T. Haas,F. Santoro,H355,S424,GER,FRA,,
7309,1998,Lyon,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,725000,$,MS010,R16,00:56:00,,F,2,R286,"6-2,6-3",M. Rios,N. Escude,,,CHI,FRA,6-2,6-3,,,,00:56:00,,,214,/en/stats/leaderboard?page=serve,2,3,70,28,40,93,26,28,50,6,12,0,0,,8,212,/en/stats/leaderboard?page=serve,3,4,54,29,54,66,19,29,36,9,25,50,4,8,9,80,32,40,48,26,54,62,58,94,52,28,54,20,8,40,38,36,94,A,,,,,,,M. Rios,N. Escude,R286,E140,CHI,FRA,,
7309,1998,Lyon,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,725000,$,MS011,R16,01:20:00,,F,2,D357,"7-5,6-4",A. Di Pasquale,R. Reneberg,,,FRA,USA,7-5,6-4,,,,01:20:00,,,256,/en/stats/leaderboard?page=serve,3,7,51,30,59,63,19,30,66,19,29,40,2,5,11,209,/en/stats/leaderboard?page=serve,5,4,49,38,77,61,23,38,46,18,39,62,8,13,11,64,38,59,47,36,77,54,74,136,53,41,77,36,21,59,46,62,136,A,,,,,,,A. Di Pasquale,R. Reneberg,D357,R016,FRA,USA,,
