event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS001,F,01:28:00,,F,2,S381,"6-3,7-6(7)",J. Siemerink,S. Stolle,,,NED,AUS,6-3,7-6(7),,,,01:28:00,7,0,250,/en/stats/leaderboard?page=serve,5,9,54,43,79,77,33,43,61,22,36,0,11,277,/en/stats/leaderboard?page=serve,5,5,65,47,72,66,31,47,56,14,25,50,1,2,10,70,55,79,38,27,72,54,82,151,63,45,72,30,24,79,46,69,151,A,,,,,,,J. Siemerink,S. Stolle,S381,S443,NED,AUS,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS002,SF,01:20:00,,F,2,S443,"6-2,6-4",S. Stolle,T. Woodbridge,,,AUS,AUS,6-2,6-4,,,,01:20:00,,,234,/en/stats/leaderboard?page=serve,3,6,64,39,61,79,31,39,55,12,22,0,9,221,/en/stats/leaderboard?page=serve,5,2,46,29,63,62,18,29,50,17,34,50,3,6,9,70,43,61,44,28,63,57,71,124,56,35,63,30,18,61,43,53,124,A,,,,,,,S. Stolle,T. Woodbridge,S443,W136,AUS,AUS,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS003,SF,01:12:00,,F,2,S381,"7-6(7),6-3",J. Siemerink,G. Rusedski,,,NED,GBR,7-6(7),6-3,,,,01:12:00,,,281,/en/stats/leaderboard?page=serve,5,3,57,45,79,80,36,45,56,19,34,1,11,269,/en/stats/leaderboard?page=serve,4,8,66,41,62,76,31,41,43,9,21,60,3,5,10,70,55,79,35,22,62,55,77,141,65,40,62,30,24,79,45,64,141,A,7,4,50,2,,,J. Siemerink,G. Rusedski,S381,R237,NED,GBR,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS004,QF,01:51:00,,F,3,S443,"3-6,7-6(8),6-3",S. Stolle,M. Petchey,,,AUS,GBR,3-6,7-6(8),6-3,,,01:51:00,8,6,275,/en/stats/leaderboard?page=serve,5,4,63,64,101,67,43,64,65,24,37,4,16,294,/en/stats/leaderboard?page=serve,3,6,69,57,83,75,43,57,62,16,26,71,5,7,14,66,67,101,29,24,83,49,91,184,71,59,83,34,34,101,51,93,184,A,,,57,7,,,S. Stolle,M. Petchey,S443,P222,AUS,GBR,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS005,QF,01:10:00,,F,2,W136,"6-4,6-4",T. Woodbridge,V. Spadea,,,AUS,USA,6-4,6-4,,,,01:10:00,,,284,/en/stats/leaderboard?page=serve,5,2,59,35,59,80,28,35,58,14,24,4,10,252,/en/stats/leaderboard?page=serve,1,3,59,35,59,63,22,35,58,14,24,67,6,9,10,71,42,59,39,23,59,55,65,118,61,36,59,29,17,59,45,53,118,A,,,80,5,,,T. Woodbridge,V. Spadea,W136,S544,AUS,USA,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS006,QF,02:17:00,,F,3,S381,"7-6(7),6-7(5),6-1",J. Siemerink,T. Henman,,,NED,GBR,7-6(7),6-7(5),6-1,,,02:17:00,5,7,243,/en/stats/leaderboard?page=serve,8,6,55,69,125,75,52,69,59,33,56,0,16,280,/en/stats/leaderboard?page=serve,4,6,54,53,99,79,42,53,59,27,46,71,5,7,15,68,85,125,30,30,99,51,115,224,70,69,99,32,40,125,49,109,224,A,7,5,,,,,J. Siemerink,T. Henman,S381,H336,NED,GBR,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS007,QF,02:21:00,,F,3,R237,"7-6(7),5-7,6-4",G. Rusedski,S. Matsuoka,,,GBR,JPN,7-6(7),5-7,6-4,,,02:21:00,,,289,/en/stats/leaderboard?page=serve,5,14,66,66,100,82,54,66,44,15,34,2,17,270,/en/stats/leaderboard?page=serve,5,9,60,85,141,68,58,85,50,28,56,78,7,9,17,69,69,100,39,55,141,51,124,241,61,86,141,31,31,100,49,117,241,A,7,5,50,4,,,G. Rusedski,S. Matsuoka,R237,M338,GBR,JPN,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS008,R16,01:05:00,,F,2,S443,"6-4,6-3",S. Stolle,A. Volkov,,,AUS,RUS,6-4,6-3,,,,01:05:00,,,282,/en/stats/leaderboard?page=serve,4,9,62,33,53,82,27,33,45,9,20,2,9,213,/en/stats/leaderboard?page=serve,8,3,45,28,62,75,21,28,38,13,34,43,3,7,10,68,36,53,45,28,62,56,64,115,55,34,62,32,17,53,44,51,115,A,,,67,3,,,S. Stolle,A. Volkov,S443,V037,AUS,RUS,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS009,R16,01:12:00,,F,2,P222,"6-3,6-4",M. Petchey,P. Rafter,,,GBR,AUS,6-3,6-4,,,,01:12:00,,,272,/en/stats/leaderboard?page=serve,5,1,56,35,62,77,27,35,63,17,27,0,10,259,/en/stats/leaderboard?page=serve,4,5,61,30,49,73,22,30,47,9,19,33,1,3,9,71,44,62,37,18,49,56,62,111,63,31,49,29,18,62,44,49,111,A,,,,,,,M. Petchey,P. Rafter,P222,R255,GBR,AUS,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS010,R16,01:35:00,,F,2,S544,"7-6(7),6-4",V. Spadea,M. Knowles,,,USA,BAH,7-6(7),6-4,,,,01:35:00,,,225,/en/stats/leaderboard?page=serve,1,0,63,54,86,59,32,54,41,13,32,10,11,203,/en/stats/leaderboard?page=serve,9,4,58,40,69,65,26,40,31,9,29,58,7,12,11,52,45,86,49,34,69,51,79,155,51,35,69,48,41,86,49,76,155,A,7,4,71,14,,,V. Spadea,M. Knowles,S544,K171,USA,BAH,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS011,R16,01:18:00,,F,2,W136,"7-5,6-4",T. Woodbridge,C. Woodruff,,,AUS,USA,7-5,6-4,,,,01:18:00,,,298,/en/stats/leaderboard?page=serve,2,2,68,39,57,79,31,39,61,11,18,2,11,245,/en/stats/leaderboard?page=serve,3,6,68,53,78,62,33,53,40,10,25,50,3,6,11,74,42,57,45,35,78,57,77,135,55,43,78,26,15,57,43,58,135,A,,,67,3,,,T. Woodbridge,C. Woodruff,W136,W212,AUS,USA,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS012,R16,01:38:00,,F,3,S381,"2-6,7-6(8),6-3",J. Siemerink,M. Goellner,,,NED,GER,2-6,7-6(8),6-3,,,01:38:00,8,6,290,/en/stats/leaderboard?page=serve,4,18,64,66,103,83,55,66,43,16,37,6,15,291,/en/stats/leaderboard?page=serve,7,20,48,44,92,82,36,44,56,27,48,50,1,2,14,69,71,103,32,29,92,51,100,195,68,63,92,31,32,103,49,95,195,A,,,75,8,,,J. Siemerink,M. Goellner,S381,G252,NED,GER,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS013,R16,02:15:00,,F,3,H336,"6-7(2),7-5,6-2",T. Henman,M. Joyce,,,GBR,USA,6-7(2),7-5,6-2,,,02:15:00,,,263,/en/stats/leaderboard?page=serve,10,12,54,72,133,68,49,72,52,32,61,13,16,244,/en/stats/leaderboard?page=serve,5,5,59,63,107,65,41,63,52,23,44,58,7,12,16,61,81,133,40,43,107,52,124,240,60,64,107,39,52,133,48,116,240,A,2,7,87,15,,,T. Henman,M. Joyce,H336,J100,GBR,USA,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS014,R16,01:04:00,,F,2,M338,"6-4,6-2",S. Matsuoka,A. Corretja,,,JPN,ESP,6-4,6-2,,,,01:04:00,,,258,/en/stats/leaderboard?page=serve,2,3,61,28,46,75,21,28,44,8,18,0,9,190,/en/stats/leaderboard?page=serve,1,2,46,25,54,44,11,25,55,16,29,38,3,8,9,63,29,46,50,27,54,56,56,100,50,27,54,37,17,46,44,44,100,A,,,0,2,,,S. Matsuoka,A. Corretja,M338,C344,JPN,ESP,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS015,R16,01:21:00,,F,2,R237,"6-3,7-6(7)",G. Rusedski,M. Damm,,,GBR,CZE,6-3,7-6(7),,,,01:21:00,7,4,241,/en/stats/leaderboard?page=serve,7,10,60,55,92,73,40,55,51,19,37,0,11,297,/en/stats/leaderboard?page=serve,2,3,67,35,52,74,26,35,65,11,17,0,0,1,10,64,59,92,29,15,52,51,74,144,71,37,52,36,33,92,49,70,144,A,,,,,,,G. Rusedski,M. Damm,R237,D214,GBR,CZE,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS016,R32,01:50:00,,F,3,V037,"6-2,6-7(4),6-3",A. Volkov,C. Pioline,,,RUS,FRA,6-2,6-7(4),6-3,,,01:50:00,4,7,249,/en/stats/leaderboard?page=serve,3,1,45,40,89,73,29,40,55,27,49,4,14,201,/en/stats/leaderboard?page=serve,14,9,51,53,103,66,35,53,36,18,50,22,2,9,15,63,56,89,49,50,103,55,106,192,51,53,103,37,33,89,45,86,192,A,,,57,7,,,A. Volkov,C. Pioline,V037,P226,RUS,FRA,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS017,R32,00:47:00,,F,2,S443,"6-1,6-2",S. Stolle,J. Van Herck,,,AUS,BEL,6-1,6-2,,,,00:47:00,,,295,/en/stats/leaderboard?page=serve,2,8,67,31,46,87,27,31,60,9,15,0,8,199,/en/stats/leaderboard?page=serve,,2,68,26,38,54,14,26,33,4,12,43,3,7,7,78,36,46,53,20,38,67,56,84,47,18,38,22,10,46,33,28,84,A,,,,,False,,S. Stolle,J. Van Herck,S443,V167,AUS,BEL,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS018,R32,00:56:00,,F,2,P222,"6-2,6-1",M. Petchey,N. Pereira,,,GBR,VEN,6-2,6-1,,,,00:56:00,,,282,/en/stats/leaderboard?page=serve,3,7,59,27,46,74,20,27,58,11,19,1,8,157,/en/stats/leaderboard?page=serve,2,1,37,18,49,61,11,18,32,10,31,50,5,10,7,67,31,46,57,28,49,62,59,95,43,21,49,33,15,46,38,36,95,A,,,50,2,,,M. Petchey,N. Pereira,P222,P218,GBR,VEN,,
