event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
741,2000,Nottingham,WS,2000-06-19T00:00:00,2000-06-25T00:00:00,Grass,32,350000,$,MS001,F,01:47:00,,F,2,G379,"7-6(9),6-3",S. Grosjean,B. Black,,,FRA,ZIM,7-6(9),6-3,,,,01:47:00,9,7,242,/en/stats/leaderboard?page=serve,0,4,55,48,87,73,35,48,38,15,39,73,8,11,11,218,/en/stats/leaderboard?page=serve,1,2,55,36,65,61,22,36,41,12,29,56,5,9,10,57,50,87,48,31,65,53,81,152,52,34,65,43,37,87,47,71,152,A,,,S. Grosjean,B. Black,G379,B397,FRA,ZIM,,
741,2000,Nottingham,WS,2000-06-19T00:00:00,2000-06-25T00:00:00,Grass,32,350000,$,MS002,SF,01:21:00,,F,2,B397,"7-6(7),6-1",B. Black,J. Gambill,,,ZIM,USA,7-6(7),6-1,,,,01:21:00,7,5,280,/en/stats/leaderboard?page=serve,4,3,66,44,67,77,34,44,48,11,23,50,1,2,10,243,/en/stats/leaderboard?page=serve,5,11,61,37,61,68,25,37,42,10,24,50,3,6,9,67,45,67,43,26,61,55,71,128,57,35,61,33,22,67,45,57,128,A,,,B. Black,J. Gambill,B397,G352,ZIM,USA,,
741,2000,Nottingham,WS,2000-06-19T00:00:00,2000-06-25T00:00:00,Grass,32,350000,$,MS003,SF,01:35:00,,F,2,G379,"7-6(7),6-4",S. Grosjean,J. Bjorkman,,,FRA,SWE,7-6(7),6-4,,,,01:35:00,7,5,279,/en/stats/leaderboard?page=serve,1,6,63,46,73,74,34,46,56,15,27,67,4,6,11,246,/en/stats/leaderboard?page=serve,1,1,62,49,79,69,34,49,43,13,30,70,7,10,11,67,49,73,41,32,79,53,81,152,59,47,79,33,24,73,47,71,152,A,,,S. Grosjean,J. Bjorkman,G379,B446,FRA,SWE,,
741,2000,Nottingham,WS,2000-06-19T00:00:00,2000-06-25T00:00:00,Grass,32,350000,$,MS004,QF,01:11:00,,F,2,B397,"6-4,6-4",B. Black,A. Parmar,,,ZIM,GBR,6-4,6-4,,,,01:11:00,,,310,/en/stats/leaderboard?page=serve,1,5,72,44,61,75,33,44,59,10,17,100,1,1,10,249,/en/stats/leaderboard?page=serve,7,8,61,41,67,80,33,41,27,7,26,67,4,6,10,70,43,61,40,27,67,55,70,128,60,40,67,30,18,61,45,58,128,A,,,B. Black,A. Parmar,B397,P398,ZIM,GBR,,
741,2000,Nottingham,WS,2000-06-19T00:00:00,2000-06-25T00:00:00,Grass,32,350000,$,MS005,QF,02:04:00,,F,2,G352,"6-4,6-4",J. Gambill,G. Pozzi,,,USA,ITA,6-4,6-4,,,,02:04:00,,,295,/en/stats/leaderboard?page=serve,1,6,55,36,65,69,25,36,66,19,29,100,3,3,10,263,/en/stats/leaderboard?page=serve,3,6,58,38,66,79,30,38,43,12,28,78,7,9,10,68,44,65,36,24,66,52,68,131,64,42,66,32,21,65,48,63,131,A,,,J. Gambill,G. Pozzi,G352,P045,USA,ITA,,
741,2000,Nottingham,WS,2000-06-19T00:00:00,2000-06-25T00:00:00,Grass,32,350000,$,MS006,QF,01:23:00,,F,2,G379,"7-6(7),6-3",S. Grosjean,W. Ferreira,,,FRA,RSA,7-6(7),6-3,,,,01:23:00,7,3,276,/en/stats/leaderboard?page=serve,3,1,60,44,73,80,35,44,48,14,29,75,3,4,11,256,/en/stats/leaderboard?page=serve,5,6,41,25,61,84,21,25,50,18,36,33,1,3,10,67,49,73,36,22,61,53,71,134,64,39,61,33,24,73,47,63,134,A,,,S. Grosjean,W. Ferreira,G379,F196,FRA,RSA,,
741,2000,Nottingham,WS,2000-06-19T00:00:00,2000-06-25T00:00:00,Grass,32,350000,$,MS007,QF,01:54:00,,F,3,B446,"7-5,4-6,6-3",J. Bjorkman,R. Fromberg,,,SWE,AUS,7-5,4-6,6-3,,,01:54:00,,,285,/en/stats/leaderboard?page=serve,5,5,73,77,105,68,52,77,57,16,28,71,5,7,16,270,/en/stats/leaderboard?page=serve,4,15,62,56,90,70,39,56,47,16,34,50,3,6,15,65,68,105,39,35,90,53,103,195,61,55,90,35,37,105,47,92,195,A,,,J. Bjorkman,R. Fromberg,B446,F164,SWE,AUS,,
741,2000,Nottingham,WS,2000-06-19T00:00:00,2000-06-25T00:00:00,Grass,32,350000,$,MS008,R16,00:56:00,,F,2,P398,"6-3,6-4",A. Parmar,B. Cowan,,,GBR,GBR,6-3,6-4,,,,00:56:00,,,341,/en/stats/leaderboard?page=serve,1,10,63,29,46,93,27,29,76,13,17,0,0,0,10,267,/en/stats/leaderboard?page=serve,1,3,62,32,52,66,21,32,60,12,20,0,0,2,9,87,40,46,37,19,52,60,59,98,63,33,52,13,6,46,40,39,98,A,,,A. Parmar,B. Cowan,P398,C387,GBR,GBR,,
741,2000,Nottingham,WS,2000-06-19T00:00:00,2000-06-25T00:00:00,Grass,32,350000,$,MS009,R16,01:43:00,,F,3,B397,"6-3,2-6,6-4",B. Black,S. Sargsian,,,ZIM,ARM,6-3,2-6,6-4,,,01:43:00,,,283,/en/stats/leaderboard?page=serve,1,7,61,54,88,69,37,54,62,21,34,67,4,6,14,273,/en/stats/leaderboard?page=serve,3,7,64,52,81,73,38,52,48,14,29,67,4,6,13,66,58,88,36,29,81,51,87,169,64,52,81,34,30,88,49,82,169,A,,,B. Black,S. Sargsian,B397,S545,ZIM,ARM,,
741,2000,Nottingham,WS,2000-06-19T00:00:00,2000-06-25T00:00:00,Grass,32,350000,$,MS010,R16,01:15:00,,F,2,G352,"7-6(7),6-1",J. Gambill,F. Santoro,,,USA,FRA,7-6(7),6-1,,,,01:15:00,7,0,323,/en/stats/leaderboard?page=serve,1,10,64,32,50,88,28,32,72,13,18,0,0,1,10,224,/en/stats/leaderboard?page=serve,5,1,53,36,68,58,21,36,47,15,32,50,3,6,10,82,41,50,47,32,68,62,73,118,53,36,68,18,9,50,38,45,118,A,,,J. Gambill,F. Santoro,G352,S424,USA,FRA,,
