event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,settime_tot_winner,settime_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_id_winner,player_id_loser
7581,2025,Chengdu,250,2025-09-17T00:00:00,2025-09-23T00:00:00,Hard,28,1190210,$,MS001,F,02:37:00,,F,3,TE30,"6-3,2-6,7-6(7)",A. Tabilo,L. Musetti,,,CHI,ITA,6-3,2-6,7-6(7),,,02:37:00,A,A. Tabilo,L. Musetti,CHI,ITA,,,278,/en/stats/leaderboard?page=serve,2,12,68,84,123,70,59,84,44,17,39,78,7,9,15,305,/en/stats/leaderboard?page=serve,0,11,62,50,81,82,41,50,58,18,31,0,0,1,14,62,76,123,27,22,81,48,98,204,73,59,81,38,47,123,52,106,204,7,5,02:37:00,02:37:00,,,,,TE30,M0EJ
7581,2025,Chengdu,250,2025-09-17T00:00:00,2025-09-23T00:00:00,Hard,28,1190210,$,MS002,SF,01:05:00,,F,2,M0EJ,"6-3,6-1",L. Musetti,A. Shevchenko,,,ITA,KAZ,6-3,6-1,,,,01:05:00,A,L. Musetti,A. Shevchenko,ITA,KAZ,,,316,/en/stats/leaderboard?page=serve,1,3,65,26,40,92,24,26,57,8,14,0,0,0,8,218,/en/stats/leaderboard?page=serve,1,3,67,37,55,49,18,37,50,9,18,50,4,8,8,80,32,40,51,28,55,63,60,95,49,27,55,20,8,40,37,35,95,,,01:05:00,01:05:00,,,,,M0EJ,S0H2
7581,2025,Chengdu,250,2025-09-17T00:00:00,2025-09-23T00:00:00,Hard,28,1190210,$,MS003,SF,01:34:00,,F,2,TE30,"6-4,7-6(7)",A. Tabilo,B. Nakashima,,,CHI,USA,6-4,7-6(7),,,,01:34:00,A,A. Tabilo,B. Nakashima,CHI,USA,,,343,/en/stats/leaderboard?page=serve,0,11,80,47,59,85,40,47,67,8,12,0,0,0,11,301,/en/stats/leaderboard?page=serve,0,9,69,45,65,73,33,45,60,12,20,67,2,3,11,81,48,59,31,20,65,55,68,124,69,45,65,19,11,59,45,56,124,,,01:34:00,01:34:00,7,0,,,TE30,N0AE
7581,2025,Chengdu,250,2025-09-17T00:00:00,2025-09-23T00:00:00,Hard,28,1190210,$,MS004,QF,01:16:00,,F,2,M0EJ,"6-3,6-3",L. Musetti,N. Basilashvili,,,ITA,GEO,6-3,6-3,,,,01:16:00,A,L. Musetti,N. Basilashvili,ITA,GEO,,,286,/en/stats/leaderboard?page=serve,2,7,66,35,53,77,27,35,50,9,18,75,3,4,9,215,/en/stats/leaderboard?page=serve,4,3,47,27,57,67,18,27,47,14,30,56,5,9,9,68,36,53,44,25,57,55,61,110,56,32,57,32,17,53,45,49,110,,,01:16:00,01:16:00,,,,,M0EJ,BG23
7581,2025,Chengdu,250,2025-09-17T00:00:00,2025-09-23T00:00:00,Hard,28,1190210,$,MS005,QF,02:16:00,,F,3,S0H2,"7-6(7),3-6,6-2",A. Shevchenko,T. Daniel,,,KAZ,JPN,7-6(7),3-6,6-2,,,02:16:00,A,A. Shevchenko,T. Daniel,KAZ,JPN,,,322,/en/stats/leaderboard?page=serve,2,7,71,54,76,81,44,54,73,16,22,75,3,4,14,279,/en/stats/leaderboard?page=serve,4,9,65,69,106,72,50,69,51,19,37,67,4,6,15,79,60,76,35,37,106,53,97,182,65,69,106,21,16,76,47,85,182,,,02:16:00,02:16:00,,,7,2,S0H2,DA81
7581,2025,Chengdu,250,2025-09-17T00:00:00,2025-09-23T00:00:00,Hard,28,1190210,$,MS006,QF,02:12:00,,F,3,N0AE,"6-3,2-6,7-6(7)",B. Nakashima,M. Giron,,,USA,USA,6-3,2-6,7-6(7),,,02:12:00,A,B. Nakashima,M. Giron,USA,USA,,,276,/en/stats/leaderboard?page=serve,0,13,81,76,94,74,56,76,28,5,18,40,2,5,15,283,/en/stats/leaderboard?page=serve,1,9,65,55,84,80,44,55,45,13,29,33,1,3,14,65,61,94,32,27,84,49,88,178,68,57,84,35,33,94,51,90,178,7,3,02:12:00,02:12:00,,,,,N0AE,GC88
7581,2025,Chengdu,250,2025-09-17T00:00:00,2025-09-23T00:00:00,Hard,28,1190210,$,MS007,QF,02:25:00,,F,3,TE30,"4-6,7-5,6-2",A. Tabilo,C. O'Connell,,,CHI,AUS,4-6,7-5,6-2,,,02:25:00,A,A. Tabilo,C. O'Connell,CHI,AUS,,,295,/en/stats/leaderboard?page=serve,0,10,73,71,97,68,48,71,58,15,26,71,5,7,15,261,/en/stats/leaderboard?page=serve,0,14,65,61,94,67,41,61,42,14,33,60,6,10,15,65,63,97,41,39,94,53,102,191,59,55,94,35,34,97,47,89,191,,,02:25:00,02:25:00,,,,,TE30,O483
7581,2025,Chengdu,250,2025-09-17T00:00:00,2025-09-23T00:00:00,Hard,28,1190210,$,MS008,R16,02:16:00,,F,3,M0EJ,"7-5,3-6,6-2",L. Musetti,D. Prizmic,,,ITA,CRO,7-5,3-6,6-2,,,02:16:00,A,L. Musetti,D. Prizmic,ITA,CRO,,,306,/en/stats/leaderboard?page=serve,1,10,75,54,72,81,44,54,56,10,18,60,3,5,14,259,/en/stats/leaderboard?page=serve,0,3,64,58,90,66,38,58,53,17,32,50,4,8,15,75,54,72,39,35,90,55,89,162,61,55,90,25,18,72,45,73,162,,,02:16:00,02:16:00,,,,,M0EJ,P0HW
7581,2025,Chengdu,250,2025-09-17T00:00:00,2025-09-23T00:00:00,Hard,28,1190210,$,MS009,R16,01:33:00,,F,2,BG23,"6-2,7-6(7)",N. Basilashvili,M. McDonald,,,GEO,USA,6-2,7-6(7),,,,01:33:00,A,N. Basilashvili,M. McDonald,GEO,USA,,,311,/en/stats/leaderboard?page=serve,3,14,58,35,60,86,30,35,56,14,25,0,0,0,10,263,/en/stats/leaderboard?page=serve,0,10,62,54,87,63,34,54,48,16,33,71,5,7,10,73,44,60,43,37,87,55,81,147,57,50,87,27,16,60,45,66,147,,,01:33:00,01:33:00,7,4,,,BG23,MK66
7581,2025,Chengdu,250,2025-09-17T00:00:00,2025-09-23T00:00:00,Hard,28,1190210,$,MS010,R16,01:55:00,,F,3,DA81,"3-6,6-4,6-3",T. Daniel,T. Griekspoor,,,JPN,NED,3-6,6-4,6-3,,,01:55:00,A,T. Daniel,T. Griekspoor,JPN,NED,,,309,/en/stats/leaderboard?page=serve,1,10,70,52,74,83,43,52,55,12,22,50,1,2,14,288,/en/stats/leaderboard?page=serve,3,11,60,48,80,79,38,48,56,18,32,50,2,4,14,74,55,74,30,24,80,51,79,154,70,56,80,26,19,74,49,75,154,,,01:55:00,01:55:00,,,,,DA81,GJ37
7581,2025,Chengdu,250,2025-09-17T00:00:00,2025-09-23T00:00:00,Hard,28,1190210,$,MS011,R16,02:15:00,,F,3,S0H2,"6-7(2),7-6(7),6-4",A. Shevchenko,G. Mpetshi Perricard,,,KAZ,FRA,6-7(2),7-6(7),6-4,,,02:15:00,A,A. Shevchenko,G. Mpetshi Perricard,KAZ,FRA,,,340,/en/stats/leaderboard?page=serve,2,10,66,59,90,85,50,59,81,25,31,0,0,0,17,314,/en/stats/leaderboard?page=serve,6,24,71,77,108,86,66,77,45,14,31,80,4,5,17,83,75,90,26,28,108,52,103,198,74,80,108,17,15,90,48,95,198,,,02:15:00,02:15:00,7,5,2,7,S0H2,M0GZ
7581,2025,Chengdu,250,2025-09-17T00:00:00,2025-09-23T00:00:00,Hard,28,1190210,$,MS012,R16,01:43:00,,F,2,GC88,"6-4,6-4",M. Giron,L. Sonego,,,USA,ITA,6-4,6-4,,,,01:43:00,A,M. Giron,L. Sonego,USA,ITA,,,292,/en/stats/leaderboard?page=serve,3,0,61,38,62,92,35,38,42,10,24,100,2,2,10,256,/en/stats/leaderboard?page=serve,4,3,60,40,67,80,32,40,37,10,27,75,6,8,10,73,45,62,37,25,67,54,70,129,63,42,67,27,17,62,46,59,129,,,01:43:00,01:43:00,,,,,GC88,SU87
7581,2025,Chengdu,250,2025-09-17T00:00:00,2025-09-23T00:00:00,Hard,28,1190210,$,MS013,R16,01:42:00,,F,2,N0AE,"7-5,6-3",B. Nakashima,J. Shang,,,USA,CHN,7-5,6-3,,,,01:42:00,A,B. Nakashima,J. Shang,USA,CHN,,,304,/en/stats/leaderboard?page=serve,0,13,78,56,72,73,41,56,50,8,16,86,6,7,11,267,/en/stats/leaderboard?page=serve,0,6,67,45,67,60,27,45,64,14,22,67,6,9,10,68,49,72,39,26,67,54,75,139,61,41,67,32,23,72,46,64,139,,,01:42:00,01:42:00,,,,,N0AE,S0RE
7581,2025,Chengdu,250,2025-09-17T00:00:00,2025-09-23T00:00:00,Hard,28,1190210,$,MS014,R16,01:33:00,,F,2,O483,"6-2,6-4",C. O'Connell,Y. Zhou,,,AUS,CHN,6-2,6-4,,,,01:33:00,A,C. O'Connell,Y. Zhou,AUS,CHN,,,300,/en/stats/leaderboard?page=serve,1,14,56,36,64,81,29,36,50,14,28,100,2,2,9,234,/en/stats/leaderboard?page=serve,2,4,57,39,68,64,25,39,45,13,29,57,4,7,9,67,43,64,44,30,68,55,73,132,56,38,68,33,21,64,45,59,132,,,01:33:00,01:33:00,,,,,O483,Z0CQ
7581,2025,Chengdu,250,2025-09-17T00:00:00,2025-09-23T00:00:00,Hard,28,1190210,$,MS015,R16,01:27:00,,F,2,TE30,"6-4,6-3",A. Tabilo,L. Darderi,,,CHI,ITA,6-4,6-3,,,,01:27:00,A,A. Tabilo,L. Darderi,CHI,ITA,,,313,/en/stats/leaderboard?page=serve,1,12,71,49,69,76,37,49,55,11,20,100,4,4,10,263,/en/stats/leaderboard?page=serve,3,7,73,41,56,76,31,41,33,5,15,0,0,2,9,70,48,69,36,20,56,54,68,125,64,36,56,30,21,69,46,57,125,,,01:27:00,01:27:00,,,,,TE30,D0FJ
7581,2025,Chengdu,250,2025-09-17T00:00:00,2025-09-23T00:00:00,Hard,28,1190210,$,MS017,R32,01:23:00,,F,2,P0HW,"6-4,6-3",D. Prizmic,T. Atmane,,,CRO,FRA,6-4,6-3,,,,01:23:00,A,D. Prizmic,T. Atmane,CRO,FRA,,,293,/en/stats/leaderboard?page=serve,2,3,60,32,53,84,27,32,48,10,21,0,0,0,9,244,/en/stats/leaderboard?page=serve,3,3,56,34,61,62,21,34,56,15,27,50,3,6,10,70,37,53,41,25,61,54,62,114,59,36,61,30,16,53,46,52,114,,,01:23:00,01:23:00,,,,,P0HW,A0GC
7581,2025,Chengdu,250,2025-09-17T00:00:00,2025-09-23T00:00:00,Hard,28,1190210,$,MS018,R32,02:01:00,,F,3,MK66,"6-4,3-6,6-3",M. McDonald,B. van de Zandschulp,,,USA,NED,6-4,3-6,6-3,,,02:01:00,A,M. McDonald,B. van de Zandschulp,USA,NED,,,277,/en/stats/leaderboard?page=serve,0,8,67,59,88,76,45,59,41,12,29,67,4,6,14,257,/en/stats/leaderboard?page=serve,8,7,62,48,78,85,41,48,33,10,30,50,3,6,14,65,57,88,35,27,78,51,84,166,65,51,78,35,31,88,49,82,166,,,02:01:00,02:01:00,,,,,MK66,V812
7581,2025,Chengdu,250,2025-09-17T00:00:00,2025-09-23T00:00:00,Hard,28,1190210,$,MS019,R32,01:32:00,,F,2,BG23,"7-6(7),6-3",N. Basilashvili,B. Harris,,,GEO,GBR,7-6(7),6-3,,,,01:32:00,A,N. Basilashvili,B. Harris,GEO,GBR,,,262,/en/stats/leaderboard?page=serve,2,11,60,44,73,59,26,44,62,18,29,57,4,7,11,245,/en/stats/leaderboard?page=serve,1,9,75,53,71,58,31,53,44,8,18,33,2,6,10,60,44,73,45,32,71,53,76,144,55,39,71,40,29,73,47,68,144,,,01:32:00,01:32:00,,,7,5,BG23,HD68
7581,2025,Chengdu,250,2025-09-17T00:00:00,2025-09-23T00:00:00,Hard,28,1190210,$,MS021,R32,01:22:00,,F,2,DA81,"6-3,6-2",T. Daniel,C. Wong,,,JPN,HKG,6-3,6-2,,,,01:22:00,A,T. Daniel,C. Wong,JPN,HKG,,,295,/en/stats/leaderboard?page=serve,3,3,56,28,50,75,21,28,64,14,22,0,0,0,8,217,/en/stats/leaderboard?page=serve,2,8,72,48,67,63,30,48,21,4,19,71,10,14,9,70,35,50,49,33,67,58,68,117,51,34,67,30,15,50,42,49,117,,,01:22:00,01:22:00,,,,,DA81,W0BH
