event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
773,2004,Bucharest,WS,2004-09-13T00:00:00,2004-09-19T00:00:00,Clay,32,355000,$,MS001,F,01:05:00,,F,2,A389,"6-3,6-0",J. Acasuso,I. Andreev,,,ARG,RUS,6-3,6-0,,,,01:05:00,283,/en/stats/leaderboard?page=serve,1,5,55,21,38,86,18,21,53,9,17,0,0,1,7,142,/en/stats/leaderboard?page=serve,3,0,49,21,43,48,10,21,23,5,22,33,3,9,8,71,27,38,65,28,43,68,55,81,35,15,43,29,11,38,32,26,81,A,,,,,J. Acasuso,I. Andreev,A389,A511,ARG,RUS,,
773,2004,Bucharest,WS,2004-09-13T00:00:00,2004-09-19T00:00:00,Clay,32,355000,$,MS002,SF,01:25:00,,F,2,A389,"7-6(7),6-2",J. Acasuso,F. Volandri,,,ARG,ITA,7-6(7),6-2,,,,01:25:00,300,/en/stats/leaderboard?page=serve,2,6,60,36,60,83,30,36,63,15,24,50,1,2,10,232,/en/stats/leaderboard?page=serve,0,0,58,40,69,70,28,40,34,10,29,57,4,7,10,75,45,60,45,31,69,59,76,129,55,38,69,25,15,60,41,53,129,A,7.0,5.0,,,J. Acasuso,F. Volandri,A389,V254,ARG,ITA,,
773,2004,Bucharest,WS,2004-09-13T00:00:00,2004-09-19T00:00:00,Clay,32,355000,$,MS003,SF,01:35:00,,F,3,A511,"2-6,6-1,6-4",I. Andreev,F. Mayer,,,RUS,GER,2-6,6-1,6-4,,,01:35:00,282,/en/stats/leaderboard?page=serve,0,1,64,53,83,70,37,53,63,19,30,71,5,7,13,251,/en/stats/leaderboard?page=serve,1,1,64,47,74,68,32,47,44,12,27,70,7,10,12,67,56,83,41,30,74,55,86,157,59,44,74,33,27,83,45,71,157,A,,,,,I. Andreev,F. Mayer,A511,MB02,RUS,GER,,
773,2004,Bucharest,WS,2004-09-13T00:00:00,2004-09-19T00:00:00,Clay,32,355000,$,MS004,QF,01:00:00,,F,2,V254,"6-3,6-1",F. Volandri,V. Hanescu,,,ITA,ROU,6-3,6-1,,,,01:00:00,287,/en/stats/leaderboard?page=serve,0,3,76,38,50,71,27,38,50,6,12,83,5,6,8,213,/en/stats/leaderboard?page=serve,0,0,80,39,49,46,18,39,50,5,10,29,2,7,8,66,33,50,53,26,49,60,59,99,47,23,49,34,17,50,40,40,99,A,,,,,F. Volandri,V. Hanescu,V254,H528,ITA,ROU,,
773,2004,Bucharest,WS,2004-09-13T00:00:00,2004-09-19T00:00:00,Clay,32,355000,$,MS005,QF,01:40:00,,F,2,A389,"6-2,7-6(7)",J. Acasuso,P. Mathieu,,,ARG,FRA,6-2,7-6(7),,,,01:40:00,283,/en/stats/leaderboard?page=serve,3,5,55,34,62,79,27,34,57,16,28,75,3,4,10,219,/en/stats/leaderboard?page=serve,5,1,48,36,75,67,24,36,38,15,39,67,6,9,10,69,43,62,48,36,75,58,79,137,52,39,75,31,19,62,42,58,137,A,,,7.0,2.0,J. Acasuso,P. Mathieu,A389,M850,ARG,FRA,,
773,2004,Bucharest,WS,2004-09-13T00:00:00,2004-09-19T00:00:00,Clay,32,355000,$,MS006,QF,01:25:00,,F,2,A511,"6-4,6-2",I. Andreev,F. Mantilla,,,RUS,ESP,6-4,6-2,,,,01:25:00,308,/en/stats/leaderboard?page=serve,3,2,67,37,55,70,26,37,72,13,18,100,3,3,9,219,/en/stats/leaderboard?page=serve,5,0,45,30,67,67,20,30,46,17,37,77,10,13,9,71,39,55,45,30,67,57,69,122,55,37,67,29,16,55,43,53,122,A,,,,,I. Andreev,F. Mantilla,A511,M535,RUS,ESP,,
773,2004,Bucharest,WS,2004-09-13T00:00:00,2004-09-19T00:00:00,Clay,32,355000,$,MS007,QF,01:03:00,,F,2,MB02,"6-4,6-2",F. Mayer,D. Ferrer,,,GER,ESP,6-4,6-2,,,,01:03:00,299,/en/stats/leaderboard?page=serve,0,1,74,40,54,65,26,40,71,10,14,67,2,3,9,242,/en/stats/leaderboard?page=serve,1,0,75,39,52,44,17,39,69,9,13,33,2,6,9,67,36,54,50,26,52,58,62,106,50,26,52,33,18,54,42,44,106,A,,,,,F. Mayer,D. Ferrer,MB02,F401,GER,ESP,,
773,2004,Bucharest,WS,2004-09-13T00:00:00,2004-09-19T00:00:00,Clay,32,355000,$,MS008,R16,00:59:00,,F,2,H528,"6-2,6-3",V. Hanescu,S. Koubek,,,ROU,AUT,6-2,6-3,,,,00:59:00,318,/en/stats/leaderboard?page=serve,0,2,82,41,50,78,32,41,56,5,9,100,1,1,9,242,/en/stats/leaderboard?page=serve,1,2,64,28,44,46,13,28,69,11,16,40,2,5,8,74,37,50,45,20,44,61,57,94,55,24,44,26,13,50,39,37,94,A,,,,,V. Hanescu,S. Koubek,H528,K310,ROU,AUT,,
773,2004,Bucharest,WS,2004-09-13T00:00:00,2004-09-19T00:00:00,Clay,32,355000,$,MS009,R16,01:24:00,,F,3,V254,"6-2,1-6,6-3",F. Volandri,R. Gasquet,,,ITA,FRA,6-2,1-6,6-3,,,01:24:00,270,/en/stats/leaderboard?page=serve,4,1,76,63,83,62,39,63,60,12,20,70,7,10,12,238,/en/stats/leaderboard?page=serve,3,1,50,29,58,72,21,29,52,15,29,20,1,5,12,61,51,83,38,22,58,52,73,141,62,36,58,39,32,83,48,68,141,A,,,,,F. Volandri,R. Gasquet,V254,G628,ITA,FRA,,
773,2004,Bucharest,WS,2004-09-13T00:00:00,2004-09-19T00:00:00,Clay,32,355000,$,MS010,R16,02:19:00,,F,3,M850,"3-6,6-3,6-1",P. Mathieu,A. Corretja,,,FRA,ESP,3-6,6-3,6-1,,,02:19:00,241,/en/stats/leaderboard?page=serve,3,2,57,49,86,67,33,49,49,18,37,64,7,11,13,217,/en/stats/leaderboard?page=serve,0,3,58,39,67,56,22,39,50,14,28,40,4,10,12,59,51,86,46,31,67,54,82,153,54,36,67,41,35,86,46,71,153,A,,,,,P. Mathieu,A. Corretja,M850,C344,FRA,ESP,,
