event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
807,1998,Mexico City,WS,1998-10-26T00:00:00,1998-11-01T00:00:00,Clay,32,315000,$,MS001,F,01:09:00,,F,2,N254,"6-3,6-3",J. Novak,X. Malisse,,,CZE,BEL,6-3,6-3,,,,01:09:00,270,/en/stats/leaderboard?page=serve,False,3,65,42,65,71,30,42,65,15,23,0,9,228,/en/stats/leaderboard?page=serve,3,3,54,30,56,70,21,30,38,10,26,67,6,9,9,69,45,65,45,25,56,58,70,121,55,31,56,31,20,65,42,51,121,A,,,,,,,,,,J. Novak,X. Malisse,N254,M680,CZE,BEL,,
807,1998,Mexico City,WS,1998-10-26T00:00:00,1998-11-01T00:00:00,Clay,32,315000,$,MS002,SF,01:01:00,,F,2,M680,"6-2,6-2",X. Malisse,F. Clavet,,,BEL,ESP,6-2,6-2,,,,01:01:00,258,/en/stats/leaderboard?page=serve,,3,54,26,48,77,20,26,50,11,22,2,8,162,/en/stats/leaderboard?page=serve,4,0,65,33,51,48,16,33,28,5,18,33,3,9,8,65,31,48,59,30,51,62,61,99,41,21,51,35,17,48,38,38,99,A,1,50,4,,,,,,,X. Malisse,F. Clavet,M680,C252,BEL,ESP,,
807,1998,Mexico City,WS,1998-10-26T00:00:00,1998-11-01T00:00:00,Clay,32,315000,$,MS003,SF,01:43:00,,F,3,N254,"6-3,6-7(1),6-3",J. Novak,M. Puerta,,,CZE,ARG,6-3,6-7(1),6-3,,,01:43:00,329,/en/stats/leaderboard?page=serve,,18,75,63,84,83,52,63,62,13,21,1,16,261,/en/stats/leaderboard?page=serve,4,2,68,67,99,67,45,67,50,16,32,63,5,8,14,77,65,84,38,38,99,56,103,183,62,61,99,23,19,84,44,80,183,A,2,50,2,1,7,,,,,J. Novak,M. Puerta,N254,P372,CZE,ARG,,
807,1998,Mexico City,WS,1998-10-26T00:00:00,1998-11-01T00:00:00,Clay,32,315000,$,MS004,QF,01:09:00,,F,2,M680,"6-3,7-5",X. Malisse,J. Marin,,,BEL,CRC,6-3,7-5,,,,01:09:00,286,/en/stats/leaderboard?page=serve,,7,63,37,59,81,30,37,55,12,22,2,11,211,/en/stats/leaderboard?page=serve,10,2,55,34,62,65,22,34,39,11,28,60,6,10,10,71,42,59,47,29,62,59,71,121,53,33,62,29,17,59,41,50,121,A,1,50,4,,,,,,,X. Malisse,J. Marin,M680,M578,BEL,CRC,,
807,1998,Mexico City,WS,1998-10-26T00:00:00,1998-11-01T00:00:00,Clay,32,315000,$,MS005,QF,01:55:00,,F,2,C252,"7-6(7),7-5",F. Clavet,D. Sanguinetti,,,ESP,ITA,7-6(7),7-5,,,,01:55:00,252,/en/stats/leaderboard?page=serve,,3,67,63,94,65,41,63,45,14,31,5,12,227,/en/stats/leaderboard?page=serve,3,2,57,52,91,54,28,52,51,20,39,73,11,15,12,59,55,94,47,43,91,53,98,185,53,48,91,41,39,94,47,87,185,A,3,63,8,,,7,1,,,F. Clavet,D. Sanguinetti,C252,S480,ESP,ITA,,
807,1998,Mexico City,WS,1998-10-26T00:00:00,1998-11-01T00:00:00,Clay,32,315000,$,MS006,QF,01:46:00,,F,3,P372,"5-7,6-1,6-4",M. Puerta,A. Hernandez,,,ARG,MEX,5-7,6-1,6-4,,,01:46:00,272,/en/stats/leaderboard?page=serve,,3,70,69,98,70,48,69,48,14,29,10,15,257,/en/stats/leaderboard?page=serve,3,6,57,42,74,60,25,42,66,21,32,20,1,5,14,63,62,98,38,28,74,52,90,172,62,46,74,37,36,98,48,82,172,A,5,83,12,,,,,,,M. Puerta,A. Hernandez,P372,H346,ARG,MEX,,
807,1998,Mexico City,WS,1998-10-26T00:00:00,1998-11-01T00:00:00,Clay,32,315000,$,MS007,QF,01:36:00,,F,3,N254,"6-3,3-6,6-3",J. Novak,J. Burillo,,,CZE,ESP,6-3,3-6,6-3,,,01:36:00,286,/en/stats/leaderboard?page=serve,,6,59,48,82,83,40,48,50,17,34,2,14,259,/en/stats/leaderboard?page=serve,5,9,53,52,98,77,40,52,41,19,46,83,10,12,13,70,57,82,40,39,98,53,96,180,60,59,98,30,25,82,47,84,180,A,4,67,3,,,,,,,J. Novak,J. Burillo,N254,B429,CZE,ESP,,
807,1998,Mexico City,WS,1998-10-26T00:00:00,1998-11-01T00:00:00,Clay,32,315000,$,MS008,R16,02:10:00,,F,3,M680,"7-6(7),3-6,6-3",X. Malisse,F. Mantilla,,,BEL,ESP,7-6(7),3-6,6-3,,,02:10:00,265,/en/stats/leaderboard?page=serve,,16,51,54,106,83,45,54,42,22,52,4,15,242,/en/stats/leaderboard?page=serve,11,3,48,48,101,79,38,48,43,23,53,57,4,7,15,63,67,106,40,40,101,52,107,207,60,61,101,37,39,106,48,100,207,A,7,57,7,,,7,4,,,X. Malisse,F. Mantilla,M680,M535,BEL,ESP,,
807,1998,Mexico City,WS,1998-10-26T00:00:00,1998-11-01T00:00:00,Clay,32,315000,$,MS009,R16,02:24:00,,F,3,M578,"6-4,4-6,7-6(7)",J. Marin,J. Viloca-Puig,,,CRC,ESP,6-4,4-6,7-6(7),,,02:24:00,225,/en/stats/leaderboard?page=serve,,7,53,69,131,68,47,69,45,28,62,7,16,230,/en/stats/leaderboard?page=serve,10,3,59,55,93,65,36,55,45,17,38,17,1,6,16,57,75,131,43,40,93,51,115,224,57,53,93,43,56,131,49,109,224,A,16,58,12,,,,,7,1,J. Marin,J. Viloca-Puig,M578,V161,CRC,ESP,,
807,1998,Mexico City,WS,1998-10-26T00:00:00,1998-11-01T00:00:00,Clay,32,315000,$,MS010,R16,01:53:00,,F,3,C252,"3-6,6-0,6-4",F. Clavet,Y. El Aynaoui,,,ESP,MAR,3-6,6-0,6-4,,,01:53:00,241,/en/stats/leaderboard?page=serve,,0,61,57,93,70,40,57,42,15,36,13,12,201,/en/stats/leaderboard?page=serve,6,7,45,39,87,67,26,39,35,17,48,40,4,10,13,59,55,93,51,44,87,55,99,180,49,43,87,41,38,93,45,81,180,A,7,81,16,,,,,,,F. Clavet,Y. El Aynaoui,C252,E121,ESP,MAR,,
807,1998,Mexico City,WS,1998-10-26T00:00:00,1998-11-01T00:00:00,Clay,32,315000,$,MS011,R16,01:04:00,,F,2,S480,"6-3,6-3",D. Sanguinetti,D. Hrbaty,,,ITA,SVK,6-3,6-3,,,,01:04:00,297,/en/stats/leaderboard?page=serve,,10,67,41,61,68,28,41,65,13,20,2,9,206,/en/stats/leaderboard?page=serve,9,2,59,35,59,57,20,35,42,10,24,60,6,10,9,67,41,61,49,29,59,58,70,120,51,30,59,33,20,61,42,50,120,A,1,67,3,,,,,,,D. Sanguinetti,D. Hrbaty,S480,H377,ITA,SVK,,
807,1998,Mexico City,WS,1998-10-26T00:00:00,1998-11-01T00:00:00,Clay,32,315000,$,MS012,R16,01:04:00,,F,2,P372,"6-1,6-2",M. Puerta,L. Arnold Ker,,,ARG,ARG,6-1,6-2,,,,01:04:00,247,/en/stats/leaderboard?page=serve,False,0,64,23,36,74,17,23,38,5,13,0,7,136,/en/stats/leaderboard?page=serve,3,1,60,33,55,52,17,33,14,3,22,50,7,14,8,61,22,36,64,35,55,63,57,91,36,20,55,39,14,36,37,34,91,A,,0,2,,,,,,,M. Puerta,L. Arnold Ker,P372,A228,ARG,ARG,,
