event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,player_id_winner,player_id_loser
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS001,F,02:42:00,,F,3,F401,"7-6(7),6-7(2),6-2",D. Ferrer,N. Almagro,,,ESP,ESP,7-6(7),6-7(2),6-2,,,02:42:00,A,D. Ferrer,N. Almagro,ESP,ESP,,,7.0,4.0,2.0,7.0,257,/en/stats/leaderboard?page=serve,2,6,57,64,113,70,45,64,51,25,49,69,9,13,16,222,/en/stats/leaderboard?page=serve,4,4,50,53,105,68,36,53,42,22,52,14,1,7,16,62,70,113,45,47,105,54,117,218,55,58,105,38,43,113,46,101,218,F401,A479
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS002,SF,01:54:00,,F,3,F401,"5-7,6-1,6-1",D. Ferrer,A. Dolgopolov,,,ESP,UKR,5-7,6-1,6-1,,,01:54:00,A,D. Ferrer,A. Dolgopolov,ESP,UKR,,,,,,,276,/en/stats/leaderboard?page=serve,5,3,56,40,71,83,33,40,55,17,31,78,7,9,13,204,/en/stats/leaderboard?page=serve,7,7,46,48,104,71,34,48,34,19,56,65,11,17,13,70,50,71,49,51,104,58,101,175,51,53,104,30,21,71,42,74,175,F401,D801
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS003,SF,01:44:00,,F,2,A479,"7-6(7),6-4",N. Almagro,T. Bellucci,,,ESP,BRA,7-6(7),6-4,,,,01:44:00,A,N. Almagro,T. Bellucci,ESP,BRA,,,7.0,4.0,,,302,/en/stats/leaderboard?page=serve,1,9,57,43,75,74,32,43,63,20,32,100,3,3,11,288,/en/stats/leaderboard?page=serve,3,5,58,38,65,82,31,38,56,15,27,50,1,2,11,69,52,75,29,19,65,51,71,140,71,46,65,31,23,75,49,69,140,A479,BD20
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS004,QF,02:44:00,,F,3,F401,"2-6,7-5,6-2",D. Ferrer,J. Monaco,,,ESP,ARG,2-6,7-5,6-2,,,02:44:00,A,D. Ferrer,J. Monaco,ESP,ARG,,,,,,,240,/en/stats/leaderboard?page=serve,6,1,63,63,100,62,39,63,49,18,37,71,10,14,14,230,/en/stats/leaderboard?page=serve,1,1,54,50,92,62,31,50,50,21,42,29,2,7,14,57,57,100,43,40,92,51,97,192,57,52,92,43,43,100,49,95,192,F401,MA21
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS005,QF,01:55:00,,F,2,D801,"6-4,7-6(8)",A. Dolgopolov,S. Wawrinka,,,UKR,SUI,6-4,7-6(8),,,,01:55:00,A,A. Dolgopolov,S. Wawrinka,UKR,SUI,,,,,8.0,6.0,264,/en/stats/leaderboard?page=serve,3,11,55,52,95,71,37,52,49,21,43,82,9,11,11,265,/en/stats/leaderboard?page=serve,0,4,65,50,77,54,27,50,70,19,27,67,6,9,11,61,58,95,40,31,77,52,89,172,60,46,77,39,37,95,48,83,172,D801,W367
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS006,QF,02:26:00,,F,3,A479,"7-6(7),5-7,6-4",N. Almagro,S. Giraldo,,,ESP,COL,7-6(7),5-7,6-4,,,02:26:00,A,N. Almagro,S. Giraldo,ESP,COL,,,7.0,0.0,,,252,/en/stats/leaderboard?page=serve,3,7,57,57,100,74,42,57,47,20,43,29,2,7,17,246,/en/stats/leaderboard?page=serve,1,4,63,71,113,62,44,71,48,20,42,50,5,10,17,62,62,100,43,49,113,52,111,213,57,64,113,38,38,100,48,102,213,A479,G725
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS007,QF,03:09:00,,F,3,BD20,"6-7(5),6-3,6-4",T. Bellucci,L. Kubot,,,BRA,POL,6-7(5),6-3,6-4,,,03:09:00,A,T. Bellucci,L. Kubot,BRA,POL,,,5.0,7.0,,,246,/en/stats/leaderboard?page=serve,3,5,61,61,100,72,44,61,38,15,39,43,3,7,15,211,/en/stats/leaderboard?page=serve,9,2,60,75,126,63,47,75,39,20,51,63,12,19,16,59,59,100,47,59,126,52,118,226,53,67,126,41,41,100,48,108,226,BD20,K540
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS008,R16,00:52:00,,F,2,F401,"6-2,6-2",D. Ferrer,S. Gonzalez,,,ESP,MEX,6-2,6-2,,,,00:52:00,A,D. Ferrer,S. Gonzalez,ESP,MEX,,,,,,,320,/en/stats/leaderboard?page=serve,0,2,61,25,41,76,19,25,81,13,16,0,0,0,8,215,/en/stats/leaderboard?page=serve,2,3,67,30,45,70,21,30,27,4,15,60,6,10,8,78,32,41,44,20,45,60,52,86,56,25,45,22,9,41,40,34,86,F401,G551
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS009,R16,01:46:00,,F,2,MA21,"6-3,6-4",J. Monaco,P. Cuevas,,,ARG,URU,6-3,6-4,,,,01:46:00,A,J. Monaco,P. Cuevas,ARG,URU,,,,,,,268,/en/stats/leaderboard?page=serve,2,3,59,45,76,76,34,45,42,13,31,83,5,6,10,245,/en/stats/leaderboard?page=serve,1,0,61,33,54,52,17,33,67,14,21,25,1,4,9,62,47,76,43,23,54,54,70,130,57,31,54,38,29,76,46,60,130,MA21,C882
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS010,R16,02:49:00,,F,3,W367,"5-7,6-3,7-5",S. Wawrinka,F. Fognini,,,SUI,ITA,5-7,6-3,7-5,,,02:49:00,A,S. Wawrinka,F. Fognini,SUI,ITA,,,,,,,252,/en/stats/leaderboard?page=serve,3,2,66,71,107,58,41,71,61,22,36,50,5,10,16,221,/en/stats/leaderboard?page=serve,3,4,61,74,122,57,42,74,44,21,48,50,7,14,17,59,63,107,48,59,122,53,122,229,52,63,122,41,44,107,47,107,229,W367,F510
