event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,doublefaults_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
890,1996,Shanghai,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,303000,$,MS001,F,01:29:00,,F,2,O009,"7-6(7),6-2",A. Olhovskiy,M. Knowles,,,RUS,BAH,7-6(7),6-2,,,,01:29:00,7,5,280,/en/stats/leaderboard?page=serve,False,7,44,31,70,87,27,31,62,24,39,0,10,258,/en/stats/leaderboard?page=serve,False,2,58,46,79,63,29,46,55,18,33,78,7,9,10,73,51,70,41,32,79,56,83,149,59,47,79,27,19,70,44,66,149,A,,,,,,,A. Olhovskiy,M. Knowles,O009,K171,RUS,BAH,,
890,1996,Shanghai,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,303000,$,MS002,SF,01:33:00,,F,3,K171,"3-6,6-1,6-4",M. Knowles,M. Tebbutt,,,BAH,AUS,3-6,6-1,6-4,,,01:33:00,,,305,/en/stats/leaderboard?page=serve,,10,59,44,74,80,35,44,67,20,30,5,13,262,/en/stats/leaderboard?page=serve,,16,55,42,76,71,30,42,47,16,34,25,1,4,13,74,55,74,39,30,76,57,85,150,61,46,76,26,19,74,43,65,150,A,3,83,6,3,,,M. Knowles,M. Tebbutt,K171,T195,BAH,AUS,,
890,1996,Shanghai,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,303000,$,MS003,SF,01:34:00,,F,3,O009,"4-6,6-4,6-4",A. Olhovskiy,T. Henman,,,RUS,GBR,4-6,6-4,6-4,,,01:34:00,,,289,/en/stats/leaderboard?page=serve,,7,54,45,84,84,38,45,56,22,39,0,15,290,/en/stats/leaderboard?page=serve,,10,69,61,89,77,47,61,50,14,28,60,3,5,15,71,60,84,31,28,89,51,88,173,69,61,89,29,24,84,49,85,173,A,5,0,1,2,,,A. Olhovskiy,T. Henman,O009,H336,RUS,GBR,,
890,1996,Shanghai,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,303000,$,MS004,QF,02:02:00,,F,3,K171,"5-7,7-5,6-2",M. Knowles,J. Tarango,,,BAH,USA,5-7,7-5,6-2,,,02:02:00,,,280,/en/stats/leaderboard?page=serve,,12,60,62,104,74,46,62,52,22,42,5,16,274,/en/stats/leaderboard?page=serve,,6,72,72,100,69,50,72,54,15,28,50,4,8,16,65,68,104,35,35,100,50,103,204,65,65,100,35,36,104,50,101,204,A,5,71,7,2,,,M. Knowles,J. Tarango,K171,T136,BAH,USA,,
890,1996,Shanghai,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,303000,$,MS005,QF,01:29:00,,F,2,T195,"6-4,7-6(8)",M. Tebbutt,M. Ondruska,,,AUS,RSA,6-4,7-6(8),,,,01:29:00,,,282,/en/stats/leaderboard?page=serve,,8,60,38,63,71,27,38,64,16,25,1,10,239,/en/stats/leaderboard?page=serve,,6,57,44,77,70,31,44,45,15,33,50,4,8,11,68,43,63,40,31,77,53,74,140,60,46,77,32,20,63,47,66,140,A,1,33,3,2,8,6,M. Tebbutt,M. Ondruska,T195,O098,AUS,RSA,,
890,1996,Shanghai,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,303000,$,MS006,QF,00:56:00,,F,2,O009,"6-3,6-4",A. Olhovskiy,C. Caratti,,,RUS,ITA,6-3,6-4,,,,00:56:00,,,267,/en/stats/leaderboard?page=serve,,7,72,46,64,72,33,46,39,7,18,5,10,224,/en/stats/leaderboard?page=serve,,1,69,33,48,61,20,33,40,6,15,33,2,6,9,63,40,64,46,22,48,55,62,112,54,26,48,38,24,64,45,50,112,A,3,71,7,2,,,A. Olhovskiy,C. Caratti,O009,C270,RUS,ITA,,
890,1996,Shanghai,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,303000,$,MS007,QF,01:12:00,,F,2,H336,"6-1,7-6(7)",T. Henman,M. Petchey,,,GBR,GBR,6-1,7-6(7),,,,01:12:00,,,275,/en/stats/leaderboard?page=serve,,3,66,37,56,81,30,37,47,9,19,0,10,205,/en/stats/leaderboard?page=serve,,2,49,33,67,67,22,33,41,14,34,43,3,7,9,70,39,56,46,31,67,57,70,123,54,36,67,30,17,56,43,53,123,A,2,0,2,9,7,4,T. Henman,M. Petchey,H336,P222,GBR,GBR,,
890,1996,Shanghai,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,303000,$,MS008,R16,01:22:00,,F,3,T136,"5-7,6-0,6-3",J. Tarango,D. Sapsford,,,USA,GBR,5-7,6-0,6-3,,,01:22:00,,,271,/en/stats/leaderboard?page=serve,,9,70,58,83,69,40,58,48,12,25,2,14,218,/en/stats/leaderboard?page=serve,,4,61,43,71,60,26,43,43,12,28,40,4,10,13,63,52,83,46,33,71,55,85,154,54,38,71,37,31,83,45,69,154,A,3,40,5,3,,,J. Tarango,D. Sapsford,T136,S404,USA,GBR,,
890,1996,Shanghai,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,303000,$,MS009,R16,02:20:00,,F,3,K171,"7-6(7),6-7(5),6-4",M. Knowles,T. Ho,,,BAH,USA,7-6(7),6-7(5),6-4,,,02:20:00,7,5,296,/en/stats/leaderboard?page=serve,,5,58,57,99,84,48,57,64,27,42,1,17,279,/en/stats/leaderboard?page=serve,,5,66,85,129,72,61,85,55,24,44,79,11,14,17,76,75,99,34,44,129,52,119,228,66,85,129,24,24,99,48,109,228,A,3,33,3,1,5,7,M. Knowles,T. Ho,K171,H251,BAH,USA,,
890,1996,Shanghai,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,303000,$,MS010,R16,01:21:00,,F,2,T195,"7-5,6-1",M. Tebbutt,A. Cherkasov,,,AUS,RUS,7-5,6-1,,,,01:21:00,,,259,/en/stats/leaderboard?page=serve,,2,47,30,64,80,24,30,68,23,34,0,11,255,/en/stats/leaderboard?page=serve,,0,78,49,63,71,35,49,29,4,14,50,2,4,11,73,47,64,38,24,63,56,71,127,62,39,63,27,17,64,44,56,127,A,1,,,4,,,M. Tebbutt,A. Cherkasov,T195,C260,AUS,RUS,,
890,1996,Shanghai,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,303000,$,MS011,R16,00:58:00,,F,2,O098,"6-3,6-1",M. Ondruska,L. Jonsson,,,RSA,SWE,6-3,6-1,,,,00:58:00,,,219,/en/stats/leaderboard?page=serve,,6,61,25,41,84,21,25,69,11,16,0,8,194,/en/stats/leaderboard?page=serve,,0,47,24,51,54,13,24,44,12,27,43,3,7,8,78,32,41,51,26,51,63,58,92,49,25,51,22,9,41,37,34,92,A,1,0,,1,,,M. Ondruska,L. Jonsson,O098,J084,RSA,SWE,,
890,1996,Shanghai,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,303000,$,MS012,R16,01:44:00,,F,3,O009,"4-6,7-6(7),7-5",A. Olhovskiy,H. Arazi,,,RUS,MAR,4-6,7-6(7),7-5,,,01:44:00,,,291,/en/stats/leaderboard?page=serve,,12,65,66,101,80,53,66,54,19,35,4,17,285,/en/stats/leaderboard?page=serve,,8,67,68,102,75,51,68,50,17,34,60,3,5,17,71,72,101,33,34,102,52,106,203,67,68,102,29,29,101,48,97,203,A,8,67,6,3,7,4,A. Olhovskiy,H. Arazi,O009,A226,RUS,MAR,,
890,1996,Shanghai,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,303000,$,MS013,R16,00:52:00,,F,2,C270,"6-2,6-3",C. Caratti,O. Ogorodov,,,ITA,UZB,6-2,6-3,,,,00:52:00,,,288,/en/stats/leaderboard?page=serve,,2,69,31,45,81,25,31,50,7,14,0,8,178,/en/stats/leaderboard?page=serve,,0,45,21,47,48,10,21,42,11,26,29,2,7,9,71,32,45,55,26,47,63,58,92,45,21,47,29,13,45,37,34,92,A,1,0,1,1,,,C. Caratti,O. Ogorodov,C270,O127,ITA,UZB,,
890,1996,Shanghai,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,303000,$,MS014,R16,01:16:00,,F,2,P222,"6-4,6-4",M. Petchey,P. Baur,,,GBR,GER,6-4,6-4,,,,01:16:00,,,282,/en/stats/leaderboard?page=serve,,3,56,32,57,81,26,32,64,16,25,0,10,271,/en/stats/leaderboard?page=serve,,3,62,37,60,62,23,37,65,15,23,33,1,3,10,74,42,57,37,22,60,55,64,117,63,38,60,26,15,57,45,53,117,A,2,,,1,,,M. Petchey,P. Baur,P222,B293,GBR,GER,,
890,1996,Shanghai,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,303000,$,MS015,R16,01:26:00,,F,2,H336,"6-4,7-6(7)",T. Henman,J. Grabb,,,GBR,USA,6-4,7-6(7),,,,01:26:00,,,305,/en/stats/leaderboard?page=serve,,3,66,43,65,79,34,43,68,15,22,0,11,277,/en/stats/leaderboard?page=serve,,8,71,50,70,70,35,50,50,10,20,67,4,6,11,75,49,65,36,25,70,55,74,135,64,45,70,25,16,65,45,61,135,A,1,0,1,3,7,2,T. Henman,J. Grabb,H336,G039,GBR,USA,,
890,1996,Shanghai,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,303000,$,MS016,R32,01:25:00,,F,2,T136,"6-4,7-6(7)",J. Tarango,J. Bates,,,USA,GBR,6-4,7-6(7),,,,01:25:00,,,265,/en/stats/leaderboard?page=serve,,5,72,55,76,73,40,55,38,8,21,5,11,236,/en/stats/leaderboard?page=serve,,6,49,37,76,68,25,37,49,19,39,67,6,9,11,63,48,76,42,32,76,53,80,152,58,44,76,37,28,76,47,72,152,A,4,71,7,8,7,3,J. Tarango,J. Bates,T136,B021,USA,GBR,,
890,1996,Shanghai,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,303000,$,MS017,R32,01:34:00,,F,2,S404,"6-1,7-6(7)",D. Sapsford,T. Nydahl,,,GBR,SWE,6-1,7-6(7),,,,01:34:00,,,282,/en/stats/leaderboard?page=serve,False,2,50,32,64,84,27,32,56,18,32,3,10,240,/en/stats/leaderboard?page=serve,,4,54,33,61,73,24,33,46,13,28,25,1,4,9,70,45,64,39,24,61,55,69,125,61,37,61,30,19,64,45,56,125,A,,75,4,3,7,4,D. Sapsford,T. Nydahl,S404,N099,GBR,SWE,,
890,1996,Shanghai,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,303000,$,MS018,R32,01:03:00,,F,2,K171,"6-2,6-2",M. Knowles,W. Black,,,BAH,ZIM,6-2,6-2,,,,01:03:00,,,305,/en/stats/leaderboard?page=serve,False,3,60,25,42,84,21,25,71,12,17,0,8,204,/en/stats/leaderboard?page=serve,,0,57,30,53,63,19,30,35,8,23,50,4,8,8,79,33,42,49,26,53,62,59,95,51,27,53,21,9,42,38,36,95,A,,,,1,,,M. Knowles,W. Black,K171,B499,BAH,ZIM,,
890,1996,Shanghai,GP,1996-01-29T00:00:00,1996-02-04T00:00:00,Carpet,32,303000,$,MS019,R32,01:13:00,,F,2,H251,"7-6(7),6-1",T. Ho,D. Dier,,,USA,GER,7-6(7),6-1,,,,01:13:00,7,4,292,/en/stats/leaderboard?page=serve,False,3,61,33,54,73,24,33,67,14,21,3,9,224,/en/stats/leaderboard?page=serve,,1,56,36,64,56,20,36,54,15,28,56,5,9,10,70,38,54,45,29,64,57,67,118,55,35,64,30,16,54,43,51,118,A,,75,4,3,,,T. Ho,D. Dier,H251,D207,USA,GER,,
