tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
1039,2023,Monterrey,I,2023-02-27,,Hard,,,32,,,LS001,2023-02-27,F,Donna Vekic,Caroline Garcia,CRO,FRA,3.0,1.0,6-4,3-6,7-5,,318516,315391,1039,2023,Donna Vekic,Caroline Garcia,CRO,FRA,3.0,1.0,,Donna Vekic,Caroline Garcia,3,"6-4,3-6,7-5",,2023-02-27,02:29:00,Monterrey,,,,,318516,,315391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,2023,Monterrey,I,2023-02-27,,Hard,,,32,,,LS003,2023-02-27,SF,Caroline Garcia,Elise Mertens,FRA,BEL,1.0,4.0,6-3,6-4,,,315391,317964,1039,2023,Caroline Garcia,Elise Mertens,FRA,BEL,1.0,4.0,,Caroline Garcia,Elise Mertens,2,"6-3,6-4",,2023-02-27,01:41:00,Monterrey,,,,,315391,,317964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,2023,Monterrey,I,2023-02-27,,Hard,,,32,,,LS002,2023-02-27,SF,Donna Vekic,Lin Zhu,CRO,CHN,3.0,5.0,7-5,6-2,,,318516,317306,1039,2023,Donna Vekic,Lin Zhu,CRO,CHN,3.0,5.0,,Donna Vekic,Lin Zhu,2,"7-5,6-2",,2023-02-27,01:31:00,Monterrey,,,,,318516,,317306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,2023,Monterrey,I,2023-02-27,,Hard,,,32,,,LS006,2023-02-27,QF,Caroline Garcia,Mayar Sherif,FRA,EGY,1.0,7.0,6-0,6-4,,,315391,318711,1039,2023,Caroline Garcia,Mayar Sherif,FRA,EGY,1.0,7.0,,Caroline Garcia,Mayar Sherif,2,"6-0,6-4",,2023-02-27,01:05:00,Monterrey,,,,,315391,,318711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,2023,Monterrey,I,2023-02-27,,Hard,,,32,,,LS007,2023-02-27,QF,Elise Mertens,Elisabetta Cocciaretto,BEL,ITA,4.0,8.0,6-2,6-2,,,317964,327909,1039,2023,Elise Mertens,Elisabetta Cocciaretto,BEL,ITA,4.0,8.0,,Elise Mertens,Elisabetta Cocciaretto,2,"6-2,6-2",,2023-02-27,01:19:00,Monterrey,,,,,317964,,327909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,2023,Monterrey,I,2023-02-27,,Hard,,,32,,,LS004,2023-02-27,QF,Donna Vekic,Ysaline Bonaventure,CRO,BEL,3.0,,6-2,5-7,7-6(5),,318516,317317,1039,2023,Donna Vekic,Ysaline Bonaventure,CRO,BEL,3.0,,,Donna Vekic,Ysaline Bonaventure,3,"6-2,5-7,7-6(5)",,2023-02-27,02:13:00,Monterrey,,,,,318516,,317317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,2023,Monterrey,I,2023-02-27,,Hard,,,32,,,LS005,2023-02-27,QF,Lin Zhu,Caroline Dolehide,CHN,USA,5.0,,6-3,6-2,,,317306,322052,1039,2023,Lin Zhu,Caroline Dolehide,CHN,USA,5.0,,,Lin Zhu,Caroline Dolehide,2,"6-3,6-2",,2023-02-27,01:16:00,Monterrey,,,,,317306,,322052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,2023,Monterrey,I,2023-02-27,,Hard,,,32,,,LS012,2023-02-27,R16,Caroline Garcia,Nuria Parrizas Diaz,FRA,ESP,1.0,,6-3,6-2,,,315391,314359,1039,2023,Caroline Garcia,Nuria Parrizas Diaz,FRA,ESP,1.0,,,Caroline Garcia,Nuria Parrizas Diaz,2,"6-3,6-2",,2023-02-27,01:02:00,Monterrey,,,,,315391,,314359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,2023,Monterrey,I,2023-02-27,,Hard,,,32,,,LS013,2023-02-27,R16,Mayar Sherif,Xin Yu Wang,EGY,CHN,7.0,,3-6,7-6(6),6-4,,318711,326376,1039,2023,Mayar Sherif,Xin Yu Wang,EGY,CHN,7.0,,,Mayar Sherif,Xin Yu Wang,3,"3-6,7-6(6),6-4",,2023-02-27,02:36:00,Monterrey,,,,,318711,,326376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,2023,Monterrey,I,2023-02-27,,Hard,,,32,,,LS014,2023-02-27,R16,Elise Mertens,Elena Gabriela Ruse,BEL,ROU,4.0,,6-3,3-6,6-2,,317964,320408,1039,2023,Elise Mertens,Elena Gabriela Ruse,BEL,ROU,4.0,,,Elise Mertens,Elena Gabriela Ruse,3,"6-3,3-6,6-2",,2023-02-27,02:28:00,Monterrey,,,,,317964,,320408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,2023,Monterrey,I,2023-02-27,,Hard,,,32,,,LS015,2023-02-27,R16,Elisabetta Cocciaretto,Tatjana Maria,ITA,GER,8.0,,7-6(5),7-6(3),,,327909,310440,1039,2023,Elisabetta Cocciaretto,Tatjana Maria,ITA,GER,8.0,,,Elisabetta Cocciaretto,Tatjana Maria,2,"7-6(5),7-6(3)",,2023-02-27,02:04:00,Monterrey,,,,,327909,,310440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,2023,Monterrey,I,2023-02-27,,Hard,,,32,,,LS009,2023-02-27,R16,Ysaline Bonaventure,Kamilla Rakhimova,BEL,RUS,,,7-6(2),1-6,6-3,,317317,325936,1039,2023,Ysaline Bonaventure,Kamilla Rakhimova,BEL,RUS,,,,Ysaline Bonaventure,Kamilla Rakhimova,3,"7-6(2),1-6,6-3",,2023-02-27,02:03:00,Monterrey,,,,,317317,,325936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
