tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
2066,2025,ROUEN,WTA 250,2025-04-14,2025-04-20,Clay,ROUEN,FRANCE,32.0,275094.0,USD,LS001,2025-04-20,F,Elina Svitolina,Olga Danilovic,UKR,SRB,1.0,3.0,6-4,7-6(8),,I,316738,324934,2066,2025,Elina Svitolina,Olga Danilovic,UKR,SRB,1,3,2,Elina Svitolina,Olga Danilovic,2,"6-4,7-6(8)",2025-04-20T13:20:55.387+00:00,2025-04-20,01:58:05,ROUEN,"Open Capfinances Rouen Métropole - Rouen, FRA",2066,,,316738,,324934,,00:48:08,6,4,,0,4.0,2.0,3.0,3.0,12.0,14.0,16.0,26.0,19.0,18.0,30.0,37.0,2.0,1.0,3.0,3.0,5.0,5.0,4.0,12.0,38.0,29.0,0.0,0.0,01:09:59,7,6,,8,2.0,3.0,0.0,0.0,21.0,24.0,29.0,37.0,28.0,28.0,45.0,47.0,1.0,1.0,2.0,2.0,6.0,6.0,8.0,13.0,47.0,45.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,10.0,8.0,,,,,,,,,,,,,
2066,2025,ROUEN,WTA 250,2025-04-14,2025-04-20,Clay,ROUEN,FRANCE,32.0,275094.0,USD,LS002,2025-04-19,S,Elina Svitolina,Elena-Gabriela Ruse,UKR,ROU,1.0,,6-0,6-2,,I,316738,320408,2066,2025,Elina Svitolina,Elena-Gabriela Ruse,UKR,ROU,1,,2,Elina Svitolina,Elena-Gabriela Ruse,2,"6-0,6-2",2025-04-19T14:44:12.183+00:00,2025-04-19,01:01:47,ROUEN,"Open Capfinances Rouen Métropole - Rouen, FRA",2066,,,316738,,320408,,00:21:01,6,0,,0,0.0,0.0,0.0,5.0,7.0,3.0,9.0,7.0,12.0,4.0,14.0,16.0,3.0,0.0,5.0,0.0,3.0,3.0,2.0,4.0,24.0,6.0,0.0,0.0,00:40:47,6,2,,0,4.0,2.0,0.0,1.0,16.0,10.0,21.0,21.0,20.0,15.0,30.0,31.0,2.0,0.0,6.0,0.0,4.0,4.0,5.0,11.0,36.0,25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2066,2025,ROUEN,WTA 250,2025-04-14,2025-04-20,Clay,ROUEN,FRANCE,32.0,275094.0,USD,LS003,2025-04-19,S,Olga Danilovic,Suzan Lamens,SRB,NED,3.0,,6-4,6-4,,I,324934,324898,2066,2025,Olga Danilovic,Suzan Lamens,SRB,NED,3,,2,Olga Danilovic,Suzan Lamens,2,"6-4,6-4",2025-04-19T12:49:36.32+00:00,2025-04-19,01:34:11,ROUEN,"Open Capfinances Rouen Métropole - Rouen, FRA",2066,,,324934,,324898,,00:46:22,6,4,,0,1.0,1.0,0.0,2.0,13.0,12.0,21.0,20.0,18.0,16.0,31.0,32.0,3.0,2.0,5.0,3.0,5.0,5.0,8.0,8.0,34.0,29.0,0.0,0.0,00:47:50,6,4,,0,2.0,1.0,1.0,1.0,16.0,17.0,23.0,20.0,21.0,19.0,30.0,29.0,1.0,0.0,2.0,2.0,5.0,5.0,7.0,3.0,31.0,28.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2066,2025,ROUEN,WTA 250,2025-04-14,2025-04-20,Clay,ROUEN,FRANCE,32.0,275094.0,USD,LS004,2025-04-18,Q,Elina Svitolina,Jessica Bouzas Maneiro,UKR,ESP,1.0,,6-3,6-2,,I,316738,328139,2066,2025,Elina Svitolina,Jessica Bouzas Maneiro,UKR,ESP,1,,2,Elina Svitolina,Jessica Bouzas Maneiro,2,"6-3,6-2",2025-04-18T17:18:39.077+00:00,2025-04-18,01:20:20,ROUEN,"Open Capfinances Rouen Métropole - Rouen, FRA",2066,,,316738,,328139,,00:50:37,6,3,,0,1.0,1.0,0.0,1.0,19.0,9.0,29.0,18.0,28.0,13.0,48.0,27.0,2.0,1.0,3.0,8.0,5.0,4.0,10.0,9.0,42.0,33.0,0.0,0.0,00:29:43,6,2,,0,0.0,0.0,0.0,2.0,11.0,10.0,16.0,16.0,16.0,11.0,22.0,21.0,2.0,0.0,2.0,0.0,4.0,4.0,5.0,6.0,26.0,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2066,2025,ROUEN,WTA 250,2025-04-14,2025-04-20,Clay,ROUEN,FRANCE,32.0,275094.0,USD,LS005,2025-04-18,Q,Elena-Gabriela Ruse,Jessika Ponchet,ROU,FRA,,,6-2,6-2,,I,320408,319421,2066,2025,Jessika Ponchet,Elena-Gabriela Ruse,FRA,ROU,,,3,Elena-Gabriela Ruse,Jessika Ponchet,2,"6-2,6-2",2025-04-18T14:11:16.333+00:00,2025-04-18,01:16:37,ROUEN,"Open Capfinances Rouen Métropole - Rouen, FRA",2066,,,319421,,320408,,00:34:19,6,2,0,,4.0,1.0,1.0,1.0,10.0,7.0,12.0,14.0,16.0,14.0,20.0,29.0,2.0,0.0,3.0,0.0,4.0,4.0,2.0,7.0,31.0,18.0,0.0,0.0,00:42:18,6,2,0,,1.0,3.0,3.0,0.0,6.0,7.0,9.0,11.0,16.0,11.0,27.0,25.0,3.0,1.0,4.0,3.0,4.0,4.0,3.0,4.0,30.0,22.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2066,2025,ROUEN,WTA 250,2025-04-14,2025-04-20,Clay,ROUEN,FRANCE,32.0,275094.0,USD,LS006,2025-04-18,Q,Olga Danilovic,Moyuka Uchijima,SRB,JPN,3.0,5.0,7-6(9),4-6,6-1,I,324934,327241,2066,2025,Moyuka Uchijima,Olga Danilovic,JPN,SRB,5,3,3,Olga Danilovic,Moyuka Uchijima,3,"7-6(9),4-6,6-1",2025-04-18T11:24:05.3+00:00,2025-04-18,02:30:21,ROUEN,"Open Capfinances Rouen Métropole - Rouen, FRA",2066,,,327241,,324934,,01:08:03,7,6,9,,1.0,1.0,3.0,1.0,27.0,24.0,36.0,37.0,36.0,30.0,54.0,49.0,1.0,1.0,2.0,5.0,6.0,6.0,9.0,13.0,55.0,48.0,0.0,0.0,00:42:33,4,6,0,,2.0,0.0,0.0,2.0,11.0,12.0,20.0,17.0,18.0,17.0,33.0,25.0,1.0,2.0,1.0,2.0,5.0,5.0,9.0,5.0,26.0,32.0,0.0,0.0,00:39:46,6,1,0,,1.0,0.0,1.0,2.0,12.0,4.0,19.0,11.0,18.0,10.0,29.0,24.0,3.0,0.0,6.0,3.0,3.0,4.0,7.0,7.0,32.0,21.0,0.0,0.0,,,,,,,,,,,,4.0,5.0,4.0,1.0,75.0,65.0,116.0,98.0,0.646551724137931,0.6632653061224489,50.0,40.0,75.0,65.0,0.6666666666666666,0.6153846153846154,,,,,,,7.0,19,0.3684210526315789,14.0,15.0,,,,,,,11.0,9.0,,,,,,,,,,,,,,,
2066,2025,ROUEN,WTA 250,2025-04-14,2025-04-20,Clay,ROUEN,FRANCE,32.0,275094.0,USD,LS007,2025-04-18,Q,Suzan Lamens,Tiantsoa Rakotomanga Rajaonah,NED,FRA,,,6-3,6-3,,I,324898,330970,2066,2025,Tiantsoa Rakotomanga Rajaonah,Suzan Lamens,FRA,NED,,,3,Suzan Lamens,Tiantsoa Rakotomanga Rajaonah,2,"6-3,6-3",2025-04-18T15:46:43.593+00:00,2025-04-18,01:12:57,ROUEN,"Open Capfinances Rouen Métropole - Rouen, FRA",2066,,,330970,,324898,,00:33:33,6,3,0,,1.0,1.0,1.0,3.0,8.0,7.0,16.0,19.0,10.0,10.0,22.0,29.0,4.0,2.0,5.0,3.0,4.0,5.0,8.0,12.0,29.0,22.0,0.0,0.0,00:39:24,6,3,0,,0.0,0.0,2.0,2.0,10.0,6.0,17.0,16.0,16.0,9.0,28.0,22.0,3.0,2.0,6.0,3.0,5.0,4.0,7.0,10.0,29.0,21.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
2066,2025,ROUEN,WTA 250,2025-04-14,2025-04-20,Clay,ROUEN,FRANCE,32.0,275094.0,USD,LS008,2025-04-17,2,Elina Svitolina,Anhelina Kalinina,UKR,UKR,1.0,,6-4,6-0,,I,316738,320567,2066,2025,Elina Svitolina,Anhelina Kalinina,UKR,UKR,1,,2,Elina Svitolina,Anhelina Kalinina,2,"6-4,6-0",2025-04-17T16:10:49.36+00:00,2025-04-17,01:20:50,ROUEN,"Open Capfinances Rouen Métropole - Rouen, FRA",2066,,,316738,,320567,,00:52:04,6,4,,0,3.0,1.0,0.0,0.0,13.0,15.0,17.0,26.0,20.0,19.0,31.0,37.0,2.0,1.0,4.0,5.0,5.0,5.0,4.0,11.0,38.0,30.0,0.0,0.0,00:28:43,6,0,,0,1.0,0.0,0.0,0.0,13.0,2.0,18.0,7.0,16.0,4.0,26.0,16.0,3.0,0.0,4.0,2.0,3.0,3.0,5.0,5.0,28.0,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
2066,2025,ROUEN,WTA 250,2025-04-14,2025-04-20,Clay,ROUEN,FRANCE,32.0,275094.0,USD,LS009,2025-04-17,2,Jessica Bouzas Maneiro,Varvara Gracheva,ESP,FRA,,,6-3,6-3,,I,328139,325836,2066,2025,Jessica Bouzas Maneiro,Varvara Gracheva,ESP,FRA,,,2,Jessica Bouzas Maneiro,Varvara Gracheva,2,"6-3,6-3",2025-04-17T17:50:47.29+00:00,2025-04-17,01:22:06,ROUEN,"Open Capfinances Rouen Métropole - Rouen, FRA",2066,,,328139,,325836,,00:44:49,6,3,,0,0.0,1.0,0.0,1.0,11.0,10.0,19.0,19.0,15.0,19.0,25.0,41.0,3.0,1.0,5.0,2.0,4.0,5.0,8.0,9.0,37.0,29.0,0.0,0.0,00:37:15,6,3,,0,1.0,0.0,0.0,0.0,12.0,8.0,20.0,18.0,18.0,12.0,27.0,26.0,2.0,1.0,4.0,1.0,5.0,4.0,8.0,10.0,32.0,21.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2066,2025,ROUEN,WTA 250,2025-04-14,2025-04-20,Clay,ROUEN,FRANCE,32.0,275094.0,USD,LS010,2025-04-16,2,Jessika Ponchet,Fiona Ferro,FRA,FRA,,,7-6(4),6-4,,I,319421,319969,2066,2025,Fiona Ferro,Jessika Ponchet,FRA,FRA,,,3,Jessika Ponchet,Fiona Ferro,2,"7-6(4),6-4",2025-04-16T16:38:32.26+00:00,2025-04-16,01:34:07,ROUEN,"Open Capfinances Rouen Métropole - Rouen, FRA",2066,,,319969,,319421,,00:51:25,7,6,4,,6.0,1.0,2.0,2.0,20.0,16.0,25.0,20.0,26.0,27.0,38.0,40.0,1.0,1.0,3.0,2.0,6.0,6.0,5.0,4.0,39.0,39.0,0.0,0.0,00:42:40,6,4,0,,2.0,1.0,0.0,2.0,14.0,15.0,16.0,24.0,18.0,19.0,28.0,36.0,2.0,1.0,5.0,1.0,5.0,5.0,2.0,9.0,35.0,29.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,7.0,4.0,,,,,,,,,,,,,,,
