tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
0902,2026,MIAMI,WTA 1000,2026-03-17,2026-03-29,Hard,MIAMI,USA,96,9415725,USD,LS001,2026-03-28,F,Aryna Sabalenka,Coco Gauff,BLR,USA,1.0,4.0,6-2,4-6,6-3,O,320760,328560,0902,2026,Aryna Sabalenka,Coco Gauff,BLR,USA,1,4,2,Aryna Sabalenka,Coco Gauff,3,"6-2,4-6,6-3",2026-03-28T18:39:59.967+00:00,2026-03-28,02:09:48,MIAMI,"Miami Open presented by Itaú - Miami, FL, USA",902,,,320760,,328560,,00:37:38,6,2,,0,2,0,0,3,11,10,14,18,16,15,23,29,2,0,7,0,4,4,3,8,30,22,0,0,00:53:35,4,6,,0,1.0,2.0,0.0,2.0,14.0,20.0,21.0,27.0,21.0,26.0,34.0,39.0,0.0,1.0,2.0,2.0,5.0,5.0,7.0,7.0,34.0,39.0,0.0,0.0,00:38:36,6,3,,0,0.0,3.0,0.0,2.0,10.0,13.0,12.0,20.0,17.0,17.0,21.0,30.0,2.0,0.0,2.0,0.0,4.0,5.0,2.0,7.0,30.0,21.0,0.0,0.0,,,,,,0.0,7.0,3.0,5.0,47.0,65.0,78.0,98.0,0.6025641025641025,0.6632653061224489,35.0,43.0,47.0,65.0,0.7446808510638298,0.6615384615384615,,,,,,,1.0,13,0.07692307692307693,13.0,14.0,,,,,,,,,,,,,,,,,,,,,,,
0902,2026,MIAMI,WTA 1000,2026-03-17,2026-03-29,Hard,MIAMI,USA,96,9415725,USD,LS002,2026-03-27,S,Aryna Sabalenka,Elena Rybakina,BLR,KAZ,1.0,3.0,6-4,6-3,,O,320760,324166,0902,2026,Aryna Sabalenka,Elena Rybakina,BLR,KAZ,1,3,2,Aryna Sabalenka,Elena Rybakina,2,"6-4,6-3",2026-03-27T00:22:51.28+00:00,2026-03-27,01:19:13,MIAMI,"Miami Open presented by Itaú - Miami, FL, USA",902,,,320760,,324166,,00:37:02,6,4,,0,5,2,0,0,11,14,12,20,17,17,23,31,2,1,2,1,5,5,1,6,31,23,0,0,00:42:11,6,3,,0,4.0,0.0,0.0,1.0,13.0,9.0,17.0,20.0,19.0,16.0,28.0,32.0,2.0,1.0,6.0,1.0,5.0,4.0,4.0,11.0,35.0,25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
0902,2026,MIAMI,WTA 1000,2026-03-17,2026-03-29,Hard,MIAMI,USA,96,9415725,USD,LS003,2026-03-26,S,Coco Gauff,Karolina Muchova,USA,CZE,4.0,13.0,6-1,6-1,,O,328560,322191,0902,2026,Coco Gauff,Karolina Muchova,USA,CZE,4,13,2,Coco Gauff,Karolina Muchova,2,"6-1,6-1",2026-03-26T18:42:38.947+00:00,2026-03-26,01:29:51,MIAMI,"Miami Open presented by Itaú - Miami, FL, USA",902,,,328560,,322191,,00:41:03,6,1,,0,1,0,3,1,14,9,18,20,18,11,29,28,3,1,6,4,4,3,4,11,35,22,0,0,00:48:49,6,1,,0,0.0,0.0,2.0,0.0,13.0,12.0,17.0,21.0,16.0,14.0,26.0,33.0,3.0,0.0,5.0,4.0,3.0,4.0,4.0,9.0,35.0,24.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
0902,2026,MIAMI,WTA 1000,2026-03-17,2026-03-29,Hard,MIAMI,USA,96,9415725,USD,LS004,2026-03-25,Q,Aryna Sabalenka,Hailey Baptiste,BLR,USA,1.0,,6-4,6-4,,O,320760,327101,0902,2026,Aryna Sabalenka,Hailey Baptiste,BLR,USA,1,,2,Aryna Sabalenka,Hailey Baptiste,2,"6-4,6-4",2026-03-25T22:43:32.95+00:00,2026-03-25,01:20:00,MIAMI,"Miami Open presented by Itaú - Miami, FL, USA",902,,,320760,,327101,,00:40:24,6,4,,0,3,2,2,1,17,11,20,13,23,17,34,26,1,0,1,3,5,5,3,2,32,28,0,0,00:39:38,6,4,,0,1.0,4.0,1.0,4.0,13.0,11.0,18.0,14.0,17.0,17.0,24.0,29.0,2.0,1.0,3.0,2.0,5.0,5.0,5.0,3.0,29.0,24.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
0902,2026,MIAMI,WTA 1000,2026-03-17,2026-03-29,Hard,MIAMI,USA,96,9415725,USD,LS005,2026-03-25,Q,Elena Rybakina,Jessica Pegula,KAZ,USA,3.0,5.0,2-6,6-3,6-4,O,324166,316956,0902,2026,Elena Rybakina,Jessica Pegula,KAZ,USA,3,5,2,Elena Rybakina,Jessica Pegula,3,"2-6,6-3,6-4",2026-03-25T16:50:45.797+00:00,2026-03-25,02:15:40,MIAMI,"Miami Open presented by Itaú - Miami, FL, USA",902,,,324166,,316956,,00:35:57,2,6,,0,3,1,2,0,10,11,18,13,16,18,30,24,0,2,1,5,4,4,8,2,22,32,0,0,00:46:49,6,3,,0,7.0,2.0,0.0,2.0,19.0,11.0,27.0,17.0,26.0,16.0,41.0,27.0,1.0,0.0,2.0,4.0,5.0,4.0,8.0,6.0,37.0,31.0,0.0,0.0,00:52:56,6,4,,0,5.0,4.0,2.0,1.0,17.0,18.0,24.0,24.0,26.0,22.0,41.0,35.0,1.0,0.0,5.0,1.0,5.0,5.0,7.0,6.0,39.0,37.0,0.0,0.0,,,,,,4.0,3.0,15.0,7.0,69.0,54.0,112.0,86.0,0.6160714285714286,0.627906976744186,46.0,40.0,69.0,54.0,0.6666666666666666,0.7407407407407407,,,,,,,8.0,18,0.4444444444444444,14.0,13.0,,,,,,,,,,,,,,,,,,,,,,,
0902,2026,MIAMI,WTA 1000,2026-03-17,2026-03-29,Hard,MIAMI,USA,96,9415725,USD,LS006,2026-03-24,Q,Coco Gauff,Belinda Bencic,USA,SUI,4.0,12.0,6-3,1-6,6-3,O,328560,319001,0902,2026,Belinda Bencic,Coco Gauff,SUI,USA,12,4,3,Coco Gauff,Belinda Bencic,3,"6-3,1-6,6-3",2026-03-24T23:07:39.143+00:00,2026-03-24,02:15:29,MIAMI,"Miami Open presented by Itaú - Miami, FL, USA",902,,,319001,,328560,,00:51:10,6,3,0,,2,1,2,0,15,18,16,33,17,22,24,44,2,1,8,1,5,4,1,15,39,29,0,0,00:29:30,1,6,0,,1.0,1.0,1.0,0.0,4.0,14.0,10.0,18.0,6.0,18.0,16.0,23.0,0.0,2.0,1.0,2.0,3.0,4.0,6.0,4.0,11.0,28.0,0.0,0.0,00:54:50,6,3,0,,3.0,1.0,2.0,0.0,15.0,11.0,19.0,20.0,22.0,15.0,38.0,29.0,2.0,1.0,4.0,2.0,5.0,4.0,4.0,9.0,36.0,31.0,0.0,0.0,,,,,,5.0,0.0,6.0,3.0,45.0,71.0,78.0,96.0,0.5769230769230769,0.7395833333333334,34.0,43.0,45.0,71.0,0.7555555555555555,0.6056338028169014,,,,,,,1.0,18,0.05555555555555555,13.0,12.0,,,,,,,,,,,,,,,,,,,,,,,
0902,2026,MIAMI,WTA 1000,2026-03-17,2026-03-29,Hard,MIAMI,USA,96,9415725,USD,LS007,2026-03-24,Q,Karolina Muchova,Victoria Mboko,CZE,CAN,13.0,10.0,7-5,7-6(5),,O,322191,331006,0902,2026,Victoria Mboko,Karolina Muchova,CAN,CZE,10,13,3,Karolina Muchova,Victoria Mboko,2,"7-5,7-6(5)",2026-03-24T18:42:21.843+00:00,2026-03-24,01:47:36,MIAMI,"Miami Open presented by Itaú - Miami, FL, USA",902,,,331006,,322191,,00:49:02,7,5,0,,2,3,1,1,23,17,30,26,28,22,40,33,1,0,1,1,6,6,7,9,39,34,0,0,00:58:36,7,6,5,,3.0,4.0,0.0,2.0,19.0,25.0,28.0,33.0,30.0,30.0,43.0,43.0,0.0,0.0,1.0,1.0,6.0,6.0,9.0,8.0,43.0,43.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,7.0,5.0,,,,,,,,,,,,,
0902,2026,MIAMI,WTA 1000,2026-03-17,2026-03-29,Hard,MIAMI,USA,96,9415725,USD,LS008,2026-03-23,4,Aryna Sabalenka,Qinwen Zheng,BLR,CHN,1.0,23.0,6-3,6-4,,O,320760,328120,0902,2026,Aryna Sabalenka,Qinwen Zheng,BLR,CHN,1,23,2,Aryna Sabalenka,Qinwen Zheng,2,"6-3,6-4",2026-03-23T20:59:23.617+00:00,2026-03-23,01:25:43,MIAMI,"Miami Open presented by Itaú - Miami, FL, USA",902,,,320760,,328120,,00:45:18,6,3,,0,1,2,1,3,17,9,24,10,23,15,37,29,2,1,4,1,5,4,7,1,37,29,0,0,00:40:25,6,4,,0,3.0,6.0,0.0,2.0,15.0,10.0,18.0,13.0,21.0,18.0,27.0,29.0,1.0,0.0,1.0,3.0,5.0,5.0,3.0,3.0,32.0,24.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
0902,2026,MIAMI,WTA 1000,2026-03-17,2026-03-29,Hard,MIAMI,USA,96,9415725,USD,LS009,2026-03-23,4,Hailey Baptiste,Jelena Ostapenko,USA,LAT,,25.0,6-3,6-4,,O,327101,319939,0902,2026,Hailey Baptiste,Jelena Ostapenko,USA,LAT,,25,2,Hailey Baptiste,Jelena Ostapenko,2,"6-3,6-4",2026-03-23T19:23:58.773+00:00,2026-03-23,01:23:50,MIAMI,"Miami Open presented by Itaú - Miami, FL, USA",902,,,327101,,319939,,00:39:21,6,3,,0,5,1,2,0,16,10,22,15,24,14,38,27,2,1,6,7,5,4,6,5,37,28,0,0,00:44:25,6,4,,0,6.0,1.0,0.0,0.0,12.0,18.0,19.0,25.0,22.0,20.0,31.0,33.0,1.0,0.0,2.0,3.0,5.0,5.0,7.0,7.0,35.0,29.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
0902,2026,MIAMI,WTA 1000,2026-03-17,2026-03-29,Hard,MIAMI,USA,96,9415725,USD,LS010,2026-03-24,4,Elena Rybakina,Talia Gibson,KAZ,AUS,3.0,,6-2,6-2,,O,324166,329393,0902,2026,Elena Rybakina,Talia Gibson,KAZ,AUS,3,,2,Elena Rybakina,Talia Gibson,2,"6-2,6-2",2026-03-24T00:48:51.167+00:00,2026-03-24,01:04:51,MIAMI,"Miami Open presented by Itaú - Miami, FL, USA",902,,,324166,,329393,,00:31:07,6,2,,0,2,1,0,1,11,10,13,18,16,14,20,27,2,0,4,0,4,4,2,8,29,18,0,0,00:33:44,6,2,,0,6.0,0.0,0.0,0.0,16.0,6.0,19.0,13.0,17.0,12.0,24.0,23.0,2.0,0.0,3.0,1.0,4.0,4.0,3.0,7.0,28.0,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
