tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-C40-AUS-01A-2003d,2003,Australia Circuit 4 40K,CC,2003-03-03,,Grass,,,32,,,LS024,2003-03-03,R32,Lauren Breadmore,Arpi Kojian,AUS,USA,1.0,,6-3,6-1,,,20603,310582,W-C40-AUS-01A-2003d,2003,Lauren Breadmore,Arpi Kojian,AUS,USA,1.0,,,Lauren Breadmore,Arpi Kojian,2,"6-3,6-1",,2003-03-03,,Australia Circuit 4 40K,,,,,20603,,310582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003d,2003,Australia Circuit 4 40K,CC,2003-03-03,,Grass,,,32,,,LS025,2003-03-03,R32,Madita Suer,Kokoro Takehara,GER,JPN,,,6-1,6-4,,,310072,310663,W-C40-AUS-01A-2003d,2003,Madita Suer,Kokoro Takehara,GER,JPN,,,,Madita Suer,Kokoro Takehara,2,"6-1,6-4",,2003-03-03,,Australia Circuit 4 40K,,,,,310072,,310663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003d,2003,Australia Circuit 4 40K,CC,2003-03-03,,Grass,,,32,,,LS027,2003-03-03,R32,Gabrielle Baker,Adriana Szili,AUS,AUS,,,3-6,7-6(8),7-6(5),,20717,190951,W-C40-AUS-01A-2003d,2003,Gabrielle Baker,Adriana Szili,AUS,AUS,,,,Gabrielle Baker,Adriana Szili,3,"3-6,7-6(8),7-6(5)",,2003-03-03,,Australia Circuit 4 40K,,,,,20717,,190951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003d,2003,Australia Circuit 4 40K,CC,2003-03-03,,Grass,,,32,,,LS026,2003-03-03,R32,Nicole Sewell,Celine Francois,AUS,LUX,6.0,,6-4,7-5,,,190738,310396,W-C40-AUS-01A-2003d,2003,Nicole Sewell,Celine Francois,AUS,LUX,6.0,,,Nicole Sewell,Celine Francois,2,"6-4,7-5",,2003-03-03,,Australia Circuit 4 40K,,,,,190738,,310396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003d,2003,Australia Circuit 4 40K,CC,2003-03-03,,Grass,,,32,,,LS028,2003-03-03,R32,Lisa Mcshea,Chin Wei Chan,AUS,TPE,3.0,,6-2,6-0,,,130333,310083,W-C40-AUS-01A-2003d,2003,Lisa Mcshea,Chin Wei Chan,AUS,TPE,3.0,,,Lisa Mcshea,Chin Wei Chan,2,"6-2,6-0",,2003-03-03,,Australia Circuit 4 40K,,,,,130333,,310083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003d,2003,Australia Circuit 4 40K,CC,2003-03-03,,Grass,,,32,,,LS029,2003-03-03,R32,Chia Jung Chuang,Darya Ivanov,TPE,AUS,,,6-0,6-3,,,310084,90114,W-C40-AUS-01A-2003d,2003,Chia Jung Chuang,Darya Ivanov,TPE,AUS,,,,Chia Jung Chuang,Darya Ivanov,2,"6-0,6-3",,2003-03-03,,Australia Circuit 4 40K,,,,,310084,,90114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003d,2003,Australia Circuit 4 40K,CC,2003-03-03,,Grass,,,32,,,LS031,2003-03-03,R32,Sarah Borwell,Antonia Matic,GBR,GER,,,6-3,6-3,,,311025,130710,W-C40-AUS-01A-2003d,2003,Sarah Borwell,Antonia Matic,GBR,GER,,,,Sarah Borwell,Antonia Matic,2,"6-3,6-3",,2003-03-03,,Australia Circuit 4 40K,,,,,311025,,130710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003d,2003,Australia Circuit 4 40K,CC,2003-03-03,,Grass,,,32,,,LS030,2003-03-03,R32,Napaporn Tongsalee,Ryoko Takemura,THA,JPN,8.0,,7-6(2),7-6(3),,,200230,200216,W-C40-AUS-01A-2003d,2003,Napaporn Tongsalee,Ryoko Takemura,THA,JPN,8.0,,,Napaporn Tongsalee,Ryoko Takemura,2,"7-6(2),7-6(3)",,2003-03-03,,Australia Circuit 4 40K,,,,,200230,,200216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003d,2003,Australia Circuit 4 40K,CC,2003-03-03,,Grass,,,32,,,LS023,2003-03-03,R32,Rushmi Chakravarthi,Ilke Gers,IND,NZL,5.0,,6-2,1-6,6-3,,30404,70428,W-C40-AUS-01A-2003d,2003,Rushmi Chakravarthi,Ilke Gers,IND,NZL,5.0,,,Rushmi Chakravarthi,Ilke Gers,3,"6-2,1-6,6-3",,2003-03-03,,Australia Circuit 4 40K,,,,,30404,,70428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003d,2003,Australia Circuit 4 40K,CC,2003-03-03,,Grass,,,32,,,LS022,2003-03-03,R32,I Ting Wang,Carolyn Mcgann,TPE,AUS,,,6-2,6-0,,,230237,,W-C40-AUS-01A-2003d,2003,I Ting Wang,Carolyn Mcgann,TPE,AUS,,,,I Ting Wang,Carolyn Mcgann,2,"6-2,6-0",,2003-03-03,,Australia Circuit 4 40K,,,,,230237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
