tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-C40-MEX-01A-2003c,2003,Mexico Circuit 3 40K,CC,2003-03-03,,Hard,,,32,,,LS016,2003-03-03,R32,Maria Fernanda Alves,Leticia Sobral,BRA,BRA,1.0,,6-2,6-3,,,10258,190774,W-C40-MEX-01A-2003c,2003,Maria Fernanda Alves,Leticia Sobral,BRA,BRA,1.0,,,Maria Fernanda Alves,Leticia Sobral,2,"6-2,6-3",,2003-03-03,,Mexico Circuit 3 40K,,,,,10258,,190774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-MEX-01A-2003c,2003,Mexico Circuit 3 40K,CC,2003-03-03,,Hard,,,32,,,LS017,2003-03-03,R32,Karin Palme,Chantal Coombs,MEX,GBR,,,6-7(7),6-2,6-1,,160249,30446,W-C40-MEX-01A-2003c,2003,Karin Palme,Chantal Coombs,MEX,GBR,,,,Karin Palme,Chantal Coombs,3,"6-7(7),6-2,6-1",,2003-03-03,,Mexico Circuit 3 40K,,,,,160249,,30446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-MEX-01A-2003c,2003,Mexico Circuit 3 40K,CC,2003-03-03,,Hard,,,32,,,LS018,2003-03-03,R32,Kildine Chevalier,Marcela Arroyo Vergara,FRA,MEX,,,3-6,6-3,7-5,,30386,10326,W-C40-MEX-01A-2003c,2003,Kildine Chevalier,Marcela Arroyo Vergara,FRA,MEX,,,,Kildine Chevalier,Marcela Arroyo Vergara,3,"3-6,6-3,7-5",,2003-03-03,,Mexico Circuit 3 40K,,,,,30386,,10326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-MEX-01A-2003c,2003,Mexico Circuit 3 40K,CC,2003-03-03,,Hard,,,32,,,LS019,2003-03-03,R32,Maria Vanina Garcia Sokol,Liana Gabriela Ungur,ARG,ROU,6.0,,6-4,6-0,,,70473,,W-C40-MEX-01A-2003c,2003,Maria Vanina Garcia Sokol,Liana Gabriela Ungur,ARG,ROU,6.0,,,Maria Vanina Garcia Sokol,Liana Gabriela Ungur,2,"6-4,6-0",,2003-03-03,,Mexico Circuit 3 40K,,,,,70473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-MEX-01A-2003c,2003,Mexico Circuit 3 40K,CC,2003-03-03,,Hard,,,32,,,LS020,2003-03-03,R32,Carla Tiene,Andrea Koch Benvenuto,BRA,CHI,4.0,,6-2,6-2,,,200239,310092,W-C40-MEX-01A-2003c,2003,Carla Tiene,Andrea Koch Benvenuto,BRA,CHI,4.0,,,Carla Tiene,Andrea Koch Benvenuto,2,"6-2,6-2",,2003-03-03,,Mexico Circuit 3 40K,,,,,200239,,310092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-MEX-01A-2003c,2003,Mexico Circuit 3 40K,CC,2003-03-03,,Hard,,,32,,,LS021,2003-03-03,R32,Veronica Spiegel,Nicole Melch,ARG,AUT,,,6-2,7-5,,,190917,130439,W-C40-MEX-01A-2003c,2003,Veronica Spiegel,Nicole Melch,ARG,AUT,,,Q,Veronica Spiegel,Nicole Melch,2,"6-2,7-5",,2003-03-03,,Mexico Circuit 3 40K,,,,,190917,,130439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-MEX-01A-2003c,2003,Mexico Circuit 3 40K,CC,2003-03-03,,Hard,,,32,,,LS022,2003-03-03,R32,Christina Zachariadou,Marcela Evangelista,GRE,BRA,,,6-1,6-3,,,260040,50122,W-C40-MEX-01A-2003c,2003,Christina Zachariadou,Marcela Evangelista,GRE,BRA,,,Q,Christina Zachariadou,Marcela Evangelista,2,"6-1,6-3",,2003-03-03,,Mexico Circuit 3 40K,,,,,260040,,50122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-MEX-01A-2003c,2003,Mexico Circuit 3 40K,CC,2003-03-03,,Hard,,,32,,,LS023,2003-03-03,R32,Caroline Ann Basu,Amanda Jasso,GER,USA,7.0,,6-1,6-1,,,20583,,W-C40-MEX-01A-2003c,2003,Caroline Ann Basu,Amanda Jasso,GER,USA,7.0,,,Caroline Ann Basu,Amanda Jasso,2,"6-1,6-1",,2003-03-03,,Mexico Circuit 3 40K,,,,,20583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-MEX-01A-2003c,2003,Mexico Circuit 3 40K,CC,2003-03-03,,Hard,,,32,,,LS031,2003-03-03,R32,Jacqueline Frohlich,Melisa Arevalo,GER,ARG,,5.0,6-3,6-2,,,310241,10241,W-C40-MEX-01A-2003c,2003,Jacqueline Frohlich,Melisa Arevalo,GER,ARG,,5.0,,Jacqueline Frohlich,Melisa Arevalo,2,"6-3,6-2",,2003-03-03,,Mexico Circuit 3 40K,,,,,310241,,10241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-MEX-01A-2003c,2003,Mexico Circuit 3 40K,CC,2003-03-03,,Hard,,,32,,,LS030,2003-03-03,R32,Sabrina Eisenberg,Ipek Senoglu,ARG,TUR,,,3-6,6-0,6-3,,50148,190578,W-C40-MEX-01A-2003c,2003,Sabrina Eisenberg,Ipek Senoglu,ARG,TUR,,,,Sabrina Eisenberg,Ipek Senoglu,3,"3-6,6-0,6-3",,2003-03-03,,Mexico Circuit 3 40K,,,,,50148,,190578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
