tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-FC-2023-POS,2023,BJK Cup Playoffs,D,2023-11-10,,Hard,,,16,,,W-FC-2023-POS_101,2023-11-10,RR,Camila Osorio,Mai Hontama,COL,JPN,,,6-4,6-4,,,325898,324750,W-FC-2023-POS,2023,Camila Osorio,Mai Hontama,COL,JPN,,,,Camila Osorio,Mai Hontama,2,"6-4,6-4",,2023-11-10,,BJK Cup Playoffs,,,,,325898,,324750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-FC-2023-POS,2023,BJK Cup Playoffs,D,2023-11-10,,Hard,,,16,,,W-FC-2023-POS_102,2023-11-10,RR,Nao Hibino,Yuliana Lizarazo,JPN,COL,,,6-2,6-4,,,320238,315695,W-FC-2023-POS,2023,Nao Hibino,Yuliana Lizarazo,JPN,COL,,,,Nao Hibino,Yuliana Lizarazo,2,"6-2,6-4",,2023-11-10,,BJK Cup Playoffs,,,,,320238,,315695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-FC-2023-POS,2023,BJK Cup Playoffs,D,2023-11-10,,Hard,,,16,,,W-FC-2023-POS_103,2023-11-10,RR,Elena Gabriela Ruse,Mia Ristic,ROU,SRB,,,7-6(2),6-3,,,320408,330926,W-FC-2023-POS,2023,Elena Gabriela Ruse,Mia Ristic,ROU,SRB,,,,Elena Gabriela Ruse,Mia Ristic,2,"7-6(2),6-3",,2023-11-10,,BJK Cup Playoffs,,,,,320408,,330926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-FC-2023-POS,2023,BJK Cup Playoffs,D,2023-11-10,,Hard,,,16,,,W-FC-2023-POS_104,2023-11-10,RR,Julia Riera,Anna Karolina Schmiedlova,ARG,SVK,,,7-5,7-5,,,327287,318203,W-FC-2023-POS,2023,Julia Riera,Anna Karolina Schmiedlova,ARG,SVK,,,,Julia Riera,Anna Karolina Schmiedlova,2,"7-5,7-5",,2023-11-10,,BJK Cup Playoffs,,,,,327287,,318203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-FC-2023-POS,2023,BJK Cup Playoffs,D,2023-11-10,,Hard,,,16,,,W-FC-2023-POS_105,2023-11-10,RR,Jaqueline Cristian,Aleksandra Krunic,ROU,SRB,,,7-5,6-4,,,320319,316344,W-FC-2023-POS,2023,Jaqueline Cristian,Aleksandra Krunic,ROU,SRB,,,,Jaqueline Cristian,Aleksandra Krunic,2,"7-5,6-4",,2023-11-10,,BJK Cup Playoffs,,,,,320319,,316344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-FC-2023-POS,2023,BJK Cup Playoffs,D,2023-11-10,,Hard,,,16,,,W-FC-2023-POS_106,2023-11-10,RR,Laura Pigossi,Sohyun Park,BRA,KOR,,,6-1,6-1,,,317155,326561,W-FC-2023-POS,2023,Laura Pigossi,Sohyun Park,BRA,KOR,,,,Laura Pigossi,Sohyun Park,2,"6-1,6-1",,2023-11-10,,BJK Cup Playoffs,,,,,317155,,326561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-FC-2023-POS,2023,BJK Cup Playoffs,D,2023-11-10,,Hard,,,16,,,W-FC-2023-POS_107,2023-11-10,RR,Viktoria Hruncakova,Nadia Podoroska,SVK,ARG,,,3-6,6-3,6-3,,322277,319112,W-FC-2023-POS,2023,Viktoria Hruncakova,Nadia Podoroska,SVK,ARG,,,,Viktoria Hruncakova,Nadia Podoroska,3,"3-6,6-3,6-3",,2023-11-10,,BJK Cup Playoffs,,,,,322277,,319112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-FC-2023-POS,2023,BJK Cup Playoffs,D,2023-11-10,,Hard,,,16,,,W-FC-2023-POS_108,2023-11-10,RR,Beatriz Haddad Maia,Yeon Woo Ku,BRA,KOR,,,6-0,6-4,,,318176,327252,W-FC-2023-POS,2023,Beatriz Haddad Maia,Yeon Woo Ku,BRA,KOR,,,,Beatriz Haddad Maia,Yeon Woo Ku,2,"6-0,6-4",,2023-11-10,,BJK Cup Playoffs,,,,,318176,,327252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-FC-2023-POS,2023,BJK Cup Playoffs,D,2023-11-10,,Hard,,,16,,,W-FC-2023-POS_109,2023-11-10,RR,Camila Osorio,Nao Hibino,COL,JPN,,,6-2,6-0,,,325898,320238,W-FC-2023-POS,2023,Camila Osorio,Nao Hibino,COL,JPN,,,,Camila Osorio,Nao Hibino,2,"6-2,6-0",,2023-11-10,,BJK Cup Playoffs,,,,,325898,,320238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-FC-2023-POS,2023,BJK Cup Playoffs,D,2023-11-10,,Hard,,,16,,,W-FC-2023-POS_110,2023-11-10,RR,Mai Hontama,Maria Fernanda Herazo Gonzalez,JPN,COL,,,6-2,6-2,,,324750,,W-FC-2023-POS,2023,Mai Hontama,Maria Fernanda Herazo Gonzalez,JPN,COL,,,,Mai Hontama,Maria Fernanda Herazo Gonzalez,2,"6-2,6-2",,2023-11-10,,BJK Cup Playoffs,,,,,324750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
