tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-INT-AUS-01A-2012,2012,Hobart,I,2012-01-09,,Hard,,,32,,,LS024,2012-01-09,R32,Yanina Wickmayer,Marina Erakovic,BEL,NZL,1.0,,7-5,6-4,,,312536,312086,W-INT-AUS-01A-2012,2012,Yanina Wickmayer,Marina Erakovic,BEL,NZL,1.0,,,Yanina Wickmayer,Marina Erakovic,2,"7-5,6-4",,2012-01-09,,Hobart,,,,,312536,,312086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUS-01A-2012,2012,Hobart,I,2012-01-09,,Hard,,,32,,,LS025,2012-01-09,R32,Casey Dellacqua,Galina Voskoboeva,AUS,KAZ,,,7-5,4-6,6-4,,310730,310419,W-INT-AUS-01A-2012,2012,Casey Dellacqua,Galina Voskoboeva,AUS,KAZ,,,WC,Casey Dellacqua,Galina Voskoboeva,3,"7-5,4-6,6-4",,2012-01-09,,Hobart,,,,,310730,,310419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUS-01A-2012,2012,Hobart,I,2012-01-09,,Hard,,,32,,,LS026,2012-01-09,R32,Simona Halep,Klara Koukalova,ROU,CZE,,,4-6,6-2,7-5,,314320,110492,W-INT-AUS-01A-2012,2012,Simona Halep,Klara Koukalova,ROU,CZE,,,,Simona Halep,Klara Koukalova,3,"4-6,6-2,7-5",,2012-01-09,,Hobart,,,,,314320,,110492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUS-01A-2012,2012,Hobart,I,2012-01-09,,Hard,,,32,,,LS027,2012-01-09,R32,Irina Camelia Begu,Elena Baltacha,ROU,GBR,8.0,,6-2,7-5,,,313169,20556,W-INT-AUS-01A-2012,2012,Irina Camelia Begu,Elena Baltacha,ROU,GBR,8.0,,,Irina Camelia Begu,Elena Baltacha,2,"6-2,7-5",,2012-01-09,,Hobart,,,,,313169,,20556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUS-01A-2012,2012,Hobart,I,2012-01-09,,Hard,,,32,,,LS030,2012-01-09,R32,Anna Chakvetadze,Monica Niculescu,RUS,ROU,,3.0,6-0,6-4,,,310623,310775,W-INT-AUS-01A-2012,2012,Anna Chakvetadze,Monica Niculescu,RUS,ROU,,3.0,,Anna Chakvetadze,Monica Niculescu,2,"6-0,6-4",,2012-01-09,,Hobart,,,,,310623,,310775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUS-01A-2012,2012,Hobart,I,2012-01-09,,Hard,,,32,,,LS031,2012-01-09,R32,Tsvetana Pironkova,Heather Watson,BUL,GBR,,,7-6(10),3-6,7-6(2),,311041,316981,W-INT-AUS-01A-2012,2012,Tsvetana Pironkova,Heather Watson,BUL,GBR,,,,Tsvetana Pironkova,Heather Watson,3,"7-6(10),3-6,7-6(2)",,2012-01-09,,Hobart,,,,,311041,,316981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUS-01A-2012,2012,Hobart,I,2012-01-09,,Hard,,,32,,,LS029,2012-01-09,R32,Sacha Jones,Kristina Barrois,AUS,GER,,,6-1,6-4,,,313617,312578,W-INT-AUS-01A-2012,2012,Sacha Jones,Kristina Barrois,AUS,GER,,,Q,Sacha Jones,Kristina Barrois,2,"6-1,6-4",,2012-01-09,,Hobart,,,,,313617,,312578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUS-01A-2012,2012,Hobart,I,2012-01-09,,Hard,,,32,,,LS028,2012-01-09,R32,Shahar Peer,Lucie Hradecka,ISR,CZE,6.0,,6-3,6-1,,,311168,310849,W-INT-AUS-01A-2012,2012,Shahar Peer,Lucie Hradecka,ISR,CZE,6.0,,,Shahar Peer,Lucie Hradecka,2,"6-3,6-1",,2012-01-09,,Hobart,,,,,311168,,310849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUS-01A-2012,2012,Hobart,I,2012-01-09,,Hard,,,32,,,LS022,2012-01-09,R32,Sorana Cirstea,Ksenia Pervak,ROU,KAZ,,7.0,6-2,7-6(6),,,312469,313537,W-INT-AUS-01A-2012,2012,Sorana Cirstea,Ksenia Pervak,ROU,KAZ,,7.0,,Sorana Cirstea,Ksenia Pervak,2,"6-2,7-6(6)",,2012-01-09,,Hobart,,,,,312469,,313537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUS-01A-2012,2012,Hobart,I,2012-01-09,,Hard,,,32,,,LS023,2012-01-09,R32,Bethanie Mattek Sands,Ashleigh Barty,USA,AUS,,,6-2,6-2,,,130713,318033,W-INT-AUS-01A-2012,2012,Bethanie Mattek Sands,Ashleigh Barty,USA,AUS,,,,Bethanie Mattek Sands,Ashleigh Barty,2,"6-2,6-2",,2012-01-09,,Hobart,,,,,130713,,318033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
