tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-INT-AUT-01A-2009,2009,Bad Gastein,I,2009-07-20,,Clay,,,32,,,LS028,2009-07-20,R32,Alize Cornet,Mariana Duque Marino,FRA,COL,1.0,,4-6,7-6(3),6-4,,312121,312572,W-INT-AUT-01A-2009,2009,Alize Cornet,Mariana Duque Marino,FRA,COL,1.0,,,Alize Cornet,Mariana Duque Marino,3,"4-6,7-6(3),6-4",,2009-07-20,,Bad Gastein,,,,,312121,,312572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUT-01A-2009,2009,Bad Gastein,I,2009-07-20,,Clay,,,32,,,LS029,2009-07-20,R32,Patricia Mayr Achleitner,Lourdes Dominguez Lino,AUT,ESP,,,6-3,6-3,,,311044,40300,W-INT-AUT-01A-2009,2009,Patricia Mayr Achleitner,Lourdes Dominguez Lino,AUT,ESP,,,,Patricia Mayr Achleitner,Lourdes Dominguez Lino,2,"6-3,6-3",,2009-07-20,,Bad Gastein,,,,,311044,,40300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUT-01A-2009,2009,Bad Gastein,I,2009-07-20,,Clay,,,32,,,LS030,2009-07-20,R32,Barbora Strycova,Sandra Zahlavova,CZE,CZE,,,6-1,2-6,6-4,,190879,260158,W-INT-AUT-01A-2009,2009,Barbora Strycova,Sandra Zahlavova,CZE,CZE,,,,Barbora Strycova,Sandra Zahlavova,3,"6-1,2-6,6-4",,2009-07-20,,Bad Gastein,,,,,190879,,260158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUT-01A-2009,2009,Bad Gastein,I,2009-07-20,,Clay,,,32,,,LS031,2009-07-20,R32,Nuria Llagostera Vives,Lucie Hradecka,ESP,CZE,,8.0,6-2,6-2,,,120317,310849,W-INT-AUT-01A-2009,2009,Nuria Llagostera Vives,Lucie Hradecka,ESP,CZE,,8.0,,Nuria Llagostera Vives,Lucie Hradecka,2,"6-2,6-2",,2009-07-20,,Bad Gastein,,,,,120317,,310849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUT-01A-2009,2009,Bad Gastein,I,2009-07-20,,Clay,,,32,,,LS025,2009-07-20,R32,Sybille Bammer,Nathalie Vierin,AUT,ITA,3.0,,7-5,6-4,,,20463,220240,W-INT-AUT-01A-2009,2009,Sybille Bammer,Nathalie Vierin,AUT,ITA,3.0,,,Sybille Bammer,Nathalie Vierin,2,"7-5,6-4",,2009-07-20,,Bad Gastein,,,,,20463,,220240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUT-01A-2009,2009,Bad Gastein,I,2009-07-20,,Clay,,,32,,,LS024,2009-07-20,R32,Raluca Olaru,Marta Domachowska,ROU,POL,,,5-7,6-4,6-3,,311766,310338,W-INT-AUT-01A-2009,2009,Raluca Olaru,Marta Domachowska,ROU,POL,,,,Raluca Olaru,Marta Domachowska,3,"5-7,6-4,6-3",,2009-07-20,,Bad Gastein,,,,,311766,,310338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUT-01A-2009,2009,Bad Gastein,I,2009-07-20,,Clay,,,32,,,LS027,2009-07-20,R32,Pauline Parmentier,Carmen Klaschka,FRA,GER,,,6-1,6-1,,,160515,311649,W-INT-AUT-01A-2009,2009,Pauline Parmentier,Carmen Klaschka,FRA,GER,,,,Pauline Parmentier,Carmen Klaschka,2,"6-1,6-1",,2009-07-20,,Bad Gastein,,,,,160515,,311649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUT-01A-2009,2009,Bad Gastein,I,2009-07-20,,Clay,,,32,,,LS026,2009-07-20,R32,Magdalena Rybarikova,Mariya Koryttseva,SVK,UKR,6.0,,6-3,6-1,,,312580,110584,W-INT-AUT-01A-2009,2009,Magdalena Rybarikova,Mariya Koryttseva,SVK,UKR,6.0,,,Magdalena Rybarikova,Mariya Koryttseva,2,"6-3,6-1",,2009-07-20,,Bad Gastein,,,,,312580,,110584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUT-01A-2009,2009,Bad Gastein,I,2009-07-20,,Clay,,,32,,,LS018,2009-07-20,R32,Anna Lena Groenefeld,Zuzana Ondraskova,GER,CZE,7.0,,6-4,6-3,,,310318,150017,W-INT-AUT-01A-2009,2009,Anna Lena Groenefeld,Zuzana Ondraskova,GER,CZE,7.0,,,Anna Lena Groenefeld,Zuzana Ondraskova,2,"6-4,6-3",,2009-07-20,,Bad Gastein,,,,,310318,,150017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUT-01A-2009,2009,Bad Gastein,I,2009-07-20,,Clay,,,32,,,LS019,2009-07-20,R32,Tereza Hladikova,Melanie Klaffner,CZE,AUT,,,6-4,2-6,6-4,,312039,312809,W-INT-AUT-01A-2009,2009,Tereza Hladikova,Melanie Klaffner,CZE,AUT,,,LL,Tereza Hladikova,Melanie Klaffner,3,"6-4,2-6,6-4",,2009-07-20,,Bad Gastein,,,,,312039,,312809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
