tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-INT-CAN-01A-2009,2009,Quebec City,I,2009-09-14,,Hard,,,32,,,LS018,2009-09-14,R32,Nadia Petrova,Carly Gullickson,RUS,USA,1.0,,6-2,6-0,,,160379,310089,W-INT-CAN-01A-2009,2009,Nadia Petrova,Carly Gullickson,RUS,USA,1.0,,,Nadia Petrova,Carly Gullickson,2,"6-2,6-0",,2009-09-14,,Quebec City,,,,,160379,,310089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CAN-01A-2009,2009,Quebec City,I,2009-09-14,,Hard,,,32,,,LS019,2009-09-14,R32,Madison Brengle,Mallory Cecil,USA,USA,,,7-5,6-3,,,312328,314074,W-INT-CAN-01A-2009,2009,Madison Brengle,Mallory Cecil,USA,USA,,,,Madison Brengle,Mallory Cecil,2,"7-5,6-3",,2009-09-14,,Quebec City,,,,,312328,,314074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CAN-01A-2009,2009,Quebec City,I,2009-09-14,,Hard,,,32,,,LS017,2009-09-14,R32,Severine Beltrame,Heidi El Tabakh,FRA,CAN,,,5-0,,,,20553,310917,W-INT-CAN-01A-2009,2009,Severine Beltrame,Heidi El Tabakh,FRA,CAN,,,,Severine Beltrame,Heidi El Tabakh,1,5-0,,2009-09-14,,Quebec City,,,,,20553,,310917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CAN-01A-2009,2009,Quebec City,I,2009-09-14,,Hard,,,32,,,LS016,2009-09-14,R32,Melinda Czink,Monique Adamczak,HUN,AUS,5.0,,6-3,7-6(1),,,30557,10293,W-INT-CAN-01A-2009,2009,Melinda Czink,Monique Adamczak,HUN,AUS,5.0,,,Melinda Czink,Monique Adamczak,2,"6-3,7-6(1)",,2009-09-14,,Quebec City,,,,,30557,,10293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CAN-01A-2009,2009,Quebec City,I,2009-09-14,,Hard,,,32,,,LS020,2009-09-14,R32,Aleksandra Wozniak,Corinna Dentoni,CAN,ITA,3.0,,6-2,6-0,,,310494,312123,W-INT-CAN-01A-2009,2009,Aleksandra Wozniak,Corinna Dentoni,CAN,ITA,3.0,,,Aleksandra Wozniak,Corinna Dentoni,2,"6-2,6-0",,2009-09-14,,Quebec City,,,,,310494,,312123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CAN-01A-2009,2009,Quebec City,I,2009-09-14,,Hard,,,32,,,LS021,2009-09-14,R32,Regina Kulikova,Jorgelina Cravero,RUS,ARG,,,6-4,6-2,,,311436,30500,W-INT-CAN-01A-2009,2009,Regina Kulikova,Jorgelina Cravero,RUS,ARG,,,,Regina Kulikova,Jorgelina Cravero,2,"6-4,6-2",,2009-09-14,,Quebec City,,,,,311436,,30500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CAN-01A-2009,2009,Quebec City,I,2009-09-14,,Hard,,,32,,,LS022,2009-09-14,R32,Alla Kudryavtseva,Katie Obrien,RUS,GBR,,,6-1,6-4,,,311362,150193,W-INT-CAN-01A-2009,2009,Alla Kudryavtseva,Katie Obrien,RUS,GBR,,,,Alla Kudryavtseva,Katie Obrien,2,"6-1,6-4",,2009-09-14,,Quebec City,,,,,311362,,150193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CAN-01A-2009,2009,Quebec City,I,2009-09-14,,Hard,,,32,,,LS023,2009-09-14,R32,Jill Craybas,Laura Granville,USA,USA,6.0,,6-0,6-1,,,30294,70423,W-INT-CAN-01A-2009,2009,Jill Craybas,Laura Granville,USA,USA,6.0,,,Jill Craybas,Laura Granville,2,"6-0,6-1",,2009-09-14,,Quebec City,,,,,30294,,70423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CAN-01A-2009,2009,Quebec City,I,2009-09-14,,Hard,,,32,,,LS026,2009-09-14,R32,Bethanie Mattek Sands,Varvara Lepchenko,USA,USA,,7.0,6-4,7-5,,,130713,120420,W-INT-CAN-01A-2009,2009,Bethanie Mattek Sands,Varvara Lepchenko,USA,USA,,7.0,WC,Bethanie Mattek Sands,Varvara Lepchenko,2,"6-4,7-5",,2009-09-14,,Quebec City,,,,,130713,,120420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CAN-01A-2009,2009,Quebec City,I,2009-09-14,,Hard,,,32,,,LS027,2009-09-14,R32,Vania King,Anna Tatishvili,USA,GEO,,,7-5,6-2,,,311550,312962,W-INT-CAN-01A-2009,2009,Vania King,Anna Tatishvili,USA,GEO,,,,Vania King,Anna Tatishvili,2,"7-5,6-2",,2009-09-14,,Quebec City,,,,,311550,,312962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
