tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-INT-CHN-03A-2014,2014,Tianjin,I,2014-10-06,,Hard,,,32,,,LS021,2014-10-06,R32,Jelena Jankovic,Alla Kudryavtseva,SRB,RUS,1.0,,6-2,0-6,6-0,,100153,311362,W-INT-CHN-03A-2014,2014,Jelena Jankovic,Alla Kudryavtseva,SRB,RUS,1.0,,,Jelena Jankovic,Alla Kudryavtseva,3,"6-2,0-6,6-0",,2014-10-06,,Tianjin,,,,,100153,,311362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CHN-03A-2014,2014,Tianjin,I,2014-10-06,,Hard,,,32,,,LS020,2014-10-06,R32,Saisai Zheng,Timea Babos,CHN,HUN,,,7-5,6-4,,,316286,317070,W-INT-CHN-03A-2014,2014,Saisai Zheng,Timea Babos,CHN,HUN,,,,Saisai Zheng,Timea Babos,2,"7-5,6-4",,2014-10-06,,Tianjin,,,,,316286,,317070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CHN-03A-2014,2014,Tianjin,I,2014-10-06,,Hard,,,32,,,LS022,2014-10-06,R32,Sorana Cirstea,Magda Linette,ROU,POL,,,6-4,6-2,,,312469,315130,W-INT-CHN-03A-2014,2014,Sorana Cirstea,Magda Linette,ROU,POL,,,,Sorana Cirstea,Magda Linette,2,"6-4,6-2",,2014-10-06,,Tianjin,,,,,312469,,315130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CHN-03A-2014,2014,Tianjin,I,2014-10-06,,Hard,,,32,,,LS023,2014-10-06,R32,Andrea Hlavackova,Monica Puig,CZE,PUR,,7.0,7-5,6-1,,,,317755,W-INT-CHN-03A-2014,2014,Andrea Hlavackova,Monica Puig,CZE,PUR,,7.0,,Andrea Hlavackova,Monica Puig,2,"7-5,6-1",,2014-10-06,,Tianjin,,,,,,,317755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CHN-03A-2014,2014,Tianjin,I,2014-10-06,,Hard,,,32,,,LS018,2014-10-06,R32,Varvara Lepchenko,Lyudmyla Kichenok,USA,UKR,4.0,,6-1,6-0,,,120420,314701,W-INT-CHN-03A-2014,2014,Varvara Lepchenko,Lyudmyla Kichenok,USA,UKR,4.0,,,Varvara Lepchenko,Lyudmyla Kichenok,2,"6-1,6-0",,2014-10-06,,Tianjin,,,,,120420,,314701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CHN-03A-2014,2014,Tianjin,I,2014-10-06,,Hard,,,32,,,LS019,2014-10-06,R32,Fangzhou Liu,Qiang Wang,CHN,CHN,,,6-3,6-0,,,319606,314429,W-INT-CHN-03A-2014,2014,Fangzhou Liu,Qiang Wang,CHN,CHN,,,WC,Fangzhou Liu,Qiang Wang,2,"6-3,6-0",,2014-10-06,,Tianjin,,,,,319606,,314429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CHN-03A-2014,2014,Tianjin,I,2014-10-06,,Hard,,,32,,,LS017,2014-10-06,R32,Olga Govortsova,Francesca Schiavone,BLR,ITA,,,7-5,6-4,,,311243,190666,W-INT-CHN-03A-2014,2014,Olga Govortsova,Francesca Schiavone,BLR,ITA,,,,Olga Govortsova,Francesca Schiavone,2,"7-5,6-4",,2014-10-06,,Tianjin,,,,,311243,,190666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CHN-03A-2014,2014,Tianjin,I,2014-10-06,,Hard,,,32,,,LS016,2014-10-06,R32,Alison Riske Amritraj,Cagla Buyukakcay,USA,TUR,6.0,,6-2,7-5,,,312850,312292,W-INT-CHN-03A-2014,2014,Alison Riske Amritraj,Cagla Buyukakcay,USA,TUR,6.0,,,Alison Riske Amritraj,Cagla Buyukakcay,2,"6-2,7-5",,2014-10-06,,Tianjin,,,,,312850,,312292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CHN-03A-2014,2014,Tianjin,I,2014-10-06,,Hard,,,32,,,LS027,2014-10-06,R32,Shuai Zhang,Danka Kovinic,CHN,MNE,5.0,,6-2,6-1,,,311779,317684,W-INT-CHN-03A-2014,2014,Shuai Zhang,Danka Kovinic,CHN,MNE,5.0,,,Shuai Zhang,Danka Kovinic,2,"6-2,6-1",,2014-10-06,,Tianjin,,,,,311779,,317684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CHN-03A-2014,2014,Tianjin,I,2014-10-06,,Hard,,,32,,,LS026,2014-10-06,R32,Su Wei Hsieh,Anastasia Rodionova,TPE,AUS,,,6-1,6-1,,,310053,180356,W-INT-CHN-03A-2014,2014,Su Wei Hsieh,Anastasia Rodionova,TPE,AUS,,,,Su Wei Hsieh,Anastasia Rodionova,2,"6-1,6-1",,2014-10-06,,Tianjin,,,,,310053,,180356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
