tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-INT-COL-01A-2014,2014,Bogota,I,2014-04-07,,Clay,,,32,,,LS024,2014-04-07,R32,Jelena Jankovic,Mathilde Johansson,SRB,FRA,1.0,,7-5,7-5,,,100153,100162,W-INT-COL-01A-2014,2014,Jelena Jankovic,Mathilde Johansson,SRB,FRA,1.0,,,Jelena Jankovic,Mathilde Johansson,2,"7-5,7-5",,2014-04-07,,Bogota,,,,,100153,,100162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-COL-01A-2014,2014,Bogota,I,2014-04-07,,Clay,,,32,,,LS025,2014-04-07,R32,Sofia Shapatava,Dinah Pfizenmaier,GEO,GER,,,6-4,2-6,6-2,,312623,316518,W-INT-COL-01A-2014,2014,Sofia Shapatava,Dinah Pfizenmaier,GEO,GER,,,LL,Sofia Shapatava,Dinah Pfizenmaier,3,"6-4,2-6,6-2",,2014-04-07,,Bogota,,,,,312623,,316518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-COL-01A-2014,2014,Bogota,I,2014-04-07,,Clay,,,32,,,LS026,2014-04-07,R32,Lara Arruabarrena,Maria Fernanda Herazo Gonzalez,ESP,COL,,,6-1,6-0,,,315296,,W-INT-COL-01A-2014,2014,Lara Arruabarrena,Maria Fernanda Herazo Gonzalez,ESP,COL,,,Q,Lara Arruabarrena,Maria Fernanda Herazo Gonzalez,2,"6-1,6-0",,2014-04-07,,Bogota,,,,,315296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-COL-01A-2014,2014,Bogota,I,2014-04-07,,Clay,,,32,,,LS027,2014-04-07,R32,Paula Ormaechea,Patricia Mayr Achleitner,ARG,AUT,7.0,,7-5,6-1,,,315083,311044,W-INT-COL-01A-2014,2014,Paula Ormaechea,Patricia Mayr Achleitner,ARG,AUT,7.0,,,Paula Ormaechea,Patricia Mayr Achleitner,2,"7-5,6-1",,2014-04-07,,Bogota,,,,,315083,,311044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-COL-01A-2014,2014,Bogota,I,2014-04-07,,Clay,,,32,,,LS028,2014-04-07,R32,Chanelle Scheepers,Karin Knapp,RSA,ITA,,3.0,6-3,7-6(4),,,190873,311299,W-INT-COL-01A-2014,2014,Chanelle Scheepers,Karin Knapp,RSA,ITA,,3.0,,Chanelle Scheepers,Karin Knapp,2,"6-3,7-6(4)",,2014-04-07,,Bogota,,,,,190873,,311299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,12,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-COL-01A-2014,2014,Bogota,I,2014-04-07,,Clay,,,32,,,LS029,2014-04-07,R32,Alexandra Panova,Kristina Mladenovic,RUS,FRA,,,6-1,4-6,6-2,,311956,315616,W-INT-COL-01A-2014,2014,Alexandra Panova,Kristina Mladenovic,RUS,FRA,,,,Alexandra Panova,Kristina Mladenovic,3,"6-1,4-6,6-2",,2014-04-07,,Bogota,,,,,311956,,315616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-COL-01A-2014,2014,Bogota,I,2014-04-07,,Clay,,,32,,,LS031,2014-04-07,R32,Yuliana Lizarazo,Sachia Vickery,COL,USA,,,7-5,6-4,,,315695,317443,W-INT-COL-01A-2014,2014,Yuliana Lizarazo,Sachia Vickery,COL,USA,,,WC,Yuliana Lizarazo,Sachia Vickery,2,"7-5,6-4",,2014-04-07,,Bogota,,,,,315695,,317443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-COL-01A-2014,2014,Bogota,I,2014-04-07,,Clay,,,32,,,LS030,2014-04-07,R32,Lourdes Dominguez Lino,Teliana Pereira,ESP,BRA,8.0,,6-2,6-4,,,40300,311647,W-INT-COL-01A-2014,2014,Lourdes Dominguez Lino,Teliana Pereira,ESP,BRA,8.0,,,Lourdes Dominguez Lino,Teliana Pereira,2,"6-2,6-4",,2014-04-07,,Bogota,,,,,40300,,311647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-COL-01A-2014,2014,Bogota,I,2014-04-07,,Clay,,,32,,,LS016,2014-04-07,R32,Caroline Garcia,Florencia Molinero,FRA,ARG,5.0,,6-3,6-4,,,315391,312549,W-INT-COL-01A-2014,2014,Caroline Garcia,Florencia Molinero,FRA,ARG,5.0,,,Caroline Garcia,Florencia Molinero,2,"6-3,6-4",,2014-04-07,,Bogota,,,,,315391,,312549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-COL-01A-2014,2014,Bogota,I,2014-04-07,,Clay,,,32,,,LS017,2014-04-07,R32,Danka Kovinic,Nicole Gibbs,MNE,USA,,,4-6,6-3,6-0,,317684,315279,W-INT-COL-01A-2014,2014,Danka Kovinic,Nicole Gibbs,MNE,USA,,,,Danka Kovinic,Nicole Gibbs,3,"4-6,6-3,6-0",,2014-04-07,,Bogota,,,,,317684,,315279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
