tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-INT-HKG-01A-2015,2015,Hong Kong,I,2015-10-12,,Hard,,,32,,,LS020,2015-10-12,R32,Venus Williams,Yuliya Beygelzimer,USA,UKR,3.0,,2-6,6-4,6-4,,230220,20652,W-INT-HKG-01A-2015,2015,Venus Williams,Yuliya Beygelzimer,USA,UKR,3.0,,,Venus Williams,Yuliya Beygelzimer,3,"2-6,6-4,6-4",,2015-10-12,,Hong Kong,,,,,230220,,20652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-HKG-01A-2015,2015,Hong Kong,I,2015-10-12,,Hard,,,32,,,LS021,2015-10-12,R32,Yafan Wang,Christina Mchale,CHN,USA,,,6-3,4-1,,,317510,314917,W-INT-HKG-01A-2015,2015,Yafan Wang,Christina Mchale,CHN,USA,,,,Yafan Wang,Christina Mchale,2,"6-3,4-1",,2015-10-12,,Hong Kong,,,,,317510,,314917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-HKG-01A-2015,2015,Hong Kong,I,2015-10-12,,Hard,,,32,,,LS023,2015-10-12,R32,Yaroslava Shvedova,Jarmila Gajdosova,KAZ,AUS,,,6-4,6-4,,,311137,,W-INT-HKG-01A-2015,2015,Yaroslava Shvedova,Jarmila Gajdosova,KAZ,AUS,,,,Yaroslava Shvedova,Jarmila Gajdosova,2,"6-4,6-4",,2015-10-12,,Hong Kong,,,,,311137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-HKG-01A-2015,2015,Hong Kong,I,2015-10-12,,Hard,,,32,,,LS022,2015-10-12,R32,Alize Cornet,Kateryna Baindl,FRA,UKR,8.0,,6-4,6-0,,,312121,316739,W-INT-HKG-01A-2015,2015,Alize Cornet,Kateryna Baindl,FRA,UKR,8.0,,,Alize Cornet,Kateryna Baindl,2,"6-4,6-0",,2015-10-12,,Hong Kong,,,,,312121,,316739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-HKG-01A-2015,2015,Hong Kong,I,2015-10-12,,Hard,,,32,,,LS016,2015-10-12,R32,Jelena Jankovic,Ana Bogdan,SRB,ROU,4.0,,6-4,6-2,,,100153,315427,W-INT-HKG-01A-2015,2015,Jelena Jankovic,Ana Bogdan,SRB,ROU,4.0,,WC,Jelena Jankovic,Ana Bogdan,2,"6-4,6-2",,2015-10-12,,Hong Kong,,,,,100153,,315427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-HKG-01A-2015,2015,Hong Kong,I,2015-10-12,,Hard,,,32,,,LS017,2015-10-12,R32,Anastasia Rodionova,Irina Ramialison,AUS,FRA,,,6-4,7-5,,,180356,315261,W-INT-HKG-01A-2015,2015,Anastasia Rodionova,Irina Ramialison,AUS,FRA,,,,Anastasia Rodionova,Irina Ramialison,2,"6-4,7-5",,2015-10-12,,Hong Kong,,,,,180356,,315261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-HKG-01A-2015,2015,Hong Kong,I,2015-10-12,,Hard,,,32,,,LS019,2015-10-12,R32,Lara Arruabarrena,Irina Falconi,ESP,USA,,,6-4,6-3,,,315296,,W-INT-HKG-01A-2015,2015,Lara Arruabarrena,Irina Falconi,ESP,USA,,,,Lara Arruabarrena,Irina Falconi,2,"6-4,6-3",,2015-10-12,,Hong Kong,,,,,315296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-HKG-01A-2015,2015,Hong Kong,I,2015-10-12,,Hard,,,32,,,LS018,2015-10-12,R32,Daria Saville,Miyu Kato,AUS,JPN,6.0,,6-7(6),7-5,6-3,,315997,317612,W-INT-HKG-01A-2015,2015,Daria Saville,Miyu Kato,AUS,JPN,6.0,,,Daria Saville,Miyu Kato,3,"6-7(6),7-5,6-3",,2015-10-12,,Hong Kong,,,,,315997,,317612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-HKG-01A-2015,2015,Hong Kong,I,2015-10-12,,Hard,,,32,,,LS030,2015-10-12,R32,Heather Watson,Kai Lin Zhang,GBR,CHN,,,3-6,6-1,6-2,,316981,315072,W-INT-HKG-01A-2015,2015,Heather Watson,Kai Lin Zhang,GBR,CHN,,,,Heather Watson,Kai Lin Zhang,3,"3-6,6-1,6-2",,2015-10-12,,Hong Kong,,,,,316981,,315072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-HKG-01A-2015,2015,Hong Kong,I,2015-10-12,,Hard,,,32,,,LS031,2015-10-12,R32,Ya Hsuan Lee,Su Jeong Jang,TPE,KOR,,,6-3,6-1,,,318776,317065,W-INT-HKG-01A-2015,2015,Ya Hsuan Lee,Su Jeong Jang,TPE,KOR,,,Q,Ya Hsuan Lee,Su Jeong Jang,2,"6-3,6-1",,2015-10-12,,Hong Kong,,,,,318776,,317065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
