tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-INT-LUX-01A-2014,2014,Luxembourg,I,2014-10-13,,Hard,,,32,,,LS019,2014-10-13,R32,Pauline Parmentier,Andrea Petkovic,FRA,GER,,1.0,6-4,6-2,,,160515,310770,W-INT-LUX-01A-2014,2014,Pauline Parmentier,Andrea Petkovic,FRA,GER,,1.0,,Pauline Parmentier,Andrea Petkovic,2,"6-4,6-2",,2014-10-13,,Luxembourg,,,,,160515,,310770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-LUX-01A-2014,2014,Luxembourg,I,2014-10-13,,Hard,,,32,,,LS018,2014-10-13,R32,Patricia Mayr Achleitner,Karin Knapp,AUT,ITA,,,2-3,,,,311044,311299,W-INT-LUX-01A-2014,2014,Patricia Mayr Achleitner,Karin Knapp,AUT,ITA,,,,Patricia Mayr Achleitner,Karin Knapp,1,2-3,,2014-10-13,,Luxembourg,,,,,311044,,311299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-LUX-01A-2014,2014,Luxembourg,I,2014-10-13,,Hard,,,32,,,LS016,2014-10-13,R32,Annika Beck,Timea Bacsinszky,GER,SUI,,,7-6(6),6-3,,,316979,311579,W-INT-LUX-01A-2014,2014,Annika Beck,Timea Bacsinszky,GER,SUI,,,,Annika Beck,Timea Bacsinszky,2,"7-6(6),6-3",,2014-10-13,,Luxembourg,,,,,316979,,311579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-LUX-01A-2014,2014,Luxembourg,I,2014-10-13,,Hard,,,32,,,LS017,2014-10-13,R32,Roberta Vinci,Tereza Smitkova,ITA,CZE,6.0,,6-1,6-3,,,220214,318487,W-INT-LUX-01A-2014,2014,Roberta Vinci,Tereza Smitkova,ITA,CZE,6.0,,,Roberta Vinci,Tereza Smitkova,2,"6-1,6-3",,2014-10-13,,Luxembourg,,,,,220214,,318487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-LUX-01A-2014,2014,Luxembourg,I,2014-10-13,,Hard,,,32,,,LS021,2014-10-13,R32,Sabine Lisicki,Daniela Hantuchova,GER,SVK,3.0,,7-5,6-0,,,312520,80394,W-INT-LUX-01A-2014,2014,Sabine Lisicki,Daniela Hantuchova,GER,SVK,3.0,,,Sabine Lisicki,Daniela Hantuchova,2,"7-5,6-0",,2014-10-13,,Luxembourg,,,,,312520,,80394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-LUX-01A-2014,2014,Luxembourg,I,2014-10-13,,Hard,,,32,,,LS020,2014-10-13,R32,Denisa Allertova,Ons Jabeur,CZE,TUN,,,6-1,3-6,6-2,,,316847,W-INT-LUX-01A-2014,2014,Denisa Allertova,Ons Jabeur,CZE,TUN,,,Q,Denisa Allertova,Ons Jabeur,3,"6-1,3-6,6-2",,2014-10-13,,Luxembourg,,,,,,,316847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-LUX-01A-2014,2014,Luxembourg,I,2014-10-13,,Hard,,,32,,,LS023,2014-10-13,R32,Jana Cepelova,Maria Teresa Torro Flor,SVK,ESP,,,6-3,6-0,,,316774,,W-INT-LUX-01A-2014,2014,Jana Cepelova,Maria Teresa Torro Flor,SVK,ESP,,,,Jana Cepelova,Maria Teresa Torro Flor,2,"6-3,6-0",,2014-10-13,,Luxembourg,,,,,316774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-LUX-01A-2014,2014,Luxembourg,I,2014-10-13,,Hard,,,32,,,LS022,2014-10-13,R32,Varvara Lepchenko,Julia Goerges,USA,GER,5.0,,6-3,5-7,6-2,,120420,313381,W-INT-LUX-01A-2014,2014,Varvara Lepchenko,Julia Goerges,USA,GER,5.0,,,Varvara Lepchenko,Julia Goerges,3,"6-3,5-7,6-2",,2014-10-13,,Luxembourg,,,,,120420,,313381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-LUX-01A-2014,2014,Luxembourg,I,2014-10-13,,Hard,,,32,,,LS026,2014-10-13,R32,Johanna Larsson,Kirsten Flipkens,SWE,BEL,,7.0,7-6(5),6-1,,,311593,310331,W-INT-LUX-01A-2014,2014,Johanna Larsson,Kirsten Flipkens,SWE,BEL,,7.0,Q,Johanna Larsson,Kirsten Flipkens,2,"7-6(5),6-1",,2014-10-13,,Luxembourg,,,,,311593,,310331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-LUX-01A-2014,2014,Luxembourg,I,2014-10-13,,Hard,,,32,,,LS027,2014-10-13,R32,Polona Hercog,Marina Erakovic,SLO,NZL,,,6-3,6-4,,,313968,312086,W-INT-LUX-01A-2014,2014,Polona Hercog,Marina Erakovic,SLO,NZL,,,,Polona Hercog,Marina Erakovic,2,"6-3,6-4",,2014-10-13,,Luxembourg,,,,,313968,,312086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
