tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-INT-MAS-01A-2010,2010,Kuala Lumpur,I,2010-02-22,,Hard,,,32,,,LS024,2010-02-22,R32,Elena Dementieva,Ekaterina Bychkova,RUS,RUS,1.0,,6-2,6-1,,,40289,20706,W-INT-MAS-01A-2010,2010,Elena Dementieva,Ekaterina Bychkova,RUS,RUS,1.0,,,Elena Dementieva,Ekaterina Bychkova,2,"6-2,6-1",,2010-02-22,,Kuala Lumpur,,,,,40289,,20706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MAS-01A-2010,2010,Kuala Lumpur,I,2010-02-22,,Hard,,,32,,,LS025,2010-02-22,R32,Bojana Jovanovski,Vitalia Diatchenko,SRB,RUS,,,6-3,6-1,,,,315030,W-INT-MAS-01A-2010,2010,Bojana Jovanovski,Vitalia Diatchenko,SRB,RUS,,,,Bojana Jovanovski,Vitalia Diatchenko,2,"6-3,6-1",,2010-02-22,,Kuala Lumpur,,,,,,,315030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MAS-01A-2010,2010,Kuala Lumpur,I,2010-02-22,,Hard,,,32,,,LS027,2010-02-22,R32,Noppawan Lertcheewakarn,Ksenia Pervak,THA,KAZ,,,6-1,6-4,,,314684,313537,W-INT-MAS-01A-2010,2010,Noppawan Lertcheewakarn,Ksenia Pervak,THA,KAZ,,,WC,Noppawan Lertcheewakarn,Ksenia Pervak,2,"6-1,6-4",,2010-02-22,,Kuala Lumpur,,,,,314684,,313537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MAS-01A-2010,2010,Kuala Lumpur,I,2010-02-22,,Hard,,,32,,,LS026,2010-02-22,R32,Magdalena Rybarikova,Tamarine Tanasugarn,SVK,THA,7.0,,7-5,6-3,,,312580,200137,W-INT-MAS-01A-2010,2010,Magdalena Rybarikova,Tamarine Tanasugarn,SVK,THA,7.0,,,Magdalena Rybarikova,Tamarine Tanasugarn,2,"7-5,6-3",,2010-02-22,,Kuala Lumpur,,,,,312580,,200137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MAS-01A-2010,2010,Kuala Lumpur,I,2010-02-22,,Hard,,,32,,,LS031,2010-02-22,R32,Jie Zheng,Elena Bovina,CHN,RUS,3.0,,6-4,6-3,,,260144,20992,W-INT-MAS-01A-2010,2010,Jie Zheng,Elena Bovina,CHN,RUS,3.0,,,Jie Zheng,Elena Bovina,2,"6-4,6-3",,2010-02-22,,Kuala Lumpur,,,,,260144,,20992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MAS-01A-2010,2010,Kuala Lumpur,I,2010-02-22,,Hard,,,32,,,LS030,2010-02-22,R32,Kai Chen Chang,Shuai Zhang,TPE,CHN,,,7-6(4),7-5,,,313923,311779,W-INT-MAS-01A-2010,2010,Kai Chen Chang,Shuai Zhang,TPE,CHN,,,,Kai Chen Chang,Shuai Zhang,2,"7-6(4),7-5",,2010-02-22,,Kuala Lumpur,,,,,313923,,311779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MAS-01A-2010,2010,Kuala Lumpur,I,2010-02-22,,Hard,,,32,,,LS029,2010-02-22,R32,Akgul Amanmuradova,Yurika Sema,UZB,JPN,,,6-3,6-2,,,10362,311404,W-INT-MAS-01A-2010,2010,Akgul Amanmuradova,Yurika Sema,UZB,JPN,,,,Akgul Amanmuradova,Yurika Sema,2,"6-3,6-2",,2010-02-22,,Kuala Lumpur,,,,,10362,,311404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MAS-01A-2010,2010,Kuala Lumpur,I,2010-02-22,,Hard,,,32,,,LS028,2010-02-22,R32,Sybille Bammer,Anna Gerasimou,AUT,GRE,6.0,,7-5,6-4,,,20463,310901,W-INT-MAS-01A-2010,2010,Sybille Bammer,Anna Gerasimou,AUT,GRE,6.0,,,Sybille Bammer,Anna Gerasimou,2,"7-5,6-4",,2010-02-22,,Kuala Lumpur,,,,,20463,,310901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MAS-01A-2010,2010,Kuala Lumpur,I,2010-02-22,,Hard,,,32,,,LS018,2010-02-22,R32,Anastasia Rodionova,Olga Govortsova,AUS,BLR,,8.0,6-4,0-6,7-5,,180356,311243,W-INT-MAS-01A-2010,2010,Anastasia Rodionova,Olga Govortsova,AUS,BLR,,8.0,,Anastasia Rodionova,Olga Govortsova,3,"6-4,0-6,7-5",,2010-02-22,,Kuala Lumpur,,,,,180356,,311243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MAS-01A-2010,2010,Kuala Lumpur,I,2010-02-22,,Hard,,,32,,,LS019,2010-02-22,R32,Ekaterina Ivanova,Darya Kustova,RUS,BLR,,,4-6,6-4,6-2,,332444,110583,W-INT-MAS-01A-2010,2010,Ekaterina Ivanova,Darya Kustova,RUS,BLR,,,,Ekaterina Ivanova,Darya Kustova,3,"4-6,6-4,6-2",,2010-02-22,,Kuala Lumpur,,,,,332444,,110583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
