tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-INT-USA-01A-2014,2014,Washington,I,2014-07-28,,Hard,,,32,,,LS026,2014-07-28,R32,Kristina Mladenovic,Lucie Safarova,FRA,CZE,,1.0,2-6,6-3,6-3,,315616,310553,W-INT-USA-01A-2014,2014,Kristina Mladenovic,Lucie Safarova,FRA,CZE,,1.0,,Kristina Mladenovic,Lucie Safarova,3,"2-6,6-3,6-3",,2014-07-28,,Washington,,,,,315616,,310553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-USA-01A-2014,2014,Washington,I,2014-07-28,,Hard,,,32,,,LS027,2014-07-28,R32,Taylor Townsend,Julia Goerges,USA,GER,,,3-6,6-2,6-3,,318609,313381,W-INT-USA-01A-2014,2014,Taylor Townsend,Julia Goerges,USA,GER,,,Q,Taylor Townsend,Julia Goerges,3,"3-6,6-2,6-3",,2014-07-28,,Washington,,,,,318609,,313381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,11,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-USA-01A-2014,2014,Washington,I,2014-07-28,,Hard,,,32,,,LS025,2014-07-28,R32,Zarina Diyas,Tornado Alicia Black,KAZ,USA,,,6-4,6-0,,,315696,320260,W-INT-USA-01A-2014,2014,Zarina Diyas,Tornado Alicia Black,KAZ,USA,,,,Zarina Diyas,Tornado Alicia Black,2,"6-4,6-0",,2014-07-28,,Washington,,,,,315696,,320260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-USA-01A-2014,2014,Washington,I,2014-07-28,,Hard,,,32,,,LS024,2014-07-28,R32,Kurumi Nara,Madison Keys,JPN,USA,,7.0,7-5,6-3,,,314344,316959,W-INT-USA-01A-2014,2014,Kurumi Nara,Madison Keys,JPN,USA,,7.0,,Kurumi Nara,Madison Keys,2,"7-5,6-3",,2014-07-28,,Washington,,,,,314344,,316959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-USA-01A-2014,2014,Washington,I,2014-07-28,,Hard,,,32,,,LS029,2014-07-28,R32,Shelby Rogers,Alize Cornet,USA,FRA,,3.0,7-5,4-6,6-4,,317421,312121,W-INT-USA-01A-2014,2014,Shelby Rogers,Alize Cornet,USA,FRA,,3.0,WC,Shelby Rogers,Alize Cornet,3,"7-5,4-6,6-4",,2014-07-28,,Washington,,,,,317421,,312121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-USA-01A-2014,2014,Washington,I,2014-07-28,,Hard,,,32,,,LS028,2014-07-28,R32,Marina Erakovic,Kristyna Pliskova,NZL,CZE,,,4-6,6-2,6-4,,312086,313975,W-INT-USA-01A-2014,2014,Marina Erakovic,Kristyna Pliskova,NZL,CZE,,,,Marina Erakovic,Kristyna Pliskova,3,"4-6,6-2,6-4",,2014-07-28,,Washington,,,,,312086,,313975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-USA-01A-2014,2014,Washington,I,2014-07-28,,Hard,,,32,,,LS030,2014-07-28,R32,Bojana Jovanovski,Olivia Rogowska,SRB,AUS,,,6-7(5),7-5,7-5,,,313803,W-INT-USA-01A-2014,2014,Bojana Jovanovski,Olivia Rogowska,SRB,AUS,,,,Bojana Jovanovski,Olivia Rogowska,3,"6-7(5),7-5,7-5",,2014-07-28,,Washington,,,,,,,313803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-USA-01A-2014,2014,Washington,I,2014-07-28,,Hard,,,32,,,LS031,2014-07-28,R32,Sorana Cirstea,Kiki Bertens,ROU,NED,8.0,,6-4,4-6,6-3,,312469,314584,W-INT-USA-01A-2014,2014,Sorana Cirstea,Kiki Bertens,ROU,NED,8.0,,,Sorana Cirstea,Kiki Bertens,3,"6-4,4-6,6-3",,2014-07-28,,Washington,,,,,312469,,314584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,7,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-USA-01A-2014,2014,Washington,I,2014-07-28,,Hard,,,32,,,LS016,2014-07-28,R32,Svetlana Kuznetsova,Polona Hercog,RUS,SLO,6.0,,6-3,6-2,,,110552,313968,W-INT-USA-01A-2014,2014,Svetlana Kuznetsova,Polona Hercog,RUS,SLO,6.0,,,Svetlana Kuznetsova,Polona Hercog,2,"6-3,6-2",,2014-07-28,,Washington,,,,,110552,,313968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-USA-01A-2014,2014,Washington,I,2014-07-28,,Hard,,,32,,,LS017,2014-07-28,R32,Kirsten Flipkens,Heather Watson,BEL,GBR,,,6-3,1-6,7-6(3),,310331,316981,W-INT-USA-01A-2014,2014,Kirsten Flipkens,Heather Watson,BEL,GBR,,,,Kirsten Flipkens,Heather Watson,3,"6-3,1-6,7-6(3)",,2014-07-28,,Washington,,,,,310331,,316981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
