tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-OL-USA-01A-1996,1996,Atlanta,O,1996-07-23,,Hard,,,64,,,LS060,1996-07-23,R64,Monica Seles,Li Ling Chen,USA,CHN,1.0,,6-0,6-4,,,190141,30147,W-OL-USA-01A-1996,1996,Monica Seles,Li Ling Chen,USA,CHN,1.0,,,Monica Seles,Li Ling Chen,2,"6-0,6-4",,1996-07-23,,Atlanta,,,,,190141,,30147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-OL-USA-01A-1996,1996,Atlanta,O,1996-07-23,,Hard,,,64,,,LS061,1996-07-23,R64,Patricia Hy Boulais,Rita Grande,CAN,ITA,,,6-4,6-4,,,,70192,W-OL-USA-01A-1996,1996,Patricia Hy Boulais,Rita Grande,CAN,ITA,,,A,Patricia Hy Boulais,Rita Grande,2,"6-4,6-4",,1996-07-23,,Atlanta,,,,,,,70192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-OL-USA-01A-1996,1996,Atlanta,O,1996-07-23,,Hard,,,64,,,LS063,1996-07-23,R64,Angelica Gavaldon,Christina Papadaki,MEX,GRE,,,6-1,3-6,6-2,,70103,,W-OL-USA-01A-1996,1996,Angelica Gavaldon,Christina Papadaki,MEX,GRE,,,A,Angelica Gavaldon,Christina Papadaki,3,"6-1,3-6,6-2",,1996-07-23,,Atlanta,,,,,70103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-OL-USA-01A-1996,1996,Atlanta,O,1996-07-23,,Hard,,,64,,,LS062,1996-07-23,R64,Gabriela Sabatini,Nathalie Tauziat,ARG,FRA,13.0,,7-5,6-2,,,,200011,W-OL-USA-01A-1996,1996,Gabriela Sabatini,Nathalie Tauziat,ARG,FRA,13.0,,,Gabriela Sabatini,Nathalie Tauziat,2,"7-5,6-2",,1996-07-23,,Atlanta,,,,,,,200011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-OL-USA-01A-1996,1996,Atlanta,O,1996-07-23,,Hard,,,64,,,LS059,1996-07-23,R64,Martina Hingis,Joelle Schad,SUI,DOM,15.0,,6-0,6-1,,,80301,,W-OL-USA-01A-1996,1996,Martina Hingis,Joelle Schad,SUI,DOM,15.0,,,Martina Hingis,Joelle Schad,2,"6-0,6-1",,1996-07-23,,Atlanta,,,,,80301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-OL-USA-01A-1996,1996,Atlanta,O,1996-07-23,,Hard,,,64,,,LS058,1996-07-23,R64,Ai Sugiyama,Katarina Studenikova,JPN,SVK,,,6-2,6-3,,,190353,,W-OL-USA-01A-1996,1996,Ai Sugiyama,Katarina Studenikova,JPN,SVK,,,,Ai Sugiyama,Katarina Studenikova,2,"6-2,6-3",,1996-07-23,,Atlanta,,,,,190353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-OL-USA-01A-1996,1996,Atlanta,O,1996-07-23,,Hard,,,64,,,LS057,1996-07-23,R64,Judith Wiesner,Andrea Temesvari,AUT,HUN,,,7-6(5),6-4,,,,,W-OL-USA-01A-1996,1996,Judith Wiesner,Andrea Temesvari,AUT,HUN,,,,Judith Wiesner,Andrea Temesvari,2,"7-6(5),6-4",,1996-07-23,,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-OL-USA-01A-1996,1996,Atlanta,O,1996-07-23,,Hard,,,64,,,LS056,1996-07-23,R64,Jana Novotna,Ruxandra Dragomir Ilie,CZE,ROU,6.0,,6-4,4-4,,,,40163,W-OL-USA-01A-1996,1996,Jana Novotna,Ruxandra Dragomir Ilie,CZE,ROU,6.0,,,Jana Novotna,Ruxandra Dragomir Ilie,2,"6-4,4-4",,1996-07-23,,Atlanta,,,,,,,40163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-OL-USA-01A-1996,1996,Atlanta,O,1996-07-23,,Hard,,,64,,,LS048,1996-07-23,R64,Arantxa Sanchez Vicario,Dominique Monami,ESP,BEL,3.0,,6-1,7-5,,,190008,,W-OL-USA-01A-1996,1996,Arantxa Sanchez Vicario,Dominique Monami,ESP,BEL,3.0,,,Arantxa Sanchez Vicario,Dominique Monami,2,"6-1,7-5",,1996-07-23,,Atlanta,,,,,190008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-OL-USA-01A-1996,1996,Atlanta,O,1996-07-23,,Hard,,,64,,,LS049,1996-07-23,R64,Silvia Farina Elia,Clare Wood,ITA,GBR,,,6-2,6-2,,,60061,,W-OL-USA-01A-1996,1996,Silvia Farina Elia,Clare Wood,ITA,GBR,,,,Silvia Farina Elia,Clare Wood,2,"6-2,6-2",,1996-07-23,,Atlanta,,,,,60061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
