tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-PM-CHN-01A-2014,2014,Beijing,PM,2014-09-29,,Hard,,,60,,,LS060,2014-09-29,R64,Serena Williams,Silvia Soler Espinosa,USA,ESP,1.0,,7-5,6-2,,,230234,311493,W-PM-CHN-01A-2014,2014,Serena Williams,Silvia Soler Espinosa,USA,ESP,1.0,,,Serena Williams,Silvia Soler Espinosa,2,"7-5,6-2",,2014-09-29,,Beijing,,,,,230234,,311493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-CHN-01A-2014,2014,Beijing,PM,2014-09-29,,Hard,,,60,,,LS061,2014-09-29,R64,Tsvetana Pironkova,Maria Kirilenko,BUL,RUS,,,6-4,6-1,,,311041,310577,W-PM-CHN-01A-2014,2014,Tsvetana Pironkova,Maria Kirilenko,BUL,RUS,,,Q,Tsvetana Pironkova,Maria Kirilenko,2,"6-4,6-1",,2014-09-29,,Beijing,,,,,311041,,310577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-CHN-01A-2014,2014,Beijing,PM,2014-09-29,,Hard,,,60,,,LS063,2014-09-29,R64,Mona Barthel,Bethanie Mattek Sands,GER,USA,,,4-6,6-1,6-4,,315365,130713,W-PM-CHN-01A-2014,2014,Mona Barthel,Bethanie Mattek Sands,GER,USA,,,Q,Mona Barthel,Bethanie Mattek Sands,3,"4-6,6-1,6-4",,2014-09-29,,Beijing,,,,,315365,,130713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-CHN-01A-2014,2014,Beijing,PM,2014-09-29,,Hard,,,60,,,LS062,2014-09-29,R64,Lucie Safarova,Camila Giorgi,CZE,ITA,13.0,,7-6(3),6-4,,,310553,314610,W-PM-CHN-01A-2014,2014,Lucie Safarova,Camila Giorgi,CZE,ITA,13.0,,,Lucie Safarova,Camila Giorgi,2,"7-6(3),6-4",,2014-09-29,,Beijing,,,,,310553,,314610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-CHN-01A-2014,2014,Beijing,PM,2014-09-29,,Hard,,,60,,,LS058,2014-09-29,R64,Alize Cornet,Jelena Jankovic,FRA,SRB,,10.0,7-5,3-6,6-4,,312121,100153,W-PM-CHN-01A-2014,2014,Alize Cornet,Jelena Jankovic,FRA,SRB,,10.0,,Alize Cornet,Jelena Jankovic,3,"7-5,3-6,6-4",,2014-09-29,,Beijing,,,,,312121,,100153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-CHN-01A-2014,2014,Beijing,PM,2014-09-29,,Hard,,,60,,,LS059,2014-09-29,R64,Lauren Davis,Yi Fan Xu,USA,CHN,,,6-3,6-3,,,317414,312280,W-PM-CHN-01A-2014,2014,Lauren Davis,Yi Fan Xu,USA,CHN,,,,Lauren Davis,Yi Fan Xu,2,"6-3,6-3",,2014-09-29,,Beijing,,,,,317414,,312280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-CHN-01A-2014,2014,Beijing,PM,2014-09-29,,Hard,,,60,,,LS056,2014-09-29,R64,Samantha Stosur,Francesca Schiavone,AUS,ITA,,,6-4,6-2,,,190787,190666,W-PM-CHN-01A-2014,2014,Samantha Stosur,Francesca Schiavone,AUS,ITA,,,,Samantha Stosur,Francesca Schiavone,2,"6-4,6-2",,2014-09-29,,Beijing,,,,,190787,,190666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-CHN-01A-2014,2014,Beijing,PM,2014-09-29,,Hard,,,60,,,LS049,2014-09-29,R64,Shuai Peng,Kai Lin Zhang,CHN,CHN,,,6-4,6-1,,,160471,315072,W-PM-CHN-01A-2014,2014,Shuai Peng,Kai Lin Zhang,CHN,CHN,,,,Shuai Peng,Kai Lin Zhang,2,"6-4,6-1",,2014-09-29,,Beijing,,,,,160471,,315072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-CHN-01A-2014,2014,Beijing,PM,2014-09-29,,Hard,,,60,,,LS051,2014-09-29,R64,Caroline Garcia,Shuai Zhang,FRA,CHN,,,6-1,6-4,,,315391,311779,W-PM-CHN-01A-2014,2014,Caroline Garcia,Shuai Zhang,FRA,CHN,,,,Caroline Garcia,Shuai Zhang,2,"6-1,6-4",,2014-09-29,,Beijing,,,,,315391,,311779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-CHN-01A-2014,2014,Beijing,PM,2014-09-29,,Hard,,,60,,,LS050,2014-09-29,R64,Venus Williams,Heather Watson,USA,GBR,16.0,,6-3,6-1,,,230220,316981,W-PM-CHN-01A-2014,2014,Venus Williams,Heather Watson,USA,GBR,16.0,,,Venus Williams,Heather Watson,2,"6-3,6-1",,2014-09-29,,Beijing,,,,,230220,,316981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
