tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-PM-ESP-01A-2012,2012,Madrid,PM,2012-05-07,,Clay,,,64,,,LS048,2012-05-07,R64,Victoria Azarenka,Svetlana Kuznetsova,BLR,RUS,1.0,,7-6(5),6-4,,,312001,110552,W-PM-ESP-01A-2012,2012,Victoria Azarenka,Svetlana Kuznetsova,BLR,RUS,1.0,,,Victoria Azarenka,Svetlana Kuznetsova,2,"7-6(5),6-4",,2012-05-07,,Madrid,,,,,312001,,110552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-ESP-01A-2012,2012,Madrid,PM,2012-05-07,,Clay,,,64,,,LS049,2012-05-07,R64,Andrea Hlavackova,Anastasia Rodionova,CZE,AUS,,,6-1,6-4,,,,180356,W-PM-ESP-01A-2012,2012,Andrea Hlavackova,Anastasia Rodionova,CZE,AUS,,,Q,Andrea Hlavackova,Anastasia Rodionova,2,"6-1,6-4",,2012-05-07,,Madrid,,,,,,,180356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-ESP-01A-2012,2012,Madrid,PM,2012-05-07,,Clay,,,64,,,LS051,2012-05-07,R64,Nadia Petrova,Vania King,RUS,USA,,,4-6,6-3,6-1,,160379,311550,W-PM-ESP-01A-2012,2012,Nadia Petrova,Vania King,RUS,USA,,,,Nadia Petrova,Vania King,3,"4-6,6-3,6-1",,2012-05-07,,Madrid,,,,,160379,,311550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-ESP-01A-2012,2012,Madrid,PM,2012-05-07,,Clay,,,64,,,LS050,2012-05-07,R64,Ana Ivanovic,Mathilde Johansson,SRB,FRA,13.0,,6-4,6-1,,,311710,100162,W-PM-ESP-01A-2012,2012,Ana Ivanovic,Mathilde Johansson,SRB,FRA,13.0,,,Ana Ivanovic,Mathilde Johansson,2,"6-4,6-1",,2012-05-07,,Madrid,,,,,311710,,100162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-ESP-01A-2012,2012,Madrid,PM,2012-05-07,,Clay,,,64,,,LS054,2012-05-07,R64,Angelique Kerber,Johanna Larsson,GER,SWE,12.0,,6-1,6-4,,,311470,311593,W-PM-ESP-01A-2012,2012,Angelique Kerber,Johanna Larsson,GER,SWE,12.0,,,Angelique Kerber,Johanna Larsson,2,"6-1,6-4",,2012-05-07,,Madrid,,,,,311470,,311593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-ESP-01A-2012,2012,Madrid,PM,2012-05-07,,Clay,,,64,,,LS055,2012-05-07,R64,Venus Williams,Simona Halep,USA,ROU,,,6-1,4-6,7-6(6),,230220,314320,W-PM-ESP-01A-2012,2012,Venus Williams,Simona Halep,USA,ROU,,,WC,Venus Williams,Simona Halep,3,"6-1,4-6,7-6(6)",,2012-05-07,,Madrid,,,,,230220,,314320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-ESP-01A-2012,2012,Madrid,PM,2012-05-07,,Clay,,,64,,,LS053,2012-05-07,R64,Silvia Soler Espinosa,Tamira Paszek,ESP,AUT,,,6-7(2),6-2,6-2,,311493,313035,W-PM-ESP-01A-2012,2012,Silvia Soler Espinosa,Tamira Paszek,ESP,AUT,,,WC,Silvia Soler Espinosa,Tamira Paszek,3,"6-7(2),6-2,6-2",,2012-05-07,,Madrid,,,,,311493,,313035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-ESP-01A-2012,2012,Madrid,PM,2012-05-07,,Clay,,,64,,,LS052,2012-05-07,R64,Na Li,Garbine Muguruza,CHN,ESP,8.0,,6-2,6-4,,,120330,316239,W-PM-ESP-01A-2012,2012,Na Li,Garbine Muguruza,CHN,ESP,8.0,,,Na Li,Garbine Muguruza,2,"6-2,6-4",,2012-05-07,,Madrid,,,,,120330,,316239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-ESP-01A-2012,2012,Madrid,PM,2012-05-07,,Clay,,,64,,,LS056,2012-05-07,R64,Agnieszka Radwanska,Lara Arruabarrena,POL,ESP,4.0,,6-3,6-1,,,312251,315296,W-PM-ESP-01A-2012,2012,Agnieszka Radwanska,Lara Arruabarrena,POL,ESP,4.0,,,Agnieszka Radwanska,Lara Arruabarrena,2,"6-3,6-1",,2012-05-07,,Madrid,,,,,312251,,315296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-ESP-01A-2012,2012,Madrid,PM,2012-05-07,,Clay,,,64,,,LS057,2012-05-07,R64,Sara Errani,Chanelle Scheepers,ITA,RSA,,,4-6,6-2,6-3,,310761,190873,W-PM-ESP-01A-2012,2012,Sara Errani,Chanelle Scheepers,ITA,RSA,,,,Sara Errani,Chanelle Scheepers,3,"4-6,6-2,6-3",,2012-05-07,,Madrid,,,,,310761,,190873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
